n,N,PO_logical,PO_native,PO_percirc,PO_percirc_max,SD_logical,SD_native,SD_percirc,SD_percirc_max,FD_logical,FD_native,FD_percirc,FD_percirc_max,PO_nmeas,SD_nmeas,FD_nmeas
2,4,12,44,22.0,25,15,41,20.5,22,29,90,45.0,65,2,2,2
3,8,34,112,56.0,83,36,96,32.0,35,67,205,102.5,122,2,3,2
4,16,72,267,133.5,228,66,174,43.5,48,124,422,211.0,228,2,4,2
5,32,156,673,336.5,624,105,275,55.0,61,230,896,448.0,624,2,5,2
6,64,336,1560,780.0,1501,153,399,66.5,74,435,1860,930.0,1501,2,6,2
7,128,524,2522,1261.0,2453,210,546,78.0,87,651,2908,1454.0,2453,2,7,2
8,256,775,4020,2010.0,3941,276,716,89.5,100,933,4501,2250.5,3941,2,8,2
9,512,1059,5969,2984.5,5880,351,909,101.0,113,1251,6554,3277.0,5880,2,9,2
10,1024,1418,8703,4351.5,8604,435,1125,112.5,126,1647,9398,4699.0,8604,2,10,2
11,2048,1863,11657,5828.5,11548,528,1364,124.0,139,2132,12477,6238.5,11548,2,11,2
12,4096,2342,14995,7497.5,14876,630,1626,135.5,152,2654,15943,7971.5,14876,2,12,2
