cost,L2,trace
1.267216927102134250e+01,7.873261082734944738e-01,9.987715649113189098e-01
1.306677722610250925e+01,7.768455574756060189e-01,9.985369253352210928e-01
1.140357659489536957e+01,8.128896704122210437e-01,9.990251169678794341e-01
1.280810889656423335e+01,9.113712033799150625e-01,9.975651475629790932e-01
1.189899160958926849e+01,8.305477253556897699e-01,9.999996463995800555e-01
1.207012307336885470e+01,8.364993611624178538e-01,9.985178569258154058e-01
1.231285335318442797e+01,8.173203619489992633e-01,9.990723100898220022e-01
1.131736121641433357e+01,8.300224821594893720e-01,9.983729326408335991e-01
1.112522048189503465e+01,8.309014756618775532e-01,9.998962547497397546e-01
1.162946145016136157e+01,8.422490014775531053e-01,9.998690447118463442e-01
1.010530316414686602e+01,8.614411292570125500e-01,9.997833332064991474e-01
1.013315159178478453e+01,8.456838226003817738e-01,9.996102551157581839e-01
1.107157139712930238e+01,8.729466216084724728e-01,9.999819189493408533e-01
1.010277893465637788e+01,8.774835687501255643e-01,9.995612324429321571e-01
1.025286503864647791e+01,8.542890288311197899e-01,9.994305950398678640e-01
1.028365718890135661e+01,8.762298037419740115e-01,9.999888876381221037e-01
1.055126907816227977e+01,8.670762914039137348e-01,9.998796061726927809e-01
1.212958559051738128e+01,8.528204259670981724e-01,9.998474277120457110e-01
1.027573679733996137e+01,8.270076317154547718e-01,9.998732006631675384e-01
1.103499876412800518e+01,8.541640261334202400e-01,9.995042641488115498e-01
1.031816984369715406e+01,8.959244450562954265e-01,9.991335241716541304e-01
1.087173914543352993e+01,8.295842218513798105e-01,9.998268451146911096e-01
1.023724262629234261e+01,8.157713422847432394e-01,9.999160029713076714e-01
1.003323224970836769e+01,8.763043839828745796e-01,9.971802921243344553e-01
9.908326045802821724e+00,8.604541548642116178e-01,9.957246609109677848e-01
1.091479508763945105e+01,7.787226824150589310e-01,9.989650118260233747e-01
9.420947016360178949e+00,8.172820994862792787e-01,9.999880088612985718e-01
1.034992180631319059e+01,8.188571763672172210e-01,9.999530157172255018e-01
1.065506291975226638e+01,8.451350661676919618e-01,9.967343832253298119e-01
9.893524593699602576e+00,8.451136059938855194e-01,9.999937293884187950e-01
9.361906354194136526e+00,8.422673887261187264e-01,9.994442573201940405e-01
9.723624907764406800e+00,8.468473976347115073e-01,9.997177530030492143e-01
9.352810351518337839e+00,8.046025857643674950e-01,9.998008682747082654e-01
1.092146149009126610e+01,8.483795709002741603e-01,9.992864252576173500e-01
1.019968144545661204e+01,7.956982631652648186e-01,9.992542575793782467e-01
9.904994311074192481e+00,7.934405296515730788e-01,9.995782362270732024e-01
1.105723697318133958e+01,7.696989819907658070e-01,9.973148316681080816e-01
9.974869876004714087e+00,7.795545448099777674e-01,9.999772593953012434e-01
9.279496104883163454e+00,8.319493213964329614e-01,9.997931342488632911e-01
9.333839803110899780e+00,8.300867918138247203e-01,9.988315138685532890e-01
9.271027868791735571e+00,8.512701139019932528e-01,9.999923478678196531e-01
1.068719348812664194e+01,8.135564665363186343e-01,9.999743080630014713e-01
9.774604454314651747e+00,8.531685913045286007e-01,9.994413102694972295e-01
9.498656468260476160e+00,8.693206072498617099e-01,9.914366044189466542e-01
9.356805451725470846e+00,8.267513694290611337e-01,9.963822036713693153e-01
9.076532369509592968e+00,8.214502480380315719e-01,9.999999999646951299e-01
8.863575569343542071e+00,8.129964356963396144e-01,9.983162441591947323e-01
9.125891454222628596e+00,8.030451386662598168e-01,9.974256644783294767e-01
9.127008318191268899e+00,8.267697463168423022e-01,9.983148373406742770e-01
7.368007693859963680e+00,8.449147613454918160e-01,9.997953031793386236e-01
8.517733460871781404e+00,7.902831528011189377e-01,9.999464141953222640e-01
7.339247189153281781e+00,8.372385755202250701e-01,9.999062525472375285e-01
8.416297750651494880e+00,8.336258763164479113e-01,9.992441241719298706e-01
7.320514244831956674e+00,8.295526352401518810e-01,9.999655230574684417e-01
8.465047856904284629e+00,8.148634886349243045e-01,9.999976326607759036e-01
7.662055570113571079e+00,8.925267272008221564e-01,9.993051728499846575e-01
8.301846404043837779e+00,8.112100279748348797e-01,9.981710329950925775e-01
7.173545853850244569e+00,8.569409724478405099e-01,9.999665340565774274e-01
9.629894343296186321e+00,9.411905474584704168e-01,9.951965587103676070e-01
7.705211545742900014e+00,8.637115335796760052e-01,9.999229736640362631e-01
7.767881677916466998e+00,8.519521111053970364e-01,9.999894004488594224e-01
7.476936775793211254e+00,8.292070749663654761e-01,9.998758791158715020e-01
7.220545182292491759e+00,8.874482793270981329e-01,9.981804809748600071e-01
7.097681136779010025e+00,8.772923477057207320e-01,9.998767007416274888e-01
6.759277206055287479e+00,8.512761672238374766e-01,9.996295762973994581e-01
7.474124625295442748e+00,8.759895371853920754e-01,9.997385873636561726e-01
7.019795456461016769e+00,8.687619352740512113e-01,9.997171649026291851e-01
7.088077515370860837e+00,8.132626520959469474e-01,9.996670428296212663e-01
6.350101185809750248e+00,8.328740376902337150e-01,9.995617896603460339e-01
7.311766941757037230e+00,7.635833860688229224e-01,9.963149463079157275e-01
6.654495023331120862e+00,7.856574890526134558e-01,9.991889090763130810e-01
7.929196873802524692e+00,8.590876059201555393e-01,9.995400073754160397e-01
6.516320692412253202e+00,8.527703889504373302e-01,9.993172744397058604e-01
6.397790820902377718e+00,8.444063990852271884e-01,9.999604127959843547e-01
6.275075697831930199e+00,8.270684701139339179e-01,9.999631797432840807e-01
7.315898604151424678e+00,7.867610481733861016e-01,9.985032317716471262e-01
6.445941860165405934e+00,7.749569295094829169e-01,9.996482531614463429e-01
8.612706052852278304e+00,8.056323881543652199e-01,9.989674317934279513e-01
6.658126746059858547e+00,8.665663576516189348e-01,9.999314848322573557e-01
7.325091995457207794e+00,8.557203346907500396e-01,9.966004625489335300e-01
6.216411438719334548e+00,8.267714135493400285e-01,9.993072302725789502e-01
6.823522045237581324e+00,8.221865976136236709e-01,9.999958446326567829e-01
6.563636907269890131e+00,8.451456972206206064e-01,9.999968674473719288e-01
