cost,L2,trace
1.267216927102134250e+01,7.873261082734944738e-01,9.987715649113189098e-01
1.306677722610250925e+01,7.768455574756060189e-01,9.985369253352210928e-01
1.140357659489536957e+01,8.128896704122210437e-01,9.990251169678794341e-01
1.280810889656423335e+01,9.113712033799150625e-01,9.975651475629790932e-01
1.189899160958926849e+01,8.305477253556897699e-01,9.999996463995800555e-01
1.207012307336885470e+01,8.364993611624178538e-01,9.985178569258154058e-01
1.231285335318442797e+01,8.173203619489992633e-01,9.990723100898220022e-01
1.131736121641433357e+01,8.300224821594893720e-01,9.983729326408335991e-01
1.112522048189503465e+01,8.309014756618775532e-01,9.998962547497397546e-01
1.162946145016136157e+01,8.422490014775531053e-01,9.998690447118463442e-01
1.010530316414686602e+01,8.614411292570125500e-01,9.997833332064991474e-01
1.013315159178478453e+01,8.456838226003817738e-01,9.996102551157581839e-01
1.107157139712930238e+01,8.729466216084724728e-01,9.999819189493408533e-01
1.010277893465637788e+01,8.774835687501255643e-01,9.995612324429321571e-01
1.104260068923559501e+01,8.664738698231877478e-01,9.990883220358713901e-01
1.014541957401772088e+01,8.826124095537126735e-01,9.998634772024308504e-01
1.029218187428295472e+01,8.905230668834739349e-01,9.999337077445330513e-01
1.234232138310525251e+01,8.646189639679418004e-01,9.993538587998059830e-01
1.063460997861538182e+01,8.299402514332006042e-01,9.996998291906523670e-01
1.047510139100062077e+01,8.886923202790886211e-01,9.994944019675587876e-01
9.941364336838470095e+00,8.744745294915569067e-01,9.980992689099934534e-01
1.073588923493832503e+01,8.579041511647468310e-01,9.991277134813409955e-01
1.016190976344711494e+01,8.457339639635450546e-01,9.998732125779705715e-01
9.936406255703269963e+00,9.019550864687313485e-01,9.890965332625047957e-01
9.642625165239961049e+00,8.689540668012245561e-01,9.855052408183828661e-01
1.177584308076226627e+01,8.063376563373116923e-01,9.891079382899278238e-01
1.043717894697158144e+01,8.517540604928500736e-01,9.945717656854579092e-01
1.091187929810938506e+01,8.658962637408705865e-01,9.862389303234212479e-01
1.042594695773036229e+01,8.525446144227172285e-01,9.850003940443778916e-01
1.021199380058907202e+01,8.870570318473014471e-01,9.847486523018494919e-01
9.763130342010736484e+00,8.755725349927433454e-01,9.683142266071508297e-01
9.939629482053440768e+00,8.737204603204694608e-01,9.929151153322197665e-01
9.676566509822409401e+00,8.829820334743373467e-01,9.967435003613190903e-01
1.128069179176899262e+01,8.482409908455140757e-01,9.899645624612901651e-01
1.106654751035908468e+01,8.788025784437117904e-01,9.899545270501146632e-01
1.100363183347949203e+01,9.131652080706554875e-01,9.952312472974753632e-01
1.029421132872375466e+01,8.253954907725100654e-01,9.769793771663857207e-01
1.029005375713066428e+01,8.430478018385965111e-01,9.975691887288800075e-01
9.807354169548151646e+00,8.649881139701360855e-01,9.904705086836874672e-01
9.795811783136798567e+00,8.432304829486978459e-01,9.877829116985413771e-01
9.624002421610429181e+00,9.006596175710858132e-01,9.911016480376165783e-01
8.488368672419614569e+00,8.334444640086843270e-01,9.879120868483258766e-01
9.442716487562613281e+00,8.370448926526095068e-01,9.897186091140115494e-01
7.332263544656216325e+00,8.197183281227303775e-01,9.815501585399508677e-01
7.673896948059475420e+00,7.850909679967161825e-01,9.706665856372665990e-01
6.739113164310396087e+00,8.465733335761925771e-01,9.770645125986870960e-01
6.754938838884962493e+00,8.089891804696304201e-01,9.375364727501156459e-01
6.803748159874552393e+00,8.422063451709993487e-01,9.985857377241883492e-01
6.896534790735150189e+00,8.415006762396289863e-01,9.714710363241404467e-01
7.834215999821241283e+00,8.537972032166472047e-01,9.925648116309980784e-01
7.464749784432061830e+00,8.607709923260347118e-01,9.834311262644082063e-01
8.490756272082938594e+00,7.961557029977188726e-01,9.783166425339215877e-01
7.508831899549560873e+00,8.584443471332242614e-01,9.841749287609927732e-01
7.424500102635535725e+00,8.264693778997289630e-01,9.777843354271187337e-01
6.838801437374646852e+00,8.657086131134640317e-01,9.776176695702295527e-01
5.799706483029810400e+00,8.511452675203241558e-01,9.773798139649748640e-01
5.836774301490067707e+00,8.351477677919991738e-01,9.752457388905397817e-01
4.760007843960227802e+00,8.411734882455724760e-01,9.730522071768870074e-01
5.651882569554343760e+00,8.170016417171063194e-01,9.755196345885372988e-01
4.744118198406876985e+00,8.559776395996088194e-01,9.685999746459650339e-01
6.293323615390919556e+00,8.364327890557574641e-01,9.836520930166942067e-01
4.847832153480030826e+00,8.525149682743610180e-01,9.586043776393448068e-01
5.022052401508360298e+00,8.583213826398616852e-01,9.786557898408849709e-01
4.990808038242429134e+00,8.513065255378080565e-01,9.688574111438172931e-01
5.001626441356927799e+00,7.993688879833603655e-01,9.793498503726479898e-01
4.873746800029938875e+00,8.606814129407293068e-01,9.732921263032073833e-01
5.105062293798980022e+00,8.499597904142740523e-01,9.797058706184305077e-01
5.660541910448045222e+00,8.255943529929000713e-01,9.712127646069456111e-01
7.903414880138082133e+00,8.153987253464225482e-01,9.791210413354872744e-01
5.086068784850969138e+00,8.833843033187228633e-01,9.678258697363417706e-01
9.153649337003086472e+00,8.473943643373169632e-01,9.878365011087533176e-01
4.892982052933724901e+00,8.402032349508786746e-01,9.781749751968921158e-01
4.535035601992349896e+00,8.831903938911453977e-01,9.762091555936466269e-01
5.777158534341056750e+00,9.136443974786742084e-01,9.890003293716004285e-01
6.245304303272025237e+00,8.520799481790553020e-01,9.830528648644450973e-01
6.827941124016549068e+00,8.325831549039405255e-01,9.776509177051428967e-01
4.801138649534722802e+00,8.977900294995427855e-01,9.804135473326314187e-01
5.243875386755701307e+00,8.866411981219827210e-01,9.754174621904223574e-01
4.756486766928126997e+00,8.577898360221201113e-01,9.776631180897303874e-01
7.064641966932660111e+00,9.558827288755156193e-01,9.830884072752791303e-01
4.785211809025609497e+00,8.696193312200493075e-01,9.894523011397629020e-01
6.236683339002141224e+00,9.052898854661057815e-01,9.723012199450364879e-01
5.004731788350571975e+00,8.670237498975359447e-01,9.807841932745930968e-01
