cost,L2,trace
1.323565981525096191e+01,7.900320888291814114e-01,9.998357926582949196e-01
1.220147157344677069e+01,8.310399740321833262e-01,9.999124888617818563e-01
1.543080536401980041e+01,8.059850024440865512e-01,9.997273277138331027e-01
1.256299953516675671e+01,7.295597474552262263e-01,9.999849154747465496e-01
1.343907618111371072e+01,8.268513127183019229e-01,9.998185000764234776e-01
1.361626787958929441e+01,8.562888395965181365e-01,9.999408227755199885e-01
1.242048960166813565e+01,8.304522216098038090e-01,9.997726781913043315e-01
1.246282036538061888e+01,7.890240056001688318e-01,9.999754615613666298e-01
1.115828256460164702e+01,8.242156638172567495e-01,9.999277648717497247e-01
1.004237534166507650e+01,8.965540508607885428e-01,9.997403447605133220e-01
1.232862534128209830e+01,8.701500699389254079e-01,9.998488046517545191e-01
1.093862354210653542e+01,7.919226870732685164e-01,9.980480861821253713e-01
9.462525503801550997e+00,9.413804814205962712e-01,9.954505622322297187e-01
1.326186056809587122e+01,8.868371395926565315e-01,9.957448128274037913e-01
6.976756881105576902e+00,8.062158496676294916e-01,9.970212735475644239e-01
9.115757575079307173e+00,8.453932912606610950e-01,9.958256353422009211e-01
7.458409582456544840e+00,8.000322232124070787e-01,9.944883195137734777e-01
7.285007180056758180e+00,7.769343913884348973e-01,9.835106510268386559e-01
6.944502760478972192e+00,7.743549425113289697e-01,9.942511428547377017e-01
6.449436820643308366e+00,7.495996544032335063e-01,9.933338854596395207e-01
8.004342077362668562e+00,7.101235041288569416e-01,9.937746764061898830e-01
7.375425599320871939e+00,7.692044862078791789e-01,9.969774824932949864e-01
8.481606345636581779e+00,7.643489171777915203e-01,9.917218046091346162e-01
6.028109758651262418e+00,7.838691095839223077e-01,9.238327172075574412e-01
5.804907379420750857e+00,7.505327579671595695e-01,9.090816902858024351e-01
1.006036744858180576e+01,8.153988834574320554e-01,9.355226761584053419e-01
8.060731452529616092e+00,7.889083742154292533e-01,9.275906051157505328e-01
6.528794295231016065e+00,7.432350263886676744e-01,9.402862161960143794e-01
6.584306718201608177e+00,6.979996674171753401e-01,9.116132473210353249e-01
7.188597994491566112e+00,7.997284184165599497e-01,8.914048677815651356e-01
5.804423065002350945e+00,6.813039589359020098e-01,9.115805120763472713e-01
6.357561545561026151e+00,7.305747766970167589e-01,9.125421109526321573e-01
6.153754220596065139e+00,6.430977450930729367e-01,9.101433736683398612e-01
7.155752603668268819e+00,6.824684583469624588e-01,9.079449967202006810e-01
6.421579987605409379e+00,6.649896937610063619e-01,9.092266557100654456e-01
6.596646345491627095e+00,6.101820527330489297e-01,9.340468165360250596e-01
5.849284736000897489e+00,6.906393208539701734e-01,9.111460171973186917e-01
7.275535932332325650e+00,7.452451963132193935e-01,9.490833099681429408e-01
6.016565778221849570e+00,6.852336224906937501e-01,9.144300380567348396e-01
7.585536990549352154e+00,7.310519327341223894e-01,9.349319231757013959e-01
5.522940942575415235e+00,6.866044774625388314e-01,9.046055812467838075e-01
6.805975193732372475e+00,6.516370398448966261e-01,9.402015033152656409e-01
5.882985504171626800e+00,6.522421602814261199e-01,9.384970679181645625e-01
4.207796061321152692e+00,6.596811234726879247e-01,8.195927781029116455e-01
5.638279713709292373e+00,7.111010045552170755e-01,8.594563376640259600e-01
4.187830104980514001e+00,6.984811164647604098e-01,8.547885620065474033e-01
7.034074770034255408e+00,7.926839125996160140e-01,8.605612987492824439e-01
4.431244677240553820e+00,7.271175107581289154e-01,8.946183316656235451e-01
6.117534962753825134e+00,7.492562180073764067e-01,8.388586290734021400e-01
4.487926616642004873e+00,6.219372858364468071e-01,8.644603700789869061e-01
6.390960439196629039e+00,7.254194831794219533e-01,9.142580815513148274e-01
3.681450813866007366e+00,6.649221393000974700e-01,7.988375922794778150e-01
6.998546082483991349e+00,7.723760843115531349e-01,8.998491019034240423e-01
4.262563267264597222e+00,6.529459321323348719e-01,7.590912700984627781e-01
5.407933318447510018e+00,6.844140197996260166e-01,7.969043369753644468e-01
3.872520223864159838e+00,6.607593326696235003e-01,8.363254420520486176e-01
3.795455589590142509e+00,6.663690987082956374e-01,8.071845919175152373e-01
3.594311732746936716e+00,6.458963593624875710e-01,7.910798688740303675e-01
3.672567187133354949e+00,6.454346788029207138e-01,7.908582102538349590e-01
3.586829052955103236e+00,6.405492396365821683e-01,7.887194354794047069e-01
3.690256524991496700e+00,6.399104640890610485e-01,7.927082314641529237e-01
3.554012503832540304e+00,6.386050122678640362e-01,7.849690468747808625e-01
3.479665701266755562e+00,6.395061697297836911e-01,7.780689996362928351e-01
3.368457375967281564e+00,6.415889804357935988e-01,7.711171104101691709e-01
3.326703752608033859e+00,6.452513139993031333e-01,7.752194807471969318e-01
3.422645367761226076e+00,6.481034149263461552e-01,7.815846269003221547e-01
3.323953230063007247e+00,6.424386763529833511e-01,7.754145727735112237e-01
3.270754339526237509e+00,6.515134974483763886e-01,7.705938383279625770e-01
3.190115878214836442e+00,6.481151201324562017e-01,7.680218236594691383e-01
3.088659744028084297e+00,6.494746355156256756e-01,7.596022027825803935e-01
3.075882735380407240e+00,6.521080232714372427e-01,7.606555437949741316e-01
3.040180504551658558e+00,6.530862944357210820e-01,7.541394909242135070e-01
3.091047280566542099e+00,6.457101583672723022e-01,7.576516901218983691e-01
3.085934345519670607e+00,6.540425640855201950e-01,7.554530795663808584e-01
3.047374333141418923e+00,6.546725579589960375e-01,7.504125395528721265e-01
3.045007657366016751e+00,6.536700310414382820e-01,7.540485676175403551e-01
3.023488590680375232e+00,6.493236758894193050e-01,7.498723975424045340e-01
2.953426634999789968e+00,6.553215210163307880e-01,7.403018173988054063e-01
2.922193189909106259e+00,6.574774896487928233e-01,7.369524654354667748e-01
2.942503970656293433e+00,6.656058862724930636e-01,7.398039653026792228e-01
2.913433432489858532e+00,6.553855007658319076e-01,7.366248260997425579e-01
2.944789877678313683e+00,6.598468757165766307e-01,7.338222050736530333e-01
2.930621269330967671e+00,6.631446610497023775e-01,7.396579993759740956e-01
2.817794674357254170e+00,6.434962242393499343e-01,7.300261722179023360e-01
2.795444401980274662e+00,6.392576339183964063e-01,7.284787994601075178e-01
2.779308943649400732e+00,6.403283226157107100e-01,7.323461800068334915e-01
2.636685119065831806e+00,6.273977877540952708e-01,7.092059588548856874e-01
2.542878713794730405e+00,6.200396761124422618e-01,6.963763533259649252e-01
2.558499509468289190e+00,6.155622073539817052e-01,6.866695784958408710e-01
2.576825787038488080e+00,6.152154661808328928e-01,6.933779334560542518e-01
2.489496067190111184e+00,6.295064273789968690e-01,6.936612381753093359e-01
2.393804965039091570e+00,6.203427753650325727e-01,6.809283384684922114e-01
2.367490575521598917e+00,6.186451779800017370e-01,6.788851218296672041e-01
2.321181573337224968e+00,6.126208511565039982e-01,6.780361418415989938e-01
2.304644019714143788e+00,6.239530809733533356e-01,6.907203018029497432e-01
2.315966954453310578e+00,6.208625838473982306e-01,6.832690151798620493e-01
2.300772240072274322e+00,6.253670193094092999e-01,6.909463559756280349e-01
2.310212249856119726e+00,6.323525019009228476e-01,6.968621989437487896e-01
2.311544749775743757e+00,6.199946291107788499e-01,6.893705982675810695e-01
2.316709266191236516e+00,6.276746826077146402e-01,6.901576898328255494e-01
2.288889300197804122e+00,6.169697942177706507e-01,6.774214369728566165e-01
2.336534670113156409e+00,6.260445315567908509e-01,6.905828199720488447e-01
2.234969029501845839e+00,6.199034842832480408e-01,6.838517427231564083e-01
2.212570128802810565e+00,6.194186677617871117e-01,6.797888293481215705e-01
2.252762398555871570e+00,6.182462418361028833e-01,6.846730534261699086e-01
2.202155908564073172e+00,6.167694946858246485e-01,6.802702236504910571e-01
2.233074805061342705e+00,6.277426502719928303e-01,6.829614589472415842e-01
2.187262701623969186e+00,6.176526248775761063e-01,6.778094512811047023e-01
2.366988983083441855e+00,6.171614571026022844e-01,6.865401170808912434e-01
2.189917229674994914e+00,6.104845844141281175e-01,6.763037306282155825e-01
2.130128180050301356e+00,6.265188025559288443e-01,6.763794354766807793e-01
2.072641305143980262e+00,6.352807061885525908e-01,6.683963628032570936e-01
2.075739968101701916e+00,6.357001764139827982e-01,6.589183039201124137e-01
2.068205281481599656e+00,6.303256047968140985e-01,6.653727082776890178e-01
2.078966119120264633e+00,6.496914005249838642e-01,6.754208078072191368e-01
2.094477458302498984e+00,6.521904242830411924e-01,6.756321108791623065e-01
2.131940262146281739e+00,6.525861639762104982e-01,6.807867154824231992e-01
2.028405568689303884e+00,6.499106173199595826e-01,6.664002587373959452e-01
2.029136965125440284e+00,6.399280358119157075e-01,6.574146572411135869e-01
2.017587693060212128e+00,6.327867702094158719e-01,6.464690449782238835e-01
2.021567212352390452e+00,6.410052598031064086e-01,6.532424942450347771e-01
2.014035646316025829e+00,6.319549522031027156e-01,6.464177702304492179e-01
1.975938144008302588e+00,6.335488318861981494e-01,6.424865350919041207e-01
2.035119254958300594e+00,6.404685905374661870e-01,6.445842764842215633e-01
1.986308575009772426e+00,6.349219160374480753e-01,6.468401020036093074e-01
1.950138545286447478e+00,6.460113152385086321e-01,6.408194212015850821e-01
1.973566327494142625e+00,6.462636900493257119e-01,6.423483117798812758e-01
1.948888559308067592e+00,6.512651402438408565e-01,6.475835658465409761e-01
1.958693468411536465e+00,6.392330544986200014e-01,6.345962058552914176e-01
2.012700929452112319e+00,6.482108222782583251e-01,6.465832562400160022e-01
1.955360345582472181e+00,6.408915227561775563e-01,6.348640463829429148e-01
1.916469440642392108e+00,6.414491821332924948e-01,6.257961893729621083e-01
1.933159999676448582e+00,6.481112226107713647e-01,6.253532313083324246e-01
1.936617028716621114e+00,6.391411443076511212e-01,6.226317822533369295e-01
1.944233421498728465e+00,6.540651430938889677e-01,6.314109596468417962e-01
1.901812720464288287e+00,6.401844596457375580e-01,6.232674437944867307e-01
1.950268397922987562e+00,6.474165482318118281e-01,6.303633843025999717e-01
1.893114397836025864e+00,6.422124183404768205e-01,6.213771656779097929e-01
1.920289190844314042e+00,6.378881410464591895e-01,6.206085603167784681e-01
1.954596486826486679e+00,6.420968767610458761e-01,6.300044158335659228e-01
1.962893495537015198e+00,6.455975407093842433e-01,6.324412447249921909e-01
1.910631088238323727e+00,6.516308713644243245e-01,6.288952535608990368e-01
1.876782698319639398e+00,6.312172223993793851e-01,6.169432663129607031e-01
1.876902887787347929e+00,6.371224153273724600e-01,6.122449784280042939e-01
1.961651856678951589e+00,6.373587303136634130e-01,6.137494069093726301e-01
1.908532388900108234e+00,6.452030472609481260e-01,6.198066262526917836e-01
1.884678776438693637e+00,6.267118325201649354e-01,6.088269904517755737e-01
1.893729300675390359e+00,6.352596043111816693e-01,6.107781989978101622e-01
1.884468434044412000e+00,6.380098968050640362e-01,6.179803536399414154e-01
1.888192254446531937e+00,6.407914822322169357e-01,6.145291207329576233e-01
1.852657031736742788e+00,6.294945387289223593e-01,6.013515739823552808e-01
1.828610300490635776e+00,6.150583632625871155e-01,5.884564282960279558e-01
1.842524581741243672e+00,6.148888011770095030e-01,5.900724778859087749e-01
1.879658890643278291e+00,6.215490712477327317e-01,5.951741228341351775e-01
1.855856002816236749e+00,6.136792027686670536e-01,5.874766920243912338e-01
1.899782777796964250e+00,6.206225383598839018e-01,5.934949588909579354e-01
1.844482847151827976e+00,6.069237989443576620e-01,5.827181199494235742e-01
1.815706545901463631e+00,6.158471156157803161e-01,5.882806581961240733e-01
1.751895499207865470e+00,6.108230301328738676e-01,5.816745920020095495e-01
1.796499914442035717e+00,6.190688531425520003e-01,5.886652901842958086e-01
