cost,L2,trace
2.118650442868413641e+00,9.816271420412904236e-01,9.997788511023244507e-01
1.772363846995418601e+00,9.467588141996550188e-01,9.999706527590170868e-01
1.877319292114496552e+00,1.006582687590286573e+00,9.975094341315478008e-01
2.191116431192642100e+00,1.019701628638002955e+00,9.972884267561127336e-01
1.783527596246073710e+00,9.559093029429941435e-01,9.998397338060793782e-01
1.877654948542476721e+00,6.261018677357156337e-01,9.904592335622556254e-01
2.091489643372279605e+00,9.686734588771546139e-01,9.994252503643941132e-01
1.600354001008411187e+00,9.046753230741451102e-01,9.995963723150355085e-01
1.665737658622626238e+00,9.436060389744234111e-01,9.981893133932718820e-01
1.469107453495465565e+00,8.866693604645993210e-01,9.991093421181347356e-01
1.115954613976468224e+00,9.263114998139972966e-01,9.566807682595261930e-01
1.949196634679620121e+00,9.800956036352262979e-01,9.761319766917166962e-01
1.057496870535109768e+00,9.640500044525938117e-01,9.620130472391096310e-01
9.960577449781123915e-01,9.297554548293068821e-01,9.630046686329618577e-01
1.047591751353700307e+00,9.865273529565985466e-01,9.990328339636065369e-01
9.625640959342881553e-01,7.243099406731398071e-01,9.295989916590091662e-01
7.969635470082038209e-01,7.672593659375297470e-01,8.960941517544384061e-01
1.318789229105024718e+00,7.739562323031620172e-01,9.619094211855454546e-01
1.230967441269772644e+00,8.525893065857993447e-01,9.361084577630862658e-01
8.169119946239673524e-01,7.681520472015171963e-01,8.263900774182958431e-01
7.898123406820897197e-01,7.648332159885954384e-01,8.964543341020619893e-01
1.575445238754126454e+00,9.538360430199406270e-01,8.770209174750543957e-01
1.023535698564949747e+00,7.684892856339282652e-01,9.227461250881815458e-01
1.063939038134703585e+00,7.959556017386097970e-01,8.924894695117570054e-01
1.025359569835988305e+00,9.192207807037389156e-01,8.658521097200040373e-01
1.185021855739368135e+00,8.139180641449244025e-01,9.785257874324599925e-01
9.794955282578705624e-01,7.783091359601894688e-01,9.040158172222612087e-01
1.089136121288751591e+00,8.380440204452216379e-01,9.265111910061594180e-01
1.088522037069103110e+00,8.046148015280757404e-01,9.171800843320027097e-01
6.609250666310781952e-01,6.872716639529702354e-01,8.797198559983105959e-01
1.636777060587546684e+00,7.847022625691630893e-01,9.391412523444928606e-01
7.898132565084222678e-01,7.553416662382450575e-01,8.795988420334257540e-01
7.006090830984683659e-01,8.297983766817308426e-01,8.019336475065907965e-01
5.829679665980400660e-01,7.758455796838635843e-01,7.952295742025635716e-01
1.236437953118691091e+00,7.679818364464551239e-01,8.431832996379700074e-01
4.908196858238333404e-01,7.488697803984811774e-01,6.945097079761713976e-01
4.619329986697644497e-01,7.304327498003800878e-01,6.799763986319639075e-01
4.554416558405635085e-01,7.087151382551045709e-01,6.630535526798553292e-01
4.363418526712398715e-01,6.963901917364907490e-01,6.528115491392215697e-01
4.642309712400383148e-01,6.880572414853833862e-01,6.468031409624690475e-01
4.365402384615191256e-01,6.875194618349896869e-01,6.456204018780923315e-01
4.404923590594996829e-01,7.034244170049432920e-01,6.584813499162029959e-01
3.997608521863296183e-01,6.857125462617952305e-01,6.441500503351748064e-01
3.727326532422151617e-01,6.907471826719520092e-01,6.482422484317911238e-01
3.806526836627563970e-01,6.984202601247772035e-01,6.544508224749793213e-01
3.873661061030579944e-01,6.918586318761278386e-01,6.491436784173452157e-01
3.372669130708758067e-01,6.790395162427165232e-01,6.387038376149644092e-01
2.740615352711525676e-01,6.581556561472240441e-01,6.214982306720051586e-01
2.418421910401306052e-01,6.419835088532569456e-01,6.080110183689134695e-01
2.252576185663196229e-01,6.310559162746148809e-01,5.988192329372160616e-01
2.178134872446976233e-01,6.168936136606817389e-01,5.868148634792511587e-01
2.244080276824410025e-01,6.282571305184353472e-01,5.964550391554290787e-01
2.391424779539224610e-01,6.270391577402706362e-01,5.954249320527424949e-01
2.141420749037577509e-01,5.996873379477350996e-01,5.720947347488740675e-01
2.082146400546098230e-01,5.874978324753070691e-01,5.615789645823364706e-01
2.040302020983204290e-01,6.027381218339121771e-01,5.747153628680263804e-01
2.024643003237143746e-01,5.964803141202559278e-01,5.693350101515654016e-01
2.390577481709348640e-01,6.060699143232272101e-01,5.775721680853348472e-01
1.959720818685773414e-01,5.920364704372050868e-01,5.655027507553873622e-01
1.798239059568871590e-01,6.031051404856818676e-01,5.750303257427580306e-01
1.837670613424222388e-01,5.947745629962259972e-01,5.678651387425488473e-01
1.798764658081223045e-01,6.009406731983658601e-01,5.731719017589437248e-01
1.897570814239606662e-01,5.981874364522562493e-01,5.708046533772719311e-01
1.914975274659100057e-01,5.990865772571630776e-01,5.715781453791308753e-01
2.031627260054210682e-01,6.389028632701549970e-01,6.054260465091848564e-01
1.728962407187875083e-01,5.978960990720354474e-01,5.705539441746068086e-01
1.421206487938536378e-01,5.664974062840938407e-01,5.432973497367901139e-01
1.149409265816880438e-01,5.585765157961797289e-01,5.363492509925229523e-01
1.014180503930255939e-01,5.488079817738156230e-01,5.277417138954717535e-01
9.641219872513449862e-02,5.237270170535464064e-01,5.054515198897032713e-01
9.792851269392389979e-02,5.078906139119232499e-01,4.912412382723754245e-01
9.872559163307159658e-02,5.203694610424430822e-01,5.024473419335843127e-01
1.077340262546836597e-01,5.603432522338475108e-01,5.379014633680972990e-01
8.676535633562208749e-02,5.164634843392355013e-01,4.989465935295864241e-01
9.910073500333077545e-02,5.132164366618366946e-01,4.960316436880545243e-01
8.445204322688953935e-02,5.220955974461378712e-01,5.039923899351983483e-01
8.581868218340818477e-02,4.941277614973409449e-01,4.788094028423935389e-01
8.666621050066850018e-02,5.130718564379233015e-01,4.959017505126203096e-01
8.243917121555871530e-02,5.076903852796037508e-01,4.910609153647021996e-01
9.719554663072106637e-02,5.244258343712451254e-01,5.060761977839545178e-01
9.304553501540643867e-02,5.088460600538555756e-01,4.921014762103525508e-01
7.509980657171956564e-02,4.927092629554321590e-01,4.775238422611025046e-01
7.075544702157625376e-02,4.990677421765848942e-01,4.832802685811239396e-01
6.296559135688163666e-02,4.809076018662089558e-01,4.667980537482431802e-01
6.767727390324074221e-02,4.765631203665959270e-01,4.628362521037618360e-01
5.956079440253714968e-02,4.806531868417048270e-01,4.665662452393880000e-01
5.703542797905700179e-02,4.778206685979544677e-01,4.639837621063570006e-01
6.619356394117636988e-02,4.706951948734086066e-01,4.574739626049792451e-01
5.968784587037301304e-02,4.587933698827336704e-01,4.465587346414092718e-01
5.251560902932769781e-02,4.818289136971055098e-01,4.676372952465606136e-01
5.816806331284976594e-02,4.777988860297946450e-01,4.639638906230401649e-01
6.401064709725083623e-02,4.909632620633391231e-01,4.759403962319914694e-01
5.625599302807003654e-02,4.991075842578076016e-01,4.833162880913971504e-01
4.840276744585413071e-02,4.684755155568212093e-01,4.554422184136241447e-01
5.743140713432753897e-02,4.767105035097322641e-01,4.629707696438424835e-01
5.007940298963267645e-02,4.685599431083068422e-01,4.555195309459052488e-01
5.048559503809271071e-02,4.601565739132391641e-01,4.478115501572063617e-01
5.124434990516110733e-02,4.777727502493241407e-01,4.639400476189935452e-01
4.203814463477342084e-02,4.653020604919522185e-01,4.525343022107484181e-01
5.533049002080940582e-02,4.633450627934652677e-01,4.507392188442448933e-01
4.527764391743231698e-02,4.500199182915263219e-01,4.384798161652185278e-01
3.802552865687158085e-02,4.500567578453450457e-01,4.385137965275522354e-01
5.161279240493273079e-02,4.692544011858613695e-01,4.561553647929845190e-01
4.036668826050124337e-02,4.602274263703851620e-01,4.478766468438678539e-01
4.118126113867702498e-02,4.609604079268111443e-01,4.485499774137673978e-01
3.391724841568757864e-02,4.443907809315511548e-01,4.332819704835818575e-01
3.711375376935894393e-02,4.519601918204053104e-01,4.402688491175753005e-01
3.359021535772309386e-02,4.506364871959457341e-01,4.390484688807454461e-01
2.997313027926633289e-02,3.965975860781064122e-01,3.887217991760548719e-01
4.084405424906217830e-02,3.922587449498889378e-01,3.846403066399636250e-01
3.288647105112756097e-02,4.006583109103566964e-01,3.925364264364916145e-01
3.303593476164569387e-02,3.794867672415669912e-01,3.725929033363180598e-01
3.264637152308915574e-02,3.904825651854839652e-01,3.829678220903937058e-01
3.425653925832692487e-02,4.009496531785264328e-01,3.928099156028255767e-01
3.213355875022085723e-02,4.036749555098280706e-01,3.953669325873961360e-01
3.020047596932457640e-02,3.968535529574260257e-01,3.889624037234040710e-01
2.748441865116418859e-02,3.898718224909353824e-01,3.823925144226805184e-01
3.196338285272021240e-02,3.981578197579351830e-01,3.901880790041435954e-01
2.846531696181847648e-02,3.824927968933791722e-01,3.754327677067266222e-01
2.938314402371109205e-02,3.921806679339532864e-01,3.845668079612574175e-01
2.748112921611518475e-02,3.806936795290627451e-01,3.737334206320407914e-01
3.421563840710824256e-02,3.735601181340528210e-01,3.669861159015544438e-01
2.507209336426031304e-02,3.839807390384438190e-01,3.768374722634220131e-01
2.541803562712360506e-02,3.778284815537555352e-01,3.710251467802556657e-01
2.527297941229384240e-02,3.837785624704098675e-01,3.766466443055435098e-01
2.548004152959851276e-02,3.825985681208691758e-01,3.755326436080758112e-01
2.533090540862996398e-02,3.828430167342815604e-01,3.757634548184300982e-01
2.560399984437239720e-02,3.875269967135627214e-01,3.801826894344501051e-01
2.532015923363971355e-02,3.833032666617826600e-01,3.761979800752623393e-01
2.505082838710270127e-02,3.817565666830144422e-01,3.747374807669696106e-01
2.562354598951715329e-02,3.848010649745823852e-01,3.776116268122702846e-01
2.531526542444366770e-02,3.840697622757138219e-01,3.769214945812288664e-01
2.532082709065270817e-02,3.837348045190948076e-01,3.766053409846881195e-01
2.539588341633643859e-02,3.846637621859516076e-01,3.774820659556136770e-01
2.532332918823164761e-02,3.832289197358645927e-01,3.761277928625466060e-01
2.541139814262900407e-02,3.831151358329002998e-01,3.760203719989802518e-01
2.552143710872935983e-02,3.847858808352937476e-01,3.775972991194296857e-01
2.522809371502148651e-02,3.848288340337075453e-01,3.776378294072739727e-01
2.543264208201653775e-02,3.841564321535966275e-01,3.770032934774056876e-01
2.520412725383538999e-02,3.820503106015385453e-01,3.750149081975229781e-01
2.532170597894461625e-02,3.850748556219547591e-01,3.778699627812618367e-01
2.472589339381041362e-02,3.827207818537832762e-01,3.756480414414181679e-01
2.532147608664019403e-02,3.835508039888205212e-01,3.764316558604843821e-01
2.525285814540881649e-02,3.836610219069075955e-01,3.765356959678911042e-01
2.518652832559658411e-02,3.838316718573260289e-01,3.766967737231659563e-01
2.527216800113625192e-02,3.837794095040711895e-01,3.766474438186946938e-01
2.529897163834702797e-02,3.839673418916560999e-01,3.768248275033342365e-01
2.526292679722982187e-02,3.837730886435665179e-01,3.766414775676619198e-01
2.525093114093706834e-02,3.833940568272754534e-01,3.762836883040081570e-01
2.526820450984189337e-02,3.838136322378075671e-01,3.766797464012018315e-01
2.528252349353367345e-02,3.837640161079798329e-01,3.766329139937836246e-01
2.526582308340908842e-02,3.838374017189471465e-01,3.767021820320048953e-01
2.530901380770118891e-02,3.837540416479501837e-01,3.766234990644609648e-01
2.526945286054761708e-02,3.837637942438369421e-01,3.766327045757275060e-01
2.524148715507951515e-02,3.837968350219570501e-01,3.766638916782161783e-01
2.526985297021522997e-02,3.838309737701880997e-01,3.766961148111519497e-01
2.527597143502939223e-02,3.838312387160539019e-01,3.766963648888523308e-01
2.523918739294380570e-02,3.836852121515566538e-01,3.765585298455080832e-01
2.523788036568554508e-02,3.838176523031779919e-01,3.766835408880157554e-01
2.521410106635967041e-02,3.835820766418432393e-01,3.764611760204245039e-01
2.520902562285456255e-02,3.836142947169338124e-01,3.764915883181575995e-01
2.524373334131733981e-02,3.836276816657173128e-01,3.765042248568477024e-01
2.517578367362515238e-02,3.834998162243042352e-01,3.763835247847691079e-01
2.523417781048457181e-02,3.835533770192999792e-01,3.764340847114670541e-01
2.524146272962784349e-02,3.839277336022274834e-01,3.767874433121757849e-01
2.523239257144292702e-02,3.836833731170322115e-01,3.765567939332737368e-01
2.523054328028487628e-02,3.836410696793297603e-01,3.765168623474635101e-01
2.523151661040718557e-02,3.835744747752968253e-01,3.764540001827704208e-01
2.524111197792376290e-02,3.836916795576857386e-01,3.765646345893874924e-01
2.524792143072463607e-02,3.836760860117151561e-01,3.765499154362893508e-01
2.523817195057356452e-02,3.836849295573153129e-01,3.765582630975640166e-01
2.523838205746481433e-02,3.836835061595511021e-01,3.765569195155812343e-01
2.523873495187232280e-02,3.836821309029532778e-01,3.765556213747200953e-01
2.524097985360171728e-02,3.836950662942981705e-01,3.765678314085058598e-01
2.523936364245160657e-02,3.837032027332376583e-01,3.765755115677214548e-01
2.523700693227464570e-02,3.836774105424087256e-01,3.765511656980225497e-01
2.523718678640328450e-02,3.836746513191220953e-01,3.765485611890565520e-01
2.523872222069222654e-02,3.836675290787717740e-01,3.765418382943281350e-01
2.523579280602310931e-02,3.836549073282143896e-01,3.765299242111728728e-01
2.524146493270918237e-02,3.836735049526642238e-01,3.765474791006410693e-01
2.523606804772995232e-02,3.836519892760710260e-01,3.765271697595850564e-01
2.523900291898936027e-02,3.836768386557017352e-01,3.765506258781566862e-01
2.524261932967672081e-02,3.836605419402545625e-01,3.765352429116064492e-01
2.523915942262966450e-02,3.836809060618204814e-01,3.765544652144989790e-01
2.524266859743073271e-02,3.836578031050808524e-01,3.765326576338466347e-01
2.523801388820921116e-02,3.836663214839990399e-01,3.765406984081732800e-01
2.523620803611709151e-02,3.836527047946649560e-01,3.765278451628716883e-01
