cost,L2,trace
2.118650442868413641e+00,9.816271420412904236e-01,9.997788511023244507e-01
1.772363846995418601e+00,9.467588141996550188e-01,9.999706527590170868e-01
1.877319292114496552e+00,1.006582687590286573e+00,9.975094341315478008e-01
2.191116431192642100e+00,1.019701628638002955e+00,9.972884267561127336e-01
1.783527596246073710e+00,9.559093029429941435e-01,9.998397338060793782e-01
1.877654948542476721e+00,6.261018677357156337e-01,9.904592335622556254e-01
2.091489643372279605e+00,9.686734588771546139e-01,9.994252503643941132e-01
1.600354001008411187e+00,9.046753230741451102e-01,9.995963723150355085e-01
1.665737658622626238e+00,9.436060389744234111e-01,9.981893133932718820e-01
1.469107453495465565e+00,8.866693604645993210e-01,9.991093421181347356e-01
1.115954613976468224e+00,9.263114998139972966e-01,9.566807682595261930e-01
1.949196634679620121e+00,9.800956036352262979e-01,9.761319766917166962e-01
1.057496870535109768e+00,9.640500044525938117e-01,9.620130472391096310e-01
9.960577449781123915e-01,9.297554548293068821e-01,9.630046686329618577e-01
1.047591751353700307e+00,9.865273529565985466e-01,9.990328339636065369e-01
9.625640959342881553e-01,7.243099406731398071e-01,9.295989916590091662e-01
7.955703483792859743e-01,7.637973353594347259e-01,8.952866407854952469e-01
1.323478202545728566e+00,7.735407307458906923e-01,9.620066343385638152e-01
1.229969373989173942e+00,8.534513466036069973e-01,9.355916213380318647e-01
8.028437113236074341e-01,7.631618646903093328e-01,8.237815978786251492e-01
7.873379094769278330e-01,7.607336581337735826e-01,8.957509059420156738e-01
1.556783201557454532e+00,9.489917795202095219e-01,8.747555136748556004e-01
8.179606107458239350e-01,8.869253995651800171e-01,8.300214288793196227e-01
9.051946535882660072e-01,6.775804891087102710e-01,9.376435884093532458e-01
9.343549008802741751e-01,8.243148125766734946e-01,8.923644563300628940e-01
6.733078892957548023e-01,7.775189813879203049e-01,9.181428328338181455e-01
1.383843332292612249e+00,9.218322008926199684e-01,9.071440426391033096e-01
8.006712619131517439e-01,8.093927837257145486e-01,9.322587522348606548e-01
1.042289068884447278e+00,8.170768278823367092e-01,9.441910910450310723e-01
1.115051782464802965e+00,8.794423507015670660e-01,9.465911952015828579e-01
7.441766930818887182e-01,7.562881571892289267e-01,9.270766364497645684e-01
7.631816682396621587e-01,8.023168048938259522e-01,9.272775955050049923e-01
5.897530152306340590e-01,7.557133440022006932e-01,8.622952558367806830e-01
6.777352565267602547e-01,7.974817995952021565e-01,7.620469633344240101e-01
6.004815165474721717e-01,8.359883607998286337e-01,7.733434847393909628e-01
9.699075970912498512e-01,8.369531689343506775e-01,9.325833870943489590e-01
6.148750368721949133e-01,7.345066781784083121e-01,8.729906147766661739e-01
6.237633822448855891e-01,5.762808426463990052e-01,9.088008673842165042e-01
3.893272671652415751e-01,8.016389399543109029e-01,8.103274540130676051e-01
4.874987782664357283e-01,8.500372504246446193e-01,8.139992380507911074e-01
3.840311790676557147e-01,8.046468679891409792e-01,8.008217534059002274e-01
4.031920043332424264e-01,7.954315995225368363e-01,7.839339983298003744e-01
3.805300497512394964e-01,8.068184702278855536e-01,8.020934963431917142e-01
4.081675698358432358e-01,7.984161187703219253e-01,8.104028964936805801e-01
3.916472148600471104e-01,8.090523017978256126e-01,7.971641398947315604e-01
3.691290528286177430e-01,8.099070464028810257e-01,8.024870444309039064e-01
3.752455972008722496e-01,8.253872610529304765e-01,7.992934491424880106e-01
3.800069221225725880e-01,8.096009084102439024e-01,8.103575355846618367e-01
3.661810115574498092e-01,8.145840172746653396e-01,7.934330835951578509e-01
3.556270391772229367e-01,8.237257721193598226e-01,7.893126568526069864e-01
3.487719594728989625e-01,8.123436691036848289e-01,7.841633541640280480e-01
3.845546485288657834e-01,8.308196509760282789e-01,7.995386067586085499e-01
3.379318661966247972e-01,8.143311344614064806e-01,7.870843492110253248e-01
2.882334676665920803e-01,8.016392443284690028e-01,7.753687877031137932e-01
2.780008068112873043e-01,7.934370854618071345e-01,7.700714193172962796e-01
2.685054038201030169e-01,7.901281675660604131e-01,7.725575131991546662e-01
2.452716009561282107e-01,7.609696377486204755e-01,7.461170648150980966e-01
2.233812044346262238e-01,7.589024296980118045e-01,7.449805264029256691e-01
2.211177446881129605e-01,7.592353016292821000e-01,7.473758052161149079e-01
2.328012734564448571e-01,7.601241435104933997e-01,7.463160330243010510e-01
2.144821774836445372e-01,7.376493766628052784e-01,7.316999398503276630e-01
2.133870777075698166e-01,7.177158388756714746e-01,7.166270228924226382e-01
2.249446878990986887e-01,6.924565837645160205e-01,6.999055958812581135e-01
2.233492761602707266e-01,7.293642684449324065e-01,7.268666639582811451e-01
2.213659613827257677e-01,7.307973509129379597e-01,7.231903848403388180e-01
2.160378128315068036e-01,7.108702038209990803e-01,7.123764900846651926e-01
2.013688785579584861e-01,7.008534830325161558e-01,7.039922788006157672e-01
2.027444612017252068e-01,6.995561179243225958e-01,7.035924261464296947e-01
1.953235418408531543e-01,6.834162629758285812e-01,6.938240671718867159e-01
2.127170679699448286e-01,7.000098760734904113e-01,7.111033628551398644e-01
2.046483739387575662e-01,6.831993934992236506e-01,6.950300660403228026e-01
1.844413683423424821e-01,6.792997549291790449e-01,6.925727687406030286e-01
1.799495563449000357e-01,6.719587016256293177e-01,6.804770645516402539e-01
1.594773663594099278e-01,6.495356074623049869e-01,6.582831104069092332e-01
1.657890996212629253e-01,6.400278740022319335e-01,6.499838360756540201e-01
1.637598817597357426e-01,6.558097961675031229e-01,6.642447663595122398e-01
1.526345001281094738e-01,6.389534961975872340e-01,6.478013434326463926e-01
1.529514913210301419e-01,6.194323243569374027e-01,6.291607735331163909e-01
1.721470655685951590e-01,6.364624282132030908e-01,6.414216679542038557e-01
1.476563183881386687e-01,6.109219800274190426e-01,6.226215942543733561e-01
1.573298315238151612e-01,6.209988479162344976e-01,6.281211922276995763e-01
1.659540404674941239e-01,6.327112642761699712e-01,6.408016053266366585e-01
1.425967625695983287e-01,5.966116774067437012e-01,6.095187739416809691e-01
1.366791893180255568e-01,5.723459112460003162e-01,5.912978097747593198e-01
1.428628320379558003e-01,5.575838581509953151e-01,5.821183427367564445e-01
1.385714604757696533e-01,5.635022136189964392e-01,5.828896161629320005e-01
1.237831006932499089e-01,5.863375748851444857e-01,5.973649899624507986e-01
1.135418796736248070e-01,5.667436417724709408e-01,5.754322924050662147e-01
1.134771581006730756e-01,5.503437208418832105e-01,5.646499018898628597e-01
1.229616936138837185e-01,5.669260448494259919e-01,5.767709901006368156e-01
1.096722787357835016e-01,5.514929979869044319e-01,5.620984429380505576e-01
1.074010077146044378e-01,5.417474537327278128e-01,5.490688314614953214e-01
1.168952481759548412e-01,5.588888731648699038e-01,5.700623457513432912e-01
1.167661618670397528e-01,5.432521761516534431e-01,5.545574727263314907e-01
1.125887738544769368e-01,5.505479812810222251e-01,5.605043541288291520e-01
1.091427608064880900e-01,5.502349997321852593e-01,5.628706059324760647e-01
1.076724477398716129e-01,5.407219652443322477e-01,5.511667090268163038e-01
1.134423403136915198e-01,5.589338964325591963e-01,5.657045523294188527e-01
1.115994307880246034e-01,5.460673883862432465e-01,5.567798231502539830e-01
1.096194415501030861e-01,5.521449593578474646e-01,5.585112310582772688e-01
1.187574556956891292e-01,5.604401137184956694e-01,5.695568330918414635e-01
1.139105722761912520e-01,5.565830055185565506e-01,5.699299886541063787e-01
1.038805366261264657e-01,5.380088867509708050e-01,5.492877771661058839e-01
1.006300302448282780e-01,5.107371437563209549e-01,5.294926148766202489e-01
8.842351317067911887e-02,4.624131375644730535e-01,4.855660860966785064e-01
8.149488350122931213e-02,4.446218674262810699e-01,4.644494299379229307e-01
8.046058530577852863e-02,4.199547217937947274e-01,4.376430781146198323e-01
9.430243815216300673e-02,4.106143158690725992e-01,4.297042190310603749e-01
8.504290173749812221e-02,4.189493307038852921e-01,4.364563613689868005e-01
7.968016751635119410e-02,4.102345068608880818e-01,4.296589447771055892e-01
7.966409381013442315e-02,4.121591355388840583e-01,4.325481378533013732e-01
7.880570321226457176e-02,4.180990535651239459e-01,4.276931836421399291e-01
8.487298115691846445e-02,4.204993658773124587e-01,4.398896835886362822e-01
6.700749330217035948e-02,4.071008157928123761e-01,4.196541098108589884e-01
6.791790029725319755e-02,4.008529698000661834e-01,4.131620651827451196e-01
6.953900822905388635e-02,3.696394056204711509e-01,3.823021278609552986e-01
6.881687266584649021e-02,3.961000639834095227e-01,4.125460817730002838e-01
7.443341007276224608e-02,4.087949502309498051e-01,4.258121469127291725e-01
6.915061976265240995e-02,3.996490237366528975e-01,4.093265049976571035e-01
7.435284367068717426e-02,3.994458524018916767e-01,4.122084931708662747e-01
7.241541245686219930e-02,3.984520406422931149e-01,4.133119343454129124e-01
6.501988424195158378e-02,3.975328979236816829e-01,4.047502578238124649e-01
7.134448596896275641e-02,3.973738312640587855e-01,4.057763900620339759e-01
6.469383716000505491e-02,3.893677301251816658e-01,3.986194186992741972e-01
6.183670000306887293e-02,3.839666795004541555e-01,3.896901220464702442e-01
7.138999948518212624e-02,3.886013005389211683e-01,3.896382527897631620e-01
6.477304254649432491e-02,3.908918801518800890e-01,3.938539970981323468e-01
7.094065370395492842e-02,4.218766984670596631e-01,4.281977738277671919e-01
6.536280039591163549e-02,3.804283868030679527e-01,3.915443774759692075e-01
6.566855647973682264e-02,3.738289994388457882e-01,3.788078294194157092e-01
6.213475484339484045e-02,3.841121919397583184e-01,3.902427994850519721e-01
6.155590782696229030e-02,3.606605209463899508e-01,3.690892308290652513e-01
7.029988335435961855e-02,3.491933663253423692e-01,3.599697503865830761e-01
6.241548441125821522e-02,3.591546838384648832e-01,3.663409291654672884e-01
6.242419393423633001e-02,3.548083025557182135e-01,3.661650686806082744e-01
7.127503489855960273e-02,3.814525233625085110e-01,3.909443440941207659e-01
6.187704368910178915e-02,3.580588411519177172e-01,3.639606328485324171e-01
6.451324379109794893e-02,3.631214288676249957e-01,3.718813600650587303e-01
5.377926849799652409e-02,3.403541331241474177e-01,3.425070979449872377e-01
6.271964709536756444e-02,3.676208195435256010e-01,3.784385475746009364e-01
7.979101237961419568e-02,3.906437300570647086e-01,4.003044870360803476e-01
5.861085757912694316e-02,3.579799246338129515e-01,3.662776422761039874e-01
6.331999484549541424e-02,3.276000177487146114e-01,3.387177893107467530e-01
6.247400727605996462e-02,3.642033090187500877e-01,3.671924523886974656e-01
6.868785404207909673e-02,3.711730602174485583e-01,3.865861776627564361e-01
6.161981251937932724e-02,3.628651598769009889e-01,3.696102377006551531e-01
8.482501417608637184e-02,3.841338857838733634e-01,3.977661176031092038e-01
6.575901156854220553e-02,3.627036995759019833e-01,3.704511408558233132e-01
6.450692428892648711e-02,3.597550190947624849e-01,3.698116707928809643e-01
6.910660299560228426e-02,3.722447459972244022e-01,3.801022972487845264e-01
6.165276324580717254e-02,3.622863318819323220e-01,3.712651468419928547e-01
6.093034031442966236e-02,3.575271990588871907e-01,3.658897525975516318e-01
6.170372093943822522e-02,3.614921399010384007e-01,3.693926068760462478e-01
6.146717046585405131e-02,3.596944956274600314e-01,3.694608726574095114e-01
6.224616022278530586e-02,3.613907440114276226e-01,3.695813451402600314e-01
6.157583650398885944e-02,3.606692432871220766e-01,3.689241504790957693e-01
6.188284155897244565e-02,3.601033502336141168e-01,3.687997175162172625e-01
6.146692053008559475e-02,3.608568096795350399e-01,3.690671677080021862e-01
6.200653568883431749e-02,3.615935658998902236e-01,3.700901811510519113e-01
6.081880544948201073e-02,3.610149097785833039e-01,3.685457756841739596e-01
6.211125439257494246e-02,3.611097049331072895e-01,3.701123854862443663e-01
6.077129913096948610e-02,3.562923035400740734e-01,3.645925457946758153e-01
6.155868873374520378e-02,3.609499893888016286e-01,3.692505779158865575e-01
6.060206528410987115e-02,3.590971311968774726e-01,3.674783155445770499e-01
6.170437798066848861e-02,3.606401820387590829e-01,3.691980034860747328e-01
6.170590534547078232e-02,3.624493884924734899e-01,3.701490826118957189e-01
6.157373743764555513e-02,3.603719971693503665e-01,3.693473899985001974e-01
6.157371070177466987e-02,3.596453890033757261e-01,3.676430234506302130e-01
6.209447441367244719e-02,3.609075050140298502e-01,3.695568762885898528e-01
6.217097655425598418e-02,3.612288483668257832e-01,3.702183601157023607e-01
6.164186042019100670e-02,3.608291776618248736e-01,3.694364465062311420e-01
6.248972372921056395e-02,3.622581975861343673e-01,3.695988944393824305e-01
6.147518099986312712e-02,3.610570641060270591e-01,3.691092530856059928e-01
6.154607343946863485e-02,3.604779682638675764e-01,3.689121640345289221e-01
6.136010385397298872e-02,3.606984506509720578e-01,3.693004636960114384e-01
6.159334275493494326e-02,3.606829180019821557e-01,3.691162351162430300e-01
6.154301267188069108e-02,3.607553252350690354e-01,3.690973549872116344e-01
6.160814668761727814e-02,3.608692427960770166e-01,3.693217862643004556e-01
6.150097701261232619e-02,3.603558646453544068e-01,3.688548403366929129e-01
6.155680204861826293e-02,3.605607212583109011e-01,3.690198662329642332e-01
6.148553026809978200e-02,3.605844677108828167e-01,3.689388088429857993e-01
6.161988729274589516e-02,3.607403842762003654e-01,3.691683153973809861e-01
6.152809762177161024e-02,3.605863749778822069e-01,3.689575006848214156e-01
6.159524043660639242e-02,3.606544186444662348e-01,3.691236545130667235e-01
6.149415206163646314e-02,3.607171794201204928e-01,3.691033192796168705e-01
6.156448091277804541e-02,3.606794165949964714e-01,3.691144283663783110e-01
6.161541002713177839e-02,3.610065454079539049e-01,3.694724327111638118e-01
