cost,L2,trace
2.118650442868413641e+00,9.816271420412904236e-01,9.997788511023244507e-01
1.772363846995418601e+00,9.467588141996550188e-01,9.999706527590170868e-01
1.877319292114496552e+00,1.006582687590286573e+00,9.975094341315478008e-01
2.191116431192642100e+00,1.019701628638002955e+00,9.972884267561127336e-01
1.783527596246073710e+00,9.559093029429941435e-01,9.998397338060793782e-01
1.877654948542476721e+00,6.261018677357156337e-01,9.904592335622556254e-01
2.091489643372279605e+00,9.686734588771546139e-01,9.994252503643941132e-01
1.600354001008411187e+00,9.046753230741451102e-01,9.995963723150355085e-01
1.665737658622626238e+00,9.436060389744234111e-01,9.981893133932718820e-01
1.469107453495465565e+00,8.866693604645993210e-01,9.991093421181347356e-01
1.115954613976468224e+00,9.263114998139972966e-01,9.566807682595261930e-01
1.949196634679620121e+00,9.800956036352262979e-01,9.761319766917166962e-01
1.057496870535109768e+00,9.640500044525938117e-01,9.620130472391096310e-01
9.960577449781123915e-01,9.297554548293068821e-01,9.630046686329618577e-01
1.047591751353700307e+00,9.865273529565985466e-01,9.990328339636065369e-01
9.625640959342881553e-01,7.243099406731398071e-01,9.295989916590091662e-01
7.991822939475524690e-01,7.667299051499161244e-01,8.954004855986276157e-01
1.325563361767404302e+00,7.749479826008291994e-01,9.618372048683812015e-01
1.233971941152616880e+00,8.539053969804287769e-01,9.357661098070476635e-01
8.052369966839951765e-01,7.648674193565985213e-01,8.233902250113541710e-01
7.910355499794436973e-01,7.633322702407679961e-01,8.960662279279113518e-01
1.559466467808707790e+00,9.506308253454149870e-01,8.753733112153706530e-01
8.213243730083814587e-01,8.890769756877228147e-01,8.303602129615198502e-01
9.105332374470543888e-01,6.824836306594571633e-01,9.364165533846973144e-01
9.359915052063915164e-01,8.266351480073074187e-01,8.926549013467540705e-01
6.804494589993314024e-01,7.804539490731320361e-01,9.182428261019403015e-01
1.384680006484971360e+00,9.246180857007144649e-01,9.053130807735212393e-01
9.871540940716542201e-01,8.472083568468451453e-01,9.258865576722640212e-01
1.173889619593718958e+00,8.738102096250222051e-01,9.760592858097992819e-01
7.799254034120102208e-01,7.777371362821806633e-01,9.228405863757120908e-01
6.311103126265781293e-01,6.711220558595624164e-01,9.174842353248785498e-01
5.715184438807306977e-01,6.867803692080640676e-01,8.335947268796057852e-01
8.328739175744044321e-01,8.134932909903580533e-01,7.865060259682915556e-01
6.946460668976786046e-01,6.764137827621855559e-01,8.337912162097492752e-01
7.837334439263905494e-01,7.599568731964184698e-01,8.912684298742304945e-01
4.781021401512056679e-01,7.548872627404256130e-01,7.325594755408075809e-01
7.529586027164395512e-01,7.165179232002409915e-01,8.303969337967137543e-01
4.953786184639679679e-01,6.882166102963496179e-01,6.926765816312890900e-01
6.622895059249556127e-01,7.054158994366251934e-01,6.715991729658254972e-01
8.012859571003818626e-01,7.439749308344547618e-01,7.338001771931235151e-01
1.391140934197876433e+00,7.745336884286525558e-01,8.587257023454174520e-01
8.329085675339774619e-01,7.865638094292464189e-01,7.963326645646446877e-01
5.035310474232990163e-01,6.692790470070344444e-01,8.977465680114062874e-01
4.960055272458489539e-01,7.546580508752182004e-01,7.434442284561679770e-01
8.031603503368796027e-01,7.575314336970201401e-01,7.799662566139449194e-01
4.925982761213324457e-01,7.770640619317416009e-01,7.718315525832399882e-01
5.955318629916513951e-01,7.816104544366158091e-01,7.322625690842711199e-01
3.185634978903933434e-01,6.962940048297948659e-01,6.552821655362538467e-01
2.647677537099881739e-01,6.679937165147562528e-01,6.296336345043614946e-01
2.956778561186866883e-01,6.689436748084622852e-01,6.304163628506748163e-01
2.750580567396965215e-01,6.722848282083868643e-01,6.331653597371396103e-01
2.812231461260101817e-01,6.739258723954609787e-01,6.345132805827995437e-01
2.578075099347040822e-01,6.623032835212531166e-01,6.249345086726943999e-01
2.511926901870398798e-01,6.483320594434445194e-01,6.133222602213000973e-01
2.403933286496913457e-01,6.452484484462271963e-01,6.107451627668172289e-01
2.504234429611206236e-01,6.395168658122639682e-01,6.059416548204926700e-01
2.366112506149757322e-01,6.350050317042846837e-01,6.021482390250809669e-01
2.512877146094159575e-01,6.477306738997767876e-01,6.128200559454103358e-01
2.603984867144649717e-01,6.366975878683015511e-01,6.035725377638686551e-01
1.786851179689299962e-01,6.010836700843174008e-01,5.732947503648155863e-01
1.543261850589190132e-01,5.831952530786594924e-01,5.578502131058827862e-01
1.310288394239651766e-01,5.625728092568119676e-01,5.398582924765290558e-01
1.135093202401047247e-01,5.509813961098353197e-01,5.296604752454648901e-01
1.051371238733445762e-01,5.215484174003610640e-01,5.035027481771533475e-01
9.733810461257665081e-02,5.075152633781595535e-01,4.909031899674531352e-01
1.016491788871338453e-01,5.055395837704421691e-01,4.891229190447545783e-01
9.631733870132669351e-02,4.889568532440990989e-01,4.741193263977779293e-01
9.103839361325660740e-02,4.779369344659497587e-01,4.640898244135701622e-01
1.049355789083403073e-01,4.791065923113000391e-01,4.651565489502519912e-01
9.266483168999110898e-02,4.792813939215400665e-01,4.653159231692484132e-01
8.975920717020571815e-02,4.663107913878418720e-01,4.534590280981127819e-01
1.091875224541169476e-01,4.693427475389601033e-01,4.562362404349759593e-01
9.073724934728646940e-02,4.541052695057634647e-01,4.422451698244290741e-01
7.208008103297955382e-02,4.443685517990072498e-01,4.332614225530899144e-01
6.744062550191527727e-02,4.428329023938492592e-01,4.318414997519083864e-01
8.570713250499828462e-02,4.437320514275918670e-01,4.326729882067095190e-01
7.632277099602359505e-02,4.468047974758307395e-01,4.355123889742472665e-01
4.738707264706069899e-02,4.308996405394859841e-01,4.207799249124707375e-01
5.269110109609954906e-02,4.236702064985798377e-01,4.140551902025220721e-01
4.392414894791703966e-02,4.210246366729838985e-01,4.115899818428169765e-01
5.701883139178681031e-02,4.359003596813764703e-01,4.254212698142390003e-01
4.508414269242771305e-02,4.170005104547436225e-01,4.078358035107396695e-01
4.397070229761727844e-02,4.153728411956498778e-01,4.063158259223367264e-01
4.421060040432238381e-02,4.238333089018814781e-01,4.142070976368860125e-01
3.879951430483458835e-02,4.112558711492155239e-01,4.024674330332737027e-01
3.462130690044939313e-02,3.993493888061712127e-01,3.913073880922781078e-01
4.760357926171855658e-02,4.078758715621959574e-01,3.993038785210538122e-01
3.398378820472287842e-02,3.788039810871814406e-01,3.719474893704643459e-01
2.883086323044520283e-02,3.550095298562236934e-01,3.493719576043161079e-01
2.977538316685360287e-02,3.581103864313684437e-01,3.523229753708288503e-01
2.966056659676337415e-02,3.526020155795850930e-01,3.470789639531618453e-01
2.532455239010518097e-02,3.406547170499422683e-01,3.356769113676169036e-01
3.226886069597270645e-02,3.394913516330559933e-01,3.345646199632950624e-01
2.738001315353539786e-02,3.353636746359956455e-01,3.306153155019921908e-01
2.234176158727265576e-02,3.331374106884771868e-01,3.284834313116619109e-01
2.554848815848437260e-02,3.307475795791129380e-01,3.261935034605766837e-01
2.510042838301711210e-02,3.490755899337358303e-01,3.437174454764489462e-01
3.232469057340883745e-02,3.258128152132602762e-01,3.214604534454985063e-01
2.308765425202851870e-02,3.314270428686861836e-01,3.268447108195732809e-01
2.334766429907668417e-02,3.293838518950163441e-01,3.248861338482380567e-01
2.475272935373051819e-02,3.340939938362961770e-01,3.293996171405214612e-01
2.430471059771276490e-02,3.245774612739242837e-01,3.202746398174898812e-01
2.717461325948567277e-02,3.417328300708234456e-01,3.367073767466195466e-01
2.351405646661595267e-02,3.272757174744126418e-01,3.228641968549201269e-01
2.195950467773117448e-02,3.282927607426873173e-01,3.238397950260898384e-01
2.291088516673266476e-02,3.319448990088866291e-01,3.273409527053434687e-01
2.205417094296406935e-02,3.280718422355537456e-01,3.236279011985434551e-01
2.194115586710402091e-02,3.301020939972810209e-01,3.255747522558087304e-01
2.192314509550979951e-02,3.295428381901315817e-01,3.250385740465892015e-01
2.146204079492185918e-02,3.269500650240480533e-01,3.225517599930463608e-01
2.135943849081473750e-02,3.272189551431198273e-01,3.228097399611257190e-01
2.123668750475087019e-02,3.254881351460410799e-01,3.211488306231725098e-01
2.115587074704885356e-02,3.245216269907720275e-01,3.202210356231388610e-01
2.125519818630530050e-02,3.255249741094789484e-01,3.211841894050909141e-01
2.136199161523473153e-02,3.255930429087768307e-01,3.212495223233413633e-01
2.098086002091692492e-02,3.235345069087317560e-01,3.192732143239308540e-01
2.067756177687284092e-02,3.207508681183158794e-01,3.165990969925107645e-01
2.072376535573518599e-02,3.205587618443609954e-01,3.164144786115684060e-01
2.081448459024601294e-02,3.215642718870629913e-01,3.173806954049284146e-01
2.027109699109830299e-02,3.176844286237416881e-01,3.136511010906263275e-01
2.005656474521887861e-02,3.154681124072670206e-01,3.115189655216769049e-01
1.967657266506563085e-02,3.114725087868576159e-01,3.076721309639422475e-01
1.947202584442411788e-02,3.088371161659198560e-01,3.051327757667929852e-01
1.973730296401310369e-02,3.099542201316637935e-01,3.062093721678124658e-01
1.957225825692261029e-02,3.091221485296567484e-01,3.054075005774633533e-01
1.914688358056552964e-02,3.052652499802073760e-01,3.016884560731459275e-01
1.875940571159264575e-02,3.013810353224342098e-01,2.979395613665699050e-01
1.871353670106219377e-02,3.016978707427250272e-01,2.982454895835152664e-01
1.847999084881277176e-02,2.979725193843998921e-01,2.946469274224604029e-01
1.834191363757824850e-02,2.951278891296783558e-01,2.918969817119626553e-01
1.804732406333006689e-02,2.914067860820857003e-01,2.882969855960654249e-01
1.780919750475572910e-02,2.878560779531098013e-01,2.848589655351242977e-01
1.771068681090379529e-02,2.851152950258808993e-01,2.822032701838568247e-01
1.781772116900365993e-02,2.843114787743041272e-01,2.814240977688349243e-01
1.772525205409673094e-02,2.854092542778365327e-01,2.824881819948490969e-01
1.737205805798952910e-02,2.811892276597772189e-01,2.783962446543163938e-01
1.717734287254699121e-02,2.780070227153560447e-01,2.753080994570194506e-01
1.708935363951613606e-02,2.778877507070740549e-01,2.751923110107628578e-01
1.708556252254345847e-02,2.769176902490063652e-01,2.742504711735884726e-01
1.700243387462450906e-02,2.764139532441087233e-01,2.737613102924535968e-01
1.694176852089588833e-02,2.753462951610234910e-01,2.727243693375914213e-01
1.701846856190468438e-02,2.748379255210836036e-01,2.722305416600784289e-01
1.711980590457158613e-02,2.756734443206582674e-01,2.730421316921023411e-01
1.654099782239035893e-02,2.716404731039727682e-01,2.691233160184679507e-01
1.625172190086569476e-02,2.674075889637503867e-01,2.650066270068867635e-01
1.613681897336873700e-02,2.654386869823201489e-01,2.630905258579724904e-01
1.600548510568246263e-02,2.627101768291582595e-01,2.604338936536078064e-01
1.580505221380978931e-02,2.581388430801372924e-01,2.559796562892969196e-01
1.575581176776263276e-02,2.566532278579093940e-01,2.545312086614194835e-01
1.592337846001903173e-02,2.561131325496489586e-01,2.540045187247861325e-01
1.570816559214241459e-02,2.559176498321886761e-01,2.538138739542672995e-01
1.585761984801905417e-02,2.557329242721216866e-01,2.536337132812808148e-01
1.570588263561185569e-02,2.557259783671467224e-01,2.536269388921186252e-01
1.539784587703094468e-02,2.522244361959362635e-01,2.502106717449744111e-01
1.534804274991181591e-02,2.503300277501214199e-01,2.483614168700515601e-01
1.542941621967123915e-02,2.501893529503986802e-01,2.482240677831790976e-01
1.533109850954202102e-02,2.506549955528283302e-01,2.486786876658911849e-01
1.515976763870612205e-02,2.474795233597566757e-01,2.455775699195160700e-01
1.493873215921518761e-02,2.450668809285415362e-01,2.432201513232045142e-01
1.487377603479758670e-02,2.437383969158773700e-01,2.419216122039559991e-01
1.468104668027407460e-02,2.399310496351520217e-01,2.381982815601101644e-01
1.465584724498164571e-02,2.372030385152005261e-01,2.355288432566473300e-01
1.471329441991563874e-02,2.368186376287185479e-01,2.351525877461114189e-01
1.459676447855583897e-02,2.367442539108446098e-01,2.350797771360168820e-01
1.430335401293211448e-02,2.328064020053147998e-01,2.312237936939780525e-01
1.418692744025995198e-02,2.315361602519206419e-01,2.299793739839937068e-01
1.423006134581277990e-02,2.303424843006987854e-01,2.288097053245130852e-01
1.425279779899370908e-02,2.329021302956944262e-01,2.313175644500509442e-01
1.404791398443586484e-02,2.285293953281749835e-01,2.270326055832695977e-01
1.406875169655116137e-02,2.276999522568673995e-01,2.262194365021074349e-01
1.402803283105742010e-02,2.283240615191705347e-01,2.268313115884492415e-01
1.392983815672661080e-02,2.253373719166853750e-01,2.239025613905411549e-01
1.386381933879273116e-02,2.229704651109311597e-01,2.215804874432827642e-01
1.375036472964044285e-02,2.209602131461167462e-01,2.196075688839966289e-01
1.380792137925672403e-02,2.190854555770809509e-01,2.177670185324568075e-01
1.382359369837708740e-02,2.221521569480008895e-01,2.207774585501872944e-01
1.364896466860713448e-02,2.186500184868309660e-01,2.173394428491940977e-01
1.361292318913542854e-02,2.174287797609573136e-01,2.161400850815313190e-01
1.351065133352885757e-02,2.150402144562804096e-01,2.137936070107327169e-01
1.344977512607549962e-02,2.134192715121464579e-01,2.122006957171954922e-01
1.357057419033831647e-02,2.141296273373283487e-01,2.128988195185143872e-01
1.348419088394328495e-02,2.138536396757409197e-01,2.126275939506436508e-01
1.334817383206681959e-02,2.106559147684394506e-01,2.094841497145344122e-01
1.332295624539948931e-02,2.064596109975466165e-01,2.053566072666245523e-01
1.342592416288210244e-02,2.067563386279114013e-01,2.056485637278769318e-01
1.339059253255871391e-02,2.070153133313251403e-01,2.059033630444861984e-01
1.325411432030002522e-02,2.036689023187461256e-01,2.026101008832387196e-01
