cost,L2,trace
2.203017206742554190e+00,6.382642143604363438e-01,9.999862162603827542e-01
1.872283444535913777e+00,6.035157901081605880e-01,9.982775296772453677e-01
1.981312725475497416e+00,7.708602220738624000e-01,9.950150609899226506e-01
2.296640475949456750e+00,7.980515875033827866e-01,9.883461157031588895e-01
1.870742840546740560e+00,6.160755227527122679e-01,9.984013033820622329e-01
1.931260953745004283e+00,5.858512749275426312e-01,9.980970247449318933e-01
1.880682896906340718e+00,5.978435384495860427e-01,9.998796939802195860e-01
1.407304858239623258e+00,5.374067736359303682e-01,9.995757492631900387e-01
1.896906420218594791e+00,5.675488995380233437e-01,9.999852445432064751e-01
1.287418988082411619e+00,5.494731298714858880e-01,9.569183877376961078e-01
1.209889112777747799e+00,5.540281111811765635e-01,8.897905761829340010e-01
1.948590302587777545e+00,7.530142358618284737e-01,9.475063595480754941e-01
8.865164669477852977e-01,6.449091029534318453e-01,9.003990765410406771e-01
1.403027572340503903e+00,7.271091015926220980e-01,9.390490798453748900e-01
9.063911197473641934e-01,6.706171377959535551e-01,9.981248848909739513e-01
8.787588271854519517e-01,6.124606164717141255e-01,8.786257998831507043e-01
9.664451254132760960e-01,7.272220095781821714e-01,8.816329478805560171e-01
9.256302317498367183e-01,6.090868803805176146e-01,8.951784892673253502e-01
1.026583561239077458e+00,6.820967076589611322e-01,9.374321046697537962e-01
1.234960749899703725e+00,7.649107821504388394e-01,9.296218588280543704e-01
7.249463012153156694e-01,6.536089726032472402e-01,8.368070841098328438e-01
6.159833722466458994e-01,6.067218935445898298e-01,7.725143501960289871e-01
7.106016467512048518e-01,6.124588106357711226e-01,7.699364984090312225e-01
5.311263454576297116e-01,5.726108013124970864e-01,6.366230027835215743e-01
5.321824940025801087e-01,4.465643088497752711e-01,6.105838808229131498e-01
5.187050258085730281e-01,5.567640875745227813e-01,6.248487531641258030e-01
1.149506658561043615e+00,6.456342974553151981e-01,8.121337481373139822e-01
5.591533565297445163e-01,5.219927237295869382e-01,6.785354818270452615e-01
1.128867256728620205e+00,5.892770979234740469e-01,7.622294051950854188e-01
4.576222936868830637e-01,5.459927164628848306e-01,6.178581255305811704e-01
1.150556616554954559e+00,6.532537321605187408e-01,7.298730223505743853e-01
4.688705762648359698e-01,5.121311242156515453e-01,6.330230858280863071e-01
5.478192783798826460e-01,4.481761827819404909e-01,5.536160125063628312e-01
6.130863677964014657e-01,5.451042472451675946e-01,6.493915472865657845e-01
6.744523287969057534e-01,5.413300383185057907e-01,7.011254973892592224e-01
4.626192107094397321e-01,5.352856653131394804e-01,7.385351520860469199e-01
4.352060644194228889e-01,5.142799374494992914e-01,5.762672230118077721e-01
5.064314556769843323e-01,4.959378441006029870e-01,5.710200080360623431e-01
4.368708994696898773e-01,5.122209613812155338e-01,5.712059010456115304e-01
4.529412358961031337e-01,5.310671343976597347e-01,5.810846295313262244e-01
4.274128388979749338e-01,5.102594851090531680e-01,5.732344483046917238e-01
4.059359050255994528e-01,5.163629740518879130e-01,5.631128359008760187e-01
4.040273793500158694e-01,5.082147465990395352e-01,5.600100455334044991e-01
4.181588707179166864e-01,5.238116268601437087e-01,5.652443394974080437e-01
4.037603951794315194e-01,5.119509776227150200e-01,5.630308304020384957e-01
3.901696783027072124e-01,5.062155526704107400e-01,5.544304022564688905e-01
3.952614326932116784e-01,5.144899651836933874e-01,5.506702398372644858e-01
3.850987723614857083e-01,5.296054301365815675e-01,5.500515759115524039e-01
3.901364212443532153e-01,5.489201390009927906e-01,5.637010390459619158e-01
3.773698605945746132e-01,5.238504514792633460e-01,5.431013040158473304e-01
3.751464725487658747e-01,4.994559568406518046e-01,5.235658505538457463e-01
3.898216578614431826e-01,5.347302243682053868e-01,5.526460700237368906e-01
3.504220199123300183e-01,4.997860873779936819e-01,5.137803037934719486e-01
3.436045394443646428e-01,4.950564347655158071e-01,5.096235804479753995e-01
3.471463327670800680e-01,5.030929275013537039e-01,5.096704193101442293e-01
3.435432099853542587e-01,4.941492872762732746e-01,5.077658399816527002e-01
3.348719911643956992e-01,4.746511332941673045e-01,4.880714964553163893e-01
3.415353339232092278e-01,4.767608870373751806e-01,4.787372587297256676e-01
3.421782650407051429e-01,4.754138552982698496e-01,4.881840829287014127e-01
3.285530269836220429e-01,4.559123482013772710e-01,4.775871294513371890e-01
3.412916849284505227e-01,4.731665932903925120e-01,4.901483189021273446e-01
3.257803035244898338e-01,4.533520533954776832e-01,4.650747471402988387e-01
3.468208258941475330e-01,4.552160337549622238e-01,4.921846076301064632e-01
3.226563774195814194e-01,4.569328572233058994e-01,4.658348267871411097e-01
3.003464361966033946e-01,4.389568654114756607e-01,4.373807318218113083e-01
2.846860240817822296e-01,4.116406218434244257e-01,4.028273144216757973e-01
2.710811450209067441e-01,3.793657733853573188e-01,3.724785420263181934e-01
2.806882044764411610e-01,3.865423123083696066e-01,3.792542045860076150e-01
2.704690144420647258e-01,3.827977897961541420e-01,3.757207523542142602e-01
2.670340701381475057e-01,3.550522122064563857e-01,3.494125953735529033e-01
2.728492527989194172e-01,3.778894732246608212e-01,3.710828230465751387e-01
2.790934894124437182e-01,3.849927127734660282e-01,3.777924590010235395e-01
2.688913729922207119e-01,3.787325678793306283e-01,3.718799770598198440e-01
2.573752926056982471e-01,3.468829736819911136e-01,3.416256763210934744e-01
2.605268751496076507e-01,3.386194474170849400e-01,3.337307624628136904e-01
2.573177409428054618e-01,3.452498237146364168e-01,3.400668071176031759e-01
2.622269475411331818e-01,3.460684044757266764e-01,3.408482450297665167e-01
2.624525724143647043e-01,3.569342660069095285e-01,3.512039982316562670e-01
2.529420716940226077e-01,3.317882656558540089e-01,3.271908641119555816e-01
2.553152589524794180e-01,3.265148080827907640e-01,3.221341250648432908e-01
2.511391609922561385e-01,3.344019192161791776e-01,3.296944886524023066e-01
2.477124784152347770e-01,3.147918259574173372e-01,3.108681291930119328e-01
2.487573515568586857e-01,3.096697333077526593e-01,3.059352292394084127e-01
2.508440688334865332e-01,3.157377057757909111e-01,3.117783827134771313e-01
2.577871003402624206e-01,3.197850784456933160e-01,3.156708600016897570e-01
2.431703584821183206e-01,3.119698401399095822e-01,3.081511535514890321e-01
2.414379096653997414e-01,3.053318319821124449e-01,3.017526878835481430e-01
2.302961233031796118e-01,3.012932508400783527e-01,2.978547948116989641e-01
2.291624802774985814e-01,2.945729721558488223e-01,2.913603221211116256e-01
2.359349044338743540e-01,3.168121799242840098e-01,3.128121245473837742e-01
2.259470071292441207e-01,2.916476183720295157e-01,2.885300734517033949e-01
2.218756630412548336e-01,2.765475639004457697e-01,2.738910600069913714e-01
2.192150398038374970e-01,2.682133606497678624e-01,2.657905627306862417e-01
2.265306159337319714e-01,2.765462925421974805e-01,2.738898254048596770e-01
2.210168994320816649e-01,2.759120486623766744e-01,2.732738756430214688e-01
2.252613766720759636e-01,2.834115776589125058e-01,2.805516200565723595e-01
2.136604086296867711e-01,2.600504187258676492e-01,2.578427696527025859e-01
2.152404336954699127e-01,2.618890628725240588e-01,2.596341184734047292e-01
2.186047298227141444e-01,2.678054720740619676e-01,2.653937442542650960e-01
2.258599331082011830e-01,2.771899610455120233e-01,2.745148412559100803e-01
2.129580469273408549e-01,2.594454251993908445e-01,2.572531918597225631e-01
2.137603957540603061e-01,2.409044118110881261e-01,2.391504175025636614e-01
2.041115135522711399e-01,2.328985035387840796e-01,2.313140118856844840e-01
2.147965139634799570e-01,2.432628510878574457e-01,2.414567059936603699e-01
2.086210019023654327e-01,2.426513520711369165e-01,2.408588269549550021e-01
1.999979139583609733e-01,2.225407356938274295e-01,2.211587959210474796e-01
2.062024637889180445e-01,2.508062991618309479e-01,2.488264007196637206e-01
2.025760523766488297e-01,2.234573884062919513e-01,2.220582653429362674e-01
2.008080758001271060e-01,2.008058005900270060e-01,1.997911011087759037e-01
1.968412441080502617e-01,2.186454089080890062e-01,2.173349163239486070e-01
1.995050771073964557e-01,2.193748061615424239e-01,2.180511277640185819e-01
1.970690726935196979e-01,2.212431058278230001e-01,2.198852488745306477e-01
1.948980956399997966e-01,2.239054250867551221e-01,2.224978515263176526e-01
1.991445718840817447e-01,2.299496045136848743e-01,2.284246726524641613e-01
2.017471981696334349e-01,2.295240845332428004e-01,2.280076213565379317e-01
1.971127370913234034e-01,2.228971600465870229e-01,2.215085557229666269e-01
2.012767152359118961e-01,2.113411400388640893e-01,2.101578815712387416e-01
1.959104362622302586e-01,2.159412733726431277e-01,2.146788987058992904e-01
2.015293694268496805e-01,2.249053485566429589e-01,2.234787923094875284e-01
1.966918137832203151e-01,2.143869576525047338e-01,2.131516985412114096e-01
1.985257019279746127e-01,2.200800404853825165e-01,2.187435290099710161e-01
