cost,L2,trace
2.203017206742554190e+00,6.382642143604363438e-01,9.999862162603827542e-01
1.872283444535913777e+00,6.035157901081605880e-01,9.982775296772453677e-01
1.981312725475497416e+00,7.708602220738624000e-01,9.950150609899226506e-01
2.296640475949456750e+00,7.980515875033827866e-01,9.883461157031588895e-01
1.870742840546740560e+00,6.160755227527122679e-01,9.984013033820622329e-01
1.931260953745004283e+00,5.858512749275426312e-01,9.980970247449318933e-01
1.880682896906340718e+00,5.978435384495860427e-01,9.998796939802195860e-01
1.407304858239623258e+00,5.374067736359303682e-01,9.995757492631900387e-01
1.896906420218594791e+00,5.675488995380233437e-01,9.999852445432064751e-01
1.287418988082411619e+00,5.494731298714858880e-01,9.569183877376961078e-01
1.209889112777747799e+00,5.540281111811765635e-01,8.897905761829340010e-01
1.948590302587777545e+00,7.530142358618284737e-01,9.475063595480754941e-01
8.865164669477852977e-01,6.449091029534318453e-01,9.003990765410406771e-01
1.403027572340503903e+00,7.271091015926220980e-01,9.390490798453748900e-01
9.063911197473641934e-01,6.706171377959535551e-01,9.981248848909739513e-01
8.787588271854519517e-01,6.124606164717141255e-01,8.786257998831507043e-01
9.863103925571299335e-01,6.998269148585674060e-01,8.585042593140437273e-01
9.258088704580513806e-01,5.972225213516632047e-01,8.746594754701578767e-01
1.031195342782593283e+00,6.814049306026942476e-01,9.285317983579274292e-01
1.234710830209984067e+00,7.473001892315350725e-01,9.137065795909943278e-01
7.123470661916931901e-01,5.947243579024967808e-01,7.636501344015417247e-01
8.428751816406587771e-01,6.642582242078739485e-01,7.706899443286762130e-01
9.705235833689618286e-01,6.718499109898538046e-01,7.930729485399562462e-01
4.183913527651647590e-01,4.570830915790017879e-01,6.226769231775854951e-01
6.828999024668727102e-01,4.253739585374409771e-01,6.364801453719840518e-01
3.922740292367461468e-01,5.629733734630041342e-01,5.501094622892558350e-01
7.839630620069132361e-01,5.514871891022794514e-01,8.488693795951381960e-01
3.749805968520593114e-01,5.306248868333269808e-01,5.116086122126829450e-01
1.297008248468989766e+00,5.179204624725290973e-01,7.201286812786001912e-01
3.845779904103318048e-01,5.389101386314943953e-01,5.851106097309740628e-01
5.898641349365827402e-01,5.206300782603923150e-01,5.174422987343818559e-01
5.030710408185177229e-01,6.468993553641139149e-01,6.368700262499428222e-01
6.904594352783757216e-01,5.835529735764231063e-01,5.740257324581733434e-01
4.438932917251789956e-01,5.809561793535205076e-01,6.453582473605263825e-01
4.583331401116680914e-01,4.752603895652958155e-01,4.616468870686676884e-01
4.523027702154489016e-01,5.354951014878460702e-01,5.180937425599210222e-01
4.021764366305800587e-01,5.434776888464531996e-01,5.230831152165530407e-01
4.517607988535493613e-01,5.053828972346532389e-01,5.006918058557578988e-01
3.643700626983428781e-01,5.253662092131973216e-01,5.072393263953024478e-01
3.546660259750967770e-01,5.122387214323578242e-01,4.994938232194266470e-01
3.649904162297185617e-01,5.337004181661603175e-01,5.225227925505204762e-01
3.452976840616733267e-01,5.139121779716440130e-01,5.011270759550441323e-01
3.315468092332436445e-01,5.183087307723610593e-01,5.022982155274496874e-01
3.215287877703336683e-01,5.090534291605096628e-01,4.922881327717212319e-01
3.008406067860381894e-01,4.808566663116313755e-01,4.667516461307287257e-01
3.002444809467755826e-01,4.742778783775104534e-01,4.607494553307513452e-01
3.116281221526949197e-01,4.980702098899241759e-01,4.826757838799007327e-01
2.829002123805643976e-01,4.537301407067459991e-01,4.418996710202408029e-01
2.760532134465732979e-01,4.325723687586148780e-01,4.223333846772021616e-01
2.857192722584049327e-01,4.425825448195323530e-01,4.316099316019236243e-01
2.758308441678135603e-01,4.315779283680562517e-01,4.214099632788298466e-01
2.809229473834593538e-01,4.403188090973902957e-01,4.295151064636683058e-01
2.759127453445542888e-01,4.203413208394912171e-01,4.109528773279840785e-01
2.602657785952948721e-01,4.083223601297950589e-01,3.997219835877953154e-01
2.539475023172348411e-01,3.863885396333618938e-01,3.791091820642863985e-01
2.392512957558520781e-01,3.517729524116476325e-01,3.462889727789218441e-01
2.318334001740016137e-01,3.208522663043045786e-01,3.166965392352034669e-01
2.327144290371401247e-01,3.050593940680257909e-01,3.014898598543200858e-01
2.278991807155986427e-01,3.169607061394895120e-01,3.129549982504144512e-01
2.213898404475064807e-01,2.916972559691802802e-01,2.885781132495198742e-01
2.173477292441906294e-01,2.892831415723600141e-01,2.862410736393557475e-01
2.244283003639832019e-01,3.063585234137967683e-01,3.027430082473442363e-01
2.199464776426886536e-01,2.864278915105477052e-01,2.834753220260556872e-01
2.189063674014365413e-01,2.864168199214262578e-01,2.834645939982872731e-01
2.176353406979630589e-01,2.719456992464537315e-01,2.694200209277625713e-01
2.296994582701902821e-01,2.701072609351398701e-01,2.676326165371153420e-01
2.191173513976011900e-01,2.731540510853973092e-01,2.705944486171857899e-01
2.207033763120442860e-01,2.625752282406902394e-01,2.603024612986649666e-01
2.189224557768918999e-01,2.764402441125527465e-01,2.737868417319985204e-01
2.131897477220890402e-01,2.538689066422960550e-01,2.518153882678010325e-01
2.169851035955892293e-01,2.489714279580395317e-01,2.470347788583543980e-01
2.119484576895490635e-01,2.558347182181628376e-01,2.537329925445285794e-01
2.157957307038651518e-01,2.577108103539730855e-01,2.555623765486806920e-01
2.130038834910417400e-01,2.563501893692605171e-01,2.542356987063270624e-01
2.262846309027740921e-01,2.912432431933164034e-01,2.881386943911644072e-01
2.199223902334121461e-01,2.714200728159454346e-01,2.689090568277683890e-01
2.072549522349133588e-01,2.321661689713623578e-01,2.305966111212822967e-01
2.064027426502150209e-01,2.268797884381038854e-01,2.254152478194977882e-01
2.126853951065755532e-01,2.335291086162400720e-01,2.319316817196922231e-01
2.041228823698953976e-01,2.305716449896114129e-01,2.290342764649043739e-01
1.973616690354327574e-01,2.146819965597874802e-01,2.134416206440566122e-01
2.021208452862370275e-01,2.250624863196151182e-01,2.236329314687960923e-01
1.973853507320681711e-01,2.184856331566285004e-01,2.171780171717261898e-01
1.941961629982513204e-01,2.211284769067929090e-01,2.197727337666088299e-01
2.000405461579276012e-01,2.159340389538381699e-01,2.146717914069303512e-01
2.032640853801951919e-01,2.327882345758837956e-01,2.312059975850135618e-01
1.987153752953208508e-01,2.250416867911836927e-01,2.236125290921454345e-01
1.906933608580901329e-01,1.887323299918533814e-01,1.878901226802226765e-01
1.991092177709111177e-01,2.094354583426916439e-01,2.082839789488704074e-01
2.117180814550331525e-01,2.437723578971620619e-01,2.419548117592636716e-01
1.975923726347993403e-01,2.108255392405528339e-01,2.096509360262383270e-01
1.953892725405090292e-01,2.104860599505468666e-01,2.093171323135143702e-01
1.884536984787710256e-01,2.067769238186469571e-01,2.056688174126217183e-01
1.941003563199086290e-01,2.333262708390296258e-01,2.317330123152368526e-01
1.934041516765522273e-01,2.145882097807716438e-01,2.133494619249132196e-01
1.904574823899520819e-01,1.992075703953780919e-01,1.982169467084175518e-01
1.937487598173264769e-01,2.136018813924509541e-01,2.123801689313492003e-01
1.835054952324271516e-01,2.149880585112198261e-01,2.137423596652768820e-01
1.861357087723899961e-01,2.025170681113483140e-01,2.014761598654651042e-01
1.901930495256856646e-01,2.253114795443756646e-01,2.238771646178322750e-01
1.849564186598713356e-01,2.041056153905280168e-01,2.030399764435847909e-01
1.873476755316720033e-01,2.108852218732236994e-01,2.097096189558556312e-01
1.847148823579314314e-01,1.954493688327800516e-01,1.945138480204869347e-01
1.850685599428407713e-01,1.816699510620432001e-01,1.809189199378588853e-01
1.802601377352363032e-01,1.849087193469616530e-01,1.841167411224097217e-01
1.949979692943908383e-01,2.072955020324812880e-01,2.061790224968716445e-01
1.815622698438369154e-01,1.970523221410679093e-01,1.960935563940294224e-01
1.866268698304281159e-01,2.016246633054685766e-01,2.005974783374327997e-01
1.827873005791242622e-01,1.845102442081044403e-01,1.837233823424962997e-01
1.830091464523967981e-01,1.965894545375616309e-01,1.956374401544854202e-01
1.729047881293168110e-01,1.774069679830453661e-01,1.767076433017517045e-01
1.727945875482355675e-01,1.787881480192585748e-01,1.780723401864365285e-01
1.753424299861598423e-01,1.747067313456510118e-01,1.740388953981667208e-01
1.750766498189590403e-01,1.601299024916011116e-01,1.596158292370373766e-01
1.730224346549523173e-01,1.766393735106472351e-01,1.759490988002420098e-01
1.771467484314125929e-01,1.732563528695608701e-01,1.726050325848830502e-01
1.721997201742153094e-01,1.877459885951857921e-01,1.869169362429360104e-01
1.779658665629762493e-01,1.874314203156436098e-01,1.866065343400765686e-01
1.718603509497531046e-01,1.671232583299589736e-01,1.665387633182980887e-01
1.747787040773752798e-01,1.879447569104370774e-01,1.871130646870251268e-01
1.713940959931243291e-01,1.803137916584202360e-01,1.795794772191711686e-01
