cost,L2,trace
2.203017206742554190e+00,6.382642143604363438e-01,9.999862162603827542e-01
1.872283444535913777e+00,6.035157901081605880e-01,9.982775296772453677e-01
1.981312725475497416e+00,7.708602220738624000e-01,9.950150609899226506e-01
2.296640475949456750e+00,7.980515875033827866e-01,9.883461157031588895e-01
1.870742840546740560e+00,6.160755227527122679e-01,9.984013033820622329e-01
1.931260953745004283e+00,5.858512749275426312e-01,9.980970247449318933e-01
1.880682896906340718e+00,5.978435384495860427e-01,9.998796939802195860e-01
1.407304858239623258e+00,5.374067736359303682e-01,9.995757492631900387e-01
1.896906420218594791e+00,5.675488995380233437e-01,9.999852445432064751e-01
1.287418988082411619e+00,5.494731298714858880e-01,9.569183877376961078e-01
1.209889112777747799e+00,5.540281111811765635e-01,8.897905761829340010e-01
1.948590302587777545e+00,7.530142358618284737e-01,9.475063595480754941e-01
8.865164669477852977e-01,6.449091029534318453e-01,9.003990765410406771e-01
1.403027572340503903e+00,7.271091015926220980e-01,9.390490798453748900e-01
9.063911197473641934e-01,6.706171377959535551e-01,9.981248848909739513e-01
8.787588271854519517e-01,6.124606164717141255e-01,8.786257998831507043e-01
9.883260593012825890e-01,7.006759575982103305e-01,8.574768701290507167e-01
9.219207168058505264e-01,5.970716890840067625e-01,8.742393584808330065e-01
1.028974790182203281e+00,6.785644580739138565e-01,9.275715698901999540e-01
1.234711230939997684e+00,7.472985506633534891e-01,9.137048455547657211e-01
7.126932783313151276e-01,5.943618552033800295e-01,7.634101549404300746e-01
8.417963817402669413e-01,6.627290286117561990e-01,7.696164339200771698e-01
9.700119995411341511e-01,6.711424019486063042e-01,7.924305067094278288e-01
4.162362074018284286e-01,4.555485650513910745e-01,6.220990334714324721e-01
6.872547181950917627e-01,4.282624291091651769e-01,6.389528468465204281e-01
3.899179784657707537e-01,5.615220918073278167e-01,5.484740287619614962e-01
7.799996259361340334e-01,5.463320410525083215e-01,8.487367412530472111e-01
3.718989567680279218e-01,5.296423689686300396e-01,5.107328319927676441e-01
1.304571967588321613e+00,5.188809487982543045e-01,7.219717657049435910e-01
3.819822187387060808e-01,5.387197088112778420e-01,5.847616528368688726e-01
5.804851178917915799e-01,5.172880155784627121e-01,5.158740033557588367e-01
4.996366279771393692e-01,6.453686145588071188e-01,6.368822278953922833e-01
6.859784512000446366e-01,5.805603736962366979e-01,5.719937166831638997e-01
4.428777538683085213e-01,5.779172090684622232e-01,6.458094255525362870e-01
4.587294197698500442e-01,4.775056434206702005e-01,4.636963581503306675e-01
4.445467583876916984e-01,5.319988083096941489e-01,5.150017235397487125e-01
3.995250520217707990e-01,5.430643864505241281e-01,5.227711292200338811e-01
4.500406884737734314e-01,5.042043890096592484e-01,4.995045487826105246e-01
3.620188436050064684e-01,5.244780827054860151e-01,5.066153556775004896e-01
3.520492181632904893e-01,5.107170581462897596e-01,4.984364525279710301e-01
3.607703310562365151e-01,5.314563371104898959e-01,5.207680716870938253e-01
3.432252398371714586e-01,5.126989361977863924e-01,5.003440656684839949e-01
3.300888796307259176e-01,5.159305888665403073e-01,5.004631771821695940e-01
3.193429680286830052e-01,5.054987090503971769e-01,4.890860705820323506e-01
3.004798977459705589e-01,4.769947713764592367e-01,4.632301997067793664e-01
2.953745055391849839e-01,4.551005743321564490e-01,4.431616163682172704e-01
2.848821781925215957e-01,4.486668665097686692e-01,4.372314462847452510e-01
2.866470378090413273e-01,4.393721520504663136e-01,4.286385612988976579e-01
2.951405043028645925e-01,4.657655077954000467e-01,4.529592008451430174e-01
2.705411295847819919e-01,4.179700124342607404e-01,4.087407517552575364e-01
2.633740110440224713e-01,4.108669287364294376e-01,4.021035827487242087e-01
2.758582913527795055e-01,4.193878794101447705e-01,4.100636598618469519e-01
2.608011844108732991e-01,4.090356258694907710e-01,4.003897753733200449e-01
2.565017778484549593e-01,3.957784082091350131e-01,3.879516504068983851e-01
2.595729113829077228e-01,3.950481415985351852e-01,3.872649177514714824e-01
2.543984632911030497e-01,3.889989423528676937e-01,3.815700828790800081e-01
2.624311014627419558e-01,3.831356110034485618e-01,3.760397024374118047e-01
2.542578369980036390e-01,3.901461646815360673e-01,3.826509533472093327e-01
2.411740933967748413e-01,3.637493165659791972e-01,3.576826042897122693e-01
2.244821260249649786e-01,3.194769670523043281e-01,3.153746807322826418e-01
2.286992386166202817e-01,3.296239042362400506e-01,3.251162998211866717e-01
2.226999459230490641e-01,3.165951790688398271e-01,3.126033725413483455e-01
2.161027916542110350e-01,2.989367105820501247e-01,2.955786079528260335e-01
2.185982392512327843e-01,2.966265504114959928e-01,2.933459880597831249e-01
2.175766190537717359e-01,3.022926431961748817e-01,2.988197241706246343e-01
2.161933583019055027e-01,2.774509484013094052e-01,2.747682406160496527e-01
2.137875918673835529e-01,3.000989075571549591e-01,2.967013355076094094e-01
2.070233911512312508e-01,2.689441925984342729e-01,2.665014748764554242e-01
2.086391712712409863e-01,2.648296614911701541e-01,2.624976739515424429e-01
2.065379537108581465e-01,2.623399891307969800e-01,2.600733429029155053e-01
2.078807122427767939e-01,2.534256340428411303e-01,2.513828827116839082e-01
2.086687213703525556e-01,2.760137676397985684e-01,2.733726663407808344e-01
2.042113189514473404e-01,2.453184599072034677e-01,2.434660226080148648e-01
2.003518307533810883e-01,2.385453441769254390e-01,2.368424968281065968e-01
2.013398935130954470e-01,2.355559491386292337e-01,2.339164687151160937e-01
2.044345033797356770e-01,2.423212591380256298e-01,2.405360575684503399e-01
2.013395091621493216e-01,2.478697580365263053e-01,2.459587698382089127e-01
2.019742346360932916e-01,2.373546154929970509e-01,2.356772010392807482e-01
2.043368786878681231e-01,2.344822916671180091e-01,2.328651788773254405e-01
2.032260873824431879e-01,2.444251932961839513e-01,2.425929686506375083e-01
2.012888207333424218e-01,2.323801808961257209e-01,2.308062686853654955e-01
2.106668190073914815e-01,2.548313789822236330e-01,2.527543516024892134e-01
1.923368540050647002e-01,2.103321819826453332e-01,2.091658209010858749e-01
1.854720620463251035e-01,1.746646347001630517e-01,1.739972820106898133e-01
1.921949239940675125e-01,1.653675973876312932e-01,1.648013509944906974e-01
1.839715139446322367e-01,1.736530223278802965e-01,1.729972125383115733e-01
1.847920515366291427e-01,1.748562542235851669e-01,1.741866999047110287e-01
1.860188536112271362e-01,1.821718181304684270e-01,1.814145368815592851e-01
1.888988099619830219e-01,1.665349306668517937e-01,1.659565939148421321e-01
1.859214403346975408e-01,1.867905605676205560e-01,1.859741192874197757e-01
1.861540603324149945e-01,1.728470869149351941e-01,1.722003771375346382e-01
1.829249032840805644e-01,1.713148105046403968e-01,1.706851686784257860e-01
1.887155611689720902e-01,1.881638392095527912e-01,1.873292308218866553e-01
1.857591005716168198e-01,1.816509063473815133e-01,1.809001117200715048e-01
1.832964197219671965e-01,1.741004305488130510e-01,1.734395322425231478e-01
1.822124552047254542e-01,1.701083484185497430e-01,1.694919315979021290e-01
1.819057442654879453e-01,1.482191707544744941e-01,1.478115834071247470e-01
1.842372204671587355e-01,1.543467308486433376e-01,1.538864208559570235e-01
1.877904660453545427e-01,1.562197257344773993e-01,1.557424365746697403e-01
1.848132079517785242e-01,1.438099710373302031e-01,1.434377169610229208e-01
1.837104986516766014e-01,1.580504178265252357e-01,1.575561337818813523e-01
1.763498595994965057e-01,1.469306353254333508e-01,1.465335953270173741e-01
1.831631873597649451e-01,1.623846821672284835e-01,1.618485613063158912e-01
1.754077232363467354e-01,1.540924024513274926e-01,1.536343664263167541e-01
1.723247407471985293e-01,1.362883251036800247e-01,1.359715208299015765e-01
1.702897176442421945e-01,1.586487264338657943e-01,1.581488017452243877e-01
1.771584332529498595e-01,1.665945063139017968e-01,1.660155479411843937e-01
1.738758979291748219e-01,1.619993955347433234e-01,1.614670859324243146e-01
1.742010279659073624e-01,1.787284500624679862e-01,1.780133599817362022e-01
1.706327520144119148e-01,1.654411770961871364e-01,1.648741736518585799e-01
1.714106619490484151e-01,1.512321440659239735e-01,1.507991674142924454e-01
1.678838144480474248e-01,1.538281327231846296e-01,1.533724515933455046e-01
1.703150364067835543e-01,1.583475889816240711e-01,1.578505086533084634e-01
1.695187184560897342e-01,1.485253427811533966e-01,1.481152220502419403e-01
1.694383468566755535e-01,1.637146834113578364e-01,1.631652662044151825e-01
1.694946549736222330e-01,1.588734654319540474e-01,1.583714109289139915e-01
1.726708401068647314e-01,1.679825696444310901e-01,1.673890014182991826e-01
1.698258535711453798e-01,1.644548267715724155e-01,1.638979156906806844e-01
1.733637112373770939e-01,1.439367011866846957e-01,1.435634612607239735e-01
1.735363438248982426e-01,1.613568331836414405e-01,1.608308394915625439e-01
1.670599292472620123e-01,1.499172709143081206e-01,1.494955002605581063e-01
