cost,L2,trace
1.768019834602490903e+00,7.586910666994801655e-01,9.158082826721606340e-01
1.362683382065666970e+00,8.510734490982386768e-01,8.688099051018667307e-01
1.404425399845572908e+00,8.805629226271930454e-01,8.960558679163126428e-01
1.497625478197256665e+00,8.629907395282303550e-01,8.935870905227285554e-01
1.352632401903886450e+00,8.973069747214158509e-01,8.961403365928826137e-01
1.400291377204492926e+00,7.963985286306071165e-01,9.343066412788713082e-01
1.380794123255371098e+00,8.341536775765991951e-01,8.955248544917395748e-01
1.354769496200429746e+00,8.494505831431202747e-01,9.147266014587347449e-01
1.668287095662395414e+00,8.331631899491138693e-01,9.609270589030974863e-01
1.430350837205111469e+00,7.867850324264427098e-01,8.772970732401879079e-01
1.521222755585249553e+00,8.250436146023787387e-01,8.578023383223474241e-01
1.538882459262999713e+00,8.756811071704413418e-01,9.198040350645457774e-01
1.816032851384972169e+00,8.568351457647460645e-01,9.064472200719951855e-01
2.022199120474652556e+00,9.161702229018705568e-01,9.698187840235348300e-01
1.386775159511957511e+00,8.354381624827484920e-01,8.226516976375390922e-01
1.383720003554716360e+00,1.044521548866156557e+00,9.485908800948804620e-01
2.221767019138214394e+00,8.130380028612202992e-01,9.421439287417272546e-01
1.621322066748297042e+00,8.417873770640084130e-01,9.061035275024560409e-01
1.374079883840009675e+00,8.801753838456362056e-01,9.447711111132325312e-01
1.453535188836440506e+00,8.656305069669952834e-01,8.974974735791068081e-01
1.394119424884082692e+00,8.178437575615304933e-01,8.511808015277001482e-01
9.478625905873238056e-01,7.846651218339701916e-01,8.789830896462241805e-01
9.635731743535824734e-01,8.212589967191366025e-01,8.213731122180999433e-01
9.616219126428843245e-01,7.853886727543208934e-01,8.943121342566756615e-01
1.015751814295596800e+00,7.935247667348023226e-01,8.880429976351270627e-01
9.865066315704146271e-01,7.863245618543129867e-01,8.882658826178125855e-01
9.311153964227134594e-01,7.803523765741924301e-01,8.803194729507283212e-01
9.298425481520857794e-01,7.686892752948665253e-01,8.782282112679528074e-01
9.331453471852603210e-01,7.640617405843379562e-01,8.857634836801920875e-01
9.410030836186017433e-01,7.681169060307586616e-01,8.780410856613675152e-01
8.774833626237954487e-01,7.572773620707836661e-01,8.761526897750372411e-01
8.537150728700794167e-01,7.429521873315505509e-01,8.760527605394230477e-01
8.512354969312729835e-01,7.233930036058451307e-01,8.718852290778021930e-01
8.599676810673693161e-01,7.166421818020547452e-01,8.815263083370701302e-01
8.550403893080924522e-01,7.265220945467005809e-01,8.727860340490345425e-01
8.566155189577766560e-01,7.134436853346387553e-01,8.674798052656770286e-01
8.571085895747657668e-01,7.323155522016475683e-01,8.711725328855818296e-01
8.019488322655901058e-01,7.250659249400910333e-01,8.592480728331024498e-01
7.893528136645475701e-01,7.173313912679670779e-01,8.552682056325499049e-01
7.486718538140193502e-01,7.110497841033235344e-01,8.520528317001971885e-01
7.273115990131859832e-01,7.252523820885052874e-01,8.464666523485435690e-01
7.263120013808060937e-01,7.222251924245178811e-01,8.401811745782916674e-01
7.240430267208192161e-01,7.230408971562064524e-01,8.453852114480236990e-01
7.155125922357525869e-01,7.125587635136474418e-01,8.517628076117595981e-01
7.524555638354508691e-01,7.276217974654254350e-01,8.527262167892818434e-01
6.814702233322673663e-01,7.157984922653918280e-01,8.407624961135968800e-01
6.856741534991399600e-01,7.168621899739547887e-01,8.330724934598952025e-01
6.896382562998828458e-01,7.133772197163947837e-01,8.454383520530455165e-01
6.701936628150609865e-01,7.106503333694803581e-01,8.314109427492986093e-01
6.396456535887773409e-01,6.911946563139714783e-01,8.290786077038226898e-01
6.363121272972088738e-01,6.880648514472497146e-01,8.303660277318842819e-01
6.430549105273630772e-01,6.872083889596329875e-01,8.271369636908333378e-01
6.338924472918496811e-01,7.215304935088473481e-01,8.285150889612146186e-01
6.518656994283289485e-01,7.253220052305173748e-01,8.343449942955588616e-01
6.280934187469929819e-01,7.184281384016527605e-01,8.241928578143056239e-01
6.130670434883658260e-01,7.129020268455590337e-01,8.182078794047290549e-01
5.998373502081055797e-01,7.125999243009047968e-01,8.176011910327767307e-01
5.976664187850018184e-01,7.150345913239913864e-01,8.064543402676771500e-01
5.947149024030383702e-01,7.114764556117306737e-01,8.166692597903055795e-01
5.599918311862333020e-01,7.189927581625686903e-01,8.069502460087606410e-01
5.433172772668927175e-01,7.269539065676583478e-01,8.018172675815682382e-01
5.390794278662479622e-01,7.166996547428281517e-01,8.037487466203222519e-01
5.148689490533548963e-01,7.296965665434175241e-01,8.027776648358764255e-01
5.143665729516081475e-01,7.269160418548894498e-01,8.055503449934350302e-01
5.193746456785273136e-01,7.298107008300940279e-01,8.047256933065350948e-01
4.938793542638717504e-01,7.271159098398641829e-01,7.934241171095044454e-01
4.809871800118611374e-01,7.432664560855135605e-01,7.842101650508657151e-01
4.740586067750157118e-01,7.502772630578469215e-01,7.848027789610836358e-01
4.742523525892222147e-01,7.360205873410460287e-01,7.790674605350766946e-01
4.775402062428988903e-01,7.563922986411659721e-01,7.865573330719620726e-01
4.842627955901552816e-01,7.532779457704383841e-01,7.954166731833439696e-01
4.827965989556021187e-01,7.546985618375646743e-01,7.920180982584388296e-01
4.481451651627647026e-01,7.418998943631807119e-01,7.677853536557073255e-01
4.393066426762117782e-01,7.409706305191815501e-01,7.631675144811210787e-01
4.242614701488391926e-01,7.469046362955005236e-01,7.703638868435844778e-01
4.180926894990769638e-01,7.566318058176503270e-01,7.674420266528438894e-01
3.981315645852429030e-01,7.521517534152338813e-01,7.615995546021921969e-01
3.920090119657786421e-01,7.299982894860360672e-01,7.493231961075457193e-01
3.806910468414824722e-01,7.311058611474358093e-01,7.485027106549494436e-01
3.789508035684071574e-01,7.257265493805832302e-01,7.495025137077494515e-01
3.786934319693824880e-01,7.380966149253891384e-01,7.531476301344074420e-01
3.738647182945596392e-01,7.256229019053301865e-01,7.518688676532064852e-01
3.572784111149371888e-01,7.134494203356358533e-01,7.436677364081493158e-01
3.684008449982473787e-01,7.195684815362910491e-01,7.429057086763568574e-01
3.563642939923257202e-01,7.157652227035407044e-01,7.460437463344267162e-01
3.289205607832457190e-01,7.001875388629897889e-01,7.275428714228107108e-01
3.246621337220247927e-01,7.055102451711944278e-01,7.310917397896516956e-01
3.308131309212954951e-01,7.049232096560865690e-01,7.282623967395501774e-01
3.324249165721687715e-01,7.082913857009339731e-01,7.348616177558910945e-01
3.062978152001814003e-01,7.090217783716787903e-01,7.294918272171285745e-01
2.893826992759139238e-01,7.045141031478314719e-01,7.127454012616374346e-01
2.896782977100030854e-01,7.021705596270324534e-01,7.152889081812381367e-01
2.919826453138972822e-01,7.090905721071749657e-01,7.192267488567323230e-01
2.856808791388277813e-01,6.991045034136136316e-01,7.132023690105830926e-01
2.868502350236825649e-01,7.095585437540564699e-01,7.193340113681083725e-01
2.859846896784163373e-01,6.924159376226585172e-01,7.083851795919752226e-01
2.889080053406284931e-01,6.875303394296206072e-01,7.036401832424236114e-01
2.851548066007509874e-01,6.848782857786744893e-01,7.061458246390238669e-01
2.908580705846767755e-01,7.041016515155573696e-01,7.087224900642327130e-01
2.931250961337730776e-01,7.048678916017325768e-01,7.194779447267671824e-01
2.858617175178865266e-01,7.176028632714990252e-01,7.273483796828131842e-01
2.845123394440955411e-01,6.984274714945721829e-01,7.166490850468028029e-01
2.776144698122989807e-01,7.053366176392789066e-01,7.126740014312683558e-01
2.699442492988404219e-01,6.983036879855814005e-01,7.061410582590956775e-01
2.685064887510539289e-01,6.878882878444237958e-01,6.948635680625729893e-01
2.759327073606440694e-01,6.964941054155328048e-01,7.119569301847766818e-01
2.741332460734901000e-01,6.857513966392008165e-01,6.955118279423981864e-01
2.693069741062580902e-01,6.911490484079511054e-01,6.934234165938727434e-01
2.717168403488229300e-01,6.860549100273615197e-01,6.953210644569022270e-01
2.518781826965612591e-01,6.748491227182086272e-01,6.795064726453466930e-01
2.511109306145133391e-01,6.714182672111171923e-01,6.736423343481601211e-01
2.554705513144558959e-01,6.700748813665521331e-01,6.712348101257274990e-01
2.467709242304489403e-01,6.707664483379263132e-01,6.669879924694904760e-01
2.389585222507017159e-01,6.580909604810337710e-01,6.487158423083947412e-01
2.405199735178532305e-01,6.532279886470576669e-01,6.467464987268436438e-01
2.396286160884310568e-01,6.561170748926887786e-01,6.473332615706416382e-01
2.303180872776214028e-01,6.424277362573532768e-01,6.320641926596299864e-01
2.292302203616047307e-01,6.602102449628415304e-01,6.420407278453887923e-01
2.147687505084768245e-01,6.439431461193988460e-01,6.287926773884953136e-01
2.162612419203064074e-01,6.419356471215508231e-01,6.234888363614565776e-01
2.205981456977864352e-01,6.474351138129996741e-01,6.329568707233984570e-01
2.042551240100622667e-01,6.297121745065018539e-01,6.077599725963601651e-01
1.946346792670959891e-01,6.123686490267484794e-01,5.929888943846327587e-01
1.953468205894970111e-01,6.002194528474406043e-01,5.854314075555003827e-01
1.938856680857745651e-01,6.062691381058983309e-01,5.886446296020912961e-01
1.883749150711495068e-01,5.946641075092150563e-01,5.708217579756522664e-01
1.869357176062495518e-01,5.762814658593292672e-01,5.533598649292010840e-01
1.763852091974221770e-01,5.724304546270994054e-01,5.509918947673615452e-01
2.033561801923479406e-01,5.952486140792713210e-01,5.708591931304911604e-01
1.773794410145520528e-01,5.655112462217309899e-01,5.459649215029033220e-01
1.746986413731169974e-01,5.547631905701121413e-01,5.355476531299379062e-01
1.669798256346250731e-01,5.388549689144075394e-01,5.198785960735687883e-01
1.485633015816963109e-01,5.217294429243831688e-01,5.044422478598911130e-01
1.437960831224611713e-01,4.894606879669667343e-01,4.757882611501585979e-01
1.354925631091917493e-01,4.908249856121243981e-01,4.758901053155695227e-01
1.347059869709623103e-01,4.930141272254806584e-01,4.778002016556008869e-01
1.369139525595031437e-01,4.836185140880011057e-01,4.698057217092615478e-01
1.299047835213470170e-01,4.946859401853507809e-01,4.793150550682945821e-01
1.329223939744939575e-01,4.856224806246099979e-01,4.711733477584150731e-01
1.317242434461491640e-01,4.814046592827337379e-01,4.680481014621933333e-01
1.428632951794439332e-01,4.955363610071170100e-01,4.800852140970202631e-01
1.273821598400937671e-01,4.899438794418485288e-01,4.770564999607521117e-01
1.298222899193495206e-01,4.845203991327580173e-01,4.716589865268571158e-01
1.333014635325695529e-01,4.924267500167888723e-01,4.798505755210361601e-01
1.307739645026005926e-01,5.084829041362745050e-01,4.955077489740892793e-01
1.300884553406538857e-01,5.057431249348836033e-01,4.906714060756144913e-01
1.301263400046480112e-01,4.830225748601359448e-01,4.718837391344528620e-01
1.139516845466468781e-01,4.488497883263550259e-01,4.401980656994128882e-01
1.091396250983712873e-01,4.328113296278442990e-01,4.260489978449728543e-01
1.106058897273356351e-01,4.151193345988655747e-01,4.088978975852098352e-01
1.117207262015057351e-01,4.340239467944154717e-01,4.281720085753388250e-01
1.075397517598645908e-01,4.044795481648866819e-01,4.005494370825755102e-01
9.727124215961778508e-02,3.786490821677929719e-01,3.760412876166362439e-01
1.030709880352168595e-01,3.787096992388668815e-01,3.738228251792055645e-01
9.735676798287672129e-02,3.826178450060624958e-01,3.815618906054016879e-01
9.824676964338310836e-02,3.909006632280109250e-01,3.893248250632510565e-01
8.963194719091831242e-02,3.752890932383752265e-01,3.750319016140880590e-01
9.266317713937856360e-02,3.751033350086901974e-01,3.768379069637020073e-01
9.270609300910086226e-02,3.831851179094725723e-01,3.824434267325676484e-01
9.980849365983004984e-02,3.661979704135973623e-01,3.690419981266046534e-01
9.032163998943731897e-02,3.716725356258705482e-01,3.718511001554141160e-01
8.854022977354900070e-02,3.980945084476483209e-01,3.939467588146977062e-01
9.083098628841249078e-02,3.806189067630290634e-01,3.802090290307813536e-01
8.924250071102116100e-02,3.656410448669997204e-01,3.666062737486470713e-01
9.056605146792481853e-02,3.779131876587170646e-01,3.767914736247199858e-01
8.753627073874606368e-02,3.477989764581900234e-01,3.509743660351513084e-01
9.308869045566862954e-02,3.431301888764173857e-01,3.485641257433972351e-01
9.592520506581220241e-02,3.546010835087941016e-01,3.604698291884664840e-01
8.773192959970284310e-02,3.536353480130243199e-01,3.551613109797489565e-01
8.735976664208762454e-02,3.421997367246277233e-01,3.459424079089742921e-01
8.224766974588977597e-02,3.386846251149263076e-01,3.401770627016461046e-01
7.952827960993630318e-02,3.298311689096922183e-01,3.278873158468278426e-01
8.994943931615750898e-02,3.537539173524220093e-01,3.551243099121938473e-01
7.423524409254279866e-02,3.207712390736200403e-01,3.234549926722118940e-01
8.175600451751550979e-02,3.405390965786488366e-01,3.404908386209009596e-01
8.228463541655850477e-02,3.348398364131531246e-01,3.343675798913335329e-01
8.235198909209573426e-02,3.421899049543994931e-01,3.430022349432909068e-01
