cost,L2,trace
1.768019834602490903e+00,7.586910666994801655e-01,9.158082826721606340e-01
1.362683382065666970e+00,8.510734490982386768e-01,8.688099051018667307e-01
1.404425399845572908e+00,8.805629226271930454e-01,8.960558679163126428e-01
1.497625478197256665e+00,8.629907395282303550e-01,8.935870905227285554e-01
1.352632401903886450e+00,8.973069747214158509e-01,8.961403365928826137e-01
1.400291377204492926e+00,7.963985286306071165e-01,9.343066412788713082e-01
1.380794123255371098e+00,8.341536775765991951e-01,8.955248544917395748e-01
1.354769496200429746e+00,8.494505831431202747e-01,9.147266014587347449e-01
1.668287095662395414e+00,8.331631899491138693e-01,9.609270589030974863e-01
1.430350837205111469e+00,7.867850324264427098e-01,8.772970732401879079e-01
1.521222755585249553e+00,8.250436146023787387e-01,8.578023383223474241e-01
1.538882459262999713e+00,8.756811071704413418e-01,9.198040350645457774e-01
1.816032851384972169e+00,8.568351457647460645e-01,9.064472200719951855e-01
2.022199120474652556e+00,9.161702229018705568e-01,9.698187840235348300e-01
1.386775159511957511e+00,8.354381624827484920e-01,8.226516976375390922e-01
1.383720003554716360e+00,1.044521548866156557e+00,9.485908800948804620e-01
2.221767019138214394e+00,8.130380028612202992e-01,9.421439287417272546e-01
1.621322066748297042e+00,8.417873770640084130e-01,9.061035275024560409e-01
1.374079883840009675e+00,8.801753838456362056e-01,9.447711111132325312e-01
1.453535188836440506e+00,8.656305069669952834e-01,8.974974735791068081e-01
1.394119424884082692e+00,8.178437575615304933e-01,8.511808015277001482e-01
9.480619124728675295e-01,7.837253252081917143e-01,8.798763820980357586e-01
9.654703405651012815e-01,8.254032645105449095e-01,8.207723289460859828e-01
9.644081551125921470e-01,7.863080053778337408e-01,8.952772243314783829e-01
1.015031345677098296e+00,7.921710796305390101e-01,8.887286826227396297e-01
9.883286985876362785e-01,7.866364247843438129e-01,8.895290687118508899e-01
9.308587728371259251e-01,7.792613777929520147e-01,8.811831437758149699e-01
9.287303244289211168e-01,7.675766443166592845e-01,8.792055225222795700e-01
9.327181655529727111e-01,7.624651888511346787e-01,8.867972189835705565e-01
9.394507162788864330e-01,7.669411698202005523e-01,8.790087559461092770e-01
8.766046403443166213e-01,7.564455535962341104e-01,8.771958710724154784e-01
8.529789899203134018e-01,7.415291045918306345e-01,8.771331432167031039e-01
8.501392101102961396e-01,7.219416743897165700e-01,8.730276469585820376e-01
8.577209414941657784e-01,7.150253892864976146e-01,8.825186002373098804e-01
8.543792240722386522e-01,7.251293731356543981e-01,8.739273901900572739e-01
8.529989704701961273e-01,7.113518975124952792e-01,8.684560779461104607e-01
8.393403540799667661e-01,7.152544024313891580e-01,8.703096962321571484e-01
8.150126767707093212e-01,6.969087902711398330e-01,8.689691560680526949e-01
7.733975821180034682e-01,7.082301007586098152e-01,8.562335931565264735e-01
7.662897387749092459e-01,7.042448703615268313e-01,8.530535408168929967e-01
7.488038944045830592e-01,6.963844688793635607e-01,8.513385063285138221e-01
7.302682165162948102e-01,6.886388794582707362e-01,8.541027304326050951e-01
7.408854030550633407e-01,6.908403554696411764e-01,8.481167597222722954e-01
7.309855569633934014e-01,6.866313714303516891e-01,8.583479980965773581e-01
6.882075541777032957e-01,6.870170314307282311e-01,8.480880448330877508e-01
6.727164182041217577e-01,6.753646649654705403e-01,8.524910932244691431e-01
6.835402636808136645e-01,6.730900310997965930e-01,8.483662852449779246e-01
6.955021376895936802e-01,6.749783949586898313e-01,8.570506481723161318e-01
6.385308587442570794e-01,6.654049436090004876e-01,8.401855612084783154e-01
6.287831246702055843e-01,6.686304561514311295e-01,8.392893095336603215e-01
6.167342426885742412e-01,6.552685631686053780e-01,8.419597858229237453e-01
5.937118772553358070e-01,6.538887055547614180e-01,8.317839796348253101e-01
5.858832466889558610e-01,6.577241549766548179e-01,8.282111166581588302e-01
5.848725387509013940e-01,6.514782167667986235e-01,8.207161499498627499e-01
5.868363166332078995e-01,6.333515986180514590e-01,8.234433149654527551e-01
5.843595549093710817e-01,6.408633526618264797e-01,8.195394874642619731e-01
5.841566280428127644e-01,6.629506756173283444e-01,8.207481988048817012e-01
5.694888031818126084e-01,6.521755463075681325e-01,8.243071590028077100e-01
5.714859887258073590e-01,6.515117748091499017e-01,8.281115567605288330e-01
5.645541907545248428e-01,6.512249350527777869e-01,8.233540898663007646e-01
5.794240150288205715e-01,6.530753531517511368e-01,8.316487738327071888e-01
5.671858437841384992e-01,6.548149404583827327e-01,8.211639282031238940e-01
5.478564909345695622e-01,6.529143583723846511e-01,8.137473573177935737e-01
5.529329003511611607e-01,6.543474329911608267e-01,7.999736439228400942e-01
5.470521694001629909e-01,6.525529636861038263e-01,8.135016535530077419e-01
5.115041235234226713e-01,6.628105811338720343e-01,8.024601635309414061e-01
4.903924478132879461e-01,6.822413903973414406e-01,7.939381840579133875e-01
4.798678963969993383e-01,6.748278346638882930e-01,7.943042511211404477e-01
4.762232030615585199e-01,6.707777315752189162e-01,7.897958169845195053e-01
4.726253601761728484e-01,6.804189311904813575e-01,7.833886371288504291e-01
4.466939222405079679e-01,6.831276907130447995e-01,7.672373385483722830e-01
4.564443448851934759e-01,6.846669614748845945e-01,7.693221904402884892e-01
4.381851108585788079e-01,6.823699683043498165e-01,7.615915728630517911e-01
4.048960095892284450e-01,6.783516577575772200e-01,7.443327138218874817e-01
3.901274035626620673e-01,6.713454782436255597e-01,7.355707685737388202e-01
3.930980730567303905e-01,6.807718947455043690e-01,7.265337119392090148e-01
3.921126886759987995e-01,6.730462984065181953e-01,7.361431417272147337e-01
3.763567491343044469e-01,6.744955521640485507e-01,7.336824878464166533e-01
3.692357786640652062e-01,6.587447976854665654e-01,7.314613291037518339e-01
3.413860731569773321e-01,6.523439031991127290e-01,7.191462538232401558e-01
3.327049876462188083e-01,6.425419153880349565e-01,7.042904898598538743e-01
3.259917556739174715e-01,6.435695708062353360e-01,7.001713666842637185e-01
3.086113067502953555e-01,6.311011588641631809e-01,6.905650259925635304e-01
3.049602204131566241e-01,6.332246911329352246e-01,6.878379897855386726e-01
3.026409202539018239e-01,6.348416437708755966e-01,6.863473905419987808e-01
2.939152440488099205e-01,6.401665467694785949e-01,6.809681360418019525e-01
2.965966413421160519e-01,6.325261223220423057e-01,6.677196750975326056e-01
2.919517055182871967e-01,6.369630635636803762e-01,6.764202364342487561e-01
2.974266327532248955e-01,6.348277639349116930e-01,6.681046331591161680e-01
2.933636109280038373e-01,6.383322972929309502e-01,6.721122877029771514e-01
2.929047086989319815e-01,6.478239029411981820e-01,6.758431379184193233e-01
2.897698078716530734e-01,6.272454145799684078e-01,6.732577853550906211e-01
2.925041277702804532e-01,6.185440796332697388e-01,6.695592455881620442e-01
2.824264939466197277e-01,6.267852258270936172e-01,6.698015328883292208e-01
2.700209303854684828e-01,6.158477903152461685e-01,6.542150641197339578e-01
2.585870425854654986e-01,6.207877422334447948e-01,6.578878229046265513e-01
2.645259242104035513e-01,6.247251215758172771e-01,6.646704235914361325e-01
2.484706442950020966e-01,6.195441246531742108e-01,6.483025256938360625e-01
2.309481416093839834e-01,6.041235271620671865e-01,6.310802801602712897e-01
2.234414690634764500e-01,5.955551241072170043e-01,6.227853336370090531e-01
2.168741645300572563e-01,5.819127656675989746e-01,6.123697873925968427e-01
2.164156660704859569e-01,5.807958552888414783e-01,6.122399536366222028e-01
2.202034405454959543e-01,5.824824224336120349e-01,6.101291514472051425e-01
2.132017681467371639e-01,5.778483023949760877e-01,6.061008646701790958e-01
2.150223891523539987e-01,5.778444232830962646e-01,5.943781885990342406e-01
2.173396006392881996e-01,5.820584902980455722e-01,6.091477872940838090e-01
2.125765105839942937e-01,5.694733356372446709e-01,6.007827101568327111e-01
2.116588848420514757e-01,5.598233176535252209e-01,5.918958046167315246e-01
2.063618357025898964e-01,5.422821225816795154e-01,5.731620207552041713e-01
2.070542077289337368e-01,5.430126169486677590e-01,5.735280213676732242e-01
2.081661289406953053e-01,5.469074112785448083e-01,5.738493231430682462e-01
2.141172684584659591e-01,5.447084300677652591e-01,5.747995482692901392e-01
2.140412578438124214e-01,5.481438595225531785e-01,5.801841693203714234e-01
2.210942056518839238e-01,5.354167181772088169e-01,5.814204643619571566e-01
2.116932558769951955e-01,5.454941082505726513e-01,5.742583659452452638e-01
1.910785790257600869e-01,5.270718565618230933e-01,5.489935724750013568e-01
1.949888739527502468e-01,5.276828330355146646e-01,5.558583361540310186e-01
1.921960780253721968e-01,5.245492268497802257e-01,5.480546186652074381e-01
1.880931808250124737e-01,5.252310024410015155e-01,5.403157366506031734e-01
1.973304568958590965e-01,5.256229768615443554e-01,5.444011394044193652e-01
1.812241716735171759e-01,5.135668478952993832e-01,5.347991449847870893e-01
1.634826832803422669e-01,4.826177542671142850e-01,5.092190391402888761e-01
1.485808472499179911e-01,4.700549547797577832e-01,4.891036334685704423e-01
1.405096316746284602e-01,4.596913109014302834e-01,4.771974689036587169e-01
1.358690812348886112e-01,4.440859200823394914e-01,4.652989523257446969e-01
1.466959485441936550e-01,4.463659093533240418e-01,4.715384843568908302e-01
1.363360765170503197e-01,4.413484328600337792e-01,4.664711900347230378e-01
1.416389562441263128e-01,4.262753338596736996e-01,4.547412040481769169e-01
1.370513564390018479e-01,4.469842986777491367e-01,4.663432164141587677e-01
1.288756869722834097e-01,4.342449469127800943e-01,4.543726607820426366e-01
1.267243303669064181e-01,4.198100792909764123e-01,4.414067865958319903e-01
1.245861547946790771e-01,4.177308102380886123e-01,4.380963299509252895e-01
1.163851362824745439e-01,3.941232092448062607e-01,4.144368087582235294e-01
1.164522849341992211e-01,3.796487750067981670e-01,4.044886218146426793e-01
1.170425303417876456e-01,3.920779922549514351e-01,4.156636153503037168e-01
1.247830055732123133e-01,4.002614781260304122e-01,4.181811516140411245e-01
1.119255295093582320e-01,3.939460677073230443e-01,4.131975764178845711e-01
1.123355107190950053e-01,3.802509327743995859e-01,4.036327333299617459e-01
1.060943462303450824e-01,3.836349215551023706e-01,4.029930758624618026e-01
1.063655952486778911e-01,3.789614026981393824e-01,4.019163338427770849e-01
1.056078711179571084e-01,3.815584116433654027e-01,4.022970749152951497e-01
1.078467338797804154e-01,3.937685457685013990e-01,4.171722850789557069e-01
1.078483856113249539e-01,3.802483708426722120e-01,4.007604860767861044e-01
1.078706413811771486e-01,3.739175173463733515e-01,3.935071510779765691e-01
1.037156743364271438e-01,3.804503056379859305e-01,4.002579727013963473e-01
1.018972387520934164e-01,3.698306789299620756e-01,3.864900118284649300e-01
1.002465972449821663e-01,3.587242677055548778e-01,3.754208698362160868e-01
1.091924146286778197e-01,3.636567813446350272e-01,3.850186379403318093e-01
1.036730777727860459e-01,3.694914959734146298e-01,3.849066542330079610e-01
9.247623509442987055e-02,3.429205657000156671e-01,3.569621479662238861e-01
9.557110292903819859e-02,3.305929219957606802e-01,3.410331630119441959e-01
9.143585243024020259e-02,3.360005096333918972e-01,3.526929001325574409e-01
8.411696084533491768e-02,3.169901767573634066e-01,3.347021895780445400e-01
8.386234881682405606e-02,3.079259900606410305e-01,3.321925081906975108e-01
8.268737721651270300e-02,2.961386111480509009e-01,3.153640188858694016e-01
9.077067675160353788e-02,3.102011646596400940e-01,3.256763389436984069e-01
8.247087724630011718e-02,2.972721035633418274e-01,3.128860223958377929e-01
7.447920171726860050e-02,2.837130151758974206e-01,3.004127433274089154e-01
7.613902334891500812e-02,2.891929830451798744e-01,3.046853907304923337e-01
7.214845652177723223e-02,2.763688719923324544e-01,2.937144382906761719e-01
6.788208153991706628e-02,2.522029799702268926e-01,2.769106684976646027e-01
8.547360528891230491e-02,2.577958171373586627e-01,2.841859324586000213e-01
7.203869082917019329e-02,2.591805167901790607e-01,2.837753733560861580e-01
6.693979785485226763e-02,2.376242965963559217e-01,2.696984975977096965e-01
6.650435494183142004e-02,2.407018676151655434e-01,2.670147733495745745e-01
6.509720201574861753e-02,2.340545142453588634e-01,2.586754793812194864e-01
6.863627469117294932e-02,2.390871040186932917e-01,2.632437244223099215e-01
6.459707782517451480e-02,2.350017575136056358e-01,2.576876886691631396e-01
6.766991125906648974e-02,2.254383701783751748e-01,2.461213233351408902e-01
6.849711560817824119e-02,2.422654457723769916e-01,2.671624549606856358e-01
6.215167796087138485e-02,2.297549154761990287e-01,2.538520274847396174e-01
7.007304181681739408e-02,2.333950450811191624e-01,2.581421701527025214e-01
6.293861504687195407e-02,2.226045500385586962e-01,2.471157432891866457e-01
6.682708387411365192e-02,2.306408221540224845e-01,2.557415188654932892e-01
6.280593365990258525e-02,2.291711439088631175e-01,2.562225940590248108e-01
6.285412183361635541e-02,2.215941182108771834e-01,2.422794298700725879e-01
5.929798017372533980e-02,2.243941310152838264e-01,2.480844633705717173e-01
