cost,L2,trace
1.781462612757620079e+00,8.118608300520596677e-01,9.974294874221247831e-01
1.909194857731560724e+00,7.777053515955053564e-01,9.944780665065127145e-01
2.130031572511140503e+00,8.215820069923613911e-01,9.999415791904482376e-01
1.676090194980365933e+00,7.730056367524961169e-01,9.903878742741007990e-01
1.829710787820041595e+00,7.948066161676405894e-01,9.925468296224596587e-01
1.695289309827637814e+00,7.433062242646424345e-01,9.915327618320610714e-01
2.068143453831033263e+00,7.754465094106325340e-01,9.867412232343579781e-01
1.791606027408325641e+00,7.582356335483060317e-01,9.990478232257042901e-01
1.689081169213284106e+00,7.455282637250029154e-01,9.698278910492157401e-01
1.849036432762459770e+00,7.688807620467303927e-01,9.934189409112339497e-01
1.425988118309734709e+00,7.646285689733328672e-01,9.840677395864617649e-01
1.604143272089046501e+00,7.590413024791793362e-01,9.777314389095583813e-01
1.458890856073123299e+00,8.268856115853636668e-01,9.824365229449488757e-01
1.650328013071338695e+00,8.008367698709147886e-01,9.835001362454774965e-01
1.341098179690036307e+00,7.650057659322946346e-01,9.817368038071259129e-01
1.638741764407362522e+00,7.970055202029372454e-01,9.680280855121908834e-01
1.644272186626811294e+00,7.611843182830539956e-01,9.760243884982318097e-01
1.481713952708938686e+00,7.342576439276615741e-01,9.800558383084919667e-01
1.364954434288883744e+00,7.066687591428528759e-01,9.583371175517870766e-01
1.411370800162965011e+00,8.655177834786287328e-01,9.637432984013707404e-01
1.970585886115763463e+00,7.241585566720888378e-01,9.870143744197917846e-01
1.649597083010735821e+00,7.587146751598654593e-01,9.991008367621860842e-01
1.546794100921177417e+00,7.197359819822591875e-01,9.661352810420378301e-01
1.496832649946967075e+00,7.049789610174213017e-01,9.877041969297640778e-01
1.416176808852078528e+00,7.009138645899825049e-01,9.640892930278139872e-01
1.520091795868604878e+00,7.481337690636903348e-01,9.887308436081044816e-01
1.470415280106754485e+00,6.588766148941815892e-01,9.804317098582561174e-01
1.313048843434333035e+00,7.377227444504518283e-01,9.690559848026586431e-01
1.312116552490550703e+00,7.465635842346843853e-01,9.352417703327023935e-01
1.256878715901642796e+00,7.478850297045112061e-01,9.865754381046432098e-01
1.267532247362779918e+00,7.192180746503590294e-01,9.759268965073023550e-01
1.514175249097551745e+00,7.273457716910454174e-01,9.909396890306545469e-01
1.470786427867275759e+00,7.709434882991632598e-01,9.886829475727932914e-01
1.365759030671435337e+00,7.531039446803741155e-01,9.998960408902972663e-01
1.272239752034611371e+00,7.520991587119207900e-01,9.993181806910595988e-01
1.212665077345456144e+00,7.498357157206044787e-01,9.999112349308055814e-01
1.227187592510869951e+00,7.400206193789792275e-01,9.868891806432891212e-01
1.023215253750451526e+00,7.945160752689534034e-01,9.996203821346621998e-01
1.489655133388108510e+00,8.550118469157775847e-01,9.959672000681422110e-01
1.140728680516609694e+00,8.298970810370066564e-01,9.999999257376647188e-01
9.947253737192632839e-01,8.363834457700278779e-01,9.997964351976398323e-01
1.348744415354532045e+00,8.701282129316744163e-01,9.998966565699645148e-01
1.016714852028550498e+00,8.493112446168183949e-01,9.988849316931381894e-01
1.013207393222104624e+00,8.766823406471008218e-01,9.991449940998741175e-01
1.139146130635205312e+00,8.399214480044457920e-01,9.999934321070972354e-01
1.159048805388958048e+00,7.240761251511839136e-01,9.999998648044546856e-01
