cost,L2,trace
1.269141854258116986e+01,7.882519951632658284e-01,9.997980571708989794e-01
1.164381729898607887e+01,8.057442580136936483e-01,9.993078412407467859e-01
1.054555387592771076e+01,8.080603336725062924e-01,9.983686519719108254e-01
9.445998347576034959e+00,8.099847984159553871e-01,9.968000645880644717e-01
8.447982561027675530e+00,8.068220165343339412e-01,9.948768157117184874e-01
7.622521185258928966e+00,7.827391562135525005e-01,9.932544852131798274e-01
7.014577995171570102e+00,7.678350428506111047e-01,9.925028444483960932e-01
6.619935180716337797e+00,7.546795550796963070e-01,9.927815225373699537e-01
6.390329649249915533e+00,7.529613741369778346e-01,9.937704982279568222e-01
6.249925847769178588e+00,7.567778918057880277e-01,9.949592655299092092e-01
6.116879408642082794e+00,7.538817742066561411e-01,9.959835353740335018e-01
5.951072723690647770e+00,7.480754726364554630e-01,9.966834024972427430e-01
5.750176389330387217e+00,7.457381841082298957e-01,9.970375562627284971e-01
5.526566386020759225e+00,7.483206449014037087e-01,9.970834019225973677e-01
5.294697558875577137e+00,7.496677813437222504e-01,9.968828483145621977e-01
5.068483973580899971e+00,7.512702450233599283e-01,9.965169267725824120e-01
4.862210173591334339e+00,7.563327646034485596e-01,9.960573113268650358e-01
4.681718570465141838e+00,7.585773736956801239e-01,9.955714013375218663e-01
4.521579478828331666e+00,7.569578522110472774e-01,9.951070006006205171e-01
4.374081854896383348e+00,7.493629785850496328e-01,9.946835731257852586e-01
4.235323355093694175e+00,7.451936593395908082e-01,9.943012088746685517e-01
4.105054851611212641e+00,7.391350953534270296e-01,9.939517664475093772e-01
3.980411992135950427e+00,7.328149383239305203e-01,9.936417918754361089e-01
3.852621596295937145e+00,7.252178413113065103e-01,9.934048657849551267e-01
3.714843826422526973e+00,7.216715613670757756e-01,9.933198836592026515e-01
3.569774358996951946e+00,7.181329722111705616e-01,9.934627181179815913e-01
3.425360009138120443e+00,7.140006610065915416e-01,9.938833873223454907e-01
3.285414755709552992e+00,7.136963613687146157e-01,9.945839963258266136e-01
3.145720580990201576e+00,7.162142261326419623e-01,9.954995737998426630e-01
3.000016320768128963e+00,7.160914714659125657e-01,9.965292712067370662e-01
2.848565974736334105e+00,7.121977056797280659e-01,9.975792235327729518e-01
2.698988290729738448e+00,7.064099444898728208e-01,9.985627964084866637e-01
2.560739475127287168e+00,7.009786021288232361e-01,9.993803339530165086e-01
2.439482702420473714e+00,6.948887538395476238e-01,9.998967752764884587e-01
2.335117826785693573e+00,6.905916790390356219e-01,9.999633275590782411e-01
2.244167950557751201e+00,6.856195527984914051e-01,9.994643752156235905e-01
2.164050319744151629e+00,6.796383912797233640e-01,9.983839617846373971e-01
2.094976824039497920e+00,6.776985341623256165e-01,9.968364309775044063e-01
2.038016878772264562e+00,6.773527285885070359e-01,9.950344544891210896e-01
1.992204583516709926e+00,6.782592232432822499e-01,9.932300219511206452e-01
1.953967923236310522e+00,6.817824772504754716e-01,9.916392472008962455e-01
1.919145764272316868e+00,6.837770476409881226e-01,9.903964473755740849e-01
1.885437846787621829e+00,6.834920678420658424e-01,9.895609962061153730e-01
1.853118250698521985e+00,6.792224960739787765e-01,9.891336776531717279e-01
1.823901025934295816e+00,6.756973670379756713e-01,9.890719149881699312e-01
1.799212387058584772e+00,6.737635365527687714e-01,9.892879580508013859e-01
1.778970321785479758e+00,6.738240758706087741e-01,9.896703339096197816e-01
1.761468093660072842e+00,6.747185392480768984e-01,9.900971012233410473e-01
1.744128264749140733e+00,6.747260412315932987e-01,9.904557583801031351e-01
1.724374583025654273e+00,6.746553758300849468e-01,9.906657996510793707e-01
1.700463352463979394e+00,6.729571224114736516e-01,9.906821199712737558e-01
1.672133233642925765e+00,6.700705995444288243e-01,9.904812855825207984e-01
1.640711831689904976e+00,6.674055944268416640e-01,9.900884899433658459e-01
1.608559116232173292e+00,6.651126409738645773e-01,9.895269787903335779e-01
1.577892209847796101e+00,6.634476276051933796e-01,9.888540635607068197e-01
1.549941328177330657e+00,6.623318990132159856e-01,9.881362880543964611e-01
1.524970423693885468e+00,6.613402207504884833e-01,9.874451232046788096e-01
1.502540844353718263e+00,6.605247341346455192e-01,9.868475675909497147e-01
1.482005723702265465e+00,6.580426617599952621e-01,9.863921002597387799e-01
1.462988816458927310e+00,6.538192509918990813e-01,9.860977866602361752e-01
1.445517220486972398e+00,6.495518649474807393e-01,9.859451969198038679e-01
1.429734399013697699e+00,6.442398543058798221e-01,9.858939698360322801e-01
1.415523961708044620e+00,6.389058825176926470e-01,9.858906924902691715e-01
1.402424582585739765e+00,6.340722882820196693e-01,9.858998587330417562e-01
1.390049117764272202e+00,6.302418989252300818e-01,9.858854732079170846e-01
1.378471892665858789e+00,6.271794576452526249e-01,9.858329815573049215e-01
1.368206353996187730e+00,6.243575595323773708e-01,9.857423419295320288e-01
1.359713783203145621e+00,6.227049212315997062e-01,9.856137909830683386e-01
1.352993501629699669e+00,6.218840174059709902e-01,9.854691604501354396e-01
1.347420568743111779e+00,6.218504677856573348e-01,9.853386329206453853e-01
1.342118039599478729e+00,6.222282268978138742e-01,9.852386563133678221e-01
1.336377904424739027e+00,6.231541329859207057e-01,9.851752579646880781e-01
1.329851718420618223e+00,6.243887115155266621e-01,9.851386911304964578e-01
1.322500703391434440e+00,6.262165683789375770e-01,9.851069654679456278e-01
1.314568516091525030e+00,6.284438674318962859e-01,9.850568191818249719e-01
1.306523712389493275e+00,6.309148200369094628e-01,9.849812666779792503e-01
1.298894206437331222e+00,6.337628615412652655e-01,9.848846293103697969e-01
1.292029444758155066e+00,6.367424667665543270e-01,9.848028694133040828e-01
1.285989208229236791e+00,6.393912776501655681e-01,9.847738706038559053e-01
1.280636287062127288e+00,6.421544881912742975e-01,9.848286814127460431e-01
1.275818416771455022e+00,6.444187791031602552e-01,9.849806597287761312e-01
1.271435910433820204e+00,6.460985112579539225e-01,9.852426034974168800e-01
1.267400048614000241e+00,6.474671020372825270e-01,9.856127611939132782e-01
1.263545252163584154e+00,6.485729343365904676e-01,9.860767586562602105e-01
1.259609749605377083e+00,6.492108222754624514e-01,9.866124445999853165e-01
1.255369587344329130e+00,6.488155299560206535e-01,9.872171386842349960e-01
1.250732998256332440e+00,6.478609294293014020e-01,9.878812729709003371e-01
1.245700875063838087e+00,6.461469826234328417e-01,9.885937089584457826e-01
1.240280912697010685e+00,6.433408067774432082e-01,9.893515697654774455e-01
1.234398751684743445e+00,6.401107032994790558e-01,9.901411373387326575e-01
1.227903951906831548e+00,6.364219095786969316e-01,9.909544422027479760e-01
1.220667060134833726e+00,6.324120208984944647e-01,9.917692168266629693e-01
1.212624892699617929e+00,6.280181283706269824e-01,9.925693244006515981e-01
1.203754185228773421e+00,6.238176030801146910e-01,9.933427843574960114e-01
1.193962472601713065e+00,6.202259304125736783e-01,9.940716792939261470e-01
1.183223249995986937e+00,6.171338767043761386e-01,9.947413973806010778e-01
1.171541209666287386e+00,6.148197269985089530e-01,9.953298677180715259e-01
