cost,L2,trace
1.269141854258116986e+01,7.882519951632658284e-01,9.997980571708989794e-01
1.164381727443407044e+01,8.057442445636401329e-01,9.993078414549124711e-01
1.054556511130099850e+01,8.087664995795333933e-01,9.982617409882523773e-01
9.444305623674519978e+00,8.100001850894555933e-01,9.964064482869479100e-01
8.443802086176884103e+00,8.030708836719926413e-01,9.939744148152263037e-01
7.617874438732346931e+00,7.773829249080269621e-01,9.917991037660059961e-01
7.006978969036401494e+00,7.616839347124224613e-01,9.906633817525331009e-01
6.605694099898538063e+00,7.498182131511593740e-01,9.907653511733749419e-01
6.369529671812649063e+00,7.483055561364322372e-01,9.917232699177589428e-01
6.222223660090900665e+00,7.532658386476568380e-01,9.929419011632628633e-01
6.083559719997651882e+00,7.516578618765649145e-01,9.940082159010847906e-01
5.916881618538603504e+00,7.506346207034856333e-01,9.947336582620781575e-01
5.721220822658114713e+00,7.515017439935001153e-01,9.950207885625679260e-01
5.507513927314647617e+00,7.539054449452070594e-01,9.948148468335311634e-01
5.286247274234483484e+00,7.584808071415163333e-01,9.941129815952896021e-01
5.068410390430063472e+00,7.657783315253653411e-01,9.929891268910664426e-01
4.869125823446462498e+00,7.637475375391736820e-01,9.915755834292735438e-01
4.698051251492901592e+00,7.615560319663919886e-01,9.900016041649718490e-01
4.553148958233479426e+00,7.620205663977374089e-01,9.883523096951428721e-01
4.427669312454288075e+00,7.596785715050317078e-01,9.866453917942806795e-01
4.318095188842240972e+00,7.553860621641762529e-01,9.848397450228681960e-01
4.224041286811093698e+00,7.518910047840264843e-01,9.828753527067095597e-01
4.140664042039102988e+00,7.469665881429812249e-01,9.807060613905782542e-01
4.054998047085112134e+00,7.423223602394027898e-01,9.783273604877746887e-01
3.955226049665760524e+00,7.397428052368286711e-01,9.758251250404313959e-01
3.840483833479945819e+00,7.387511248252436324e-01,9.734264648484078908e-01
3.719635058330969191e+00,7.371941378115428600e-01,9.714684864554775645e-01
3.603014256349092559e+00,7.343128710544077897e-01,9.702740401886061905e-01
3.494475729417280796e+00,7.333290667564392740e-01,9.700217572241067732e-01
3.390201779758014400e+00,7.339065264355766338e-01,9.707106945747592253e-01
3.283988444580693056e+00,7.368140712018110827e-01,9.722279638780366717e-01
3.172060719964410413e+00,7.381943706239321168e-01,9.744364434100304395e-01
3.053515518965981279e+00,7.398276674344358428e-01,9.772168149850345431e-01
2.928730611744952750e+00,7.365573344252746013e-01,9.804606095821652989e-01
2.798679888423950768e+00,7.333679394256156225e-01,9.840360286522351618e-01
2.665306663754368977e+00,7.329981728910558436e-01,9.877542670186558738e-01
2.532151996745674261e+00,7.378701855534339771e-01,9.913597117000600978e-01
2.404772313969075981e+00,7.415182994813727113e-01,9.945573334864626913e-01
2.289640085658631641e+00,7.397826281681560978e-01,9.970827130568842289e-01
2.190912947962421864e+00,7.319343492826931863e-01,9.987908092587862718e-01
2.107695672722927238e+00,7.194856606977955149e-01,9.997064213421845702e-01
2.035000645014950482e+00,7.087936186815076978e-01,9.999964923843819298e-01
1.967455357584636078e+00,7.021830844109613334e-01,9.998862171213270811e-01
1.901904462238779292e+00,6.969793989684144320e-01,9.995781022610358280e-01
1.838014554168313941e+00,6.918737180662083430e-01,9.992132294722362307e-01
1.778346610299236685e+00,6.855383068551949011e-01,9.988716987092958188e-01
1.727207385755512803e+00,6.768996334347349153e-01,9.985881811751774473e-01
1.687383932643613083e+00,6.679279518359121370e-01,9.983649774593524873e-01
1.657325555306789822e+00,6.603090794439517852e-01,9.981809505467841293e-01
1.631739589915576438e+00,6.561301152063716557e-01,9.980011555278991420e-01
1.604615206695968688e+00,6.542880582098153930e-01,9.977874888179456558e-01
1.571988245540394624e+00,6.542851471460323642e-01,9.975078288303149687e-01
1.533362397208910766e+00,6.554343576803349780e-01,9.971429316545677990e-01
1.491455049630413976e+00,6.557080262418264471e-01,9.966904984465333461e-01
1.450207876427700660e+00,6.550873000892449838e-01,9.961646196554388988e-01
1.412453572563644677e+00,6.553631653179624594e-01,9.955892637345103990e-01
1.379042031014323211e+00,6.551287843970143854e-01,9.949878907007932982e-01
1.349358254114472633e+00,6.540064193771034651e-01,9.943746089852452119e-01
