cost,L2,trace
1.224335795237886515e+01,8.623975586977179475e-01,9.997071007261979503e-01
1.083703606020151966e+01,8.611235897778158899e-01,9.996369642061652128e-01
9.643318881858071734e+00,8.597935704144954450e-01,9.997731291760771910e-01
8.784558438309304051e+00,8.562293130302148780e-01,9.999401832461966011e-01
8.190894666908972610e+00,8.500033926429499953e-01,9.999999762495801470e-01
7.717448649394247795e+00,8.445724691406711893e-01,9.999766521753010728e-01
7.257136795548806418e+00,8.447546708782316394e-01,9.999780908638743471e-01
6.805701306016427310e+00,8.436272718831880901e-01,9.999988602232749990e-01
6.400972434777541409e+00,8.423039851095875941e-01,9.999826560397532260e-01
6.077037952164021206e+00,8.430644318245512636e-01,9.999164986318496151e-01
5.844859661461980771e+00,8.443653932459121991e-01,9.998359222940010893e-01
5.678328982832949734e+00,8.459448934103878104e-01,9.997828872761232999e-01
5.528720912151358746e+00,8.510879299542628562e-01,9.997876529806568602e-01
5.360396335893090836e+00,8.516481835291471736e-01,9.998532543005295148e-01
5.169861457365461099e+00,8.477893231791312489e-01,9.999451016525284786e-01
4.973202781854760168e+00,8.407904667433493406e-01,9.999993022062876324e-01
4.785466799140975169e+00,8.366722835955257009e-01,9.999493503229015534e-01
4.612520683378901865e+00,8.311789859516417467e-01,9.997480012163086904e-01
4.452482177212438330e+00,8.261722975060855623e-01,9.993762994308587055e-01
4.302862302600814814e+00,8.201843686067604722e-01,9.988515852396152583e-01
4.164151749263570679e+00,8.126128291097900469e-01,9.982459218832611114e-01
4.038310264011180095e+00,8.069213540386972472e-01,9.976653268315188727e-01
3.926159008472212442e+00,8.033064007764768588e-01,9.972236858213655575e-01
3.824722806494859295e+00,7.998964772307652904e-01,9.969942960677529165e-01
3.726436523212053764e+00,7.947582555326121456e-01,9.969901537779051193e-01
3.622931463347839998e+00,7.898024967513215255e-01,9.971675521373527529e-01
3.511553921269657597e+00,7.853255465432456006e-01,9.974473965328830571e-01
3.396763227640097416e+00,7.846935473822029827e-01,9.977442643994527405e-01
3.287723762957482698e+00,7.871640319942869723e-01,9.979969414075486878e-01
3.192381010384303774e+00,7.900349873109302479e-01,9.981623750941942541e-01
3.113565988338184543e+00,7.932212497942607854e-01,9.982267680988547998e-01
3.046632247143240768e+00,7.968569136685258458e-01,9.981830593622819103e-01
2.983429398264616061e+00,8.017386045414829354e-01,9.980244329520086000e-01
