evals,trace
4.000000000000000000e+01,7.855596411996152995e-01
8.000000000000000000e+01,7.730555109520247381e-01
1.200000000000000000e+02,7.683407136087340161e-01
1.600000000000000000e+02,7.664368431168143703e-01
2.000000000000000000e+02,7.618776262938387056e-01
2.400000000000000000e+02,7.521391371096752820e-01
2.800000000000000000e+02,7.369736582410799652e-01
3.200000000000000000e+02,7.169873552103492864e-01
3.600000000000000000e+02,6.933938481219908967e-01
4.000000000000000000e+02,6.671660284880948089e-01
4.400000000000000000e+02,6.394421825029624751e-01
4.800000000000000000e+02,6.122683281797509647e-01
5.200000000000000000e+02,5.872650662719189896e-01
5.600000000000000000e+02,5.640974872448609734e-01
6.000000000000000000e+02,5.415729773339911235e-01
6.400000000000000000e+02,5.184436962124052695e-01
6.800000000000000000e+02,4.940341579395428617e-01
7.200000000000000000e+02,4.677403316021924717e-01
7.600000000000000000e+02,4.399563562512069925e-01
8.000000000000000000e+02,4.110501524696995035e-01
8.400000000000000000e+02,3.816482652289627797e-01
8.800000000000000000e+02,3.521737512137438908e-01
9.200000000000000000e+02,3.233218993579820566e-01
9.600000000000000000e+02,2.956419223642777760e-01
1.000000000000000000e+03,2.696487886766956721e-01
1.040000000000000000e+03,2.460607410755264457e-01
1.080000000000000000e+03,2.258340339276580511e-01
1.120000000000000000e+03,2.095126202254821990e-01
1.160000000000000000e+03,1.974574290925464326e-01
1.200000000000000000e+03,1.888642367682236700e-01
1.240000000000000000e+03,1.821980284343396594e-01
1.280000000000000000e+03,1.761504532478776475e-01
1.320000000000000000e+03,1.695965133969137839e-01
1.360000000000000000e+03,1.619925882641937986e-01
1.400000000000000000e+03,1.539494846055008415e-01
1.440000000000000000e+03,1.451628594140120243e-01
1.480000000000000000e+03,1.363834407517151848e-01
1.520000000000000000e+03,1.281817052753969066e-01
1.560000000000000000e+03,1.196983537972773487e-01
1.600000000000000000e+03,1.109884989529514449e-01
1.640000000000000000e+03,1.021492988704575944e-01
1.680000000000000000e+03,9.330005207030844794e-02
1.720000000000000000e+03,8.468590916185676776e-02
1.760000000000000000e+03,7.696063068633411663e-02
1.800000000000000000e+03,7.162357778782514617e-02
1.840000000000000000e+03,6.931392442900646822e-02
1.880000000000000000e+03,6.928009164886478333e-02
1.920000000000000000e+03,7.019774076851997835e-02
1.960000000000000000e+03,7.127241411520639225e-02
2.000000000000000000e+03,7.252539252232773070e-02
2.040000000000000000e+03,7.425195763384546954e-02
2.080000000000000000e+03,7.690633755458427256e-02
2.120000000000000000e+03,8.013277801494232688e-02
2.160000000000000000e+03,8.389387251084509667e-02
2.200000000000000000e+03,8.793371847215689097e-02
2.240000000000000000e+03,9.158165662845516031e-02
2.280000000000000000e+03,9.428383667124849710e-02
2.320000000000000000e+03,9.591503061416194187e-02
2.360000000000000000e+03,9.692211969640433800e-02
2.400000000000000000e+03,9.729982757509783586e-02
2.440000000000000000e+03,9.728115509927669213e-02
2.480000000000000000e+03,9.694413904157295203e-02
2.520000000000000000e+03,9.601232098576226170e-02
2.560000000000000000e+03,9.448207697161468965e-02
2.600000000000000000e+03,9.278368403605652404e-02
2.640000000000000000e+03,9.100913244016810288e-02
2.680000000000000000e+03,8.952075463527847665e-02
2.720000000000000000e+03,8.846430418126370598e-02
2.760000000000000000e+03,8.800132592174013391e-02
2.800000000000000000e+03,8.777420254303970604e-02
2.840000000000000000e+03,8.703672180264224179e-02
2.880000000000000000e+03,8.518914700109073146e-02
2.920000000000000000e+03,8.267607074643917864e-02
2.960000000000000000e+03,8.045551277793661082e-02
3.000000000000000000e+03,7.883839638329866173e-02
3.040000000000000000e+03,7.750735845458216200e-02
3.080000000000000000e+03,7.660269880861160507e-02
3.120000000000000000e+03,7.606591890614822216e-02
3.160000000000000000e+03,7.632119775127094163e-02
3.200000000000000000e+03,7.694736432769948287e-02
3.240000000000000000e+03,7.746973266487103271e-02
3.280000000000000000e+03,7.788357451268623777e-02
3.320000000000000000e+03,7.815603790961637987e-02
3.360000000000000000e+03,7.850095035057270965e-02
3.400000000000000000e+03,7.911851325251961775e-02
3.440000000000000000e+03,8.002048670269344688e-02
3.480000000000000000e+03,8.092940790877442558e-02
3.520000000000000000e+03,8.241697059941482939e-02
3.560000000000000000e+03,8.449586065263775536e-02
3.600000000000000000e+03,8.711443402228681576e-02
3.640000000000000000e+03,9.002417698318285200e-02
3.680000000000000000e+03,9.302083352617847301e-02
3.720000000000000000e+03,9.558255383668579075e-02
3.760000000000000000e+03,9.801375970738343546e-02
3.800000000000000000e+03,1.003336605978130402e-01
3.840000000000000000e+03,1.025845257255160042e-01
3.880000000000000000e+03,1.039232807719955021e-01
3.920000000000000000e+03,1.044139897468769479e-01
3.960000000000000000e+03,1.030965856616574555e-01
4.000000000000000000e+03,1.003425230325003664e-01
4.040000000000000000e+03,9.622384479154304227e-02
4.080000000000000000e+03,9.145995686933516833e-02
4.120000000000000000e+03,8.636583812282468131e-02
4.160000000000000000e+03,8.178370598790758728e-02
4.200000000000000000e+03,7.773563282847727185e-02
4.240000000000000000e+03,7.484402368799662753e-02
4.280000000000000000e+03,7.280967229154444720e-02
4.320000000000000000e+03,7.178867814983075357e-02
4.360000000000000000e+03,7.201556267411361734e-02
4.400000000000000000e+03,7.369132716486018198e-02
4.440000000000000000e+03,7.716964371899076580e-02
4.480000000000000000e+03,8.247647197295507326e-02
4.520000000000000000e+03,8.840198138312573006e-02
4.560000000000000000e+03,9.384563043205715327e-02
4.600000000000000000e+03,9.688165961888824118e-02
4.640000000000000000e+03,9.837037587745152412e-02
4.680000000000000000e+03,9.764224159577096496e-02
4.720000000000000000e+03,9.587942957017515921e-02
4.760000000000000000e+03,9.471245561768605603e-02
4.800000000000000000e+03,9.449145920842927371e-02
4.840000000000000000e+03,9.485766494312014574e-02
4.880000000000000000e+03,9.690160307168892151e-02
4.920000000000000000e+03,1.003797417109630052e-01
4.960000000000000000e+03,1.064182968744706997e-01
5.000000000000000000e+03,1.138682538052947502e-01
5.040000000000000000e+03,1.217752911457651160e-01
5.080000000000000000e+03,1.295999923164291578e-01
5.120000000000000000e+03,1.354186933057257014e-01
5.160000000000000000e+03,1.391333783240273625e-01
5.200000000000000000e+03,1.416370741567966607e-01
5.240000000000000000e+03,1.426453677824017774e-01
5.280000000000000000e+03,1.420950095319917506e-01
5.320000000000000000e+03,1.399755357327580052e-01
5.360000000000000000e+03,1.372973703904251941e-01
5.400000000000000000e+03,1.349671821025947016e-01
5.440000000000000000e+03,1.334797106392568156e-01
5.480000000000000000e+03,1.323459271003474547e-01
5.520000000000000000e+03,1.307814856553803640e-01
5.560000000000000000e+03,1.285421297139892893e-01
5.600000000000000000e+03,1.257731509106613521e-01
5.640000000000000000e+03,1.225270751483367310e-01
5.680000000000000000e+03,1.184952822441600467e-01
5.720000000000000000e+03,1.138347721705085386e-01
5.760000000000000000e+03,1.097931026806600596e-01
5.800000000000000000e+03,1.076616522119294705e-01
5.840000000000000000e+03,1.076253621417068013e-01
5.880000000000000000e+03,1.090698096666673778e-01
5.920000000000000000e+03,1.111892647286527730e-01
5.960000000000000000e+03,1.131942609772375041e-01
6.000000000000000000e+03,1.148168006204470099e-01
6.040000000000000000e+03,1.162714142598596095e-01
6.080000000000000000e+03,1.171057124209771566e-01
6.120000000000000000e+03,1.167316835940185593e-01
6.160000000000000000e+03,1.158816966761409828e-01
6.200000000000000000e+03,1.153147791139984002e-01
6.240000000000000000e+03,1.150831594059029267e-01
6.280000000000000000e+03,1.165647441447917737e-01
6.320000000000000000e+03,1.197587414452553484e-01
6.360000000000000000e+03,1.258674907937595844e-01
6.400000000000000000e+03,1.329712901986117579e-01
6.440000000000000000e+03,1.384450621863089204e-01
6.480000000000000000e+03,1.400185135609975651e-01
6.520000000000000000e+03,1.389634230458280661e-01
6.560000000000000000e+03,1.357722237344032301e-01
6.600000000000000000e+03,1.316779827334143560e-01
6.640000000000000000e+03,1.268051267808518734e-01
6.680000000000000000e+03,1.234696485881393024e-01
6.720000000000000000e+03,1.215892202214603618e-01
6.760000000000000000e+03,1.205354849267262496e-01
6.800000000000000000e+03,1.200774309577064131e-01
6.840000000000000000e+03,1.194062424098972230e-01
6.880000000000000000e+03,1.181957704927108915e-01
6.920000000000000000e+03,1.149984373132219018e-01
6.960000000000000000e+03,1.101631669300301569e-01
7.000000000000000000e+03,1.033410584126444043e-01
7.040000000000000000e+03,9.577652346205688116e-02
7.080000000000000000e+03,8.860391645114801262e-02
7.120000000000000000e+03,8.337723819571288275e-02
7.160000000000000000e+03,8.081240744796755471e-02
7.200000000000000000e+03,8.045593177539078766e-02
7.240000000000000000e+03,8.134330762004025883e-02
7.280000000000000000e+03,8.247710311611221312e-02
7.320000000000000000e+03,8.450230162158388347e-02
7.360000000000000000e+03,8.715143853493158288e-02
7.400000000000000000e+03,8.980770540159029036e-02
7.440000000000000000e+03,9.026580294244825053e-02
7.480000000000000000e+03,8.906478778817961128e-02
7.520000000000000000e+03,8.675786024197879032e-02
7.560000000000000000e+03,8.532307397086963396e-02
7.600000000000000000e+03,8.508699186545913562e-02
7.640000000000000000e+03,8.599191177375040129e-02
7.680000000000000000e+03,8.777463666126031350e-02
7.720000000000000000e+03,8.997149876546614577e-02
7.760000000000000000e+03,9.251566453398059331e-02
7.800000000000000000e+03,9.610308610971568521e-02
7.840000000000000000e+03,1.012291921892802260e-01
7.880000000000000000e+03,1.058966035971144609e-01
7.920000000000000000e+03,1.081762790370223992e-01
7.960000000000000000e+03,1.086958805172771464e-01
8.000000000000000000e+03,1.066344815383247352e-01
