evals,trace
1.000000000000000000e+00,7.855596411996152995e-01
2.000000000000000000e+00,8.057001079142879219e-01
3.000000000000000000e+00,8.647009493316744067e-01
4.000000000000000000e+00,7.714837490370799467e-01
5.000000000000000000e+00,9.092232769376743517e-01
6.000000000000000000e+00,8.958905933051267700e-01
7.000000000000000000e+00,7.966765559628169457e-01
8.000000000000000000e+00,8.392166507004946707e-01
9.000000000000000000e+00,8.963319638888519458e-01
1.000000000000000000e+01,7.968898016388321626e-01
1.100000000000000000e+01,8.802765675291797098e-01
1.200000000000000000e+01,8.647507115267403233e-01
1.300000000000000000e+01,9.080464497041081939e-01
1.400000000000000000e+01,9.252806550761606408e-01
1.500000000000000000e+01,9.377852088740038505e-01
1.600000000000000000e+01,8.936242720836614639e-01
1.700000000000000000e+01,9.524461830518282657e-01
1.800000000000000000e+01,9.648126759147850340e-01
1.900000000000000000e+01,9.834795667145126430e-01
2.000000000000000000e+01,9.905182182481352404e-01
2.100000000000000000e+01,9.875021727917888681e-01
2.200000000000000000e+01,9.360338967942082311e-01
2.300000000000000000e+01,9.300052983460325162e-01
2.400000000000000000e+01,9.360799671903059505e-01
2.500000000000000000e+01,9.311343285207847043e-01
2.600000000000000000e+01,9.290035771425610989e-01
2.700000000000000000e+01,9.301824136173389990e-01
2.800000000000000000e+01,9.305502492684882831e-01
2.900000000000000000e+01,9.310541796607119114e-01
3.000000000000000000e+01,9.294368070895270284e-01
3.100000000000000000e+01,9.292607532702822359e-01
3.200000000000000000e+01,9.265271599123827695e-01
3.300000000000000000e+01,9.313755182058403026e-01
3.400000000000000000e+01,9.272222302266162064e-01
3.500000000000000000e+01,9.229268154252859846e-01
3.600000000000000000e+01,9.324922092945704399e-01
3.700000000000000000e+01,9.261166102115031551e-01
3.800000000000000000e+01,9.292884627497284278e-01
3.900000000000000000e+01,9.337183136589298771e-01
4.000000000000000000e+01,9.299207986085092914e-01
4.100000000000000000e+01,9.262114449414406980e-01
4.200000000000000000e+01,9.243989970165737979e-01
4.300000000000000000e+01,9.252761813994248019e-01
4.400000000000000000e+01,9.272817647181763601e-01
4.500000000000000000e+01,9.246652370043058067e-01
4.600000000000000000e+01,9.324198397237263292e-01
4.700000000000000000e+01,9.310391856465141114e-01
4.800000000000000000e+01,9.300102610508182988e-01
4.900000000000000000e+01,9.327526073516678728e-01
5.000000000000000000e+01,9.239487523025292637e-01
