evals,trace
1.400000000000000000e+01,8.230586996016449053e-01
1.600000000000000000e+01,9.826832301245447265e-01
1.800000000000000000e+01,9.930137041016871002e-01
2.000000000000000000e+01,9.938707924956783346e-01
2.200000000000000000e+01,9.930495237820534671e-01
2.400000000000000000e+01,9.990127738711122030e-01
2.600000000000000000e+01,9.993482736147313306e-01
2.800000000000000000e+01,9.899534751459649895e-01
3.000000000000000000e+01,9.754279982173850172e-01
3.200000000000000000e+01,9.789274471103356356e-01
3.400000000000000000e+01,9.794342433929297265e-01
3.600000000000000000e+01,9.926439796809549687e-01
3.800000000000000000e+01,9.969907613191166806e-01
4.000000000000000000e+01,9.891599176561123308e-01
4.200000000000000000e+01,9.929610372271131524e-01
4.400000000000000000e+01,9.551409245250374047e-01
4.600000000000000000e+01,9.365279997824539349e-01
4.800000000000000000e+01,9.399369802548616093e-01
5.000000000000000000e+01,9.197520482951164755e-01
5.200000000000000000e+01,8.745162018004314364e-01
5.400000000000000000e+01,8.990389690801376954e-01
5.600000000000000000e+01,8.293798514520240861e-01
5.800000000000000000e+01,8.237758528989143070e-01
6.000000000000000000e+01,8.244750950904398135e-01
6.200000000000000000e+01,8.151506178978550343e-01
6.400000000000000000e+01,8.384201105859084846e-01
6.600000000000000000e+01,8.726743202100524233e-01
6.800000000000000000e+01,7.942026862014065491e-01
7.000000000000000000e+01,8.549809165082320472e-01
7.200000000000000000e+01,7.804133544274126644e-01
7.400000000000000000e+01,7.513559424495139805e-01
7.600000000000000000e+01,8.261227627044968047e-01
7.800000000000000000e+01,8.223046201933237320e-01
8.000000000000000000e+01,8.222545198193931260e-01
8.200000000000000000e+01,8.993520519722478790e-01
8.400000000000000000e+01,9.008541373905657457e-01
8.600000000000000000e+01,9.030422283731411870e-01
8.800000000000000000e+01,9.258283827772917363e-01
9.000000000000000000e+01,9.158564403640472307e-01
9.200000000000000000e+01,9.534667464684536409e-01
9.400000000000000000e+01,9.664901388047243413e-01
9.600000000000000000e+01,9.788920654343803429e-01
9.800000000000000000e+01,9.514698084338332196e-01
1.000000000000000000e+02,9.529244870913236021e-01
1.020000000000000000e+02,9.620938386216901783e-01
1.040000000000000000e+02,9.661654462482200945e-01
1.060000000000000000e+02,9.722240013338178111e-01
1.080000000000000000e+02,9.877153499294821781e-01
1.100000000000000000e+02,9.880867969928069927e-01
1.120000000000000000e+02,9.868947643356531518e-01
1.140000000000000000e+02,9.937842496299879036e-01
1.160000000000000000e+02,9.944361637612656457e-01
1.180000000000000000e+02,9.898648177525694036e-01
1.200000000000000000e+02,9.812714233656454343e-01
1.220000000000000000e+02,9.763858793963618998e-01
1.240000000000000000e+02,9.704321768525637770e-01
1.260000000000000000e+02,9.943906002213943607e-01
1.280000000000000000e+02,9.925468385527730364e-01
1.300000000000000000e+02,9.952008807059020690e-01
1.320000000000000000e+02,9.966898841083842164e-01
1.340000000000000000e+02,9.991630064885873574e-01
1.360000000000000000e+02,9.662809849142443008e-01
1.380000000000000000e+02,9.913213446239093063e-01
1.400000000000000000e+02,9.169409195360136433e-01
1.420000000000000000e+02,8.826028549602386031e-01
1.440000000000000000e+02,9.358798548467645029e-01
1.460000000000000000e+02,9.571056861820972372e-01
1.480000000000000000e+02,9.165700545963445522e-01
1.500000000000000000e+02,9.720901047601790967e-01
