cost,L2,trace
2.121153556076734947e+00,6.769197743579555837e-01,8.827213011471869430e-01
1.926981823040131880e+00,6.936953087291966025e-01,8.510887341214152801e-01
1.732803414831324718e+00,6.728329059575508531e-01,8.197400825686836923e-01
1.548168606511391321e+00,6.626495524593156716e-01,7.902130932212296788e-01
1.375193286949894178e+00,6.595482752700682072e-01,7.626233668888374728e-01
1.208215491263790797e+00,6.600912588461342878e-01,7.354983806541705027e-01
1.045067632623328358e+00,6.574269310869595984e-01,7.078374189139223782e-01
8.890890835420346416e-01,6.541540422367387864e-01,6.795699760222780883e-01
7.462298628000837430e-01,6.563354789962158042e-01,6.512219924726260212e-01
6.226510985294804179e-01,6.283594339410631946e-01,6.234676624000375922e-01
5.225890692441328422e-01,5.985518925871678997e-01,5.967529916412628310e-01
4.467599410168605623e-01,5.666003776458964358e-01,5.710498602004001611e-01
3.920315989651048105e-01,5.365279461908448733e-01,5.459783334704614299e-01
3.526810559675422341e-01,5.079826472585862174e-01,5.211231094193431446e-01
3.226141977014209683e-01,4.807900774780997644e-01,4.962039038841690730e-01
2.972961685379595931e-01,4.548955402548298110e-01,4.710902317062882205e-01
2.742947085882657676e-01,4.303060816257451848e-01,4.457708078599111334e-01
2.527428920927763945e-01,4.071078188597135328e-01,4.203601085057406817e-01
2.325480345920462044e-01,3.854417999357040436e-01,3.950775717298579126e-01
2.138367118181198345e-01,3.654864415061221394e-01,3.702457945077040624e-01
1.965988019783209972e-01,3.474017746544018626e-01,3.462576837065208801e-01
1.805068974164582563e-01,3.279560439641935332e-01,3.235168284614752809e-01
1.648917619679433622e-01,3.059577827017040397e-01,3.023564933277789746e-01
1.489870352625312644e-01,2.859655819536535692e-01,2.830273355644218336e-01
1.323337564688725765e-01,2.682046308517085365e-01,2.657820702150601178e-01
1.151107219404005066e-01,2.530238732710480831e-01,2.509908479601282161e-01
9.820639264209929387e-02,2.409430097962072248e-01,2.391881702092802930e-01
8.299953722013519997e-02,2.325457856497666065e-01,2.309684984469225488e-01
7.095585443797126912e-02,2.282446002238343319e-01,2.267534116850305204e-01
6.320422695311153638e-02,2.280069285640919374e-01,2.265204036852028757e-01
6.022484161586898893e-02,2.312287021730900782e-01,2.296781233959475921e-01
6.169216625232551432e-02,2.367876612136693149e-01,2.351222665581330640e-01
6.652889285281302079e-02,2.432869830065866323e-01,2.414802990041491626e-01
7.314646339790356611e-02,2.493203719200130231e-01,2.473755471321199828e-01
7.979754615960441000e-02,2.536844056650752743e-01,2.516353734027057532e-01
8.493520839254091459e-02,2.555011077643785655e-01,2.534076159711302623e-01
8.750076018785714338e-02,2.542702736573269617e-01,2.522069734085536363e-01
8.705690045207228889e-02,2.498603046358744140e-01,2.479027838568282349e-01
8.377376681652563828e-02,2.424599798718417576e-01,2.406717030439791960e-01
7.829041056545790744e-02,2.325047800554649324e-01,2.309283289890206314e-01
7.151511961923363858e-02,2.206082554398832718e-01,2.192620777850114444e-01
6.441704844106242722e-02,2.074913176951345695e-01,2.063716654901620595e-01
5.785180700464789827e-02,1.939188199866520301e-01,1.930051397645330957e-01
5.243998490714028848e-02,1.806508297468070179e-01,1.799123842694047570e-01
4.850985976937765426e-02,1.683794474735016422e-01,1.677816571692578862e-01
4.609557849696441223e-02,1.576706616966292718e-01,1.571799357201265068e-01
4.498735826299062046e-02,1.488962514500165868e-01,1.484830476257997800e-01
4.481630585106571862e-02,1.421856295881443744e-01,1.418258579500527583e-01
