cost,L2,trace
1.008397221503179342e+00,6.234760727264712088e-01,7.855596411996152995e-01
8.229250986685412439e-01,5.878824594429952199e-01,7.730555085142206684e-01
7.044345719443285692e-01,5.702874164057046835e-01,7.679637097433790194e-01
6.268556467146979561e-01,5.563066917000338840e-01,7.651118992563200605e-01
5.630382600238910129e-01,5.314082401080664209e-01,7.606620155313981169e-01
5.014327694560607451e-01,5.051463121416693847e-01,7.511601258989553109e-01
4.407132388866960016e-01,4.794830240931025611e-01,7.360439760731147807e-01
3.833859788167297555e-01,4.562743982877842108e-01,7.164806773162201159e-01
3.331454818896311121e-01,4.378474709267533016e-01,6.937605828946310504e-01
2.932088846768240997e-01,4.155741683174350998e-01,6.686513112321728070e-01
2.653248226190501047e-01,3.987649517564572643e-01,6.422499611135435993e-01
2.494464608121395865e-01,3.918171023880300807e-01,6.165300959333579467e-01
2.427209231508812848e-01,3.947730041680073687e-01,5.927685087959001509e-01
2.399280646128932881e-01,4.050599416455337165e-01,5.707723503381213481e-01
2.357969588664076688e-01,4.193528699758257705e-01,5.493514708493332233e-01
2.270483806048241293e-01,4.351103202714312612e-01,5.272330341130050391e-01
2.129491279821415228e-01,4.484322213073578811e-01,5.036725544950501066e-01
1.946196593746770953e-01,4.420530428417024371e-01,4.785077336915812274e-01
1.739875982672698662e-01,4.309839812711157014e-01,4.520249336923642947e-01
1.529598959454697982e-01,4.118720648970179976e-01,4.246652998606211260e-01
1.329659579865314634e-01,3.824295790843093013e-01,3.967479653424600960e-01
1.148474659147613874e-01,3.532213806960002866e-01,3.685432503512260372e-01
9.889794515014055376e-02,3.261478852955503882e-01,3.402391937689213663e-01
8.501692465277582711e-02,2.975260556444732640e-01,3.120804553373784374e-01
7.290719108780577273e-02,2.719808980348044081e-01,2.844539067405062460e-01
6.234784529489269256e-02,2.510069613624838492e-01,2.580861983753309219e-01
5.334255738630962196e-02,2.344530484041360829e-01,2.340832716686465087e-01
4.601841511464356549e-02,2.148243884758817002e-01,2.135815380219087400e-01
4.037503221434707301e-02,1.978451488743291353e-01,1.968747447868244849e-01
3.612208867383884248e-02,1.836378647582775636e-01,1.828621269173541508e-01
3.280178797283765657e-02,1.705390700748300181e-01,1.699179532795092873e-01
3.000100157965478534e-02,1.574406916750755170e-01,1.569521120316929863e-01
2.743661493108718458e-02,1.439655119321736898e-01,1.435920476409489333e-01
2.499108481674580662e-02,1.304137853389025492e-01,1.301362342717408416e-01
2.270699857714945230e-02,1.175788665481286022e-01,1.173755027894748670e-01
2.071610933238060906e-02,1.064772406596527082e-01,1.063262366636393980e-01
1.915374877041509452e-02,9.793663861556534123e-02,9.781914718874662462e-02
1.806296234624916314e-02,9.193933239228939402e-02,9.184213744883183705e-02
1.735315679154001908e-02,8.740589151220912179e-02,8.732238128753251616e-02
1.682614827648659661e-02,8.261341490574961033e-02,8.254290549125851972e-02
1.628522363367627956e-02,7.620106538460323653e-02,7.614573663699052142e-02
1.563819676747307125e-02,6.792540826384906028e-02,6.788622216088027739e-02
1.492889256395191731e-02,5.892832940026841715e-02,5.890274491476119728e-02
1.429303196403008611e-02,5.167180778481991060e-02,5.165455959705425593e-02
1.385851646546845672e-02,4.894233412115168297e-02,4.892767766143778924e-02
1.366933554912192102e-02,5.142737479700839470e-02,5.141037025709163655e-02
1.366059868674703373e-02,5.682939801762742354e-02,5.680645149565480972e-02
1.370659256975696391e-02,6.211507002961528384e-02,6.208510562068303429e-02
1.370526345283376232e-02,6.553216977461698289e-02,6.549698212412435883e-02
1.363079768280084890e-02,6.655293387391593429e-02,6.651607586206763345e-02
1.352095730638268323e-02,6.546943702167971890e-02,6.543435034601211009e-02
1.342374305703555176e-02,6.299079951677236111e-02,6.295954958193765438e-02
