cost,L2,trace
1.768019834602490903e+00,7.586910666994800545e-01,9.158082826721607450e-01
1.362683382065666748e+00,8.510734490982386768e-01,8.688099051018666197e-01
1.404425399845572464e+00,8.805629226271929344e-01,8.960558679163127538e-01
1.497625478197256665e+00,8.629907395282304661e-01,8.935870905227285554e-01
1.352632401903886450e+00,8.973069747214159619e-01,8.961403365928827247e-01
1.400291377204493148e+00,7.963985286306072275e-01,9.343066412788713082e-01
1.380794123255371320e+00,8.341536775765993061e-01,8.955248544917395748e-01
1.354769496200430190e+00,8.494505831431203857e-01,9.147266014587346339e-01
1.668287095662396080e+00,8.331631899491138693e-01,9.609270589030974863e-01
1.430350837205111247e+00,7.867850324264427098e-01,8.772970732401879079e-01
1.521222755585248887e+00,8.250436146023786277e-01,8.578023383223474241e-01
1.538882459262999713e+00,8.756811071704413418e-01,9.198040350645457774e-01
1.816032851384971503e+00,8.568351457647460645e-01,9.064472200719951855e-01
2.022199120474651668e+00,9.161702229018703347e-01,9.698187840235348300e-01
1.386775159511957289e+00,8.354381624827483810e-01,8.226516976375392032e-01
1.383720003554716360e+00,1.044521548866156557e+00,9.485908800948805730e-01
2.221767019138214394e+00,8.130380028612201881e-01,9.421439287417272546e-01
1.621322066748297264e+00,8.417873770640083020e-01,9.061035275024561519e-01
1.374079883840009897e+00,8.801753838456362056e-01,9.447711111132325312e-01
1.453535188836440506e+00,8.656305069669952834e-01,8.974974735791069191e-01
1.394119424884082470e+00,8.178437575615304933e-01,8.511808015277001482e-01
9.485706763888308579e-01,7.839528112369569257e-01,8.800010583323371050e-01
9.657595686107717237e-01,8.253968532243031175e-01,8.210229849164651927e-01
9.647964594195707067e-01,7.867457199707544868e-01,8.953752831608653429e-01
1.015637193777855218e+00,7.924241095109472166e-01,8.888657178805111636e-01
9.891556302216304442e-01,7.870029279032163538e-01,8.896875328168856178e-01
9.313540004998356325e-01,7.794813898569701305e-01,8.813054667693471789e-01
9.292998202164670651e-01,7.678133257698259717e-01,8.793418218154495092e-01
9.333023853249073909e-01,7.628140358906591034e-01,8.869382607954056086e-01
9.400580585898321573e-01,7.671828977017042250e-01,8.791466863312583646e-01
8.771639271768627566e-01,7.566443015860871979e-01,8.773410437024931063e-01
8.533652425161976085e-01,7.418128307765737839e-01,8.772812670206238117e-01
8.503153196171963080e-01,7.221420319901060703e-01,8.731839415280172600e-01
8.577358080108856697e-01,7.152654513346955456e-01,8.826348752606151260e-01
8.545316049610583997e-01,7.253964940340535961e-01,8.740811404994205391e-01
8.528602672935791107e-01,7.115006641752656957e-01,8.685824004060046510e-01
8.395192496525497594e-01,7.155201106301751768e-01,8.704664197585044727e-01
8.150683129504850966e-01,6.971497365192939055e-01,8.690950417946685658e-01
7.734856404282292042e-01,7.085586025987109515e-01,8.563488246033595930e-01
7.661565224106884342e-01,7.044644958178523098e-01,8.531407915282777088e-01
7.487818338451751599e-01,6.966438711971123521e-01,8.514486081606988943e-01
7.302157064630341310e-01,6.889178302304858059e-01,8.541880071861739365e-01
7.408052994601359575e-01,6.910985097948916245e-01,8.482206029626301325e-01
7.353069442620874252e-01,6.853404358864961798e-01,8.596487378942059276e-01
7.158141867226723853e-01,6.778723987505740345e-01,8.562963963608896112e-01
6.778218478486441878e-01,6.759395517655902852e-01,8.525311291909819511e-01
6.875900312514192647e-01,6.726757571510108002e-01,8.488096838952924328e-01
7.006229892359977507e-01,6.756239208658415540e-01,8.571625381265145505e-01
6.426273881651154429e-01,6.652076487376670233e-01,8.402510607953561639e-01
6.314923397037681685e-01,6.677092174221167520e-01,8.391560068902391700e-01
6.189307520610627389e-01,6.534064274183918331e-01,8.418521456782004364e-01
5.959903711263185855e-01,6.516625155599090613e-01,8.317765223086747151e-01
5.987473619798371338e-01,6.371184422106030976e-01,8.261920125409965010e-01
5.951302747857547537e-01,6.390682262252285195e-01,8.296271840563765876e-01
5.870174361910257543e-01,6.546974945265889856e-01,8.275961780719341965e-01
5.860398941666835615e-01,6.623721159796079894e-01,8.280774620424318222e-01
5.860174609923234357e-01,6.539882497856381871e-01,8.326303926586575699e-01
5.774584735056139673e-01,6.591273529992132119e-01,8.272390887356845246e-01
5.687133922384309814e-01,6.491564069227880873e-01,8.329302191586063220e-01
5.800072539356684320e-01,6.511724051708485117e-01,8.407746738415218246e-01
5.643147196209366001e-01,6.467542284006664310e-01,8.363102725329194520e-01
5.648940315780689447e-01,6.497043837734073346e-01,8.256615894953130974e-01
5.605100052399916155e-01,6.459309284494696435e-01,8.357411267746031047e-01
5.256996173012831175e-01,6.561292047498015201e-01,8.250591350264138146e-01
5.011493244693197013e-01,6.763638999071909241e-01,8.163858337182107183e-01
4.947552241502958248e-01,6.800563165032306179e-01,8.082250727293350812e-01
4.804880652701567501e-01,6.720210665229016112e-01,8.098909484359687605e-01
4.696330990174940045e-01,6.543257242941035168e-01,8.049282770415961963e-01
4.727017480489377754e-01,6.693327319017214894e-01,8.053999490885734858e-01
4.789187718736598320e-01,6.489381826046938251e-01,8.118950073156031566e-01
4.602997550049335862e-01,6.523116708832880084e-01,7.993477239094376463e-01
4.531300218759640730e-01,6.517990700669392679e-01,7.939811530548284146e-01
4.352639810279383958e-01,6.479686873099638200e-01,7.846345540157922960e-01
4.409959494795337998e-01,6.521987439642331630e-01,7.855484686839402375e-01
4.282696399691091060e-01,6.489883995352105917e-01,7.779831846832160336e-01
3.954993665514199286e-01,6.556365961923613650e-01,7.624220220478343801e-01
3.875893749834655733e-01,6.512448219060390509e-01,7.583383119774856906e-01
3.789340802006286868e-01,6.642769151718947995e-01,7.556766487668165055e-01
3.724176205349806201e-01,6.489439995726390409e-01,7.431123373432155788e-01
3.512356150240144581e-01,6.448660662084580997e-01,7.276588194782868113e-01
3.405067834274604355e-01,6.493468845126403322e-01,7.244774086132531599e-01
3.297272858800208706e-01,6.469706125572564082e-01,7.106564678350043573e-01
3.182597423896001976e-01,6.356738343468342212e-01,6.996912081663143601e-01
3.199363095755007880e-01,6.378184032346218002e-01,7.034481465705370029e-01
3.212528574080926735e-01,6.369490727113268358e-01,7.025415402591511649e-01
3.166676780185839757e-01,6.406815756627050051e-01,6.939661761453045363e-01
3.234235412177789426e-01,6.384670964929971548e-01,6.912677301642720096e-01
3.234073261995144000e-01,6.396361199910353124e-01,6.937038476437769052e-01
3.018675021462886576e-01,6.298298771051844547e-01,6.735319722891468519e-01
3.001185095081360665e-01,6.261115859841669407e-01,6.574814900544020402e-01
3.081261719411672595e-01,6.299765512633762610e-01,6.653744353109861676e-01
3.032747853653602332e-01,6.275952668591650019e-01,6.609991056253271546e-01
2.651828847924821986e-01,5.987695692590239149e-01,6.285063023606541899e-01
2.450363666547443475e-01,5.896819761568992124e-01,6.102914845041123026e-01
2.437092041118218699e-01,5.784881085367876707e-01,6.034657631898168173e-01
2.396451285610460835e-01,5.628322209833107603e-01,5.876562161803218221e-01
2.295740338549038528e-01,5.605397977538759680e-01,5.767128978487785496e-01
2.291867853671211708e-01,5.591634211162324064e-01,5.713290694490213983e-01
2.277192490391317381e-01,5.535640816962141830e-01,5.709825347228872916e-01
2.210353564056333209e-01,5.452166057249218101e-01,5.659634142742119289e-01
2.062089264703966252e-01,5.254504696308853751e-01,5.425314602002045961e-01
1.968543630371632491e-01,5.022275758856962202e-01,5.225945777884036803e-01
2.018968262831043470e-01,4.932626951426516415e-01,5.118969796779417880e-01
1.938863129028864374e-01,5.102271693144821985e-01,5.256919023798571899e-01
1.990738183056371124e-01,5.135176639932513831e-01,5.238980320926057699e-01
1.951352164860009619e-01,5.102261549588161804e-01,5.242426536927603520e-01
1.929599921787044647e-01,4.966828315911764324e-01,5.136635336480857017e-01
1.870945067778257698e-01,4.890689679478638086e-01,5.128824465531620636e-01
1.773269447894055828e-01,4.938041417113622766e-01,5.153799142979870185e-01
1.716230974360395400e-01,4.730189657141342097e-01,5.038719066433706706e-01
1.768866291655099010e-01,4.711753166027345396e-01,5.065270044645779901e-01
1.794056187307002670e-01,4.776124573850845656e-01,5.130248424449455058e-01
1.637224406345831884e-01,4.517270532171433484e-01,4.829657439016855625e-01
1.582603431816674289e-01,4.462337678691460363e-01,4.765044790419536991e-01
1.557610047456731428e-01,4.410230803362500951e-01,4.673805614898430272e-01
1.601241940967586541e-01,4.457613208014271633e-01,4.685518481022589721e-01
1.549452693634945089e-01,4.399594936204651585e-01,4.695592972284740041e-01
1.509330491518023898e-01,4.279267786733269019e-01,4.572684848469217855e-01
1.664163991975044776e-01,4.251435528380300699e-01,4.618309261491684858e-01
1.428879635318571206e-01,4.164341318459697239e-01,4.505435108433850644e-01
1.327548871652627083e-01,3.972339476685031734e-01,4.299458542908583536e-01
1.307764780897179568e-01,3.868934678848603981e-01,4.179818960055129984e-01
1.376076780632378704e-01,3.776680672210527279e-01,4.159533701332376876e-01
1.287598591729280373e-01,3.805662467274193994e-01,4.139300817435325741e-01
1.185352709642910896e-01,3.530622541692209904e-01,3.955189737971201436e-01
1.153494630639870649e-01,3.469215406824203707e-01,3.957928222945973351e-01
1.181433935079390929e-01,3.218356593181591063e-01,3.850964404103455196e-01
1.208493063249765492e-01,3.493302433728790457e-01,4.022307993021610462e-01
1.163882544187636314e-01,3.442762126376488485e-01,3.837415315281594297e-01
1.251894415172763730e-01,3.574813892435681484e-01,4.025314858472469060e-01
1.117722733403675589e-01,3.473862530296149553e-01,3.970249184744866766e-01
1.156696335336893922e-01,3.515564321064059694e-01,4.095162032744578129e-01
1.130954422379104318e-01,3.468642120471251422e-01,3.966491652839277959e-01
1.059910100571880565e-01,3.368533586214101927e-01,3.829443761646270095e-01
1.115577718991615369e-01,3.301781217381863365e-01,3.771589041021697342e-01
1.042602499442996378e-01,3.334652672555827868e-01,3.784191143994012907e-01
9.902708106289068168e-02,3.304640325471119855e-01,3.650085707771833499e-01
9.585407116596808552e-02,3.293113170320599581e-01,3.646816628530911153e-01
8.971003477609160170e-02,3.305164096390169615e-01,3.634866116204888420e-01
9.609283700764083280e-02,3.276612380546303771e-01,3.680966115003954098e-01
8.627295927406264386e-02,3.203567748627844103e-01,3.565933541771838522e-01
8.577225860112989986e-02,2.982171195570503253e-01,3.394993561181309238e-01
9.160334496755478950e-02,3.007248977858545946e-01,3.394718140587335009e-01
8.795639986489714457e-02,3.026993896784928029e-01,3.401902638113910582e-01
8.992793399392917664e-02,3.065975246661835074e-01,3.416940086742403238e-01
9.026945075895270731e-02,3.083191205716706573e-01,3.479328496748094746e-01
8.502243153856221813e-02,2.887317179730358729e-01,3.364793417359770444e-01
8.942104566631323137e-02,2.934348759061848333e-01,3.398528083507334485e-01
