cost,L2,trace
1.768019834602490903e+00,7.586910666994800545e-01,9.158082826721607450e-01
1.362683382065666748e+00,8.510734490982386768e-01,8.688099051018666197e-01
1.404425399845572464e+00,8.805629226271929344e-01,8.960558679163127538e-01
1.497625478197256665e+00,8.629907395282304661e-01,8.935870905227285554e-01
1.352632401903886450e+00,8.973069747214159619e-01,8.961403365928827247e-01
1.400291377204493148e+00,7.963985286306072275e-01,9.343066412788713082e-01
1.380794123255371320e+00,8.341536775765993061e-01,8.955248544917395748e-01
1.354769496200430190e+00,8.494505831431203857e-01,9.147266014587346339e-01
1.668287095662396080e+00,8.331631899491138693e-01,9.609270589030974863e-01
1.430350837205111247e+00,7.867850324264427098e-01,8.772970732401879079e-01
1.521222755585248887e+00,8.250436146023786277e-01,8.578023383223474241e-01
1.538882459262999713e+00,8.756811071704413418e-01,9.198040350645457774e-01
1.816032851384971503e+00,8.568351457647460645e-01,9.064472200719951855e-01
2.022199120474651668e+00,9.161702229018703347e-01,9.698187840235348300e-01
1.386775159511957289e+00,8.354381624827483810e-01,8.226516976375392032e-01
1.383720003554716360e+00,1.044521548866156557e+00,9.485908800948805730e-01
2.221767019138214394e+00,8.130380028612201881e-01,9.421439287417272546e-01
1.621322066748297264e+00,8.417873770640083020e-01,9.061035275024561519e-01
1.374079883840009897e+00,8.801753838456362056e-01,9.447711111132325312e-01
1.453535188836440506e+00,8.656305069669952834e-01,8.974974735791069191e-01
1.394119424884082470e+00,8.178437575615304933e-01,8.511808015277001482e-01
9.494073654955439423e-01,7.846461545401338666e-01,8.798894638986226591e-01
9.651681373046220314e-01,8.257388719151487200e-01,8.210169970123692984e-01
9.660382777684912714e-01,7.877010775126254138e-01,8.950628426508308033e-01
1.016457133178761740e+00,7.931425385236652303e-01,8.887561133557463355e-01
9.903682817498581370e-01,7.879754683393587200e-01,8.894172382433842561e-01
9.321796258781420708e-01,7.801684878085693997e-01,8.811920338657530660e-01
9.299122055042908785e-01,7.685169552444873764e-01,8.791923578942104633e-01
9.339089091758583372e-01,7.635009705261561752e-01,8.867782902401158962e-01
9.405973873886148695e-01,7.678723543123789907e-01,8.789908395284216081e-01
8.772033546076332122e-01,7.572655522652638194e-01,8.771412273253688108e-01
8.530620901257022215e-01,7.423003533488991001e-01,8.770462433685489723e-01
8.498755404020491566e-01,7.226570173411029918e-01,8.728865078791122611e-01
8.560053037995464242e-01,7.157489394515754721e-01,8.821771969920629841e-01
8.539750369653813511e-01,7.259225273386276100e-01,8.738050385674026588e-01
8.515150740553019126e-01,7.118850399616172275e-01,8.682186938957424660e-01
8.390209643419535013e-01,7.160498357028567407e-01,8.701667159003385610e-01
8.144946602633377220e-01,6.979697648677511967e-01,8.688371653517912296e-01
7.732383090348787791e-01,7.098004178644751194e-01,8.561009279582377784e-01
7.659708030453857841e-01,7.058629902266800871e-01,8.529461700852940531e-01
7.474836212077731190e-01,6.980529013546423744e-01,8.511643852897196050e-01
7.282414267389558660e-01,6.906601739370392679e-01,8.538839013393063615e-01
7.385138458304422171e-01,6.926599603905783109e-01,8.478563918484486317e-01
7.333555765456849507e-01,6.871006902377093661e-01,8.593740358491013254e-01
7.138514898875915060e-01,6.797754675096472354e-01,8.559442711943153759e-01
6.762179468050221187e-01,6.782998751007345284e-01,8.520992156774402915e-01
6.856621913944258573e-01,6.751846663905313184e-01,8.482486215337541324e-01
6.990446676891638456e-01,6.779400958505990005e-01,8.567286214754850082e-01
6.417479159362772245e-01,6.677768798632911507e-01,8.397983594578400934e-01
6.326554685473696482e-01,6.708370526067927164e-01,8.390516219657437880e-01
6.198284182118878327e-01,6.565974818225304155e-01,8.416578389356463852e-01
5.962821227051936512e-01,6.546577531427044683e-01,8.315241363017169540e-01
5.871374319568355427e-01,6.575139083436467580e-01,8.277705488968258862e-01
5.863473173748591227e-01,6.420739127506928101e-01,8.217541241394917817e-01
5.826615767776770483e-01,6.514533405528866172e-01,8.214327917830450687e-01
5.847816469014968099e-01,6.441579885217965096e-01,8.256820280573435866e-01
5.737543911481710612e-01,6.509314735852034239e-01,8.204441925073577835e-01
5.623137912598009658e-01,6.404200644403807985e-01,8.260466242545464466e-01
5.730254715610192395e-01,6.393885164429831125e-01,8.338071328300997731e-01
5.548629648177962892e-01,6.289560342518597524e-01,8.229866990642400459e-01
5.461008816891621542e-01,6.482431094466295507e-01,8.177718931375951295e-01
5.317257619011430680e-01,6.652793576156477151e-01,8.131376759220741990e-01
5.236665944790028782e-01,6.552649817454563319e-01,8.176604329712304775e-01
5.123279197489011283e-01,6.505060269328289957e-01,8.147596067867286518e-01
5.154998376702082385e-01,6.477614763914205653e-01,8.008675088060035474e-01
5.004894120854547213e-01,6.533397447066526809e-01,8.128045951113759271e-01
4.712369715218795996e-01,6.575151951989347543e-01,7.997196248628847259e-01
4.719354293437971748e-01,6.460784321281516362e-01,8.002881102981233008e-01
4.801758278920434941e-01,6.525767461953057014e-01,8.063022768067175106e-01
4.523615726472144383e-01,6.584548877354569063e-01,7.894288504406019591e-01
4.466847101763979366e-01,6.551082317160181745e-01,7.865880370013239586e-01
4.373280004291472123e-01,6.538278097297156588e-01,7.801106572312137555e-01
4.145374069573256604e-01,6.500446543234826846e-01,7.692571256237851207e-01
4.144792140121614787e-01,6.594605417372407796e-01,7.677810190779245092e-01
3.792129006998460894e-01,6.554055688383871869e-01,7.478102541298646821e-01
3.725744016409360260e-01,6.732318790883778936e-01,7.426017079701524581e-01
3.541564860420925998e-01,6.652894953705652537e-01,7.352850712101074437e-01
3.435908348860943207e-01,6.544038866346173489e-01,7.178781227920807417e-01
3.382050841389506735e-01,6.586550539318358766e-01,7.086042950174387123e-01
3.307454640032418403e-01,6.471264151911582108e-01,7.011534945251143292e-01
3.305380152645871483e-01,6.440184869164221615e-01,7.042861337685055734e-01
3.359586867244493402e-01,6.513594908088518043e-01,7.065864310756562183e-01
3.323056296038068291e-01,6.444132292730300193e-01,7.058852736884463352e-01
3.285047526390366124e-01,6.357973610601032055e-01,7.067100985447939410e-01
3.199716581515374969e-01,6.298451265914473129e-01,6.903336771245639492e-01
2.951931876448563585e-01,6.225980697094031235e-01,6.735550855750223054e-01
2.978566275269383667e-01,6.173927316552709765e-01,6.649775849973439401e-01
2.956017210831625164e-01,6.220131149261997061e-01,6.702884415098881998e-01
2.942273888285595329e-01,6.247444960497909872e-01,6.634450832253384611e-01
2.869909561141086307e-01,6.165625392264506566e-01,6.532706540352574143e-01
2.947069186940073360e-01,6.097291891553224819e-01,6.458146244679512371e-01
2.954866271075154982e-01,6.263145606940163646e-01,6.628060751100902648e-01
2.656202644369757837e-01,5.971094521134244770e-01,6.321102850824384944e-01
2.594645353083208095e-01,5.984439525179843233e-01,6.234476640058094210e-01
2.610072156394493970e-01,5.886002205677189902e-01,6.215761386401350563e-01
2.562988126894161223e-01,6.003043707546209529e-01,6.237472772603438465e-01
2.424917819231680316e-01,5.780684672421748660e-01,6.069738809872874397e-01
2.402821940248377475e-01,5.609257972378289825e-01,5.876115899873531889e-01
2.247485356607951124e-01,5.325088407657395662e-01,5.663278286030363207e-01
2.120640176066623805e-01,5.311801619928356866e-01,5.547239794407285984e-01
2.213935847981918781e-01,5.403782478873534467e-01,5.582562399298052203e-01
2.101620039045332677e-01,5.288701105834699989e-01,5.503024276009577109e-01
1.939796589126436821e-01,5.094948420554799018e-01,5.301704248513466888e-01
1.849009185670941469e-01,4.949946966321883690e-01,5.155805563802974278e-01
1.800890541103531972e-01,4.893023938069447909e-01,5.155282475370845940e-01
1.827320060778561683e-01,4.814143969720697802e-01,5.133264068886085330e-01
1.848961725378755472e-01,4.898348469419186446e-01,5.202573870486437713e-01
1.887065097734653418e-01,4.881892822599286363e-01,5.200645999568114242e-01
1.793627393142884774e-01,4.872602833155674218e-01,5.144905484135045004e-01
1.785885441428735620e-01,4.744137754754959579e-01,5.019684589242578987e-01
1.889676756196076446e-01,4.809556970465243553e-01,5.049074323204186809e-01
1.768869630137247517e-01,4.726197783483050419e-01,5.052343362136298976e-01
1.736042969143392345e-01,4.590887073588701961e-01,4.965258679152971255e-01
1.644945700478736561e-01,4.463647179232368423e-01,4.822514032469273904e-01
1.508751142548707680e-01,4.215197720054609243e-01,4.572861355028789987e-01
1.359566932197403544e-01,3.945277759950431840e-01,4.435393306846666106e-01
1.283503700341021014e-01,3.726088226372101797e-01,4.221791837643639189e-01
1.305029656182869202e-01,3.582245255330325784e-01,4.172758563885945460e-01
1.274367293916974508e-01,3.779955327704851431e-01,4.277196293048584064e-01
1.282331954681716901e-01,3.698942862880806315e-01,4.232743068705502876e-01
1.286483004166000255e-01,3.799484398611680525e-01,4.260818309493016320e-01
1.332753204430811023e-01,3.768295937394248729e-01,4.265955324932147463e-01
1.313091515467969816e-01,3.855276946907839064e-01,4.333695163482347845e-01
1.275454923307909050e-01,3.699063089060495302e-01,4.215119552232525213e-01
1.250969342720240352e-01,3.748912339331215149e-01,4.243847926231172907e-01
1.201600535018322174e-01,3.551663613590033686e-01,4.118716303316016791e-01
1.344647082081404932e-01,3.538428877532766026e-01,4.137068113933151658e-01
1.230209764668467876e-01,3.573586015441843622e-01,4.106441177887469318e-01
1.079853793275751955e-01,3.349658503801014597e-01,3.940916705999766290e-01
1.043984253061084611e-01,3.203491238316176770e-01,3.794965323625132947e-01
1.029498319124192290e-01,3.129437856376262594e-01,3.631843482972205717e-01
9.937957460538479615e-02,3.108836780285204604e-01,3.665573634809788928e-01
9.464414472900631314e-02,2.949515058664262113e-01,3.566888933847244814e-01
9.103855751681109998e-02,2.830592823972199468e-01,3.398829143107883755e-01
8.903384279859595518e-02,2.740380994154254513e-01,3.442287228737933580e-01
8.744387952481394444e-02,2.529222454379817520e-01,3.323031767410709603e-01
8.510983468890381820e-02,2.440758741748386695e-01,3.330654407918534066e-01
9.079640122568438665e-02,2.445512670226671625e-01,3.407909473397815470e-01
8.375489198082447517e-02,2.416791206708442663e-01,3.384643889598276112e-01
8.712008284152787663e-02,2.565540515887421158e-01,3.432907478408487312e-01
8.197420853797793283e-02,2.375842561304976619e-01,3.334978688883632469e-01
9.209925534807171521e-02,2.387931527979012536e-01,3.328761274895664091e-01
8.070302774445564653e-02,2.378881457183374404e-01,3.236793763448015948e-01
8.219637336952428930e-02,2.429439781609250559e-01,3.284691725568945064e-01
8.791352877049346537e-02,2.452422966040618268e-01,3.305383391816011929e-01
7.642749539063854736e-02,2.341221194492089375e-01,3.178542330300834773e-01
8.144434301207556515e-02,2.519664088956632408e-01,3.250126249016062063e-01
7.576671653580976940e-02,2.396087265747049166e-01,3.196655222672840080e-01
