cost,L2,trace
1.008397221503179342e+00,6.234760727264710978e-01,7.855596411996155215e-01
8.229250985778263638e-01,5.878824596625527033e-01,7.730555090579377397e-01
7.043933376216957587e-01,5.702614667131474802e-01,7.679873443096184582e-01
6.268843082875409367e-01,5.562407397709412393e-01,7.651640085785412770e-01
5.631690966915654517e-01,5.313723126229346061e-01,7.609747839226801425e-01
5.017058423317433125e-01,5.052230573839876504e-01,7.518105672299393305e-01
4.411406300435578576e-01,4.795885603944737841e-01,7.370267067915541315e-01
3.840569231713134579e-01,4.563831407504348459e-01,7.178072105895439980e-01
3.341249054868938306e-01,4.378989066374711636e-01,6.954289553469606977e-01
2.944904425783692048e-01,4.167228355892086955e-01,6.705603906990907914e-01
2.668266937595895061e-01,4.001398143497844062e-01,6.443334149997932414e-01
2.510295840767834408e-01,3.932864854441029401e-01,6.186978880924425273e-01
2.442701711266574427e-01,3.962379666482735985e-01,5.949310918041373908e-01
2.414353133258172468e-01,4.065228832424742644e-01,5.729019157129217055e-01
2.372811488591378692e-01,4.207896386882136186e-01,5.514894990840446543e-01
2.285160454756107740e-01,4.364597916512278908e-01,5.294434506789332806e-01
2.143794192519545283e-01,4.515824017636015375e-01,5.059936167208626268e-01
1.959631138052573274e-01,4.452828682448990438e-01,4.809817998408958406e-01
1.752068995443130106e-01,4.339438988086244953e-01,4.546313784393230528e-01
1.540451162351252901e-01,4.145413735363370766e-01,4.273502837181994973e-01
1.339600462599996877e-01,3.851497094932176402e-01,3.995263286146911730e-01
1.158122242770382032e-01,3.557541689774582072e-01,3.714221148505961745e-01
9.988183600018292474e-02,3.283925274805178374e-01,3.432086461260046573e-01
8.602154251147732522e-02,3.002721660639517953e-01,3.150863747810723203e-01
7.389554066516991482e-02,2.744835599486699085e-01,2.874245709940146387e-01
6.326562446395857242e-02,2.531139064638947000e-01,2.609192333873149861e-01
5.412512272354684517e-02,2.359202582436379925e-01,2.366396846886173189e-01
4.662103408190426679e-02,2.169890413379106098e-01,2.157081652396412585e-01
4.078886462302367538e-02,1.995109162441211503e-01,1.985157526289148266e-01
3.637854683560887148e-02,1.849324879175001102e-01,1.841402038077562531e-01
3.296025869151870263e-02,1.716808512660564501e-01,1.710471598267714055e-01
3.011128854773098551e-02,1.585859212511425975e-01,1.580865906764076512e-01
2.753288693348204461e-02,1.452110270894019783e-01,1.448277769761156242e-01
2.509661694552014349e-02,1.318155975357417076e-01,1.315289931595435280e-01
2.282695696242185990e-02,1.191464332374810586e-01,1.189348218724327055e-01
2.084429394803782865e-02,1.082100943022638873e-01,1.080515934788687654e-01
1.928045414534105759e-02,9.981693612163576590e-02,9.969254384615247599e-02
1.818124523929691427e-02,9.392711083206538303e-02,9.382347198571748537e-02
1.745390151521657163e-02,8.936685568099912713e-02,8.927759578263677609e-02
1.690100218500636270e-02,8.437423521494030743e-02,8.429911913347540309e-02
1.632989128778520455e-02,7.765458279718809309e-02,7.759602630412083812e-02
1.565290477323149493e-02,6.903918322794094786e-02,6.899803734541870570e-02
1.492233734827202660e-02,5.979568824365102259e-02,5.976895715142251791e-02
1.427330276584685281e-02,5.247128427075029022e-02,5.245322293581800022e-02
1.383492601674101569e-02,4.982745838005676886e-02,4.981199217995699313e-02
1.364125145896140021e-02,5.238686327443838053e-02,5.236888898586344876e-02
1.362346775979451224e-02,5.775682167737828526e-02,5.773273313915228133e-02
1.365807623268229867e-02,6.305276598277753664e-02,6.302142371660675313e-02
1.364690412156137692e-02,6.648867576525190060e-02,6.645192443133575433e-02
1.356723594397019929e-02,6.755142593826218844e-02,6.751288365050965579e-02
1.345783738547938826e-02,6.653849949002510478e-02,6.650166545934678430e-02
1.336782740653503707e-02,6.414148229259362954e-02,6.410848800892575416e-02
1.330901324647725849e-02,6.109362728406739218e-02,6.106511716095962966e-02
1.325515626888683872e-02,5.795678715231501743e-02,5.793244751385989016e-02
1.317280818582053890e-02,5.500762544904690826e-02,5.498681598660813685e-02
1.305587683004435715e-02,5.234104475258453265e-02,5.232311759009345559e-02
1.292994511089712306e-02,5.001463988247321912e-02,4.999899870782419098e-02
1.282975952633782189e-02,4.804437549074004610e-02,4.803051111440680837e-02
1.276852461552466234e-02,4.637417652121169492e-02,4.636170851440250124e-02
1.273070119862547075e-02,4.480988129370912926e-02,4.479863301923215496e-02
1.268605302689911063e-02,4.312509083086537437e-02,4.311506430287401215e-02
1.261282782374045092e-02,4.117017528439362306e-02,4.116145151502176996e-02
1.251122770514278768e-02,3.903220122268520609e-02,3.902476725781339750e-02
1.240400061627873474e-02,3.702499653469733254e-02,3.701865152475668913e-02
1.231612914004743403e-02,3.553427622268320873e-02,3.552866720624393848e-02
1.225961486697321398e-02,3.481593121134779478e-02,3.481065554933317208e-02
1.222501534318934033e-02,3.486085940281115347e-02,3.485556328946613075e-02
1.219251421999117783e-02,3.545738769896807779e-02,3.545181501581606137e-02
1.214782885174514084e-02,3.639462517508530032e-02,3.638859877828701239e-02
1.209264083717157684e-02,3.754357012292213608e-02,3.753695474006726873e-02
1.203862920081196983e-02,3.880409537669320813e-02,3.879679099298091044e-02
1.199242378697582684e-02,4.002518599908516661e-02,4.001717007529990988e-02
1.194771397913291233e-02,4.091998462125277097e-02,4.091141894105902732e-02
1.189287019513320283e-02,4.125580407584958365e-02,4.124702575626514739e-02
1.182271811922551430e-02,4.096084733382866078e-02,4.095225596512525740e-02
1.174292428201627325e-02,4.018367793952586781e-02,4.017556640722562411e-02
1.166358257273553481e-02,3.917846329344683298e-02,3.917094543965383979e-02
1.159063444750802613e-02,3.820367405324623378e-02,3.819670353565277066e-02
1.152367011693963134e-02,3.748616269600853895e-02,3.747957761506958557e-02
1.145938991278566688e-02,3.715414651284648651e-02,3.714773486950534442e-02
1.139676539393616114e-02,3.720759142114483942e-02,3.720115206764428722e-02
1.133704871565189946e-02,3.755935521576151542e-02,3.755273148465419764e-02
1.128116599200391923e-02,3.804944168539409199e-02,3.804255525470049554e-02
1.122733838053560119e-02,3.844160535687120989e-02,3.843450378188408012e-02
1.117148929504637594e-02,3.853846279843438360e-02,3.853130740536529764e-02
1.111008495508883712e-02,3.824108272021691651e-02,3.823409170491482573e-02
1.104265366424221281e-02,3.760311922595212242e-02,3.759647231265796780e-02
1.097280560545563222e-02,3.677636030034352882e-02,3.677014226816381626e-02
1.090465483934768137e-02,3.592875760914825828e-02,3.592295969666500777e-02
1.084034146899592876e-02,3.516866081952307183e-02,3.516322317161577060e-02
1.077841861270219942e-02,3.457525172625026955e-02,3.457008472559447432e-02
1.071669253238908409e-02,3.415886595826338884e-02,3.415388340420467961e-02
1.065481322070087333e-02,3.386850144373253213e-02,3.386364487996482847e-02
1.059442959705405272e-02,3.362015238324807254e-02,3.361540187879017566e-02
1.053686855635315583e-02,3.330298781363227184e-02,3.329837049637855012e-02
1.048207761787693995e-02,3.284744007568166785e-02,3.284300966598237975e-02
1.042924156308193580e-02,3.222052059669259366e-02,3.221633906054158919e-02
1.037815686795325043e-02,3.147305493028895729e-02,3.146915772214674972e-02
1.032902905221178176e-02,3.070777163969981918e-02,3.070415187352753053e-02
1.028185397272007341e-02,3.004149722685576021e-02,3.003810801097957575e-02
1.023593364455551921e-02,2.950636942489789569e-02,2.950315812419363262e-02
1.019070249990566834e-02,2.912986079321336352e-02,2.912677086581989469e-02
1.014625281867030313e-02,2.895074117163288357e-02,2.894770789635621802e-02
1.010366439468286456e-02,2.897448392945972326e-02,2.897144318495080070e-02
1.006399770343536539e-02,2.917332738056635857e-02,2.917022359997958891e-02
1.002736236535182665e-02,2.951151877492496495e-02,2.950830579259660844e-02
9.993518503907171044e-03,2.992090248788074891e-02,2.991755392560200427e-02
9.961805547680453732e-03,3.032506850033701157e-02,3.032158239627529700e-02
9.931837590674100560e-03,3.061981454280826229e-02,3.061622579341580913e-02
9.903740917364069543e-03,3.082278489458423545e-02,3.081912430172955089e-02
9.877626569997653705e-03,3.095671920634142718e-02,3.095301068474980502e-02
9.853312475716772753e-03,3.102709610452138861e-02,3.102336223155043385e-02
9.830367609857677824e-03,3.104022906581600447e-02,3.103649044931040824e-02
9.808810833713214189e-03,3.099587067834298423e-02,3.099214806771371372e-02
9.788791446773827815e-03,3.089142643772043936e-02,3.088774133323706275e-02
9.770267087586857052e-03,3.071531886503589895e-02,3.071169642913136599e-02
9.753178437996057326e-03,3.044568811084888763e-02,3.044216024097037496e-02
9.737310731085351001e-03,3.009809945834790099e-02,3.009469104841692652e-02
9.722547783874876254e-03,2.971501092874801950e-02,2.971173102072862185e-02
9.708539787466410192e-03,2.933578771615297578e-02,2.933263179142350449e-02
9.694957129527784906e-03,2.897915275127286097e-02,2.897611053658104285e-02
9.681809816750115011e-03,2.869344203792537421e-02,2.869048892327109163e-02
9.669279537980329797e-03,2.847351643010380406e-02,2.847063070248195132e-02
9.657392825803592928e-03,2.831929472237391249e-02,2.831645563287191886e-02
9.646164727940470529e-03,2.821183933078418027e-02,2.820903243800871804e-02
9.635374518536637609e-03,2.813488938112504792e-02,2.813210539455493833e-02
9.624840360005375295e-03,2.805691059046975383e-02,2.805414968890586336e-02
9.614304607552186244e-03,2.794589493105789982e-02,2.794316667406935087e-02
9.603549580986008721e-03,2.775315490220065656e-02,2.775048270811426854e-02
9.592505084847321312e-03,2.748276579559024921e-02,2.748017094816064543e-02
9.581392277244915601e-03,2.713138859634440375e-02,2.712889201305902775e-02
9.570324214236612670e-03,2.676572476250000526e-02,2.676332777106178382e-02
9.559435429315366051e-03,2.642725610755452745e-02,2.642494890783137276e-02
9.548702244886542526e-03,2.615923588585199883e-02,2.615699817611779818e-02
9.538004697271403043e-03,2.595712160976853047e-02,2.595493536946501256e-02
9.527257590923153205e-03,2.581074063941591820e-02,2.580859117877756792e-02
9.516414638728078190e-03,2.568686687142813022e-02,2.568474821111903575e-02
9.505403351701122161e-03,2.554755615558959927e-02,2.554547178077923308e-02
9.494543107855088829e-03,2.537443160974229076e-02,2.537238932420965778e-02
9.484118094494852630e-03,2.514053949574186070e-02,2.513855316782573346e-02
9.474056953452032401e-03,2.484005986809570410e-02,2.483814391586107104e-02
9.464075147705738877e-03,2.444173705629677437e-02,2.443991180598907922e-02
9.454271904178933317e-03,2.395753159735637683e-02,2.395581269263671875e-02
9.444794769340692994e-03,2.347188708855570474e-02,2.347027061357588248e-02
9.435693769432779848e-03,2.301660414455680009e-02,2.301507992286890361e-02
9.426830256856295540e-03,2.259272093919248089e-02,2.259127938996118717e-02
9.418031309010558780e-03,2.220212839511702396e-02,2.220076032857785583e-02
9.409059831697649118e-03,2.185285139118166992e-02,2.185154688149299959e-02
9.399850631379562740e-03,2.152770058753632199e-02,2.152645344662314913e-02
9.390595352997466172e-03,2.123210036695683672e-02,2.123090389885524606e-02
9.381611057745119220e-03,2.096633845208214358e-02,2.096518635328012414e-02
9.372858660536867795e-03,2.074216831530072830e-02,2.074105277786735674e-02
9.364259114814105917e-03,2.051553219195898642e-02,2.051445282332395662e-02
9.356145065515948309e-03,2.029200098141689668e-02,2.029095651179180226e-02
9.348280955353231031e-03,2.004683031763752205e-02,2.004582325135044821e-02
9.340505501258682813e-03,1.974770489953058331e-02,1.974674224495389166e-02
9.332841770298604123e-03,1.944419548805945488e-02,1.944327654160862492e-02
9.325577456992546060e-03,1.910624122986448459e-02,1.910536937200339042e-02
9.318755607384966722e-03,1.873586337339518820e-02,1.873504124306909352e-02
9.312083986868745222e-03,1.835735549426809748e-02,1.835658219159271715e-02
9.305530877745679316e-03,1.794632504893651365e-02,1.794560253647678114e-02
9.299055092508865666e-03,1.746131058249899073e-02,1.746064508138628346e-02
9.292560413633979555e-03,1.695512353317674831e-02,1.695451424791405079e-02
9.286251464182080501e-03,1.646853201052421792e-02,1.646797369200035319e-02
9.279931123921126776e-03,1.605645606535939518e-02,1.605593861810547876e-02
9.273727331629436424e-03,1.569596021749305320e-02,1.569547684673039054e-02
9.267898881725522564e-03,1.538890059223742106e-02,1.538844503892571915e-02
9.262553000370536693e-03,1.510404700472340982e-02,1.510361628358529613e-02
9.257505844579523580e-03,1.484280607195581463e-02,1.484239731606690205e-02
9.252885776555169750e-03,1.459090611214363883e-02,1.459051781645277941e-02
9.248568879709335305e-03,1.435811799292676695e-02,1.435774798745344596e-02
9.244521774749889578e-03,1.414644801617432474e-02,1.414609413483492416e-02
9.240551498101778199e-03,1.399252614880359957e-02,1.399218369364833500e-02
9.236715960410679313e-03,1.393088008983253863e-02,1.393054214099645645e-02
9.232870652307165540e-03,1.393665117344451351e-02,1.393631280442417762e-02
9.229140127051543158e-03,1.398655245231123466e-02,1.398621043558518663e-02
9.225565720212870052e-03,1.405153631247637626e-02,1.405118950633636038e-02
9.222222746980458796e-03,1.412767618098742170e-02,1.412732370654649038e-02
9.219125686987275983e-03,1.422791157451229818e-02,1.422755154426528015e-02
9.216384179272972543e-03,1.436956793581932977e-02,1.436919704441811177e-02
9.213997862082115575e-03,1.454544867936424964e-02,1.454506400160140295e-02
9.211856945837097049e-03,1.478673759409373546e-02,1.478633345299681240e-02
9.209444097335942048e-03,1.507836192194023442e-02,1.507793339447490236e-02
9.206938215196386333e-03,1.541556853354618395e-02,1.541511060777085718e-02
9.204485934791839519e-03,1.576057086173332858e-02,1.576008149707579589e-02
9.202364371873035173e-03,1.606294717100571409e-02,1.606242909591308263e-02
9.200602226337895040e-03,1.624974589683477258e-02,1.624920953618922206e-02
9.199590086953444990e-03,1.635484826971156033e-02,1.635430143405869688e-02
9.199223600431360309e-03,1.643742626818451083e-02,1.643687110738201521e-02
9.198953140366641218e-03,1.653726667028271313e-02,1.653670133170008147e-02
9.198407617331472858e-03,1.665782478630811400e-02,1.665724699310000556e-02
9.198038099428840556e-03,1.681332377553222679e-02,1.681272964973333853e-02
9.198142984747081918e-03,1.696537342545871921e-02,1.696476303446923031e-02
9.198343345377895872e-03,1.707805606597652404e-02,1.707743343141156916e-02
9.198706473808196740e-03,1.715296828659970338e-02,1.715233742244936035e-02
9.199703653732882111e-03,1.719590893728379158e-02,1.719527332329921429e-02
9.200770756058136712e-03,1.717759901345070755e-02,1.717696542768475804e-02
9.201432410357793593e-03,1.706672871030453023e-02,1.706610731383661692e-02
9.201514397126160996e-03,1.693070907697441507e-02,1.693010241996364615e-02
9.201849182504426294e-03,1.677732946736831127e-02,1.677673914920820714e-02
9.202810546136759584e-03,1.664329530429585827e-02,1.664271902173429865e-02
9.204017584508363686e-03,1.653472080865113492e-02,1.653415573113328069e-02
9.205245800559896940e-03,1.652098344650551956e-02,1.652041977625557864e-02
9.206576125491089044e-03,1.664775772234655324e-02,1.664718097611110961e-02
9.207989237790785084e-03,1.687769264420139678e-02,1.687709166841200314e-02
9.209203550641947844e-03,1.715267154692097160e-02,1.715204071549999640e-02
9.210191054666708177e-03,1.742477458462735745e-02,1.742411325229589400e-02
9.210990403007737054e-03,1.769819428093617059e-02,1.769750132539277265e-02
9.211710514582943654e-03,1.791681337176767586e-02,1.791609441788727039e-02
9.212264243213398596e-03,1.804845424076609653e-02,1.804771932275368862e-02
9.212554652087159845e-03,1.803829276027543727e-02,1.803755908290142346e-02
9.212554701506118354e-03,1.792897652285194848e-02,1.792825610372905665e-02
9.212545326353380887e-03,1.780575784818488189e-02,1.780505218088127006e-02
9.212516642889108723e-03,1.772833092574621974e-02,1.772763442419276678e-02
9.212417563057764130e-03,1.772265377415551540e-02,1.772195794151747855e-02
9.212329952265920635e-03,1.776260777674093516e-02,1.776190722735707106e-02
9.212297090211962400e-03,1.780554865191222649e-02,1.780484300945583617e-02
9.212295231685766611e-03,1.780345275334052971e-02,1.780274736006615816e-02
9.212317140724027298e-03,1.771597962618244940e-02,1.771528457935867690e-02
9.212628578426876325e-03,1.757696470596862431e-02,1.757628589314784440e-02
9.213233441569108895e-03,1.740765686794247188e-02,1.740699748276953659e-02
9.213894274448124200e-03,1.719214042776915155e-02,1.719150523158774480e-02
9.214600692363954237e-03,1.695872057865444385e-02,1.695811090551348557e-02
9.215054794903160956e-03,1.675064111263117536e-02,1.675005360717457537e-02
9.215343176028680319e-03,1.658170804680049459e-02,1.658113813811099013e-02
9.215656077715236177e-03,1.646465144903105568e-02,1.646409352509041468e-02
9.215947053205882783e-03,1.635759477689164090e-02,1.635704766569463786e-02
9.216368814151767661e-03,1.629086571214000828e-02,1.629032526938315947e-02
9.216511795011129993e-03,1.624631819328967511e-02,1.624578217202670913e-02
9.216569915011236028e-03,1.620436128414297697e-02,1.620382940508559647e-02
