cost,L2,trace
1.008397221503179342e+00,6.234760727264710978e-01,7.855596411996155215e-01
8.229250986295739700e-01,5.878824593247548025e-01,7.730555086805012133e-01
7.043264847618448954e-01,5.702248237176171797e-01,7.679406367162789904e-01
6.265798017207917514e-01,5.560879833177653220e-01,7.650852274030858213e-01
5.627037384177097090e-01,5.311541525937981678e-01,7.607254665422263917e-01
5.011303974042313758e-01,5.049348108211084707e-01,7.513068451164017780e-01
4.404736666747178786e-01,4.792629628819711773e-01,7.362545661062405156e-01
3.832810800926540473e-01,4.560574070287067849e-01,7.167618709760639195e-01
3.332572608398570724e-01,4.376599947202849394e-01,6.941560162468108919e-01
2.935654855393036722e-01,4.157538816427374662e-01,6.691536844509632376e-01
2.658750071861953890e-01,3.991526651117410229e-01,6.428932478678092144e-01
2.500710766787862527e-01,3.923461223806663511e-01,6.173171385405999967e-01
2.432762954724743409e-01,3.953555152878846513e-01,5.936542391503206728e-01
2.403563712318148027e-01,4.056423425155346596e-01,5.717127873405611904e-01
2.361125929151072778e-01,4.199021354641553905e-01,5.503363988155960396e-01
2.272940510126915670e-01,4.356377827740117725e-01,5.282629355138817040e-01
2.131676850836046189e-01,4.498208227496348077e-01,5.047283066546389696e-01
1.948321127009201015e-01,4.435411620776978370e-01,4.795885737442654451e-01
1.741881526770067412e-01,4.324549107344419774e-01,4.531161427831325028e-01
1.531314390721920660e-01,4.129320612683068381e-01,4.257209554288968745e-01
1.331080673525174007e-01,3.835120314324103052e-01,3.977653050813119706e-01
1.149758760550730619e-01,3.542383746353091611e-01,3.695110648102559736e-01
9.904121330258371103e-02,3.270413702005804391e-01,3.411611730855522162e-01
8.519484429154144944e-02,2.983790610858572112e-01,3.129525724803245423e-01
7.313494241057981460e-02,2.727395255362431437e-01,2.852840714988570947e-01
6.262530100416871526e-02,2.516390066901329492e-01,2.588704141341335863e-01
5.364651133413549794e-02,2.348817090982762978e-01,2.348004540246355354e-01
4.631519201926176388e-02,2.154506654634670004e-01,2.141968921528378811e-01
4.063132024912575330e-02,1.983441973570378991e-01,1.973664192598789391e-01
3.632065708742127780e-02,1.840670779425022663e-01,1.832858802729348535e-01
3.294641468049542415e-02,1.709838288156371733e-01,1.703578338206667708e-01
3.010123246687546744e-02,1.579298067117171356e-01,1.574366545750523760e-01
2.750650084585562136e-02,1.444991131627300085e-01,1.441214771314016374e-01
2.504557559157973706e-02,1.309524266401316250e-01,1.306714198043580077e-01
2.275406294429246912e-02,1.180729841554231663e-01,1.178670442352938580e-01
2.076233674135420301e-02,1.069158979385005648e-01,1.067630190608186702e-01
1.920205177629163637e-02,9.832124296467881219e-02,9.820236134077044154e-02
1.811247116716354494e-02,9.227985142456926471e-02,9.218157213710122255e-02
1.739490002514562650e-02,8.765703444878437944e-02,8.757280207339465661e-02
1.685016101294434590e-02,8.272174874190300897e-02,8.265096149984664520e-02
1.628438318900480436e-02,7.613791239478127915e-02,7.608272113046830876e-02
1.561296352165600018e-02,6.771542073973349507e-02,6.767659700839068204e-02
1.489180824316531544e-02,5.870033126488497649e-02,5.867504263918126711e-02
1.426144760176648561e-02,5.165779840787802779e-02,5.164056424696954889e-02
1.384674130065032330e-02,4.935634459071023411e-02,4.934131299405778576e-02
1.367695424526680845e-02,5.224916468359910166e-02,5.223133177483017114e-02
1.367423915504360245e-02,5.785101426694218285e-02,5.782680766569407715e-02
1.371203210759362225e-02,6.326052372248244793e-02,6.322887056576627363e-02
1.369633073410680274e-02,6.677212134651318298e-02,6.673489789803133121e-02
1.361026227628977028e-02,6.788994019728013252e-02,6.785081545852900131e-02
1.349683237899481150e-02,6.692344444256359548e-02,6.688596729848086953e-02
1.340456667753570606e-02,6.457451641101398521e-02,6.454084923192292267e-02
1.334412869024285270e-02,6.158265715431632259e-02,6.155345679064707504e-02
1.328704709680839091e-02,5.848773758515735804e-02,5.846272276628633469e-02
1.319925029549369119e-02,5.556950237987868385e-02,5.554804862182984027e-02
1.307497095843253819e-02,5.293824471882685456e-02,5.291969682023518057e-02
1.294173534143139292e-02,5.065074840387968902e-02,5.063450274736304435e-02
1.283605871671235528e-02,4.873575938494525278e-02,4.872128774628805420e-02
1.277380547067284364e-02,4.713307370512377636e-02,4.711998346501394819e-02
1.273960075358976894e-02,4.565284604478687946e-02,4.564095088809314721e-02
1.270088604382435191e-02,4.404289687229802353e-02,4.403221640377363161e-02
1.263289164478931248e-02,4.214050314802758601e-02,4.213114785547562163e-02
1.253523675801530499e-02,4.000590503160043887e-02,3.999790068731889220e-02
1.242966644920004068e-02,3.794270741821245685e-02,3.793587878090597804e-02
1.234253139728197848e-02,3.636534455762668872e-02,3.635933269520909977e-02
1.228558938590584848e-02,3.556726300264335949e-02,3.556163835018714969e-02
1.224934593105699542e-02,3.556569389722130659e-02,3.556006998919477441e-02
1.221355981153854180e-02,3.617374090717353358e-02,3.616782357694987154e-02
1.216528794389910850e-02,3.719779053704746347e-02,3.719135627106531783e-02
1.210799906411265565e-02,3.852371815826614865e-02,3.851657097543199904e-02
1.205394916176008580e-02,4.003098197746959158e-02,4.002296257061655621e-02
1.200876844677270169e-02,4.148586861443625401e-02,4.147694260587089093e-02
1.196456460773146629e-02,4.256617532686595567e-02,4.255653363850042670e-02
1.190783925241224034e-02,4.300389826990726888e-02,4.299395604242283592e-02
1.183268155795407124e-02,4.271871451753319476e-02,4.270896879412629243e-02
1.174559420225973483e-02,4.184874206183750861e-02,4.183957975606285296e-02
1.165877811645094249e-02,4.067796145220416854e-02,4.066954687159346493e-02
1.158034457224363899e-02,3.952138471660862629e-02,3.951366770997762762e-02
1.151070497059712879e-02,3.863431825415330340e-02,3.862710933271903957e-02
1.144623987947802901e-02,3.817039960720534919e-02,3.816344728829065142e-02
1.138454787016522987e-02,3.816673954952074649e-02,3.815978923046386279e-02
1.132601900549481608e-02,3.853531251444031885e-02,3.852815887607503181e-02
1.127141766707570950e-02,3.907662729013534203e-02,3.906916791094600105e-02
1.121890966513848509e-02,3.953842773705096986e-02,3.953070074193294758e-02
1.116391859558037852e-02,3.970472378933491420e-02,3.969689887941030976e-02
1.110227282949559358e-02,3.947185972048560670e-02,3.946417169037846201e-02
1.103381022017985852e-02,3.887632788409685347e-02,3.886898263122896824e-02
1.096279802757196831e-02,3.806503953856200939e-02,3.805814463488124688e-02
1.089445055460632784e-02,3.722476909972560061e-02,3.721832082299456057e-02
1.083089384663581643e-02,3.650705781784659154e-02,3.650097539380518785e-02
1.077054704752965567e-02,3.598599781331474068e-02,3.598017214418526566e-02
1.071106786051674933e-02,3.565993030738102976e-02,3.565426157437148053e-02
1.065221208828647827e-02,3.547550796330233708e-02,3.546992673167750909e-02
1.059564914144352915e-02,3.534928221046493985e-02,3.534376034612801004e-02
