cost,L2,trace
1.008397221503179342e+00,6.234760727264712088e-01,7.855596411996152995e-01
8.229251167798183886e-01,5.878824624835399248e-01,7.730555064302668811e-01
7.066585621888716862e-01,5.711370639406451177e-01,7.682129991074261310e-01
6.392062513198698559e-01,5.637958454466401870e-01,7.659377141957235402e-01
5.892716719164406980e-01,5.440223296046442503e-01,7.616996240606020985e-01
5.374052054585596316e-01,5.195067746827399802e-01,7.517630279170665064e-01
4.790091989479973722e-01,4.907723168727154972e-01,7.354426124526334263e-01
4.174811999360475978e-01,4.616880382743346334e-01,7.139342503722567734e-01
3.589078688463269162e-01,4.380602304013727633e-01,6.886844574512404060e-01
3.092146355764528454e-01,4.134124523013150143e-01,6.609131168754122099e-01
2.723043746402532550e-01,3.925084429975690403e-01,6.321580383157383576e-01
2.493247645193200634e-01,3.837776623662015330e-01,6.045973365919659059e-01
2.379158823068366624e-01,3.871792688076314826e-01,5.797808286911650955e-01
2.328116632826811305e-01,3.980702030562905946e-01,5.577422627195994798e-01
2.281089925332975277e-01,4.138924971442216050e-01,5.373056850801484208e-01
2.196673340939478969e-01,4.312316913133485419e-01,5.169777124918077948e-01
2.061815628338526662e-01,4.481493287901863187e-01,4.956365949721965314e-01
1.886182306690639132e-01,4.508276560344000039e-01,4.727918111605496354e-01
1.689814598823039526e-01,4.362536585516416654e-01,4.484947408571334782e-01
1.492243621553484556e-01,4.207784590630500587e-01,4.230662409449276185e-01
1.306524128749195768e-01,3.935111859398148781e-01,3.968516033825592593e-01
1.138027959450188531e-01,3.622161599806330567e-01,3.700661521837789736e-01
9.869357710764489755e-02,3.300697366357699947e-01,3.428459746758942273e-01
8.507072473648402688e-02,2.986581768751227495e-01,3.152917101435556702e-01
7.263226487122811936e-02,2.690570329667298921e-01,2.874992626744658497e-01
6.121657629533897721e-02,2.423770417980385672e-01,2.596375670363451071e-01
5.095585629038783954e-02,2.199725910109277538e-01,2.321993858219431051e-01
4.223211555012051921e-02,2.033472977387803249e-01,2.061850711676112002e-01
3.546917091975468339e-02,1.823111215113681349e-01,1.830521344867288847e-01
3.087575428048811368e-02,1.649382682532528066e-01,1.643764257102234561e-01
2.825026571857030405e-02,1.514024157915620505e-01,1.509679736269726735e-01
2.701291296616473853e-02,1.425234637697612716e-01,1.421611193863334677e-01
2.640951331022384566e-02,1.363754563241344475e-01,1.360580435753375173e-01
2.578442143453679725e-02,1.309439046491638337e-01,1.306629527103809474e-01
2.476058297310195638e-02,1.249718221752959962e-01,1.247276080014844413e-01
2.327709415221278569e-02,1.181378030282779490e-01,1.179315235576811061e-01
2.151873888569366677e-02,1.108204223199751037e-01,1.106501660350245608e-01
1.975926005816039388e-02,1.036304209580049540e-01,1.034912131503089999e-01
1.823459482635167439e-02,9.711351369147208645e-02,9.699896101697373652e-02
1.705297190736611984e-02,9.141787676865957557e-02,9.132232682713556371e-02
1.617280140042618233e-02,8.611628431934448269e-02,8.603641733290803839e-02
1.547312920840155856e-02,8.059589187227603202e-02,8.053042446338959381e-02
1.484236985403518741e-02,7.443358322864657151e-02,7.438201677622538477e-02
1.424252182961577295e-02,6.769956405264537791e-02,6.766076759378814032e-02
1.372775621090661924e-02,6.120215680198099611e-02,6.117349444493989929e-02
1.338524719204875306e-02,5.620472516941238394e-02,5.618252714782820401e-02
1.326882100021488896e-02,5.385031427344687954e-02,5.383079096242605888e-02
1.335010793477535256e-02,5.420098246436870493e-02,5.418107521522256415e-02
1.353611668696475673e-02,5.625586680147155044e-02,5.623360812166196265e-02
1.372240344351415356e-02,5.879829911477513910e-02,5.877288364307500790e-02
1.384939936822013329e-02,6.107466717100550752e-02,6.104618358772764819e-02
1.392175924324073541e-02,6.293477330282559734e-02,6.290360669194960952e-02
1.398566714194432285e-02,6.458322014116867071e-02,6.454953934429003004e-02
1.408436529857469768e-02,6.619956748408098446e-02,6.616329356576348963e-02
1.422652260995896714e-02,6.777250818361561790e-02,6.773358615967081664e-02
1.438122279319611722e-02,6.907567313805561271e-02,6.903446196642380739e-02
1.450472197686188819e-02,6.984174517548076555e-02,6.979914732115707898e-02
1.456751035919819429e-02,6.991015790972618382e-02,6.986743472837375624e-02
1.456788311111126624e-02,6.930558895285555965e-02,6.926396481759752866e-02
1.452443376253884089e-02,6.818321058381036914e-02,6.814357652055121062e-02
1.445844903525523792e-02,6.675654265256696085e-02,6.671934525680614514e-02
1.437395998831051021e-02,6.515874609778554705e-02,6.512415666379030299e-02
1.425820416620329073e-02,6.342032283481682797e-02,6.338842915910766762e-02
1.409843515442812424e-02,6.163417857585241216e-02,6.160490485019286949e-02
1.389565632488013423e-02,5.999853776721561505e-02,5.997153366419030740e-02
1.367020233236045795e-02,5.877252487857463625e-02,5.874714281965043305e-02
1.345136323594125008e-02,5.808359697762326829e-02,5.805909720093330173e-02
1.325925680384713000e-02,5.783825523657980944e-02,5.781406465031568159e-02
1.309347475105470705e-02,5.766665543704077579e-02,5.764267955481523070e-02
1.293657144540721893e-02,5.708497049494529185e-02,5.706171295182327352e-02
1.277184749618135579e-02,5.578122834236906580e-02,5.575952839322187438e-02
1.259665200858917436e-02,5.375653290042644444e-02,5.373711142479715291e-02
1.242366175730529217e-02,5.127891238077587899e-02,5.126205470018118521e-02
1.227135597145279609e-02,4.877326639920779444e-02,4.875876131941302150e-02
1.215077954711313302e-02,4.663320556495289398e-02,4.662052744483351219e-02
1.205972334381421977e-02,4.504385754436473349e-02,4.503243213354225088e-02
1.198760926984658234e-02,4.394660406597238750e-02,4.393599350347399124e-02
1.192590218294271864e-02,4.317121707802419606e-02,4.316115834022082876e-02
1.187476331545116344e-02,4.262297742907004278e-02,4.261329708741591615e-02
1.183978928344067358e-02,4.228304270692879313e-02,4.227359215341894988e-02
1.182507165282022446e-02,4.220911704946932186e-02,4.219971598171121802e-02
1.182878826427022183e-02,4.241658424611947920e-02,4.240704386037824625e-02
1.184343655379431828e-02,4.288942516424701368e-02,4.287956212800361072e-02
1.186107689242936643e-02,4.356511520757520156e-02,4.355477859738737106e-02
1.187671304589009089e-02,4.439603006333851104e-02,4.438509060211600493e-02
1.188695259495905522e-02,4.534037176669676594e-02,4.532871921456730485e-02
1.188971935237844585e-02,4.635528648730649626e-02,4.634283371178366667e-02
1.188140291863981450e-02,4.738215183869328578e-02,4.736885295141123053e-02
1.185960837678452610e-02,4.838237103258995198e-02,4.836821195346970026e-02
1.182484253342060490e-02,4.938063278252165927e-02,4.936557898158811658e-02
1.177942360384867659e-02,5.031436995025114628e-02,5.029844585157371845e-02
1.172944237174770865e-02,5.120843097504583497e-02,5.119164271774384600e-02
1.167972092314954746e-02,5.205306833204349781e-02,5.203543547927599877e-02
1.163200538429477911e-02,5.277002780026022327e-02,5.275165617461692602e-02
1.158738795157936673e-02,5.334094612594223600e-02,5.332197166670007982e-02
1.154468717678812026e-02,5.371116975073333272e-02,5.369179740673444418e-02
1.150423286808280147e-02,5.386666663578803388e-02,5.384712553167052967e-02
1.146799246355394673e-02,5.386382742120910533e-02,5.384428940723711560e-02
1.143790959756216252e-02,5.382616235193772580e-02,5.380666530097689970e-02
1.141265105969513013e-02,5.375631348172945495e-02,5.373689224395303277e-02
1.139162413744411809e-02,5.367985255203007455e-02,5.366051407845565807e-02
1.137410141303053096e-02,5.361112345876165725e-02,5.359185917915040148e-02
1.135917532062132723e-02,5.354918665576165193e-02,5.352998907493927011e-02
1.134531843467977141e-02,5.346517729368326088e-02,5.344606993493275504e-02
1.133085778090317172e-02,5.332973279026950036e-02,5.331077029637165676e-02
1.131548622372132405e-02,5.310782186301708785e-02,5.308909512825762955e-02
1.129942785066628819e-02,5.280893371645356549e-02,5.279052142140563258e-02
1.128126041721935757e-02,5.236981705430168027e-02,5.235186030803565954e-02
1.126028297747381016e-02,5.180062073687162483e-02,5.178324321844753053e-02
1.123638894521816756e-02,5.117585103634271493e-02,5.115909480534443915e-02
1.121067503479886499e-02,5.061307413413346223e-02,5.059686470532233360e-02
1.118270600932936426e-02,5.010633039295685903e-02,5.009060302781655205e-02
1.115256711225174474e-02,4.966336209681201930e-02,4.964804821371017474e-02
1.112130011942989716e-02,4.927464732571278788e-02,4.925969025641416255e-02
1.108938263317069996e-02,4.893184742995199121e-02,4.891720039032361467e-02
1.105661256044839988e-02,4.864542238101319388e-02,4.863103107543993026e-02
1.102216006880799709e-02,4.832619332221856773e-02,4.831208351178812449e-02
1.098830472750042878e-02,4.802467445492288739e-02,4.801082712887439624e-02
1.095706622503896110e-02,4.775855926385951661e-02,4.774494087947964149e-02
1.092956058602041758e-02,4.753685904334497420e-02,4.752342945156234899e-02
1.090744190045959960e-02,4.744768716058413160e-02,4.743433300978130984e-02
1.088939195114314168e-02,4.745055648959837363e-02,4.743719991570526789e-02
1.087440239501278466e-02,4.755305990019289414e-02,4.753961657177136618e-02
1.086180995148351355e-02,4.768152709235114195e-02,4.766797450529774299e-02
1.085258621977273560e-02,4.787431213499379612e-02,4.786059447990347743e-02
1.084618901409412431e-02,4.806809429080444174e-02,4.805420936843279173e-02
1.084093727105384791e-02,4.822329880776289601e-02,4.820927894068983283e-02
1.083666417104279210e-02,4.834602973591432817e-02,4.833190254173162087e-02
1.083256842056479902e-02,4.844107450214916316e-02,4.842686381678359270e-02
1.082756459779084246e-02,4.849561014051537167e-02,4.848135140061876625e-02
1.082163340205532717e-02,4.854955466679976989e-02,4.853524828675716274e-02
1.081161458731037979e-02,4.852797252668714090e-02,4.851368521924438043e-02
1.079876523997055915e-02,4.848203753032673952e-02,4.846779076016066029e-02
1.078356909982112338e-02,4.843229124406685931e-02,4.841808828804022163e-02
1.076686032706469266e-02,4.836799377606051942e-02,4.835384731690555576e-02
1.074830491047540880e-02,4.826264671443625948e-02,4.824859249739930911e-02
1.072855399405906601e-02,4.815171627281066014e-02,4.813775875228813728e-02
1.070889459207141972e-02,4.805005354578534976e-02,4.803618425276934972e-02
1.068890655946700720e-02,4.793210289190517198e-02,4.791833549488305755e-02
1.066917643785583389e-02,4.780730651714423796e-02,4.779364638527150433e-02
1.064999164999735903e-02,4.767710940326959357e-02,4.766356058315974337e-02
1.063356883301118730e-02,4.764019296869126396e-02,4.762667559978992632e-02
1.061913280431699483e-02,4.760032765937158988e-02,4.758684419928554954e-02
1.060602530458835957e-02,4.747226890854686077e-02,4.745889398943511223e-02
1.059595590535060416e-02,4.731689828408212894e-02,4.730365427099681580e-02
1.058736316804046416e-02,4.715754256051826743e-02,4.714443192076596401e-02
1.057800370801122505e-02,4.698492099391199384e-02,4.697195381659437230e-02
1.056744302631018421e-02,4.669422303731566443e-02,4.668149508124933011e-02
1.055772014897521024e-02,4.636308833558426545e-02,4.635062927083058448e-02
1.054610358523030977e-02,4.598473030686415358e-02,4.597257381249048730e-02
1.053178451610613936e-02,4.560871240784873659e-02,4.559685171876066284e-02
1.051402000200783032e-02,4.518747665831736315e-02,4.517594160200909259e-02
1.049343697543178230e-02,4.475633355645804862e-02,4.474512556218124271e-02
1.047130001291497747e-02,4.438873855918949035e-02,4.437780448753773921e-02
1.044704397772836663e-02,4.398372079015824138e-02,4.397308331815785037e-02
1.042316346527130851e-02,4.361570037310651127e-02,4.360532771149906728e-02
1.040101717995800187e-02,4.330020361590689731e-02,4.329005444118199514e-02
1.038215271391317550e-02,4.306631108376745426e-02,4.305632550172980993e-02
1.036566931282648617e-02,4.295123025049226578e-02,4.294132451060349298e-02
1.035136868935427473e-02,4.290036290634156868e-02,4.289049232173686166e-02
1.034397368082177505e-02,4.291074077600824654e-02,4.290086302584664862e-02
1.034430981114147288e-02,4.294281567816138345e-02,4.293291575947977279e-02
1.035213445251073269e-02,4.302047689828739779e-02,4.301052316684478294e-02
1.036146275421597970e-02,4.318724746957411376e-02,4.317717752166595063e-02
1.037067907492615626e-02,4.340828669182872357e-02,4.339806132016848367e-02
1.037981113586473013e-02,4.365623200848194052e-02,4.364583040006361075e-02
1.038805150134611104e-02,4.383841296897883488e-02,4.382788058564207612e-02
1.039412340373255077e-02,4.398264444397614187e-02,4.397200775295734276e-02
1.039592088503275141e-02,4.402958489204585740e-02,4.401891410591068921e-02
1.039448316340229467e-02,4.396321667100292624e-02,4.395259407003389296e-02
1.039158366547373799e-02,4.391759423368988419e-02,4.390700467159795728e-02
1.038556768838157750e-02,4.386345543255691648e-02,4.385290498774212231e-02
1.037616518890387314e-02,4.373300694930917082e-02,4.372255036234040659e-02
1.036584148233792545e-02,4.348013839631893057e-02,4.346986215981696322e-02
1.035417665204593773e-02,4.310884460668726326e-02,4.309882940696930370e-02
1.034472377447060235e-02,4.271791007639654664e-02,4.270816490357694922e-02
1.033778396353310543e-02,4.246155561095780323e-02,4.245198484572936665e-02
