cost,L2,trace
1.008397221503179342e+00,6.234760727264712088e-01,7.855596411996152995e-01
8.229251148546364858e-01,5.878824599278085206e-01,7.730555023309730878e-01
7.087918263860376600e-01,5.719648340567800027e-01,7.688081919499477612e-01
6.524630253715232309e-01,5.694396680049244042e-01,7.682845519357930364e-01
6.168048652120526887e-01,5.560509672483896493e-01,7.653323570057615211e-01
5.765592564241940332e-01,5.315640958621051793e-01,7.560694360558806171e-01
5.236698798316588022e-01,5.002741527883092232e-01,7.399020308498676091e-01
4.610895577201175044e-01,4.697088154126731752e-01,7.179130995440422547e-01
3.963862392605275176e-01,4.430057727449877580e-01,6.915642167068691837e-01
3.379666466191162399e-01,4.142343640235173208e-01,6.623749342320267575e-01
2.926171826289588052e-01,3.931062772408278616e-01,6.322054077726154686e-01
2.637635055068640599e-01,3.872161379808301551e-01,6.033941603517094521e-01
2.501592137064712063e-01,3.888461977349788601e-01,5.775701879434416153e-01
2.463938976163404238e-01,4.001050018343574322e-01,5.549551281180505891e-01
2.455684853697943093e-01,4.183844513828001155e-01,5.345558984446526773e-01
2.421970380144908841e-01,4.393710053570006324e-01,5.148677132067652762e-01
2.337866885100561842e-01,4.510620896530858626e-01,4.946067849278135142e-01
2.207017912129664305e-01,4.522395119179978829e-01,4.731984565659662079e-01
2.048972208630103209e-01,4.370824494221179912e-01,4.507294550974482727e-01
1.885767309841275274e-01,4.219578832440599725e-01,4.276524878554652798e-01
1.730957963301038016e-01,3.963384241364249494e-01,4.043243124567850177e-01
1.586173143578712974e-01,3.677801393192330348e-01,3.807625463848764436e-01
1.444166024061445119e-01,3.397491716108578808e-01,3.566479220661926131e-01
1.296702991785825265e-01,3.127637903437503475e-01,3.316979983267431820e-01
1.140070857965681389e-01,2.877485137184355724e-01,3.059691101584127715e-01
9.774589931598186288e-02,2.661916182596121283e-01,2.800666894120576456e-01
8.174345828852361273e-02,2.493675672482404959e-01,2.552167995335860029e-01
6.713525663803973642e-02,2.332140129506537762e-01,2.333464951210893479e-01
5.490965766819473626e-02,2.179831162887616580e-01,2.166845200788589942e-01
4.559281143443366657e-02,2.078204741541896106e-01,2.066954752784781746e-01
3.910952742045629982e-02,2.039686345929515587e-01,2.029051434884626692e-01
3.489194935688799681e-02,2.040503356416297487e-01,2.029855638231164439e-01
3.216558810302667937e-02,2.050924074410691300e-01,2.040112099704824433e-01
3.026153298097427474e-02,2.049616569482450024e-01,2.038825296592080838e-01
2.875911264129990888e-02,2.027151869950707397e-01,2.016712155739397994e-01
2.748121467458899264e-02,1.983122498788222055e-01,1.973349449601471128e-01
2.640246894906905090e-02,1.921126217034825612e-01,1.912242740039871436e-01
2.555853347046305526e-02,1.846265788094885452e-01,1.838382255151109201e-01
2.497080789550795710e-02,1.762166354089785558e-01,1.755313112260907804e-01
2.462323376289319438e-02,1.671287358387461286e-01,1.665441832870246108e-01
2.447946980549092766e-02,1.575845335872104458e-01,1.570946121887583369e-01
2.452573215221586986e-02,1.479483402773081602e-01,1.475429851576217088e-01
2.479340710857302899e-02,1.387789186573894218e-01,1.384444124141242238e-01
2.533107171729737789e-02,1.307646412576901895e-01,1.304848424402680063e-01
2.612838761040074675e-02,1.244050777563914106e-01,1.241641731894806977e-01
2.705976099964704784e-02,1.196304443693202574e-01,1.194162420621272536e-01
2.792886330660950336e-02,1.159761738800770825e-01,1.157810178850622318e-01
2.857588027145020054e-02,1.128870601788121986e-01,1.127070948607326178e-01
2.894980232955802341e-02,1.100927841857292089e-01,1.099258612778389738e-01
2.910905195330002609e-02,1.077293826834444940e-01,1.075729858750727463e-01
2.913621372096080950e-02,1.061084945575390404e-01,1.059590547144887568e-01
2.906716596953450721e-02,1.054323500499625144e-01,1.052857501364172083e-01
2.887886521751600183e-02,1.055997699187573441e-01,1.054524701956789656e-01
2.853620504611988073e-02,1.063599665601365624e-01,1.062094611977680014e-01
2.803383645465196833e-02,1.074087035911367588e-01,1.072536999429650889e-01
2.740399084727518364e-02,1.084365880289158979e-01,1.082770893600313866e-01
2.668834631393730492e-02,1.091215936020682592e-01,1.089590515701989309e-01
2.592413184666074455e-02,1.091063893329722034e-01,1.089439152679439610e-01
2.514030410593851364e-02,1.081265418296993019e-01,1.079684080525800671e-01
2.437152037207292524e-02,1.061216445776621969e-01,1.059721491413801592e-01
2.366326133411033109e-02,1.033387893323323009e-01,1.032007539974408167e-01
2.305863795698988652e-02,1.003097782957004108e-01,1.001835335822353068e-01
2.258659554965319546e-02,9.759988591311534456e-02,9.748360277721845879e-02
2.226070759272755217e-02,9.572480370595430610e-02,9.561509719535910001e-02
2.208512983512756281e-02,9.492654626015564756e-02,9.481956250177737966e-02
2.204605991362355855e-02,9.520912292145999878e-02,9.510118054767775775e-02
2.211476332904624073e-02,9.640951645850447116e-02,9.629743797667839056e-02
2.225833723996504393e-02,9.832741374199437112e-02,9.820850972411822311e-02
2.246108354015259601e-02,1.007581747112844817e-01,1.006302287105648730e-01
2.271631290636508260e-02,1.034810918929284645e-01,1.033424852727531512e-01
2.301805227827761341e-02,1.062863850406773336e-01,1.061361919754713057e-01
2.334725458448948937e-02,1.089752648319125689e-01,1.088133761391178178e-01
2.366758181781408038e-02,1.112643929601394993e-01,1.110920811514165968e-01
2.395045652035802594e-02,1.129658788645626494e-01,1.127855361222416947e-01
2.418004770852372892e-02,1.140162252503415657e-01,1.138308023901363625e-01
