cost,L2,trace
1.008397221503179342e+00,6.234760727264712088e-01,7.855596411996152995e-01
8.229250992392611597e-01,5.878824590839699660e-01,7.730555087480440735e-01
7.043214599477717330e-01,5.702456009476816190e-01,7.678437948346727993e-01
6.264986364850866352e-01,5.561966496126450332e-01,7.652065324177043104e-01
5.627013401227531908e-01,5.313683843737559975e-01,7.610402882928415380e-01
5.014206931655282862e-01,5.053305583208329566e-01,7.518518110487190098e-01
4.411438078644300820e-01,4.800022430937017082e-01,7.370131529122277980e-01
3.842462848115870133e-01,4.570007944513899689e-01,7.176774525302624941e-01
3.344603072691261225e-01,4.387689880823173461e-01,6.954386168862617401e-01
2.948761618178706856e-01,4.163554066682039756e-01,6.709099704886374305e-01
2.671500320389887939e-01,3.994583041503312337e-01,6.452929965383925603e-01
2.511702269784458208e-01,3.920080878830741189e-01,6.203473766047357119e-01
2.440905673474866311e-01,3.941466728598593261e-01,5.971193713267912706e-01
2.408456433347431758e-01,4.034991315305930804e-01,5.753996763102110501e-01
2.362387065767955208e-01,4.168551253561769143e-01,5.540971086812604973e-01
2.271018902742826251e-01,4.318330832711466116e-01,5.319778565641042345e-01
2.128027662462055880e-01,4.449116243901650170e-01,5.083654359438778414e-01
1.944458990391672581e-01,4.409796700705603256e-01,4.831621856383599423e-01
1.739153493917981186e-01,4.281392029603953153e-01,4.567324645953502738e-01
1.530146577503304073e-01,4.128081931356893386e-01,4.293700287093333290e-01
1.331293127292497158e-01,3.840264682405349350e-01,4.014312262246730878e-01
1.150857883251583391e-01,3.544827114644136246e-01,3.731632317805473331e-01
9.917936030863344632e-02,3.269789610054251727e-01,3.447488790610905296e-01
8.527050959894598436e-02,3.003158304959433478e-01,3.163174579727279223e-01
7.306760924184424466e-02,2.741018155165601544e-01,2.882206097569443015e-01
6.233970395208578152e-02,2.518869260601924176e-01,2.610678553614206865e-01
5.308840899690817072e-02,2.337341271402445797e-01,2.358782501880523907e-01
4.549192438912110642e-02,2.151121309680780191e-01,2.138642699509645528e-01
3.966091567006158058e-02,1.967071731546125024e-01,1.957534447563180624e-01
3.536571864768520840e-02,1.816535418597894636e-01,1.809027145077066467e-01
3.211805552771376804e-02,1.683842344426857152e-01,1.677863930915206581e-01
2.942831642439462658e-02,1.555220880512252490e-01,1.550511711658091873e-01
2.698125761663245498e-02,1.426222515866588936e-01,1.422591525798438117e-01
2.464411360418506530e-02,1.298507219055088091e-01,1.295767528489947529e-01
2.247038427430548754e-02,1.180763136466463914e-01,1.178703562942325644e-01
2.061286321811060113e-02,1.084124002090420119e-01,1.082530083018327233e-01
1.921524703086038843e-02,1.015520819544511316e-01,1.014210863559046466e-01
1.829880744961981387e-02,9.716250479731688983e-02,9.704777860092857200e-02
1.772570056410924938e-02,9.370997827988596096e-02,9.360705678569107568e-02
1.727056727525952753e-02,8.930295252677222795e-02,8.921388403519331378e-02
1.673158720178210407e-02,8.260440829969165066e-02,8.253392195029823908e-02
1.602979188447185149e-02,7.340391679798755065e-02,7.335446136117165783e-02
1.523681414089052104e-02,6.284316657199182088e-02,6.281213588216319477e-02
1.452415379098377819e-02,5.334167501089955021e-02,5.332269977371768138e-02
1.404179334926053402e-02,4.782198079115401734e-02,4.780830807543938465e-02
1.382819190456361855e-02,4.770453912035398786e-02,4.769096689974319098e-02
1.380518288081279861e-02,5.125525530771785077e-02,5.123842095034335242e-02
1.383092968717855066e-02,5.540807692827438152e-02,5.538680961637768713e-02
1.380604128147424996e-02,5.819798423633015111e-02,5.817333940757811461e-02
1.371571695680169622e-02,5.902281112592822065e-02,5.899710336374398845e-02
1.361696057118927904e-02,5.833439154947209215e-02,5.830957299825361567e-02
1.356744842220432290e-02,5.684948682582308122e-02,5.682651595764804525e-02
1.357425665022798066e-02,5.528099814807282270e-02,5.525987684955339235e-02
1.359150170384804124e-02,5.390236483739355156e-02,5.388278485231450671e-02
1.356673290768811713e-02,5.262776894212832512e-02,5.260954551355088299e-02
1.348355648447452718e-02,5.136349775408469154e-02,5.134655650559170892e-02
1.337059783999657026e-02,5.001647924480177171e-02,5.000083634421303991e-02
1.326670786546997605e-02,4.862609242155419703e-02,4.861171826662274292e-02
1.318555192550214562e-02,4.707543069268933095e-02,4.706238842577111642e-02
1.311352862361298346e-02,4.531689549021773733e-02,4.530526103060344978e-02
1.303244314461527407e-02,4.329582382208613939e-02,4.328567772704985245e-02
1.293365348603049865e-02,4.104401287156446421e-02,4.103536906196977863e-02
1.283426018150913422e-02,3.902910154062549236e-02,3.902166934679435206e-02
1.275913726882409172e-02,3.765223692560985130e-02,3.764556392987326860e-02
1.272329589886989597e-02,3.712125610129234782e-02,3.711486147143637504e-02
1.271951990568738824e-02,3.738775655383279328e-02,3.738122320000443477e-02
1.272737468630130708e-02,3.812420556285298079e-02,3.811727845613845783e-02
1.272102363428148988e-02,3.898212546365024261e-02,3.897472007577619524e-02
1.268103166862656617e-02,3.974808040936815556e-02,3.974022983588499508e-02
1.260944422702282852e-02,4.040338321817095457e-02,4.039513789792924248e-02
1.253215490448290198e-02,4.105850566836525412e-02,4.104985269841018164e-02
1.246916805896156055e-02,4.177636851764666981e-02,4.176725366924510796e-02
1.241966646434929794e-02,4.242864942161690689e-02,4.241910089181897409e-02
1.236556424609777487e-02,4.258804592346727980e-02,4.257838936456440071e-02
1.229163730213199066e-02,4.206922024135818089e-02,4.205991234696501019e-02
1.220339220233382371e-02,4.109539369367905259e-02,4.108671737895291248e-02
1.211492078135103720e-02,3.985962977642151100e-02,3.985171291713447000e-02
1.203849378480664756e-02,3.875786002339479119e-02,3.875058171987508238e-02
1.197479577839700646e-02,3.810634057525488089e-02,3.809942320268606269e-02
1.191715122434163290e-02,3.797838893656833859e-02,3.797154101491882067e-02
1.186013104932874540e-02,3.833177018430562744e-02,3.832472931101980895e-02
1.180426894983923128e-02,3.897410929909916888e-02,3.896670847903340590e-02
1.175338851236357868e-02,3.970022245337231914e-02,3.969240020464701729e-02
1.170714238013332090e-02,4.029889592720305169e-02,4.029071441570829248e-02
1.166266651023768058e-02,4.060122823900323002e-02,4.059286119062173459e-02
1.161339423870894061e-02,4.053399176898365985e-02,4.052566622265704743e-02
1.155988619352045672e-02,4.012726842293004581e-02,4.011919100569259072e-02
1.150702075872989984e-02,3.945111460955503385e-02,3.944343869558947224e-02
1.146037877321496451e-02,3.874807007281082238e-02,3.874079728358939545e-02
1.141816924900098187e-02,3.816960701043838056e-02,3.816265512461990833e-02
1.137509893049076272e-02,3.777619870301461569e-02,3.776945957794890230e-02
1.132771973154899497e-02,3.763567181370869319e-02,3.762900762197734367e-02
1.127892637501058150e-02,3.767406016421856463e-02,3.766737555805850513e-02
1.123345322111581404e-02,3.791645364448774369e-02,3.790963917308426412e-02
1.119534353191323564e-02,3.825235614444678911e-02,3.824535894412319642e-02
1.116374730755117541e-02,3.851280687096106381e-02,3.850566575979863515e-02
1.113536495524014916e-02,3.859322522864517407e-02,3.858603928726801052e-02
1.110771133616414094e-02,3.854606311255365236e-02,3.853890348496155638e-02
1.107800020376699911e-02,3.834887971422372421e-02,3.834182940799087808e-02
1.104739354203143620e-02,3.806897468600776990e-02,3.806207764359311602e-02
1.101866401937717441e-02,3.780146943494177431e-02,3.779471677543636693e-02
1.099335265156368285e-02,3.760265885233649713e-02,3.759601218318969068e-02
1.097231601603586640e-02,3.750086957140232047e-02,3.749427673642870967e-02
1.095432396756267426e-02,3.754881628879057354e-02,3.754219813218506036e-02
1.093739186447080687e-02,3.775002170082811942e-02,3.774329657651803727e-02
1.092067935315119663e-02,3.814543510512813373e-02,3.813849641915061789e-02
1.090578647873017247e-02,3.874330165840791235e-02,3.873603155402580850e-02
1.089417322953133670e-02,3.945197394353218423e-02,3.944429752792238952e-02
1.088477796221290483e-02,4.020539994714875109e-02,4.019727525233738469e-02
1.087708031452560078e-02,4.091602375563595240e-02,4.090746056272186182e-02
1.087205740725439782e-02,4.157366952803034921e-02,4.156468672218586319e-02
1.086990734955865442e-02,4.209478251501724833e-02,4.208545764194249195e-02
1.086783170642829574e-02,4.241880612762431724e-02,4.240926424246181659e-02
1.086387402363046470e-02,4.262229879020398154e-02,4.261261891096131821e-02
