cost,L2,trace
1.008397221503179342e+00,6.234760727264712088e-01,7.855596411996152995e-01
8.229251014997935876e-01,5.878824614125880421e-01,7.730555081325246602e-01
7.042577921254633555e-01,5.701901565533056271e-01,7.678937259757239175e-01
6.267612438287319954e-01,5.563352028612378319e-01,7.648746957676362257e-01
5.633367419384286423e-01,5.315832940438496301e-01,7.601501153737155736e-01
5.018641888540581464e-01,5.053412304762224805e-01,7.503372387134826793e-01
4.408226532058986402e-01,4.795055302043347845e-01,7.349289900283708654e-01
3.829386504068150177e-01,4.559727884950263710e-01,7.150757606206333827e-01
3.321543540668773775e-01,4.371484252777529944e-01,6.920252949336243020e-01
2.917722822608619926e-01,4.126874837789432093e-01,6.665592770499610964e-01
2.635136297562742369e-01,3.957479142756077928e-01,6.398587118723397804e-01
2.472416842998858000e-01,3.889135068359423908e-01,6.139097932265081825e-01
2.400599559564092766e-01,3.921771089195555948e-01,5.899425354979046521e-01
2.367772824585390179e-01,4.028735506160832092e-01,5.677247603439726786e-01
2.322090262452231879e-01,4.176619543625538777e-01,5.460565675289719145e-01
2.231805624196660509e-01,4.340360553768594087e-01,5.236737777577923358e-01
2.089952912933734641e-01,4.460888065939508929e-01,4.998172941977790940e-01
1.907714850994893241e-01,4.405940260336008163e-01,4.743335019591151669e-01
1.703500147253973196e-01,4.296749236612164013e-01,4.474987203302531191e-01
1.495445589159287159e-01,4.087229100777171054e-01,4.197397636587355541e-01
1.297666753733834888e-01,3.793976253360969997e-01,3.914628179970582877e-01
1.118712715463077018e-01,3.502072041540758018e-01,3.629475372405162603e-01
9.619692210994033876e-02,3.210775442201557195e-01,3.344700390752349817e-01
8.264865009266456064e-02,2.923753783535141260e-01,3.062971751314575997e-01
7.092223994022701927e-02,2.671542964428403333e-01,2.788548955933077278e-01
6.075726293171480885e-02,2.467952056812167116e-01,2.528667105189725817e-01
5.212257689643798320e-02,2.302847972737873394e-01,2.294715613356443917e-01
4.511295495838818503e-02,2.108989484033460815e-01,2.097231154818093024e-01
3.968855506757427293e-02,1.945682482304152972e-01,1.936453429131536619e-01
3.555040593800274512e-02,1.807306747087447651e-01,1.799912483112722505e-01
3.227436482660957229e-02,1.676944037112926555e-01,1.671038885493077997e-01
2.948631350507130086e-02,1.544263878969742709e-01,1.539653641381874549e-01
2.695030659065217327e-02,1.407829673873372267e-01,1.404337472022496869e-01
2.455782987464689981e-02,1.271210834414448765e-01,1.268640426396800414e-01
2.234169686646994557e-02,1.143066282050988064e-01,1.141197841231292170e-01
2.042789323103084628e-02,1.035252921250347374e-01,1.033865077389058140e-01
1.893102153799582077e-02,9.564593473059564144e-02,9.553649926613988486e-02
1.787412241702562160e-02,9.051898120014022220e-02,9.042622316075679678e-02
1.714971797246399310e-02,8.677950198636812107e-02,8.669777489813038085e-02
1.656471426151897783e-02,8.248914481423336165e-02,8.241895319992278979e-02
1.594255308126552029e-02,7.619843157984711179e-02,7.614310857055611725e-02
1.522551888547506865e-02,6.770913808687704927e-02,6.767032516282267540e-02
1.449009162890088978e-02,5.828917843041014207e-02,5.826441755083652113e-02
1.388247356958970634e-02,5.051190976057665094e-02,5.049579734514645507e-02
1.351773427358525688e-02,4.729096483705466647e-02,4.727774259040542354e-02
1.340805188589760943e-02,4.939915710807513821e-02,4.938408635751902892e-02
1.346230962917157985e-02,5.450369070636530006e-02,5.448344800801425969e-02
1.355004778780994484e-02,5.967288274934642867e-02,5.964631604055824904e-02
1.357535739766171576e-02,6.312044008331825495e-02,6.308899677368100256e-02
1.352346312274495428e-02,6.436580478004516603e-02,6.433246305069674487e-02
1.343450560432113070e-02,6.368400517280532747e-02,6.365171196063452996e-02
1.335420300672793964e-02,6.168010351823281778e-02,6.165076429598627394e-02
1.329268084382244017e-02,5.904146943008953263e-02,5.901573727642626943e-02
1.322346382100135498e-02,5.617180042785679950e-02,5.614964139937489440e-02
1.311838548686181105e-02,5.333396029301983032e-02,5.331499328869847981e-02
1.297402369426695068e-02,5.069985867641806088e-02,5.068356571430097240e-02
1.282189516960257313e-02,4.832833758432706489e-02,4.831422589543797608e-02
1.270497381525152042e-02,4.630113906762759607e-02,4.628872988315527182e-02
1.264373102832722258e-02,4.461624157498884219e-02,4.460513850687963799e-02
1.262359065038880582e-02,4.320858772192456843e-02,4.319850283779300831e-02
1.260711782683859687e-02,4.182960686433084135e-02,4.182045712202631105e-02
1.256404094369110123e-02,4.033997076788434222e-02,4.033176421205247886e-02
1.248833508207138759e-02,3.880475423241995514e-02,3.879744947659836268e-02
1.240051606516895735e-02,3.751187038065451756e-02,3.750527174164775684e-02
1.232707241638494877e-02,3.674471703211099061e-02,3.673851503743923164e-02
1.227879937670706481e-02,3.662252855229568976e-02,3.661638822668320664e-02
1.224242178866139993e-02,3.703827726126054931e-02,3.703192542067870741e-02
1.219674899755215230e-02,3.773852137706791565e-02,3.773180239757138732e-02
1.213103597947497170e-02,3.859147007863474033e-02,3.858428511768639824e-02
1.205178863354445379e-02,3.962451708499864500e-02,3.961673950324361149e-02
1.197575635431908508e-02,4.080070023301332616e-02,4.079220924836779449e-02
1.191026634436106145e-02,4.195126035182118740e-02,4.194203054035189338e-02
1.184788248580941582e-02,4.274183347052128851e-02,4.273207191446690145e-02
1.177615986428559580e-02,4.287543297643353624e-02,4.286557959089824094e-02
1.169121778690247401e-02,4.235614348611214247e-02,4.234664382855236886e-02
1.159940792982942781e-02,4.134110549893219022e-02,4.133227261205416753e-02
1.151117529814373389e-02,4.007101203213210561e-02,4.006296854193987234e-02
1.143314199323213626e-02,3.882870681692054959e-02,3.882138852512372063e-02
1.136511151600068381e-02,3.788849254694682395e-02,3.788169314111715369e-02
