cost,L2,trace
1.008397221503179342e+00,6.234760727264712088e-01,7.855596411996152995e-01
8.229251902912986250e-01,5.878825008149463072e-01,7.730555124478947215e-01
7.095760305857212735e-01,5.725029532576606517e-01,7.691694242344883081e-01
6.582911271018645483e-01,5.733817791006959874e-01,7.712538592390822956e-01
6.360065592811093849e-01,5.721586968622265346e-01,7.752740965800238859e-01
6.165675813080701007e-01,5.528071032518117045e-01,7.757178091113752227e-01
5.866981920735782063e-01,5.306852454762128746e-01,7.705925707480764109e-01
5.448230662083706211e-01,5.063268606500659352e-01,7.605059640904096030e-01
4.955059812878280789e-01,4.838161888437118030e-01,7.466715056492216895e-01
4.456620560090319705e-01,4.653726539528199035e-01,7.303619142282073984e-01
4.013751067768860370e-01,4.507311888008728173e-01,7.125883422339852613e-01
3.658246746372282865e-01,4.391421005795947408e-01,6.939997726207735029e-01
3.391967657300659633e-01,4.370445260889416761e-01,6.751842865549214645e-01
3.198205485529517778e-01,4.434115997262871312e-01,6.567448540736698925e-01
3.050668454215253456e-01,4.428520607585624269e-01,6.391789078803715718e-01
2.920692912073579173e-01,4.409381138664964506e-01,6.226364868142375553e-01
2.783829191315989049e-01,4.423599306296592260e-01,6.068225646481831825e-01
2.626435626517457100e-01,4.459946487238425905e-01,5.909900152985512189e-01
2.447739671604282907e-01,4.445721763508890811e-01,5.742814807177955005e-01
2.256823196202226434e-01,4.406956946015278542e-01,5.560918582551965805e-01
2.066582697789324796e-01,4.382625905756712958e-01,5.362381091510456388e-01
1.887317347417928615e-01,4.382754900552743860e-01,5.148882012875173331e-01
1.721893997590803194e-01,4.358848110820634503e-01,4.922701790807954003e-01
1.567424404179412201e-01,4.251022740876310713e-01,4.685816284595171743e-01
1.419637749575602681e-01,4.021328972986811245e-01,4.441430612919468057e-01
1.274994853509577586e-01,3.756005258957458848e-01,4.191752076947495298e-01
1.131294788364783227e-01,3.478066574069028083e-01,3.935888650239398601e-01
9.878979764015724530e-02,3.233795641520645359e-01,3.670509238291875254e-01
8.475815965691065046e-02,3.033338326006048691e-01,3.394240057126558519e-01
7.172014679357517630e-02,2.882442584799221330e-01,3.112472919351448319e-01
6.051702084047485414e-02,2.793603278959464475e-01,2.838372879580379760e-01
5.174733711844303752e-02,2.602170868606024645e-01,2.588673014127088057e-01
4.547850444248941609e-02,2.396177245053175142e-01,2.378917524020541796e-01
4.127785200500037888e-02,2.231682108782276075e-01,2.217745239851906525e-01
3.840203806060565189e-02,2.114140286002141045e-01,2.102295431426644545e-01
3.611024579378722954e-02,2.029461481458269545e-01,2.018985981662672902e-01
3.389658454801884602e-02,1.958959179342131263e-01,1.949539598595630974e-01
3.157292535184530458e-02,1.887456080056085228e-01,1.879032226586613008e-01
2.913292742036018707e-02,1.805276749933117098e-01,1.797907408050707367e-01
2.670980990623792253e-02,1.713964771136788912e-01,1.707659332890264225e-01
2.447023236808804764e-02,1.623061803882469567e-01,1.617708375408101751e-01
2.260249190081933465e-02,1.546134604967233650e-01,1.541507575712738887e-01
2.129637152551295057e-02,1.495244176340258246e-01,1.491059570972087245e-01
2.063553154356693661e-02,1.473951195221785970e-01,1.469942987431999692e-01
2.049830178726634242e-02,1.473419154362192729e-01,1.469415289382136336e-01
2.056863947753356792e-02,1.478045488044757438e-01,1.474003755130363635e-01
2.049682073229885243e-02,1.473703092062431941e-01,1.469696909817974351e-01
2.010239910540914665e-02,1.455078317502090934e-01,1.451222247056498937e-01
1.945787162619910804e-02,1.426996922321271399e-01,1.423360009363739964e-01
1.879872715861854657e-02,1.399833581897025336e-01,1.396400595354068130e-01
1.833519474304115895e-02,1.383246811585396863e-01,1.379934514100465137e-01
1.812953716267854190e-02,1.382048696473270888e-01,1.378745005354660991e-01
1.809988950464483728e-02,1.393217561774616753e-01,1.389833060644941054e-01
1.814604750283980300e-02,1.409078207845567143e-01,1.405576698847554595e-01
1.824022614970141620e-02,1.422772591630804273e-01,1.419167909375279868e-01
1.842109336846535841e-02,1.430441639366764328e-01,1.426778302041341318e-01
1.870136993417595081e-02,1.429734467964879630e-01,1.426076565758520043e-01
1.900109302505945119e-02,1.419529296927919959e-01,1.415949230488641464e-01
1.917791526406273719e-02,1.398210805123974720e-01,1.394789753703804258e-01
1.914929910573748978e-02,1.368911893839387106e-01,1.365701590686975442e-01
1.894307572935585715e-02,1.335099162588997690e-01,1.332121090389405405e-01
1.868509748169273205e-02,1.301080523287838631e-01,1.298324500796686487e-01
1.850526908199925935e-02,1.271283072391274083e-01,1.268712225853766418e-01
1.844703608335486467e-02,1.247709647565974772e-01,1.245279269743872208e-01
1.846152844524381539e-02,1.229377966057556143e-01,1.227053211498762980e-01
1.846418348834640011e-02,1.213588671329594304e-01,1.211352398049665852e-01
1.840552554069561225e-02,1.198411309816023035e-01,1.196257942749984066e-01
1.828621601973594302e-02,1.183503494188031385e-01,1.181429539139878804e-01
1.812189503685200306e-02,1.168278594110582908e-01,1.166283698294050958e-01
1.792263088371146007e-02,1.153403292594889357e-01,1.151483673222484655e-01
1.769219070518232573e-02,1.139616458366946167e-01,1.137764892784032256e-01
1.743123592293436067e-02,1.125738450834443821e-01,1.123953743913850556e-01
1.715752032797489973e-02,1.111422937913373182e-01,1.109705489263912298e-01
1.688566698976871547e-02,1.094587567482688123e-01,1.092947026352408951e-01
1.662795902177037141e-02,1.074519126121763757e-01,1.072967217310882571e-01
1.638493033827653073e-02,1.051020854963498063e-01,1.049568595674101323e-01
1.615664462381985120e-02,1.024761312270331404e-01,1.023415255117618439e-01
