cost,L2,trace
1.008397221503179342e+00,6.234760727264712088e-01,7.855596411996152995e-01
8.229251076037955581e-01,5.878824616726436858e-01,7.730555074103107049e-01
7.054098759268230268e-01,5.707097488660748397e-01,7.681650728429088026e-01
6.319150115401941381e-01,5.597045605576248528e-01,7.653569939028934677e-01
5.726485443773674522e-01,5.371165499370234020e-01,7.605193038981180598e-01
5.133949546733496128e-01,5.114872136175603323e-01,7.502915760611746920e-01
4.523074378228899017e-01,4.851207716059538488e-01,7.341687394220388629e-01
3.927387703523427254e-01,4.604448636568903575e-01,7.133949995816444289e-01
3.393538632255277410e-01,4.385875611694201592e-01,6.892137324780829299e-01
2.959818863666074384e-01,4.121969606964621113e-01,6.624384703856404100e-01
2.648185611300480913e-01,3.942609919764186732e-01,6.345390725352308969e-01
2.461127827940388091e-01,3.872978814942120152e-01,6.076519646162232835e-01
2.371814786742967307e-01,3.911455894458762406e-01,5.830271134345907935e-01
2.328509466961916352e-01,4.029067236422902432e-01,5.603956896941011401e-01
2.277460350059702932e-01,4.189502889603505253e-01,5.384625713267940927e-01
2.184277196910923702e-01,4.365745115382552721e-01,5.158438723127578562e-01
2.040752248955057524e-01,4.488333427089702399e-01,4.916974042445710902e-01
1.857777352840775942e-01,4.424723788930195467e-01,4.658436266508043655e-01
1.654273522336958679e-01,4.281732435391193414e-01,4.385635984998503822e-01
1.448648572012551372e-01,4.068583927221720020e-01,4.103327230751840915e-01
1.254222516545427935e-01,3.771486555374460869e-01,3.815867757205496091e-01
1.078405078833623298e-01,3.452533397119252889e-01,3.526941682883665830e-01
9.237878895414866620e-02,3.142607374079995353e-01,3.240085685062876197e-01
7.894290829939838716e-02,2.858685482263800814e-01,2.959355436171053344e-01
6.728198886662303813e-02,2.615317500691822228e-01,2.690530694320505956e-01
5.717772872476753476e-02,2.427541005234350457e-01,2.441752795452670211e-01
4.860628365124855521e-02,2.238962514604220522e-01,2.224888512667108076e-01
4.170786550466840797e-02,2.064231074218213779e-01,2.053206896917777191e-01
3.657827642943827645e-02,1.941948464401330732e-01,1.932772528429221037e-01
3.305333970116940134e-02,1.863292274037798013e-01,1.855188292828760244e-01
3.068669246708351575e-02,1.806623911142583860e-01,1.799238036557362086e-01
2.893670826988270148e-02,1.751906422185562917e-01,1.745172343087458555e-01
2.733419877885416224e-02,1.686089301475440505e-01,1.680086894265957476e-01
2.560099799184320166e-02,1.604469248910520007e-01,1.599297890271237088e-01
2.366968113084760850e-02,1.507690012368509413e-01,1.503399941066387024e-01
