cost,L2,trace
1.008397221503179342e+00,6.234760727264712088e-01,7.855596411996152995e-01
8.229251355522497757e-01,5.878824660949935055e-01,7.730555061749585510e-01
7.049427518115006785e-01,5.704775980220082587e-01,7.676962814651570044e-01
6.292236827184308767e-01,5.585565645944522428e-01,7.630300858765355354e-01
5.663849279450788865e-01,5.349208371539276863e-01,7.543112009333998724e-01
5.027762729309726009e-01,5.083240012028532595e-01,7.394339353841937745e-01
4.371484571437594946e-01,4.811294603205933940e-01,7.184763290843413364e-01
3.734446416510106004e-01,4.555572848296431943e-01,6.927884887540055603e-01
3.167704469588322747e-01,4.197688642123793556e-01,6.637205369467767957e-01
2.713480736129580406e-01,3.904581992092836518e-01,6.325629973603552614e-01
2.397426282916668150e-01,3.715460599165724132e-01,6.014998939973014158e-01
2.215870428568960937e-01,3.652234621338260045e-01,5.727217489764453440e-01
2.128212319705443667e-01,3.703485305318251486e-01,5.468626734853723192e-01
2.075210817709692845e-01,3.792741105983339356e-01,5.231542825871206004e-01
2.006393350788419350e-01,3.881219249540097116e-01,5.002351705675163185e-01
1.896994032215243986e-01,4.004137614047335592e-01,4.768060257179404515e-01
1.746345002009597747e-01,4.011695129192831000e-01,4.521795274076357285e-01
1.567942799051592617e-01,3.974670598000810684e-01,4.262447737701293149e-01
1.379023849011694614e-01,3.874601732697876555e-01,3.992092300815588413e-01
1.194653428936600786e-01,3.587745698973635600e-01,3.714201419530991366e-01
1.024846963903048858e-01,3.301616428373219114e-01,3.431991676330764518e-01
8.754815415546257640e-02,2.986179313108485167e-01,3.148512720518286678e-01
7.478835737030366249e-02,2.683315569277772150e-01,2.866618661508962274e-01
6.398952594059006960e-02,2.405979069927162706e-01,2.588964492273793105e-01
5.488832487182247755e-02,2.168079744785440799e-01,2.320769548773787827e-01
4.730776495928125380e-02,1.985689066878204290e-01,2.070658657039200212e-01
4.123966000281423239e-02,1.808096698007246039e-01,1.850907611414255860e-01
3.674476808293626606e-02,1.671436903619858139e-01,1.674402475760309594e-01
3.376839580296632504e-02,1.553338752733474659e-01,1.548646677536005545e-01
3.201352326251467179e-02,1.472522126196712244e-01,1.468525576138544342e-01
3.091441624155426282e-02,1.417822356986505328e-01,1.414255200619033426e-01
2.990081333286499776e-02,1.367676762411377811e-01,1.364475147912019015e-01
2.850879565418819317e-02,1.303870432349684971e-01,1.301096629944724081e-01
2.653902915295493908e-02,1.218184754103656259e-01,1.215922961105230515e-01
2.405823078373871271e-02,1.109756075754391724e-01,1.108046346744067101e-01
2.133608441083035406e-02,9.840287552290903628e-02,9.828369742395862141e-02
1.872233706144698154e-02,8.511645797195516172e-02,8.503934145189108451e-02
1.652900879807593648e-02,7.249325718979847399e-02,7.244562006187825476e-02
1.491294893197366717e-02,6.223293698870811103e-02,6.220280165063721972e-02
1.385595544259702813e-02,5.572529814943814885e-02,5.570366341699683338e-02
1.321985008880153384e-02,5.373929548350937085e-02,5.371989268704972786e-02
1.284466661420666407e-02,5.585243290560237828e-02,5.583064973974969508e-02
1.265488971485253557e-02,6.108000678569224656e-02,6.105151572983233410e-02
1.268147533527604585e-02,6.831254986463373979e-02,6.827268977921946425e-02
1.296656893606252040e-02,7.646469833037355945e-02,7.640879319004001413e-02
1.348710990148290802e-02,8.461941759302693544e-02,8.454364457277933897e-02
1.412955743332854237e-02,9.194014313105654257e-02,9.184294561541703206e-02
1.472544185215417939e-02,9.769490504725533708e-02,9.757828182002564743e-02
1.513532770992757383e-02,1.014118209285942707e-01,1.012813675961517779e-01
1.531076293539843786e-02,1.029987815529348760e-01,1.028621048420886447e-01
1.530772498608451958e-02,1.027913959134272859e-01,1.026555434905776082e-01
1.522637128228643624e-02,1.013100352055243403e-01,1.011799744499453091e-01
1.515815194284432336e-02,9.910813569427454062e-02,9.898637565116416570e-02
1.514827776081964505e-02,9.668274317087867387e-02,9.656970871387533795e-02
1.518557897853353884e-02,9.418611152243093476e-02,9.408161264971318105e-02
1.523594798721376181e-02,9.169543090215731551e-02,9.159900771034804046e-02
1.527106968660354308e-02,8.918139339401288945e-02,8.909268824798764752e-02
1.528625598431468738e-02,8.669593948949878837e-02,8.661444834007439586e-02
1.528995450447025867e-02,8.431188076530057862e-02,8.423693114752124622e-02
1.527472678462420998e-02,8.196156726952127936e-02,8.189271421171082088e-02
1.521941613271557935e-02,7.955497315503311240e-02,7.949201037345997312e-02
1.509720540752006873e-02,7.692996308641798786e-02,7.687303097180422928e-02
1.488948559646086078e-02,7.395778905365513189e-02,7.390720538596680378e-02
1.459675013529899978e-02,7.062681072550561212e-02,7.058275987906581506e-02
1.424548545230364983e-02,6.710388247557129426e-02,6.706610132025118964e-02
1.387752337421751907e-02,6.367701759753095769e-02,6.364473501587837589e-02
1.353323364147317534e-02,6.072689354329150607e-02,6.069889384558916495e-02
1.322811971596720391e-02,5.848799086163296301e-02,5.846297571774421858e-02
1.296328961446745892e-02,5.703027367548681170e-02,5.700708293107219216e-02
1.274102905450563532e-02,5.640944559460373681e-02,5.638700409346518450e-02
1.256831266264813937e-02,5.668768833447613426e-02,5.666491306594351185e-02
1.245457909260406712e-02,5.783117656221764546e-02,5.780699485797380355e-02
1.240388261887504298e-02,5.978107707519219466e-02,5.975436557644307756e-02
1.240778880656764893e-02,6.227337635939366595e-02,6.224318222720955779e-02
1.244443998747810261e-02,6.486035574667231574e-02,6.482623942301843356e-02
1.248279647454478281e-02,6.700763045218814662e-02,6.697001167102449581e-02
1.250738799854187247e-02,6.844870059645548344e-02,6.840860165888443256e-02
1.251508735094906608e-02,6.910548882999446862e-02,6.906422425975587698e-02
1.251842463149447499e-02,6.913200435409133648e-02,6.909069225695749217e-02
1.253227776636500757e-02,6.883810589461399065e-02,6.879731855017398590e-02
1.255798166857553105e-02,6.843713480229307589e-02,6.839705619184185958e-02
1.258706734178819016e-02,6.812304951110384477e-02,6.808352028825756519e-02
1.260684351500086439e-02,6.790468607213009933e-02,6.786553582895155090e-02
1.261237874947648829e-02,6.781498312412165275e-02,6.777598785966221229e-02
1.260183948080608254e-02,6.779964044208265650e-02,6.776067164395611908e-02
1.257291085695037489e-02,6.777286946159473413e-02,6.773394681508121407e-02
1.251992593605270529e-02,6.760542258518750791e-02,6.756678778055838497e-02
1.243958367616538468e-02,6.721708691680877701e-02,6.717911419187995448e-02
1.233491699835003591e-02,6.660054635348491847e-02,6.656360916487841228e-02
1.221513294194240436e-02,6.579617834985901359e-02,6.576056362646369446e-02
1.209525071417708389e-02,6.493892258042707755e-02,6.490468210704279650e-02
1.198159485598215834e-02,6.405938249705525611e-02,6.402651476896101257e-02
1.187704609496737299e-02,6.323352889651429054e-02,6.320191625080320841e-02
1.178320981643645599e-02,6.248211138405592585e-02,6.245161255890160218e-02
1.170746654502868855e-02,6.195272297316609805e-02,6.192299293758009998e-02
1.165560678042762768e-02,6.176746529649901341e-02,6.173800121223863013e-02
1.162642205673980120e-02,6.185458802311808585e-02,6.182499906611910873e-02
1.161750856041294556e-02,6.218997746070831223e-02,6.215990449708429927e-02
1.162389348242087728e-02,6.269547803511719974e-02,6.266466564414724383e-02
1.163600661861780364e-02,6.323485095472208828e-02,6.320323632582379447e-02
1.164835026926248560e-02,6.375126622170418367e-02,6.371887056282306283e-02
1.165752301104620511e-02,6.425281048407237294e-02,6.421964407121255602e-02
1.166567253758540521e-02,6.471354160967135449e-02,6.467965647352487413e-02
1.167627527502047499e-02,6.517919356249565754e-02,6.514457154898969926e-02
1.169113383113667276e-02,6.565945177858570347e-02,6.562405865954107353e-02
1.170715544510780165e-02,6.612136716914010504e-02,6.608522167154061433e-02
1.172163047094511301e-02,6.655481458855798393e-02,6.651795345135332049e-02
1.173052611067531073e-02,6.688223585940510085e-02,6.684482791604474949e-02
1.172848882106765009e-02,6.703442307724941096e-02,6.699675914459819748e-02
1.171462162143891740e-02,6.703372874903651413e-02,6.699606598693870485e-02
1.168829761430825905e-02,6.690248568410193941e-02,6.686504374628836345e-02
1.164755447178103878e-02,6.662982945462367357e-02,6.659284351364275212e-02
1.159368773416843273e-02,6.621071134781944534e-02,6.617441910430003904e-02
