cost,L2,trace
1.008397221503179342e+00,6.234760727264712088e-01,7.855596411996152995e-01
8.229250997873294171e-01,5.878824592829552387e-01,7.730555082383836485e-01
7.040847340337106353e-01,5.702128344054691045e-01,7.680101561021199785e-01
6.258545017300609636e-01,5.558094442095434795e-01,7.651496159625318372e-01
5.617466157908654889e-01,5.307278101056288611e-01,7.608245271859955805e-01
5.000826282217175622e-01,5.043949656377286761e-01,7.513659183970520239e-01
4.395115399242860987e-01,4.786184960298630053e-01,7.362550282759964260e-01
3.825799794020307565e-01,4.553391638762853688e-01,7.167423781618667000e-01
3.327818293249709680e-01,4.367678316116384019e-01,6.941095060475728218e-01
2.930452063950331199e-01,4.145042084329271237e-01,6.689727395369490237e-01
2.649675447108299498e-01,3.974770890810772617e-01,6.426508983483469883e-01
2.485609824979419513e-01,3.903141896872481253e-01,6.171742057551187211e-01
2.410976534847850405e-01,3.930830030804751130e-01,5.937326253856423097e-01
2.375841354062849797e-01,4.032108451461450804e-01,5.720553652552051727e-01
2.329447257273372374e-01,4.173289761611452819e-01,5.509587207108577189e-01
2.239889215424119562e-01,4.328963065389124232e-01,5.291193265363742793e-01
2.098648073519011892e-01,4.471378529222226894e-01,5.057813624393652230e-01
1.915927773003352763e-01,4.432990723122626764e-01,4.807430652963314843e-01
1.710147872107880551e-01,4.291335025369432676e-01,4.541826390108035238e-01
1.500601830094366318e-01,4.146873988960693147e-01,4.265780969192073391e-01
1.301959024265422760e-01,3.849359161508742466e-01,3.983566867502427722e-01
1.122461425885126207e-01,3.551000658988223146e-01,3.697252843659168953e-01
9.651870070286047709e-02,3.271471681742641469e-01,3.408733872925679975e-01
8.286745415247734337e-02,2.980168522549600518e-01,3.121030453133699645e-01
7.098098773288046004e-02,2.716405140104807825e-01,2.838813637533458278e-01
6.064282932659088160e-02,2.493901837791809295e-01,2.569126161662373398e-01
5.186279209544485125e-02,2.317355409782013709e-01,2.322851448180011935e-01
4.476889161312286314e-02,2.123870433526608426e-01,2.111860968200633959e-01
3.935921956222901419e-02,1.949606192913748148e-01,1.940321103137669922e-01
3.532581657219573817e-02,1.805863809330766900e-01,1.798487265949698377e-01
