cost,L2,trace
1.008397221503179342e+00,6.234760727264712088e-01,7.855596411996152995e-01
8.229251036450677681e-01,5.878824621825212704e-01,7.730555096042540653e-01
7.045248412842579633e-01,5.704012149239430229e-01,7.681491247819151047e-01
6.281999650869065643e-01,5.578080222813732725e-01,7.657864539944522209e-01
5.658929726544251748e-01,5.341565988561065570e-01,7.621066829737753734e-01
5.054471376201544741e-01,5.088502012737388114e-01,7.533896468338430186e-01
4.454050901562559561e-01,4.837989353961169026e-01,7.390370028264713342e-01
3.884473596126011841e-01,4.609422517571831746e-01,7.202354585394181719e-01
3.383618333147713209e-01,4.425309601156073858e-01,6.982324559724087942e-01
2.981876567156616642e-01,4.201034034950541507e-01,6.736246567381178885e-01
2.695408414496274774e-01,4.031373355551196580e-01,6.474575783362822579e-01
2.523887187266384280e-01,3.956840169380294592e-01,6.216821160382260958e-01
2.441800139476343889e-01,3.979783009166884544e-01,5.976351387955787242e-01
2.401374656610043568e-01,4.077562805625949971e-01,5.752686226632978128e-01
2.352417920015701935e-01,4.218276160890168658e-01,5.535466916226418066e-01
2.262371614361010086e-01,4.376214388648417830e-01,5.312685101594208925e-01
2.122502700818311994e-01,4.530417646925033459e-01,5.076759437449495094e-01
1.942051824658564962e-01,4.481945154556926103e-01,4.825586063301305351e-01
1.738884337755344789e-01,4.356593402159809614e-01,4.561464328372789034e-01
1.531296772594774869e-01,4.170226575962437954e-01,4.287854219873936668e-01
1.333449695705955507e-01,3.877130819821729690e-01,4.008384963320535399e-01
1.153786291425275140e-01,3.585641945317832868e-01,3.725901055225835368e-01
9.952738658893603430e-02,3.311856591102927405e-01,3.442491567500240990e-01
8.568101651060246182e-02,3.023887253102949813e-01,3.160342048001879567e-01
7.354158411102454385e-02,2.766996430268210960e-01,2.883288716386773753e-01
6.289925906825671875e-02,2.552526417843467010e-01,2.618237576253203414e-01
5.375970043701591705e-02,2.382768723588199189e-01,2.375912374945310379e-01
4.629669272725406293e-02,2.181568617935195908e-01,2.168551517122560002e-01
4.057063332245404441e-02,2.011924313514213691e-01,2.001718494921946867e-01
3.634456000012286497e-02,1.875556524975909023e-01,1.867291227740371651e-01
3.313515350170267992e-02,1.754533138854899588e-01,1.747768684977397680e-01
3.047389229489890633e-02,1.634682620567835531e-01,1.629213248157468374e-01
