cost,L2,trace
6.815647915284972491e-01,7.310398344396802361e-01,9.119396545353469774e-01
5.763860775043383455e-01,7.270979233103225248e-01,8.833051561567288879e-01
4.988931086214897226e-01,7.345764795422564664e-01,8.530493398933045590e-01
4.426123973273257128e-01,7.421095187625846856e-01,8.216901676038771418e-01
4.013399769608326784e-01,7.400902456304193633e-01,7.891872463262236126e-01
3.707997877883063564e-01,7.146371091435878009e-01,7.549694740605964460e-01
3.469532176557066916e-01,6.884921404258358413e-01,7.187744394464360420e-01
3.254984691073703473e-01,6.702431578678418322e-01,6.807297657938781166e-01
3.050839385126177805e-01,6.414497654018029849e-01,6.412280514980828183e-01
2.861368730860140430e-01,6.044819955385359878e-01,6.004180222619295293e-01
2.691199706201956032e-01,5.653467723231686559e-01,5.581104842094634089e-01
2.539746494242725028e-01,5.235913755244592238e-01,5.141583864378749258e-01
2.407654593156610401e-01,4.769691136590473723e-01,4.691429250416152552e-01
2.297243716841134153e-01,4.335267558494467766e-01,4.245262313648370256e-01
2.206222399927413869e-01,3.897107412810212890e-01,3.822407602908703406e-01
2.124755271794949441e-01,3.496543131051358944e-01,3.442693357751689387e-01
2.041706929160621575e-01,3.160414738719214967e-01,3.120706635977611443e-01
1.954605592568233186e-01,2.894926479739782788e-01,2.864439423440960919e-01
1.871597407556142567e-01,2.700882051356446323e-01,2.676140860656723297e-01
1.803022075393892476e-01,2.569160835368386464e-01,2.547875195725748942e-01
1.752775177250802952e-01,2.476202871737864519e-01,2.457150780572132098e-01
1.717806627338888392e-01,2.393173552610807775e-01,2.375978813533298484e-01
1.693619422566880472e-01,2.301229341557410046e-01,2.285945436464872083e-01
1.678471711611295714e-01,2.198001800733892785e-01,2.184687710997948173e-01
1.673001585320193496e-01,2.093872936879718483e-01,2.082366100043140933e-01
1.676503218429469810e-01,2.002085331271976354e-01,1.992028761362346911e-01
1.684171661219479033e-01,1.928654535660983549e-01,1.919666049863766044e-01
1.688998423670445836e-01,1.868605325283015650e-01,1.860431720403738776e-01
1.687316732477633641e-01,1.812514144440262875e-01,1.805055692384568977e-01
1.681560023740893417e-01,1.756184229068021019e-01,1.749400635579952124e-01
1.676360055600002452e-01,1.701814663589985843e-01,1.695642533653378969e-01
1.672896828839986749e-01,1.652426484232131232e-01,1.646776860652965080e-01
1.668532144801439798e-01,1.607677297128790317e-01,1.602474823213738131e-01
