cost,L2,trace
6.815647915284972491e-01,7.310398344396802361e-01,9.119396545353469774e-01
5.763860779165348447e-01,7.270979244480068049e-01,8.833051562448542837e-01
4.990239593081364777e-01,7.346887249079668836e-01,8.530280284921015754e-01
4.430535360039180026e-01,7.424126617238556713e-01,8.217185206126513819e-01
4.022280828041762124e-01,7.407699338914275344e-01,7.893312867053462467e-01
3.719666218900176125e-01,7.156798379474652583e-01,7.552746143503915599e-01
3.481262174031687917e-01,6.896942101242883316e-01,7.192606941436722190e-01
3.265105168852252548e-01,6.705565634829747657e-01,6.814221433454942245e-01
3.059492985818477173e-01,6.411919816859523724e-01,6.421721513203895171e-01
2.869856599048793977e-01,6.047791501806627501e-01,6.015861504281909689e-01
2.699878683250633848e-01,5.657979363879198642e-01,5.594429363904974695e-01
2.547868696627899610e-01,5.247114374106088830e-01,5.155771441924204002e-01
2.414314854192284587e-01,4.781566562892543559e-01,4.706527542685003396e-01
2.302294225829377428e-01,4.347860460361063772e-01,4.261310544681631285e-01
2.210290406563453214e-01,3.915722299907375969e-01,3.839939845964482901e-01
2.129066478679664809e-01,3.516510130960908698e-01,3.461727644892544919e-01
2.047053513364196498e-01,3.181482285854502767e-01,3.140971338989982931e-01
1.960561780537115883e-01,2.914893506529566136e-01,2.883768965956952646e-01
1.877228173266684563e-01,2.716510694697515382e-01,2.691336168804837059e-01
1.808013853700418117e-01,2.578652969557704289e-01,2.557129863017669757e-01
1.757298313178030646e-01,2.480011563476138825e-01,2.460871195488890661e-01
1.721947540461438719e-01,2.392920819300869140e-01,2.375731540383507201e-01
1.697054734057945047e-01,2.298808438549985456e-01,2.283572826035223102e-01
1.680804114618338896e-01,2.194827156943745250e-01,2.181570790411528071e-01
1.674240456946169409e-01,2.091113447202345155e-01,2.079652128007715428e-01
1.677015949882946777e-01,2.000386158273572412e-01,1.990355214679624396e-01
1.684387067564205032e-01,1.928052326811981743e-01,1.919072271287886045e-01
1.689332165536154284e-01,1.868113084622795017e-01,1.859945946931915728e-01
1.688187974403710101e-01,1.811200097130815090e-01,1.803757877422451361e-01
1.683356900924602995e-01,1.753035396330291928e-01,1.746288273209492259e-01
1.679074052489621383e-01,1.694939452679337377e-01,1.688841915332534860e-01
1.675805169990676469e-01,1.638718289754855229e-01,1.633208263528082849e-01
1.670588615634108764e-01,1.584359534705519490e-01,1.579380396285274268e-01
1.661921783377650064e-01,1.531062946758478538e-01,1.526570045875253190e-01
1.651832319213140665e-01,1.478898915527997460e-01,1.474850171035629043e-01
1.643138950074210514e-01,1.426487837890345889e-01,1.422854819286639427e-01
1.636451877159625923e-01,1.372061989943084148e-01,1.368829455906786230e-01
1.630861741539736676e-01,1.316227272105996438e-01,1.313373799674763809e-01
1.626134193660182803e-01,1.263612929105466243e-01,1.261088365893059116e-01
1.622854430468582132e-01,1.219695208092632238e-01,1.217424986078495253e-01
1.620644512730587128e-01,1.184090911168678567e-01,1.182013864633309208e-01
1.617956464289798113e-01,1.150065213438200562e-01,1.148162221829488322e-01
1.614013358281861654e-01,1.113134054843332582e-01,1.111408657447189724e-01
1.609873747139605182e-01,1.076370191572987023e-01,1.074810244664851366e-01
1.606822683157946297e-01,1.046580164574948818e-01,1.045146243898723848e-01
1.604744508211414233e-01,1.026395372476233692e-01,1.025042863038568841e-01
1.602649940968616793e-01,1.012148497073113856e-01,1.010851553583910351e-01
1.600164827226492337e-01,9.986089461196961947e-02,9.973633785188337764e-02
1.597655367073689270e-01,9.837045283341615265e-02,9.825139254692094593e-02
1.595170148636768093e-01,9.664569532248146189e-02,9.653279080729910977e-02
1.592254319570112209e-01,9.470213298565476057e-02,9.459590647016059839e-02
1.588973344584093672e-01,9.264854783839145125e-02,9.254908541354711637e-02
1.586186606109112052e-01,9.077552810305483666e-02,9.068197887556861403e-02
1.584454990260621976e-01,8.916473007845023002e-02,8.907607466261516227e-02
1.583242922608689152e-01,8.752232316058200512e-02,8.743847865734900859e-02
1.581715333810326252e-01,8.553029175231484371e-02,8.545204459380717488e-02
1.579924328468205741e-01,8.324953882387470250e-02,8.317738759018672434e-02
1.578547333124815100e-01,8.093883286983927228e-02,8.087252596525119908e-02
1.577803727517205767e-01,7.877602813433413897e-02,7.871489723374053282e-02
1.577276367005779889e-01,7.667630873978396877e-02,7.661993805944837532e-02
1.576663512292194591e-01,7.460499620044581948e-02,7.455307258709253926e-02
1.576135272451553715e-01,7.274718190914990223e-02,7.269904233389880288e-02
1.575871151399658165e-01,7.139770225630076572e-02,7.135219285182654858e-02
1.575794008548548619e-01,7.085626665172806149e-02,7.081178497476910139e-02
1.575828578112028200e-01,7.119598614631261757e-02,7.115086146015524304e-02
1.576036462054924425e-01,7.213722380493195474e-02,7.209028526203557774e-02
1.576294698193627664e-01,7.311263476283504092e-02,7.306376587174712167e-02
1.576324994148020076e-01,7.344918991424967403e-02,7.339964289291840693e-02
1.576021454210445316e-01,7.279316709853238254e-02,7.274493615492823306e-02
1.575515625196378389e-01,7.119905500815033872e-02,7.115392448528995439e-02
1.574926296525812064e-01,6.897167755743431605e-02,6.893065227666533845e-02
1.574274970715155986e-01,6.650256785075372989e-02,6.646579347139161542e-02
1.573606308618506200e-01,6.410292120542415706e-02,6.406998640346442397e-02
1.573027072527931058e-01,6.199261564502948213e-02,6.196282813184210425e-02
1.572546509866353803e-01,6.028444033419078085e-02,6.025704829326410106e-02
1.572086019453335648e-01,5.893929129255223720e-02,5.891369252457991090e-02
1.571602968591194749e-01,5.790144931909858850e-02,5.787717934315630280e-02
1.571163960777032798e-01,5.699871873223705948e-02,5.697556646616677017e-02
1.570789178941010555e-01,5.617161922811579611e-02,5.614946041409944744e-02
1.570424253680137994e-01,5.537150543151383303e-02,5.535028020897360401e-02
1.570016367362110921e-01,5.456605697245205805e-02,5.454574469733342035e-02
1.569570954612615199e-01,5.374867309166794088e-02,5.372926013474436935e-02
1.569096167194795610e-01,5.294455659953099802e-02,5.292600206490719744e-02
1.568591463515696671e-01,5.213504440315504251e-02,5.211732810206023275e-02
1.568071102014907958e-01,5.140339433401740904e-02,5.138641357316517388e-02
1.567557118237292713e-01,5.077876567851147965e-02,5.076239651682471626e-02
1.567041942026984325e-01,5.030578478075172638e-02,5.028986883295766264e-02
1.566507014259388431e-01,4.991347410528906847e-02,4.989792766190973006e-02
1.565977333560613083e-01,4.957678911510974423e-02,4.956155518598801685e-02
1.565477852663880454e-01,4.923042211304020505e-02,4.921550528468185415e-02
1.564986965577444822e-01,4.885420856411071960e-02,4.883963114104556552e-02
1.564490394233215842e-01,4.840772660692893581e-02,4.839354525307614646e-02
1.563992997169887100e-01,4.781798754848120420e-02,4.780431825792253592e-02
1.563490614700982217e-01,4.706793819863562545e-02,4.705490215868639997e-02
1.562966451852300098e-01,4.615664376121181300e-02,4.614435040353239564e-02
1.562427071149539715e-01,4.520810066770207525e-02,4.519654980870323191e-02
1.561885975202842447e-01,4.429278943435757676e-02,4.428192611944901241e-02
1.561334250710774141e-01,4.350945037089902490e-02,4.349915333567978132e-02
1.560762943563743788e-01,4.286606700585070956e-02,4.285622007669940420e-02
1.560165277191201405e-01,4.233967175751420647e-02,4.233018317934825886e-02
1.559540852783138920e-01,4.191381368815656761e-02,4.190460857266534167e-02
1.558898823243379250e-01,4.152290562706505150e-02,4.151395568902192107e-02
1.558244678545457340e-01,4.113066580963092161e-02,4.112196713354247801e-02
1.557584926220714205e-01,4.070890339069414832e-02,4.070046959233915296e-02
1.556914273801389692e-01,4.026708459966858722e-02,4.025892244926821545e-02
1.556234266818453948e-01,3.982348544865551426e-02,3.981559010804326670e-02
1.555541585330872112e-01,3.940777408466789727e-02,3.940012344256049043e-02
1.554825374063434351e-01,3.905139765996076817e-02,3.904395272070405876e-02
1.554078292854907117e-01,3.871471543238721308e-02,3.870746140958301884e-02
1.553296526058292049e-01,3.834273175790828964e-02,3.833568484218554534e-02
1.552479427632641740e-01,3.785443561931384204e-02,3.784765453349191872e-02
1.551629925347944305e-01,3.725050253587695176e-02,3.724404087605458213e-02
1.550755524250097550e-01,3.657329495780993478e-02,3.656717936458774715e-02
1.549856681099144040e-01,3.584236690250901247e-02,3.583661071501234585e-02
1.548944298575654910e-01,3.505371993438726602e-02,3.504833543034413523e-02
1.548022804114978501e-01,3.413410608467393886e-02,3.412913435801419315e-02
1.547098573081017170e-01,3.308048929584985615e-02,3.307596391126284285e-02
1.546176622532967060e-01,3.203261721289475672e-02,3.202850841159043255e-02
1.545256737254228629e-01,3.108197192498179245e-02,3.107821820449690325e-02
1.544336768889915668e-01,3.032073112994129738e-02,3.031724652156130712e-02
1.543414677236930599e-01,2.966893104383207594e-02,2.966566637144027116e-02
1.542499552071003033e-01,2.904432626358689415e-02,2.904126347632267693e-02
1.541599734232008967e-01,2.836051325183188906e-02,2.835766174704419662e-02
1.540720187351856119e-01,2.760504748806163686e-02,2.760241784868391890e-02
1.539864225725389724e-01,2.671138664711303692e-02,2.670900422515651643e-02
1.539031148128788551e-01,2.570663003230545460e-02,2.570450647788396353e-02
1.538228119342578970e-01,2.466493499629138220e-02,2.466305928301151112e-02
1.537474374497574126e-01,2.371047363715487327e-02,2.370880736488897161e-02
1.536785523137114418e-01,2.287884796886116220e-02,2.287735095206410926e-02
1.536167434067830517e-01,2.202570049891434956e-02,2.202436478832171460e-02
1.535612830845897170e-01,2.106012346103554311e-02,2.105895583225504686e-02
1.535110468441013842e-01,2.006683598142363495e-02,2.006582589704812569e-02
1.534647973756624317e-01,1.922799064093296331e-02,1.922710200932341990e-02
1.534231984341574151e-01,1.858886809555920089e-02,1.858806516454336241e-02
1.533869612486717937e-01,1.823359750630728499e-02,1.823283973851320613e-02
