cost,L2,trace
6.815647915284972491e-01,7.310398344396802361e-01,9.119396545353469774e-01
5.763860777326479390e-01,7.270979240183925718e-01,8.833051561216668235e-01
4.989611663887354442e-01,7.346825043248701448e-01,8.529758214269220762e-01
4.428542138315976207e-01,7.424207203144725931e-01,8.216164158014552799e-01
4.018506395150172050e-01,7.405886427402929018e-01,7.891704015165411645e-01
3.714027026966183476e-01,7.154023712534802737e-01,7.549950019274699331e-01
3.473944850753168945e-01,6.893196729797830269e-01,7.187867178518102529e-01
3.256825091256585480e-01,6.703766787522612569e-01,6.806941614579230526e-01
3.050819682416331946e-01,6.407447350746783288e-01,6.411368698019882517e-01
2.860738557307633823e-01,6.038445354084377437e-01,6.002673598717082060e-01
2.690469987665264906e-01,5.648122698433751809e-01,5.578906958153594386e-01
2.538872907342925034e-01,5.232946914032212682e-01,5.138881899968228417e-01
2.406384092348481385e-01,4.767302256932367532e-01,4.688730526246912000e-01
2.295662359643591555e-01,4.333953820739832596e-01,4.243218014868636589e-01
2.204803113810323567e-01,3.896868561412658583e-01,3.822182575042887276e-01
2.124006815934818548e-01,3.499251604694979534e-01,3.445275941712732104e-01
2.041733557974273194e-01,3.166533497388833718e-01,3.126593330915903302e-01
1.955033097791638030e-01,2.904092763391146192e-01,2.873314154287033850e-01
1.871915476788555688e-01,2.712190399100020688e-01,2.687136166200081444e-01
1.803131418004308151e-01,2.582013171779634075e-01,2.560405579136618148e-01
1.752947400809204415e-01,2.490775406001839998e-01,2.471384077410890834e-01
1.718247268214007362e-01,2.409987993805296769e-01,2.392427375453156646e-01
1.694251134490318278e-01,2.320767858245937343e-01,2.305090442066281275e-01
1.679044766375150100e-01,2.220538409263342616e-01,2.206809706695237183e-01
1.673353173293967155e-01,2.119433754998994723e-01,2.107499536029750209e-01
1.676685152331118811e-01,2.030484063785994442e-01,2.019992693742957701e-01
1.684328934755505713e-01,1.959174489186003287e-01,1.949751797166316691e-01
1.689316356104801631e-01,1.900158383239178295e-01,1.891563048520794876e-01
1.688056030117758288e-01,1.844267249041520451e-01,1.836409326065391312e-01
1.682978360359669301e-01,1.787527924824568737e-01,1.780374097894400764e-01
1.678493052383313588e-01,1.732127867617613559e-01,1.725619583034653515e-01
1.675397425957981246e-01,1.680694883827410502e-01,1.674749972038100665e-01
1.670889962305120990e-01,1.632813934776811970e-01,1.627363318760719213e-01
1.663217142322243602e-01,1.586742608922201703e-01,1.581740945221081496e-01
1.653989539207344484e-01,1.541192221533090323e-01,1.536609466860549555e-01
1.645800877233538906e-01,1.494577904017784231e-01,1.490398895291481507e-01
1.639406269795701532e-01,1.445055388197620527e-01,1.441278523634746123e-01
1.634115263967969023e-01,1.393272189759106605e-01,1.389887290172299172e-01
1.629708915381699041e-01,1.343917428425434324e-01,1.340879910536967035e-01
1.626490068717489357e-01,1.301810483970928245e-01,1.299049816855770978e-01
1.623894073755329237e-01,1.266191192702192381e-01,1.263651134268704845e-01
1.620585656554875964e-01,1.231737541087748189e-01,1.229399366436226826e-01
1.616197361210204853e-01,1.196035890035279242e-01,1.193895310064260612e-01
1.611864991109951961e-01,1.163453218508912757e-01,1.161482953358626696e-01
1.608676840871182678e-01,1.140511796586073379e-01,1.138655861159400678e-01
1.606376285322771991e-01,1.128829431468502675e-01,1.127029975287289765e-01
1.604055069157812041e-01,1.124032999867845412e-01,1.122256396225139036e-01
1.601459179462772497e-01,1.120269428470769685e-01,1.118510620121253435e-01
1.598902900511964542e-01,1.113606538508839505e-01,1.111878941941841226e-01
1.596353510508848883e-01,1.102295936520711755e-01,1.100620473618069695e-01
1.593452799794428110e-01,1.086647079827483958e-01,1.085042000763612458e-01
1.590392803922840437e-01,1.069319288921269095e-01,1.067789812033827640e-01
1.587963283312013862e-01,1.053775382453577963e-01,1.052311669604585054e-01
1.586473006158316545e-01,1.040987854705241328e-01,1.039576807830733390e-01
1.585256936864383459e-01,1.028618893978017618e-01,1.027257571602572667e-01
1.583623021223768690e-01,1.014288732299569451e-01,1.012983540513676395e-01
1.581772844351088669e-01,9.983497071713781645e-02,9.971051097704777821e-02
1.580356318037851870e-01,9.824135405989921355e-02,9.812276210165735146e-02
1.579519236478036104e-01,9.662911925496248111e-02,9.651627284649344496e-02
1.578864198134889707e-01,9.479234966927864436e-02,9.468581916478413518e-02
1.578118174896290804e-01,9.261519919118534061e-02,9.251584416997038485e-02
1.577387775766311284e-01,9.025980988812308536e-02,9.016784658576103284e-02
1.576851375653951226e-01,8.810078039722933629e-02,8.801526188969419073e-02
1.576571425133934112e-01,8.653137676850432281e-02,8.645034893296717204e-02
1.576575082414288231e-01,8.575000995826760619e-02,8.567115803776420568e-02
1.576815525798495599e-01,8.558954231677214086e-02,8.551113238017718499e-02
1.577059486991428117e-01,8.555058479342637912e-02,8.547228190958625071e-02
1.577044323378051227e-01,8.509683218684414852e-02,8.501976901417890309e-02
1.576742524645873555e-01,8.396146809399397670e-02,8.388744937595656037e-02
1.576308650276567191e-01,8.219759949638777430e-02,8.212814970814094617e-02
