cost,L2,trace
1.269141854258116986e+01,7.882519951632658284e-01,9.997980571708989794e-01
1.237303808041633779e+01,8.071746899100836758e-01,9.995064791824763706e-01
1.204051412980323299e+01,8.282148836338161235e-01,9.988927659974387030e-01
1.173842869962006041e+01,8.443500527559513191e-01,9.978315915993745122e-01
1.157175523264430339e+01,8.510373038110971011e-01,9.971730834338338179e-01
1.164444968380914247e+01,8.602643837981932551e-01,9.971242147321328630e-01
1.192722389941851269e+01,8.519945619087746502e-01,9.975083160271881466e-01
1.229084305986189563e+01,8.398823728888763496e-01,9.980330549732964185e-01
1.261665895130475690e+01,8.323209579721657647e-01,9.986077019542715094e-01
1.283765380004672352e+01,8.399100850989723588e-01,9.990278310071094570e-01
1.296659824096441760e+01,8.547571105827077576e-01,9.993142322886053863e-01
1.307340427790262005e+01,8.680298228667556737e-01,9.995000095128607764e-01
1.318292178058207043e+01,8.781407597984134394e-01,9.995946641296856727e-01
1.328276189567174015e+01,8.906960573205359166e-01,9.996543303283073056e-01
1.335078632181894420e+01,9.033387917852052640e-01,9.996964604608563620e-01
1.338423226561267043e+01,9.135966422791230723e-01,9.997558808963139532e-01
1.338493341852655760e+01,9.274155683584268672e-01,9.998391495581943067e-01
1.335123897429561346e+01,9.404731862517341501e-01,9.999262083634968823e-01
1.329531612724291456e+01,9.571802617853670814e-01,9.999898124544929212e-01
1.323421801681421783e+01,9.775896226127669397e-01,9.999885997133207693e-01
1.317694288601837371e+01,1.004510336126125836e+00,9.999061081583140442e-01
1.312793043548281346e+01,1.035539978380714654e+00,9.997913477929792903e-01
1.307003108026695060e+01,1.066881624765510850e+00,9.997505536960198391e-01
1.297796442163748409e+01,1.089791363870350027e+00,9.998367509915454532e-01
1.282522093092632431e+01,1.106500589303685667e+00,9.999624836112351867e-01
1.259879593788745744e+01,1.118893645402291304e+00,9.999924803332376211e-01
1.231855826459512038e+01,1.129224977280043340e+00,9.998806239639684845e-01
1.202039197757278721e+01,1.137889735752981579e+00,9.997289636945633218e-01
1.173517202426596384e+01,1.147645534944366830e+00,9.996516171185850785e-01
1.148233528263589065e+01,1.159297635830646600e+00,9.996746253605615085e-01
1.127280238091472064e+01,1.170734563959145769e+00,9.997729947895664937e-01
1.111637241450267943e+01,1.180785109657357834e+00,9.998886217086094819e-01
1.101548964091680105e+01,1.190345237728291261e+00,9.999710782702880829e-01
1.096451385755101704e+01,1.199415789775925223e+00,9.999996704313762752e-01
1.094754284388279686e+01,1.208759745740068281e+00,9.999892968126470327e-01
1.095054866156869267e+01,1.219207090429827334e+00,9.999637386264615957e-01
