cost,L2,trace
2.139801722139402229e-01,2.793275484030053029e-04,2.793275473190373181e-04
5.104484062518385157e-01,1.843091986551038397e-01,1.939629268127022466e-01
1.058287084497435471e+00,2.928617482276865136e-01,3.280078547264973499e-01
1.760659021579367600e+00,3.771504085333511891e-01,4.182008744803139000e-01
2.536272049010613650e+00,4.403086189843876119e-01,4.883474674642350188e-01
3.435071484477555614e+00,5.020567125179531409e-01,5.582605285898415426e-01
4.411203971426817638e+00,5.555373364283643367e-01,6.292084429093761644e-01
5.375244700714698176e+00,6.080031824660295792e-01,6.975504408099830744e-01
6.256556696986859123e+00,6.549500307697931900e-01,7.569271360636737889e-01
7.161943626901654092e+00,6.850700950092414310e-01,8.086723715637290644e-01
8.134281995938357213e+00,7.194377009818276880e-01,8.531565962463530939e-01
9.115074718570228995e+00,7.619420047048598432e-01,8.915529272032421959e-01
9.914548749952135864e+00,7.969377121727648783e-01,9.218364988373158875e-01
1.046037197985307543e+01,8.358792309111023888e-01,9.439210227095375938e-01
1.079354868826967362e+01,8.600932834958469053e-01,9.597313746893830766e-01
1.099965753268866209e+01,8.724188193388331403e-01,9.715813968377332577e-01
1.115960283686771248e+01,8.747386998656354606e-01,9.811256664430536567e-01
1.129348882565921031e+01,8.835716467703874644e-01,9.887066925618595015e-01
1.137130013516860849e+01,8.969442279005924723e-01,9.943688382360466038e-01
1.135662406599821317e+01,9.126484677052576489e-01,9.979810290501548442e-01
1.124789481483022513e+01,9.297169604103878715e-01,9.996687134973861744e-01
1.110263668450504682e+01,9.502535521492706527e-01,9.999895592708047953e-01
1.096541439992614109e+01,9.703092926851820677e-01,9.996514334864742279e-01
1.088707875319904872e+01,9.877459194973148282e-01,9.991600973382255280e-01
1.085885247045963453e+01,1.004886425980526132e+00,9.987804900715531176e-01
1.083980425589414054e+01,1.020036576379513615e+00,9.986484220850203597e-01
1.080494676257111308e+01,1.033205163232372215e+00,9.987673681384141577e-01
1.075965013550405835e+01,1.050978717784258221e+00,9.990567202990929818e-01
1.072625432340822904e+01,1.073555997046969690e+00,9.994057064592126727e-01
1.073574667569213759e+01,1.097295214477001846e+00,9.997213372204253323e-01
1.080387237715929771e+01,1.126974319941623781e+00,9.999228013302581264e-01
1.093476619426751739e+01,1.158257999512754211e+00,9.999965123501182163e-01
1.111425021900939214e+01,1.192199060072755890e+00,9.999863798794728087e-01
1.129755346831406726e+01,1.227644299381603687e+00,9.999471937840932467e-01
1.143451887676650358e+01,1.249366907064651588e+00,9.999123589836030890e-01
1.148415806891872393e+01,1.250482789079407020e+00,9.999074076927990662e-01
1.144168196581949104e+01,1.248938657348329428e+00,9.999265909806005492e-01
1.133098356092786574e+01,1.244363117098496785e+00,9.999544460312009830e-01
1.118753128384821238e+01,1.235026251888564408e+00,9.999774466041910781e-01
1.103382967105697432e+01,1.231371832592441873e+00,9.999922304858614996e-01
1.087029696447539884e+01,1.232433353629698969e+00,9.999992326252439279e-01
1.069474834118732431e+01,1.237756470869571856e+00,9.999995998251468565e-01
1.052061363877787592e+01,1.245272842616833353e+00,9.999975802537395264e-01
1.036892259818461781e+01,1.252578276300897242e+00,9.999953211464673863e-01
1.026394326833948156e+01,1.257835344459441007e+00,9.999921339450522639e-01
1.021680088608759363e+01,1.264449820638335442e+00,9.999889477559337214e-01
1.022646768135907891e+01,1.273570859418816648e+00,9.999861787284609616e-01
1.028991245556861500e+01,1.283843778522861356e+00,9.999846892812105370e-01
1.040080152428456017e+01,1.293304639739844442e+00,9.999862124421768916e-01
1.053818172907412176e+01,1.302250949571315708e+00,9.999910303631156516e-01
1.067614639194317583e+01,1.306830669983889415e+00,9.999971143736916535e-01
1.079170961821531449e+01,1.307748014777535106e+00,9.999999943882507125e-01
1.087724385194126064e+01,1.307895140451860838e+00,9.999984324835726746e-01
1.092993469754824787e+01,1.308090163359897806e+00,9.999972026780220569e-01
1.094563901954457918e+01,1.308662478074795077e+00,9.999993776760628394e-01
1.092265065310022365e+01,1.309552646758255445e+00,9.999981550318292056e-01
1.086480178839320843e+01,1.311567195002325548e+00,9.999814358499782285e-01
1.078411347118438712e+01,1.314047379419780670e+00,9.999492040480586486e-01
1.069754377529412359e+01,1.316421804582527777e+00,9.999165157475912169e-01
1.062070871812487027e+01,1.317588899980933981e+00,9.998991953182144732e-01
1.056202476045466909e+01,1.319833792538093853e+00,9.999011425708271839e-01
1.053122874172395740e+01,1.322784001046865221e+00,9.999129622697402464e-01
1.053650057221544856e+01,1.324851304181215328e+00,9.999254986048941030e-01
1.057164258898653841e+01,1.325278919789033338e+00,9.999360704472505246e-01
1.062863220480624094e+01,1.325258665574720274e+00,9.999494292360729952e-01
1.069534512605676824e+01,1.325783557435161297e+00,9.999679344354048816e-01
1.075869519085618364e+01,1.327601786167996512e+00,9.999870816838384302e-01
1.080821940747739340e+01,1.330583888887449717e+00,9.999989539131943772e-01
1.083609991145840645e+01,1.334163997325861883e+00,9.999969954864637023e-01
1.083791028444345805e+01,1.337213039165424888e+00,9.999814454517516049e-01
1.081764615305574040e+01,1.338317418718967255e+00,9.999617480409108694e-01
1.078011381077292263e+01,1.339251248738816846e+00,9.999530672202112669e-01
1.073447268320734338e+01,1.339300302392566477e+00,9.999614331762358699e-01
1.068622990650931470e+01,1.339664246110731538e+00,9.999782239423530283e-01
1.064010340317883951e+01,1.340476400657915512e+00,9.999931338506340417e-01
1.060133320881275765e+01,1.340578545905241503e+00,9.999995445602991584e-01
1.057535502281120721e+01,1.340961594729046080e+00,9.999993446279806797e-01
1.056359278584248251e+01,1.341451039725152228e+00,9.999966480627083820e-01
1.056265995494534948e+01,1.342201015866076874e+00,9.999928668910106344e-01
1.056970733979916233e+01,1.343492617235626296e+00,9.999898550017423116e-01
1.058219168673855393e+01,1.345241369474365678e+00,9.999888093545236112e-01
1.060083955294152958e+01,1.346552028865000583e+00,9.999912652298312832e-01
1.062036666336481971e+01,1.346570535043562833e+00,9.999966554190014012e-01
1.063788921407745036e+01,1.347039661371881580e+00,9.999999959657011050e-01
1.065033910628311276e+01,1.346834012034892503e+00,9.999971431254034426e-01
1.065775081552818548e+01,1.346133900169337094e+00,9.999922689134486120e-01
1.066030619204243735e+01,1.344839864180005895e+00,9.999908567664952397e-01
1.065709332928742015e+01,1.343698466753248555e+00,9.999938959111429604e-01
1.065378196904972086e+01,1.343015599520700487e+00,9.999973466960120350e-01
1.065141169238268404e+01,1.343269289145726519e+00,9.999991254298826737e-01
1.064974099476177827e+01,1.344208531091684700e+00,9.999993684553910578e-01
1.064916530475698053e+01,1.345260045189788034e+00,9.999987767354847623e-01
1.065086406559881560e+01,1.345499002013914147e+00,9.999980405174803133e-01
1.065324171804264353e+01,1.345906065709436161e+00,9.999988913230203336e-01
1.065759882231574629e+01,1.346156893824304479e+00,9.999999999609108237e-01
1.066455256692823994e+01,1.346256279119226074e+00,9.999980168455452345e-01
1.067240576044004996e+01,1.346566651218539024e+00,9.999945256239600733e-01
1.067715412013858156e+01,1.346808278722027019e+00,9.999958033136980839e-01
1.068000529815247290e+01,1.347091878012003807e+00,9.999997494404608833e-01
1.068106144970407456e+01,1.346853863720749001e+00,9.999972729409802863e-01
1.067755163855028933e+01,1.347420538599040984e+00,9.999891197436546753e-01
1.066940918820679585e+01,1.348918153477404180e+00,9.999847384630700109e-01
1.065887577019107013e+01,1.349639388830174536e+00,9.999861123221048809e-01
1.064763194355507636e+01,1.349509343335289380e+00,9.999886231452287388e-01
1.063891371529796359e+01,1.348657213638743357e+00,9.999881883199583932e-01
1.063653986875359436e+01,1.347907672540576085e+00,9.999867498351371342e-01
1.064070853528566296e+01,1.347160027366336887e+00,9.999877117640357804e-01
1.064934836996063261e+01,1.347417128115018237e+00,9.999930098735299033e-01
1.066044591881984260e+01,1.348069157875935842e+00,9.999985231206466318e-01
1.067064467813048267e+01,1.348285701684046600e+00,9.999998590199873361e-01
