cost,L2,trace
1.269141854258116986e+01,7.882519951632658284e-01,9.997980571708989794e-01
1.162854755738651846e+01,7.995365769041364867e-01,9.993107634383698867e-01
1.048086028045937823e+01,8.080193137587187158e-01,9.982030405360480252e-01
9.310372985147809644e+00,8.052250084187897450e-01,9.965878075887938392e-01
8.251382645091201340e+00,7.986663149144221929e-01,9.947085593314561880e-01
7.411518135198084778e+00,7.939134556207472215e-01,9.931105110069065045e-01
6.813951186625458512e+00,7.889031097176203433e-01,9.924634694165891391e-01
6.428774337233709169e+00,7.828432007318629759e-01,9.927984861478943435e-01
6.194789890932822729e+00,7.774757696773108018e-01,9.938821947262024281e-01
6.028252261494583486e+00,7.680423616778958573e-01,9.950820081489173408e-01
5.870541718126675690e+00,7.610169914814250980e-01,9.960422692091865926e-01
5.690652612424225154e+00,7.561028407750568503e-01,9.966493717262513430e-01
5.478286557880066354e+00,7.548704577702283203e-01,9.969707115356376548e-01
5.238337713388137473e+00,7.505984799837510657e-01,9.970010621367829673e-01
4.986648736756464473e+00,7.439702804866629160e-01,9.967655180125366554e-01
4.746062509267850338e+00,7.370941540960184168e-01,9.963612199131770542e-01
4.532435206979928743e+00,7.338995548975290051e-01,9.958416304456177981e-01
4.344035404233968833e+00,7.266128869280058522e-01,9.952167191949703451e-01
4.168500728453134130e+00,7.184415598754438914e-01,9.944559053394361747e-01
3.999146521493978312e+00,7.071683519593705558e-01,9.935206014627869786e-01
3.836931434709733857e+00,6.986515014427727710e-01,9.923937041486178279e-01
3.685619225313654379e+00,6.928961393404156066e-01,9.911075843423509113e-01
3.544972688701842678e+00,6.882897480057471595e-01,9.895046797996134291e-01
3.413545252894114146e+00,6.871543999448223028e-01,9.878392179485943059e-01
3.291134031162170182e+00,6.874674815706380837e-01,9.861790563881694949e-01
3.177357655565187233e+00,6.881833658353028182e-01,9.846587298302507119e-01
3.068394091107178312e+00,6.903417303212108225e-01,9.833153683237627618e-01
2.958169440525629579e+00,6.926509468143147163e-01,9.820793885468624973e-01
2.844593178745894235e+00,6.971703570361000857e-01,9.808238334851862028e-01
2.731585768404171333e+00,7.044336323730497895e-01,9.791542571447486853e-01
2.624867046725348985e+00,7.134812866809024934e-01,9.769593305557019436e-01
2.525301361367182640e+00,7.229325981677929835e-01,9.742127869690648811e-01
2.431275386386320569e+00,7.334783553523560595e-01,9.709162903431204361e-01
2.341233849546138224e+00,7.425199400873149225e-01,9.672399761340280122e-01
2.253140376212660279e+00,7.496888052019080595e-01,9.631605880813211007e-01
2.168043780945800858e+00,7.581166676013454397e-01,9.586369175877578197e-01
2.090674268925034607e+00,7.678789345136772804e-01,9.536936453306991135e-01
2.026622416763838697e+00,7.762922989128141493e-01,9.484139369117901008e-01
1.977116178468384833e+00,7.832502342954342778e-01,9.427272284972886274e-01
1.938390201432964810e+00,7.863994019877265096e-01,9.368897838593062133e-01
1.906356956063099295e+00,7.873870572111110189e-01,9.313777827344048577e-01
