cost,L2,trace
1.269141854258116986e+01,7.882519951632658284e-01,9.997980571708989794e-01
1.162854980764918622e+01,7.995378100954649847e-01,9.993106076473702304e-01
1.048362988857045330e+01,8.084373646596668683e-01,9.982810667973219809e-01
9.318474927761227988e+00,8.062941081389771725e-01,9.968139156634751030e-01
8.269835129795495732e+00,7.989945353413135942e-01,9.951035325641036655e-01
7.431867069049148178e+00,7.927173191406848840e-01,9.935694299945958541e-01
6.824026385084467350e+00,7.858681331891287369e-01,9.930557148832149794e-01
6.428279102872393125e+00,7.769601209055794211e-01,9.936653077188054572e-01
6.188149677075447386e+00,7.703827648299939046e-01,9.948882762170084826e-01
6.020006809584967478e+00,7.633868780485029149e-01,9.961948147496987316e-01
5.866709174585172271e+00,7.566438298587426781e-01,9.972170060876497377e-01
5.697348007647243584e+00,7.535739646003042358e-01,9.978166967632200457e-01
5.497254794820459090e+00,7.513755045791926657e-01,9.980708641045775709e-01
5.265583682496119522e+00,7.453766616214477780e-01,9.980585870379488078e-01
5.015973727221433975e+00,7.382305042873882339e-01,9.978378373550774727e-01
4.771401310737083179e+00,7.322146139389459352e-01,9.974371494913752967e-01
4.548702347461532902e+00,7.287827483179960542e-01,9.968937242866311443e-01
4.348449094498708867e+00,7.248647769067024793e-01,9.961964830360684475e-01
4.165794778643482132e+00,7.202444514251927776e-01,9.953783139597957019e-01
3.999809243147517623e+00,7.147640465551690081e-01,9.944064349184522644e-01
3.852966186685125471e+00,7.123984862767791526e-01,9.932838243992873073e-01
3.726526511697154653e+00,7.080968975487039740e-01,9.920053171296153716e-01
3.619683034673073507e+00,7.051750146867743485e-01,9.905787085195761899e-01
3.528847179078017149e+00,7.034739706273595017e-01,9.890566867565212528e-01
3.447131698091896901e+00,7.029145945521810823e-01,9.875092000620784294e-01
3.366784418974284598e+00,6.995064899633568478e-01,9.860185456179029195e-01
3.281392122239444209e+00,6.976533360950156748e-01,9.846750264951379394e-01
3.186872093987312304e+00,6.971763842745186679e-01,9.833699943055185244e-01
3.081932651533643153e+00,6.986247529679036061e-01,9.819401951053320365e-01
2.968921298950968790e+00,7.011191097682502038e-01,9.799731183408058044e-01
2.851330578855409303e+00,7.051962268402686140e-01,9.774256814967262619e-01
2.732377081599079105e+00,7.097886590008606333e-01,9.742750440437651926e-01
2.614057539197501168e+00,7.115051216927985589e-01,9.700920406468203083e-01
2.497740021580551861e+00,7.137852925167748053e-01,9.647510134852915753e-01
2.384928647848100436e+00,7.211230274187085953e-01,9.582796530450251593e-01
2.279689550860344749e+00,7.284248642061619261e-01,9.508314706283451656e-01
2.187168817007231425e+00,7.328562576208482726e-01,9.421499190715294514e-01
2.110336637902393342e+00,7.382093714029328568e-01,9.328475107758429363e-01
2.049183702025938913e+00,7.448311169384398411e-01,9.230149061297701074e-01
2.001446692814953465e+00,7.486528792499813623e-01,9.129681675973693178e-01
1.964498155025253379e+00,7.512489442558941688e-01,9.037370322312630044e-01
1.936229735603253399e+00,7.506200584407425325e-01,8.960343658887535145e-01
1.913710249745416592e+00,7.398843923644027321e-01,8.898061982135575532e-01
1.892846197846990819e+00,7.313211453473676960e-01,8.854595957657417360e-01
1.870427308533385791e+00,7.260504340890524544e-01,8.834601036853811928e-01
1.844411120255907477e+00,7.214784728900334176e-01,8.828686074364588965e-01
1.815460444438043996e+00,7.192624123199378161e-01,8.840619071996405065e-01
1.786083415018451248e+00,7.221455929351104919e-01,8.877220496861727428e-01
1.759417869970203219e+00,7.270432193757486727e-01,8.930576315686188371e-01
1.736753449991568221e+00,7.339165638612564768e-01,8.991866068045977212e-01
1.717673021169455971e+00,7.441940225722009083e-01,9.058018392867408508e-01
1.699791268859487836e+00,7.559070843718387334e-01,9.122300071903081120e-01
1.680779536141954411e+00,7.684330032436248459e-01,9.182291707318451790e-01
1.659214600081036384e+00,7.839157699993096751e-01,9.241796465628718815e-01
1.634369393948005289e+00,8.012526060258576832e-01,9.297217279467783202e-01
1.607067632297006776e+00,8.199644233234576474e-01,9.349598459258052774e-01
1.578787518958916447e+00,8.386984086976411179e-01,9.397571751244235827e-01
1.551492820706694697e+00,8.577634903832872526e-01,9.443608174287011492e-01
1.526624699838038168e+00,8.773078214139204967e-01,9.491043531326464056e-01
1.505177751580149881e+00,8.950553035474623220e-01,9.539901776912391718e-01
1.488015449507987142e+00,9.116662833939918054e-01,9.587454356338614980e-01
1.475320316971040935e+00,9.262918323663932307e-01,9.631807766628782685e-01
1.466840008391824934e+00,9.390796186154480862e-01,9.669947866051812335e-01
1.461698225667683593e+00,9.498289226933903651e-01,9.700557869991087712e-01
1.459263405412232206e+00,9.597573635012353055e-01,9.728434347348273725e-01
1.458335869858586431e+00,9.683439560077484742e-01,9.751473647317540072e-01
1.458607439176332399e+00,9.764866589384437745e-01,9.775124476069225743e-01
1.459195670237044995e+00,9.831499856161104445e-01,9.799961596266918429e-01
1.458931227004597764e+00,9.852049260253215035e-01,9.824917466123009868e-01
1.457146002061552537e+00,9.823466950028677536e-01,9.851215204907735057e-01
1.453545517360147477e+00,9.737432092326212540e-01,9.878476473897724874e-01
1.448167966904641668e+00,9.598979332673868159e-01,9.903793316724064377e-01
1.441632959152618909e+00,9.442086093357516807e-01,9.927967927705445561e-01
1.434437999349482462e+00,9.282454418338175195e-01,9.949725282344067390e-01
1.427154610526070844e+00,9.123837354767967422e-01,9.968195909460623172e-01
1.419957972052034778e+00,8.951630370234123779e-01,9.982920809085030767e-01
1.412844303060424300e+00,8.770315357317625127e-01,9.993282770623008737e-01
1.405742860654868309e+00,8.584956877794227559e-01,9.998678491867876161e-01
1.399041807902614565e+00,8.401330144757950258e-01,9.999918393429142460e-01
1.392890323590885604e+00,8.225275265279047288e-01,9.996756485195839037e-01
1.387509096338173764e+00,8.061715735786768589e-01,9.989216080304365031e-01
1.383037522963046273e+00,7.896320568178702981e-01,9.978220624123930182e-01
1.378895500675351160e+00,7.750375877158776072e-01,9.966195413964098471e-01
1.374855382256076730e+00,7.630655738209903838e-01,9.954163410429273107e-01
1.369916678386415398e+00,7.536007104513370303e-01,9.943442220082392424e-01
1.363316190012339169e+00,7.458721871931952574e-01,9.933296188798869109e-01
1.354703993648002758e+00,7.393932792964992284e-01,9.923704285197469943e-01
1.344291291691017021e+00,7.329613677386197512e-01,9.912681610162240586e-01
1.332360825460229270e+00,7.263914759068306193e-01,9.901180923506182063e-01
1.319548130299962985e+00,7.199052597335913184e-01,9.889521631086584108e-01
1.306230917159204363e+00,7.131885450625981004e-01,9.877906574362719239e-01
1.292988071483947898e+00,7.062075078208843726e-01,9.866535435420867861e-01
1.280035843413095620e+00,6.983597209887290047e-01,9.852962174196800982e-01
1.267343185650782633e+00,6.904093795896383279e-01,9.835625058281856070e-01
1.254856979512802617e+00,6.830096409774808475e-01,9.814534405317408838e-01
1.242224434070136496e+00,6.765624345797343064e-01,9.788775697509674023e-01
1.228385775699537108e+00,6.720612861689531092e-01,9.761306933464450886e-01
1.213224633079810655e+00,6.694217115174114774e-01,9.732368803092195098e-01
1.197168936116216997e+00,6.685325566123678787e-01,9.701089250773925476e-01
1.180815060307023767e+00,6.690656145706063151e-01,9.666208135061828965e-01
1.164344056900949109e+00,6.691478490867018847e-01,9.630440835652336329e-01
1.147736979697566273e+00,6.674145942800997489e-01,9.595256362291491037e-01
1.131515014285287002e+00,6.661721055118293711e-01,9.564636282173584192e-01
1.115446406511285016e+00,6.641609277437346970e-01,9.540311426949888984e-01
1.098890338056244698e+00,6.596824900101262434e-01,9.523005967665276739e-01
1.081312876158840197e+00,6.514484358650864948e-01,9.506429932319896414e-01
1.061966232483071426e+00,6.388978892634141760e-01,9.484005553829034652e-01
1.040646205203821895e+00,6.234558652863734229e-01,9.462493040375233866e-01
1.017845585933446984e+00,6.065908131694260907e-01,9.448741429696306815e-01
9.925883946219915543e-01,5.895397483886459788e-01,9.432278466478233314e-01
9.656478858886989869e-01,5.736936564696738516e-01,9.418894284134515793e-01
9.378638309021340991e-01,5.593065639487254659e-01,9.410095421546162964e-01
9.105695780139331230e-01,5.461123204504777506e-01,9.408010646770366137e-01
8.836002427918409063e-01,5.326141572042500938e-01,9.397251388004701500e-01
8.583982624987670507e-01,5.191330931826854123e-01,9.378720263796731516e-01
8.350736263760788480e-01,5.061088989805095917e-01,9.355960107487883981e-01
8.112344714825452385e-01,4.908978643623438942e-01,9.309539868079298452e-01
7.869165819406095386e-01,4.740019480734259383e-01,9.245530627602660534e-01
7.630409833024733857e-01,4.573150074014610822e-01,9.176614668965792365e-01
7.402623674677119014e-01,4.417859377612706195e-01,9.110790537005128975e-01
7.192874517229276288e-01,4.279439469341611013e-01,9.052936893007180741e-01
7.008642242749064666e-01,4.150316501186579465e-01,9.002275446992359376e-01
6.852016193519634424e-01,4.014815186977033767e-01,8.944929175058616844e-01
6.727984743544415114e-01,3.876048693187603700e-01,8.886789251130245981e-01
6.631425873982159658e-01,3.726001078657434351e-01,8.819960301422942184e-01
6.556993491314773159e-01,3.569621007943928892e-01,8.745131541975195155e-01
6.503661959579827290e-01,3.412284592322694654e-01,8.669463535394972276e-01
6.470950174948963962e-01,3.269411233047390675e-01,8.607740297920616346e-01
6.451635105751994947e-01,3.145831938227230395e-01,8.559865441328416980e-01
6.434935398802263951e-01,3.036100739540267268e-01,8.518283335593689332e-01
6.413053234267158675e-01,2.945300472548673665e-01,8.482057445517835470e-01
6.380576442860580455e-01,2.870724961311896251e-01,8.439196749336695946e-01
6.343059142728183497e-01,2.821033669783212794e-01,8.402129861202669581e-01
6.301594129952844403e-01,2.787555713551663761e-01,8.361743113299053842e-01
6.266091481592681589e-01,2.772986073182688860e-01,8.327557762013390041e-01
6.236052615113650832e-01,2.773545379149511270e-01,8.300680366126150789e-01
6.203385921255555324e-01,2.778839661633882296e-01,8.265744719566978649e-01
6.170559183958563843e-01,2.785249098598255313e-01,8.233365840995289231e-01
6.138182531300856448e-01,2.783093619749157366e-01,8.196576197096218097e-01
6.104074837539803511e-01,2.775197098691143949e-01,8.152833184975066816e-01
6.074022713804025919e-01,2.762907485185695511e-01,8.114130104063809190e-01
6.045188154416802906e-01,2.741751936775329024e-01,8.069406389509282684e-01
6.011857581515321902e-01,2.718698277774591610e-01,8.011956275644573910e-01
5.973224841023913045e-01,2.700824163790578325e-01,7.946182757474127278e-01
5.933032180388078114e-01,2.693653084921607821e-01,7.875456538033995812e-01
5.893246804468288413e-01,2.695196333712993053e-01,7.808082772220031886e-01
5.860072643563503103e-01,2.699627666971233797e-01,7.754950040882004902e-01
5.836670104216226118e-01,2.706279705037699657e-01,7.721870835894603102e-01
5.811341170273782719e-01,2.717625317402730389e-01,7.688224855378902323e-01
5.789815367349692155e-01,2.728252758091065933e-01,7.662113958400197378e-01
5.777658002760265310e-01,2.733795957156628931e-01,7.652910233762428849e-01
5.774386467134198231e-01,2.735420556207287524e-01,7.664632272298234072e-01
5.771959692927191021e-01,2.732608518453223390e-01,7.683812337408273407e-01
5.771379682916472076e-01,2.726996247109514937e-01,7.711050758070968625e-01
5.766376526815735204e-01,2.724040528305636255e-01,7.739234636673280043e-01
5.752981961932021049e-01,2.725226998884116569e-01,7.757469605455400430e-01
5.740348955261096453e-01,2.728523608511368992e-01,7.773567597189844358e-01
5.723796787065695835e-01,2.730551463946862545e-01,7.779127254796182056e-01
5.722926170131921175e-01,2.725605328290051643e-01,7.802778399575263091e-01
5.727552351957010401e-01,2.717478382888077748e-01,7.828094749532932273e-01
5.743157228387468782e-01,2.709878479299828169e-01,7.860453092128394381e-01
5.770645092454236291e-01,2.705601738365958076e-01,7.900914036910832161e-01
5.803253328573640957e-01,2.705454639142481632e-01,7.938351751754856300e-01
5.845649683537821328e-01,2.708436539199378656e-01,7.982517481517364955e-01
5.890792718815447415e-01,2.713483327827038716e-01,8.026865947212130648e-01
5.939524797928614763e-01,2.715365320787481718e-01,8.072352709292046624e-01
5.987459537496364614e-01,2.712616611965105728e-01,8.116472826568119636e-01
6.030230706726223966e-01,2.711084688407822130e-01,8.161359194227616465e-01
6.063048627753844233e-01,2.712650297498281904e-01,8.201665966138536046e-01
6.088000448755526151e-01,2.716795027044368038e-01,8.240911659528917799e-01
6.102138058573985946e-01,2.725185973776309556e-01,8.277791951356768818e-01
6.101019973169581334e-01,2.738423809072925708e-01,8.304781553318891785e-01
6.082477238351169380e-01,2.746968009720231474e-01,8.308744819438353968e-01
6.056223723133211667e-01,2.745900818416887601e-01,8.297523059090299302e-01
6.030073669953148752e-01,2.741260540169858650e-01,8.283392534160798348e-01
6.000336996668057532e-01,2.734611713724992010e-01,8.256295262788737599e-01
5.972134315668412574e-01,2.732220960830576972e-01,8.222365610621713561e-01
5.937745229202382458e-01,2.735125504572147315e-01,8.176856539849506333e-01
5.899883693911427418e-01,2.740436055459187781e-01,8.120866676556223185e-01
5.861313731695683149e-01,2.749102179400046420e-01,8.058896780611904953e-01
5.827804203959204843e-01,2.754384126486716378e-01,7.997627488322422984e-01
5.795782149995383215e-01,2.754944919060268171e-01,7.934200045276953439e-01
5.770629039929993098e-01,2.746262171639178851e-01,7.881058136903006384e-01
5.744329282254886371e-01,2.733883132637494051e-01,7.828425246537245030e-01
5.711837243466040270e-01,2.727598208474013020e-01,7.765148214362961321e-01
5.684328830127133303e-01,2.727545009135003418e-01,7.709234737751623490e-01
5.655854106694679917e-01,2.737076698919427842e-01,7.659636840421275572e-01
5.623897018720059870e-01,2.752170994250557334e-01,7.614656539786269773e-01
5.596493215753782779e-01,2.764994291047477293e-01,7.583031760552897405e-01
5.570824490841668197e-01,2.778462389564907431e-01,7.555553549500159116e-01
5.543693996997595130e-01,2.795482957117123024e-01,7.521240913890059332e-01
5.524675777024532497e-01,2.805352987707885326e-01,7.495567533814923022e-01
5.510037945818522243e-01,2.811605853093176455e-01,7.469201466379861154e-01
5.494806918771133475e-01,2.823688062916654418e-01,7.435029316601263760e-01
5.479156375531095691e-01,2.844859277127966268e-01,7.396064561290872641e-01
5.460663817416711030e-01,2.871265604452172826e-01,7.354128249719470434e-01
5.445824433599766312e-01,2.900064859849567078e-01,7.315159512074560499e-01
5.441496564394256996e-01,2.923542010709000993e-01,7.288583869463786113e-01
5.445594964223825496e-01,2.932827263877313961e-01,7.281521287106318407e-01
5.452225095827542001e-01,2.935166938866604625e-01,7.282982060062248575e-01
5.453349785324267396e-01,2.932933338797210077e-01,7.283893328262466271e-01
5.454165810083578814e-01,2.921347488706454443e-01,7.294066941514333324e-01
5.455401554973278166e-01,2.905878182727753556e-01,7.309025565270446112e-01
5.460684031195919275e-01,2.887116175047781397e-01,7.331115396455493149e-01
5.468744491707466793e-01,2.869409184301631721e-01,7.355846212185005450e-01
5.485440334654952954e-01,2.849300099089899230e-01,7.388765046106650081e-01
5.505526639947646572e-01,2.831830770448994228e-01,7.422332386010623839e-01
5.530127197391354610e-01,2.816898172059341121e-01,7.456605498763679840e-01
5.554914747654465801e-01,2.802138053813214014e-01,7.489100219843187745e-01
5.579775994693667585e-01,2.788403519628829819e-01,7.518399472355394852e-01
5.600707163111606768e-01,2.779306739505828516e-01,7.542016675656121327e-01
5.619780065060068219e-01,2.775341516935768693e-01,7.561795716426075176e-01
5.641137196829232314e-01,2.774084203458928033e-01,7.585547019074371233e-01
5.662343080030234344e-01,2.775966224499528123e-01,7.607945022925574063e-01
5.678089773226209225e-01,2.775856123474278458e-01,7.623946723398188352e-01
5.691986952089791441e-01,2.767723420815139668e-01,7.644974881880965967e-01
5.703862835238031614e-01,2.753849456205159640e-01,7.667072636629431726e-01
5.718029824538439776e-01,2.737510180182909370e-01,7.692866432873147753e-01
5.736559432783787660e-01,2.722182551024566743e-01,7.724611360526157933e-01
5.762021589739654281e-01,2.709132489382160558e-01,7.768591698656222011e-01
5.791802255566127489e-01,2.699683272901313158e-01,7.822885452131946860e-01
5.825682493207817725e-01,2.691762068745287007e-01,7.887158915549763449e-01
5.864945611694230010e-01,2.684176061560988313e-01,7.957441196809225126e-01
5.908744850165585927e-01,2.680641416596233895e-01,8.033931496205174438e-01
5.950388031369625574e-01,2.686484166621864178e-01,8.109481364497551636e-01
5.985831827062531030e-01,2.698383220330936583e-01,8.173088329048191492e-01
6.015192726447649019e-01,2.715978144752592693e-01,8.226044102744959341e-01
6.032429391745471881e-01,2.734059950230859903e-01,8.261954350543604386e-01
6.041678196960866831e-01,2.748668213273781635e-01,8.288756827671454053e-01
6.048323851628165659e-01,2.760336625312730385e-01,8.318621059143804786e-01
6.054915932464981498e-01,2.768825504299466389e-01,8.350935769335195991e-01
6.060735941711918873e-01,2.776281753890518234e-01,8.380905525085612373e-01
6.067582356621225026e-01,2.788776757178448307e-01,8.407808329781276679e-01
6.075290890445897984e-01,2.807464819209768425e-01,8.431331434280653347e-01
6.085428712353213587e-01,2.821700235989191285e-01,8.451626034831165590e-01
6.099892167940227372e-01,2.833595577357043704e-01,8.472783273242782132e-01
6.118873576288531568e-01,2.842415196531146160e-01,8.494218634665743339e-01
6.145747757060748828e-01,2.855473471882550296e-01,8.521563555717116545e-01
6.178092469764324690e-01,2.876600639113198188e-01,8.556221915720477744e-01
6.205981423861450796e-01,2.897510031825596410e-01,8.584762380825052830e-01
6.224631328050254098e-01,2.914278441994218594e-01,8.601280384744117713e-01
6.239189380649666772e-01,2.931643252493446594e-01,8.618730908433829274e-01
6.248983138616635014e-01,2.944934995417201051e-01,8.632701521214035667e-01
6.253437851487277932e-01,2.954251941742115362e-01,8.642073429740357859e-01
6.251499063834697889e-01,2.956099359815211880e-01,8.643999445043704100e-01
6.243656680222889888e-01,2.947424021653435866e-01,8.634653203819123712e-01
6.233757948405191929e-01,2.938077870302202577e-01,8.621556849201428285e-01
6.220347781649979702e-01,2.928901240157452124e-01,8.606040954377520702e-01
6.203936407447561141e-01,2.917623290071276743e-01,8.588862682550112426e-01
6.181300448143847159e-01,2.898332159075426295e-01,8.564121346030457715e-01
6.161289964181562162e-01,2.884984833525439107e-01,8.546198049682571796e-01
6.143515211957480959e-01,2.871117755884393663e-01,8.532428912944374222e-01
6.136386891304507207e-01,2.864557038838152492e-01,8.531048991663676695e-01
6.137371100879811525e-01,2.862535814304500992e-01,8.538056566898384325e-01
6.144510756092308457e-01,2.865497846175778518e-01,8.550377521877837728e-01
6.157526103358057501e-01,2.880192167312995988e-01,8.573106161893147004e-01
6.174605700050888046e-01,2.905205833990394115e-01,8.603067728242809187e-01
6.192971352730128887e-01,2.940693832022806542e-01,8.640265690025450418e-01
6.213915712516051570e-01,2.985240423578333635e-01,8.686042689305939479e-01
6.239453263813086181e-01,3.040176778234720545e-01,8.738742968579106263e-01
6.273897444098073262e-01,3.101999412108434884e-01,8.794503711742093222e-01
6.314747012247231561e-01,3.167837812907603467e-01,8.851236554735334439e-01
6.353121919573879728e-01,3.222428428627155950e-01,8.898283617864040096e-01
6.386720839890773771e-01,3.267081171981769949e-01,8.939649658566982682e-01
6.415167292124943632e-01,3.303597349829971441e-01,8.977183736532418079e-01
6.440354224021798135e-01,3.339315415347234861e-01,9.011123609830221648e-01
6.462077593307535839e-01,3.380350931453822150e-01,9.042459891989900189e-01
6.480067498155152039e-01,3.430476771391489654e-01,9.074586435838389864e-01
6.491412656742401310e-01,3.480983206426975229e-01,9.104652076722756782e-01
6.497627362580334909e-01,3.533237128576477426e-01,9.133663365389532718e-01
6.506180877957746800e-01,3.590371085435579146e-01,9.164319764032407001e-01
6.517640961269495214e-01,3.642442551727514966e-01,9.191321024519905070e-01
