cost,L2,trace
1.269141854258116986e+01,7.882519951632658284e-01,9.997980571708989794e-01
1.237303142022736147e+01,8.071743427229998158e-01,9.995064766011753088e-01
1.203459121249388275e+01,8.276967456348838237e-01,9.989508291960655928e-01
1.173486908634065173e+01,8.427297575212777669e-01,9.980728045788144209e-01
1.156550114797472872e+01,8.483065518295807017e-01,9.975918447467699846e-01
1.163664514835122432e+01,8.584736867285548412e-01,9.975994752472969740e-01
1.191164477247223985e+01,8.527015820108008182e-01,9.979454980828920130e-01
1.226680288166541821e+01,8.438735548998906877e-01,9.983757697715334167e-01
1.259050720915234933e+01,8.412523583019932971e-01,9.988333499142605376e-01
1.280912937651937611e+01,8.519777648342808929e-01,9.992098800908620904e-01
1.293971980615614470e+01,8.643936844175403866e-01,9.994465422540643740e-01
1.305173107812875344e+01,8.757062451324814090e-01,9.996189941696257408e-01
1.316992141103698977e+01,8.847503908275127227e-01,9.997403637024262490e-01
1.327595322305274905e+01,8.999619252220646404e-01,9.998064308892988805e-01
1.335618343188231805e+01,9.143814741029251403e-01,9.998605048386272065e-01
1.339179904482528016e+01,9.273570278008663736e-01,9.999117526462711902e-01
1.337444936792148553e+01,9.410131459369189821e-01,9.999638895478062395e-01
1.331854296391050596e+01,9.553269694909850562e-01,9.999981229328627208e-01
1.324420942582294813e+01,9.706918997406328575e-01,9.999808442588665747e-01
1.316955302156448582e+01,9.902801431848883285e-01,9.998946738107833410e-01
1.310727584721744599e+01,1.013191061496471201e+00,9.997734324399892847e-01
1.305997232004858155e+01,1.041285539831633855e+00,9.996939754568340275e-01
1.301349854114609705e+01,1.068585498621345664e+00,9.997224480823309056e-01
1.293465725176004177e+01,1.089862984737844931e+00,9.998617989968907604e-01
1.279334514091489439e+01,1.105502304216342324e+00,9.999891452288133253e-01
1.258384130858041416e+01,1.117943324244542458e+00,9.999549119696170552e-01
1.232767138728798528e+01,1.125828261579605805e+00,9.997519814417125117e-01
1.205545341089828781e+01,1.134949318736746982e+00,9.995168322476964962e-01
1.178975655187373306e+01,1.146805957424858580e+00,9.993881709659768742e-01
1.154879801133775352e+01,1.157311209528473661e+00,9.994151362070029521e-01
1.134061179462143620e+01,1.167100692741704693e+00,9.995453582532030090e-01
1.117534474278764023e+01,1.175711923051896424e+00,9.997110668611571827e-01
1.105769876767794635e+01,1.185659501643272273e+00,9.998531426259439359e-01
1.098898564938458122e+01,1.193621320524272722e+00,9.999398469446562077e-01
1.095920691529910229e+01,1.202867151408596902e+00,9.999794653301641301e-01
1.095650849181780728e+01,1.216501587811048113e+00,9.999923684824465475e-01
1.096914145306999622e+01,1.231505230208488566e+00,9.999940204947662670e-01
1.098737145394687431e+01,1.242417328483260697e+00,9.999910099350738379e-01
1.099783803260197246e+01,1.250268043695017539e+00,9.999869129341283358e-01
1.099858083707105116e+01,1.258189401903735405e+00,9.999851075163274094e-01
1.099487753280210356e+01,1.265352986596053109e+00,9.999835139879578172e-01
1.099472928087548951e+01,1.269428715453311707e+00,9.999811740097309665e-01
1.100756083525161699e+01,1.273807384903406614e+00,9.999772007068462587e-01
1.103121351400046279e+01,1.278485420589324129e+00,9.999706501096440325e-01
