cost,L2,trace
1.269141854258116986e+01,7.882519951632658284e-01,9.997980571708989794e-01
1.162854725357428265e+01,7.995364216490907783e-01,9.993107885219558728e-01
1.048133809223042512e+01,8.069381138301807699e-01,9.983223160053155132e-01
9.313474580504745859e+00,8.033265527713240317e-01,9.968591001920699135e-01
8.263408342114207272e+00,7.961576795776725834e-01,9.951269489628054021e-01
7.423269569075099383e+00,7.911810417747886515e-01,9.935311812661237196e-01
6.811692859407957101e+00,7.848853917477718323e-01,9.928969745098000788e-01
6.413236075367632516e+00,7.742781391946840230e-01,9.933570122094728116e-01
6.169959405409720432e+00,7.707105755637158051e-01,9.944718328212499570e-01
5.998558585667127296e+00,7.609052880225539717e-01,9.957469436246321193e-01
5.844856858220385476e+00,7.549802311620753548e-01,9.967978886110629988e-01
5.678484184934191603e+00,7.532334003595473337e-01,9.974703081048896802e-01
5.482084979777502198e+00,7.504566976818440871e-01,9.978003232672554290e-01
5.253340252077409289e+00,7.444762997878072719e-01,9.978503277339662025e-01
5.007024214999733047e+00,7.369082492735848922e-01,9.977045009445573154e-01
4.766869406308750001e+00,7.301719331207561225e-01,9.973990015633728001e-01
4.547431702692215083e+00,7.244444854043878834e-01,9.969452627211182749e-01
4.348403743986931858e+00,7.213567810767289590e-01,9.963767257169867664e-01
4.166998147883054671e+00,7.175106643738436984e-01,9.956358886017748766e-01
4.003359829656837121e+00,7.101527155468115859e-01,9.947237765720471359e-01
3.859009104468578144e+00,7.060920473981175949e-01,9.936175138333236401e-01
3.734767001032984979e+00,7.012691281492667850e-01,9.923004699334385670e-01
3.630156337854308468e+00,6.962339315411547602e-01,9.908536022832139523e-01
3.542635829970165240e+00,6.943109607020578888e-01,9.893818849641893287e-01
3.465851806566198068e+00,6.947423788949895762e-01,9.879762514971205389e-01
3.392561557525767935e+00,6.931437732290647302e-01,9.867056927988095971e-01
3.316247686779566273e+00,6.925451707017642455e-01,9.854977314140865863e-01
3.231269434067527868e+00,6.929800828092276266e-01,9.842183856279520526e-01
3.133912384011488417e+00,6.936956399820475294e-01,9.826640567267538318e-01
3.024227344204954537e+00,6.950069953042348203e-01,9.806547432449106427e-01
2.905134994664222869e+00,6.969819746470898858e-01,9.778830831822159508e-01
2.780079439128409824e+00,6.996203357381657328e-01,9.741468126852087517e-01
2.652175193883683946e+00,7.040837268725899101e-01,9.693483262811183332e-01
2.524755497953526273e+00,7.088024589055542668e-01,9.631961770404008361e-01
2.401759525126107686e+00,7.152409022946283335e-01,9.558449530982537912e-01
2.288140486147263175e+00,7.224340100582137270e-01,9.476113130326833112e-01
2.189114221143688255e+00,7.276124714948176697e-01,9.383621228753693533e-01
2.106850607362101613e+00,7.339124596434715153e-01,9.286436051949724657e-01
2.041075703517945872e+00,7.410894122033000464e-01,9.191478655145657317e-01
1.990205949117047179e+00,7.500204212150149985e-01,9.103197035686669825e-01
1.953084416380294508e+00,7.575926938506221120e-01,9.029215287930474343e-01
1.927618671803693395e+00,7.619796896756664273e-01,8.972830790162189540e-01
1.908875839818076070e+00,7.552006693841449847e-01,8.928856371564447558e-01
1.891037072588469536e+00,7.524512832249961036e-01,8.902583359039386579e-01
1.870304036094056821e+00,7.534288108874800383e-01,8.893428368037390452e-01
1.845940872131343724e+00,7.561820368216782828e-01,8.899500696479166750e-01
1.820463306432267725e+00,7.605277771477462201e-01,8.927071762043995440e-01
1.797560355443169833e+00,7.656546127524060941e-01,8.975420865700751705e-01
1.779449206654095450e+00,7.724416221969392371e-01,9.039766798374069268e-01
1.765612237610474144e+00,7.820479349952194070e-01,9.113843690012474186e-01
1.752759325177890348e+00,7.946664956377912370e-01,9.187876863738779765e-01
1.737611420747724456e+00,8.097416913640708147e-01,9.256949121380309009e-01
1.718743583109688888e+00,8.278967112399718831e-01,9.325141771208687036e-01
1.695327901950313354e+00,8.468018604678926309e-01,9.385172675064210601e-01
1.668187867032413951e+00,8.645404772216062073e-01,9.435445298459951280e-01
1.638841686540064124e+00,8.833784210810479154e-01,9.480680831404237896e-01
1.608687802143682788e+00,9.020048434626543044e-01,9.519496031387461032e-01
1.578917366674750911e+00,9.184830333226134957e-01,9.554296429819735259e-01
1.550593986509217759e+00,9.314109967973058790e-01,9.579878961827109629e-01
1.525114203989877071e+00,9.416185785610011738e-01,9.598111759591544390e-01
1.503337436881932998e+00,9.518027344513786403e-01,9.616460043415637760e-01
1.485489402671646753e+00,9.603034782374901823e-01,9.638667911902744079e-01
1.471081439055245577e+00,9.673648261330717313e-01,9.661889622884912709e-01
1.459918859208785502e+00,9.738532644105110103e-01,9.690818086638611772e-01
1.451531076069636050e+00,9.804685444863756594e-01,9.723285837797448483e-01
1.444955868761474749e+00,9.852085540259879481e-01,9.757547831260724447e-01
1.438753586890367586e+00,9.852432688580465836e-01,9.792406865469809318e-01
1.431335588903373868e+00,9.801423124078620930e-01,9.829130745190501894e-01
1.421538391856627781e+00,9.717588439484189378e-01,9.866820522566350782e-01
1.408945479014819480e+00,9.597068560531646364e-01,9.903905101688127433e-01
1.393996360123342271e+00,9.469454495798560467e-01,9.936289445605260839e-01
1.377743309998253896e+00,9.334542998581996098e-01,9.963232344332063617e-01
1.361564590203069525e+00,9.202779693559580698e-01,9.982423299754451529e-01
1.346163383648787182e+00,9.039367003690441660e-01,9.994701274403759994e-01
1.332343079153585297e+00,8.851863398791337545e-01,9.999818332246451780e-01
1.320965616353388938e+00,8.639267316321784795e-01,9.997661383192243401e-01
1.312516379112232734e+00,8.421835309332377228e-01,9.987566316939003874e-01
1.306853909845556050e+00,8.211560631879304406e-01,9.969702413857162160e-01
1.302707552444874350e+00,8.006231419333655897e-01,9.942784946857332606e-01
