cost,L2,trace
1.269141854258116986e+01,7.882519951632658284e-01,9.997980571708989794e-01
1.162940257330794225e+01,7.911351821835294063e-01,9.993062967325193613e-01
1.050317876447384791e+01,7.923515891845361869e-01,9.982366219182730038e-01
9.361407940533659655e+00,7.905886781977867761e-01,9.970771996633184253e-01
8.327201768064531606e+00,7.836947105412956915e-01,9.961556401090311264e-01
7.514469227775338211e+00,7.783494111204313226e-01,9.956583997404521158e-01
6.959584900635716664e+00,7.726540367992292824e-01,9.956449927147473788e-01
6.610409773103595121e+00,7.691766463237931228e-01,9.958941263564772273e-01
6.381391108151348135e+00,7.675197368814855592e-01,9.962463367806979608e-01
6.204248771667010054e+00,7.700329783856965093e-01,9.966271065790365258e-01
6.042024670359716687e+00,7.737784755437138173e-01,9.970013954071789142e-01
5.873291338821602814e+00,7.738418733087591983e-01,9.973438183345797459e-01
5.685136679578436159e+00,7.707749707724910193e-01,9.976293841226440140e-01
5.477396149435875827e+00,7.678856523275958690e-01,9.978728884829837220e-01
5.265092303221076797e+00,7.636636725958912963e-01,9.981037674332405851e-01
5.065508039500931758e+00,7.587996260843929974e-01,9.983252536551326939e-01
4.883337133177247935e+00,7.529676806017466806e-01,9.985558517803042600e-01
4.710792193938032391e+00,7.509568640861675748e-01,9.987796063939734514e-01
4.541870018527993658e+00,7.501465347757175772e-01,9.989906660053562426e-01
4.379137979515801860e+00,7.530944186346831826e-01,9.991831467224808749e-01
4.230761507693951096e+00,7.556812620765530619e-01,9.993786311480015172e-01
4.102917687625417642e+00,7.585505998125355864e-01,9.995834546244205532e-01
3.997183360356356907e+00,7.628800896376634055e-01,9.997773659760340603e-01
3.911925120228394448e+00,7.686000439297283604e-01,9.999212260379407580e-01
3.840186717026553787e+00,7.721982298756067120e-01,9.999909723804067951e-01
3.771054890080266730e+00,7.738786771997305802e-01,9.999957711223010914e-01
3.696807728663022097e+00,7.758697133213227071e-01,9.999682939900796930e-01
3.615735053865112736e+00,7.726525065661006275e-01,9.999524121656281350e-01
3.529973364961029869e+00,7.663753239028222586e-01,9.999713837103637593e-01
3.441340880624211618e+00,7.585943653281150834e-01,9.999996451098400740e-01
3.348985098384601233e+00,7.504220127152859687e-01,9.999461086860284009e-01
3.251207723484651257e+00,7.463989992977709820e-01,9.996587789965115656e-01
3.145987223431752966e+00,7.427378138304809863e-01,9.989259505169734155e-01
3.032098347582580899e+00,7.406172746042352095e-01,9.975052279802163469e-01
2.909638413390193357e+00,7.403470326098228194e-01,9.951288253881771517e-01
2.781574061972893475e+00,7.396052090649203326e-01,9.915994613123214618e-01
2.651507317907515038e+00,7.331492433958316512e-01,9.868080284950994097e-01
2.521935578827972257e+00,7.211598538895894750e-01,9.808722946241525964e-01
2.395683576793071090e+00,7.113403079874278667e-01,9.740569364788691509e-01
2.277396405969641879e+00,7.046659329293949448e-01,9.668532314372283443e-01
2.173350440494194125e+00,6.997622336842693747e-01,9.599395856576333763e-01
2.089329998119912268e+00,6.962407829423210570e-01,9.539225430013162921e-01
2.028665331705186148e+00,6.904524942508422081e-01,9.493172176341048152e-01
1.990159426212264826e+00,6.813418443943297653e-01,9.461376106236821792e-01
1.966322738495626554e+00,6.750950531876315219e-01,9.439046503786971964e-01
1.945208545071271500e+00,6.745046247227958203e-01,9.421578959813404763e-01
1.915218202390873481e+00,6.789316519912679260e-01,9.404668319251419106e-01
1.870225616277763958e+00,6.884139283206655024e-01,9.387723107280914192e-01
1.811629331773658480e+00,7.031135758571949168e-01,9.371042889880386584e-01
1.745709394189185470e+00,7.214808419442492182e-01,9.358448878512677371e-01
1.678792578341796737e+00,7.386755670111804228e-01,9.352579813262948960e-01
1.613702352108167926e+00,7.529227558030260337e-01,9.355072506559408696e-01
1.551146861824939105e+00,7.655493062483952338e-01,9.365998329764840813e-01
1.491322048006221035e+00,7.732913508592818008e-01,9.385809674612362041e-01
1.434912980035564445e+00,7.787212612445807425e-01,9.414538369042013688e-01
1.382809089630376187e+00,7.847032878487995022e-01,9.450351731118153964e-01
1.335075371788242427e+00,7.906969635184331047e-01,9.491959305305628369e-01
1.291968275929413990e+00,7.969199440926418854e-01,9.537849596224940996e-01
1.254230674805307810e+00,8.035427597975202119e-01,9.585291035108233215e-01
1.222748925041551527e+00,8.094440957961099858e-01,9.631812626838665015e-01
1.197178408682502582e+00,8.122072760073150155e-01,9.675804791427606855e-01
