cost,L2,trace
1.269141854258116986e+01,7.882519951632658284e-01,9.997980571708989794e-01
1.164014766228336484e+01,7.998301737986822646e-01,9.991088005233811353e-01
1.053592778127926621e+01,8.039391632355776807e-01,9.977769216049935386e-01
9.401695350414740915e+00,7.946040952063829765e-01,9.953982240559438033e-01
8.357689760935754109e+00,7.828127621595863950e-01,9.922473176949316853e-01
7.516416632100065165e+00,7.666361482712283903e-01,9.890396359298667672e-01
6.917264083472455027e+00,7.535418557944965068e-01,9.867651598793075740e-01
6.522944849725434757e+00,7.389392570404332838e-01,9.857972299119406312e-01
6.267005946668607663e+00,7.344288674881578327e-01,9.857022313558033710e-01
6.074432052264077342e+00,7.368196485638465187e-01,9.858844479446488007e-01
5.895713112960162761e+00,7.308604650570882377e-01,9.859543902301927121e-01
5.708843643624123665e+00,7.244332544986038513e-01,9.857741418789409682e-01
5.512000009612509466e+00,7.224709144097388736e-01,9.852720568144425206e-01
5.304843449277650613e+00,7.227273600985028024e-01,9.844822846774953229e-01
5.089617657406616757e+00,7.224544499243438223e-01,9.833627146852988998e-01
4.877880371107107038e+00,7.245970588366976717e-01,9.819413305466381248e-01
4.685392520015986051e+00,7.240166803008100116e-01,9.804121906159908306e-01
4.522255779058085068e+00,7.261057373536167203e-01,9.787391627321316845e-01
4.389210924089434585e+00,7.356937755833985459e-01,9.769338816846565576e-01
4.284486499232606604e+00,7.432160071393805190e-01,9.748567508195087328e-01
4.206373823290244118e+00,7.459739732001663404e-01,9.723685027659457747e-01
4.147652744897802890e+00,7.489387445552606604e-01,9.693567592430130109e-01
4.095160713288560572e+00,7.548448976893732398e-01,9.656916606173506779e-01
4.039036375252273103e+00,7.586643785473882184e-01,9.615229022556585070e-01
3.976387315469898986e+00,7.597254556913259904e-01,9.568690087972554492e-01
3.911475012455315259e+00,7.564213558662737924e-01,9.519668641633013406e-01
3.849907792177524879e+00,7.548130811251287930e-01,9.470418257423190989e-01
3.793266466142627191e+00,7.547158283040877880e-01,9.425434866684843094e-01
3.739194457673815641e+00,7.568445897403895950e-01,9.387233791377961323e-01
3.685996466254949588e+00,7.628751158584703429e-01,9.357015963570890493e-01
3.633082660458372803e+00,7.672261839449608933e-01,9.334255078319033672e-01
3.578970473957937770e+00,7.698031602997074119e-01,9.317388581123816627e-01
3.522188333324350218e+00,7.744640807627876100e-01,9.301854943868752557e-01
3.463641968897760215e+00,7.801822083196909841e-01,9.285116223861131779e-01
3.405192335497804201e+00,7.846307176090827618e-01,9.265517548110945301e-01
3.347328843447338720e+00,7.864827493805901515e-01,9.242627560773502005e-01
3.289331213797150433e+00,7.851367921053770127e-01,9.218340249628879102e-01
3.230164170310199534e+00,7.836071955733395766e-01,9.193473610111907446e-01
3.169472538971925157e+00,7.819142235187204193e-01,9.168223340597636550e-01
3.108905616781646231e+00,7.797211878766320270e-01,9.145769323838387477e-01
3.050769212067187652e+00,7.770618171968204368e-01,9.128230711954431476e-01
2.997777555811443673e+00,7.752445832012144766e-01,9.116540879941644748e-01
2.950457134109108370e+00,7.761282856553911591e-01,9.110186031828462205e-01
2.907191327411507320e+00,7.789844264277699937e-01,9.110437600466995134e-01
2.864638389908940486e+00,7.824225442550326592e-01,9.114694223931013584e-01
2.820485236692066522e+00,7.870247166419885865e-01,9.121699965523645259e-01
2.775295061089984472e+00,7.917441979129452578e-01,9.131154590342085431e-01
2.730631585806618578e+00,7.960447936238597144e-01,9.142140799869455936e-01
2.688022046295705625e+00,7.952851519083347087e-01,9.154894574014305064e-01
2.647044991539689640e+00,7.919151960070104357e-01,9.168319566873822657e-01
2.605294469407529512e+00,7.846329060711996206e-01,9.183282412253538363e-01
2.560243752899336922e+00,7.765865985902868918e-01,9.197844126498314621e-01
2.510030125207449725e+00,7.680812540597999893e-01,9.208576841377696942e-01
2.453873857331876795e+00,7.586662284401053391e-01,9.212613297195487716e-01
2.393026601459278702e+00,7.488178820006009540e-01,9.204763765963416278e-01
2.328423896240698454e+00,7.396322923063782806e-01,9.183679442780171565e-01
2.260459198591732388e+00,7.323691388297537408e-01,9.148190383969841966e-01
2.188144953297279649e+00,7.251395600382143369e-01,9.097899499669256373e-01
2.109640103442214087e+00,7.183821583766399899e-01,9.031295223218978041e-01
2.022822077363039650e+00,7.119290940918758803e-01,8.950943086976600460e-01
1.927708111971858651e+00,7.057460656062640725e-01,8.858974856164281153e-01
1.825648627083681586e+00,6.987827198558681507e-01,8.761432467369623112e-01
1.719292985433301668e+00,6.912668271650505014e-01,8.660374308526447296e-01
1.612196441211698916e+00,6.862577267728421360e-01,8.560793842814274912e-01
1.506576554226622067e+00,6.757053222250518631e-01,8.465981580348980184e-01
1.403602818452394096e+00,6.665985397634349718e-01,8.377056328282848074e-01
1.305641567109884882e+00,6.596180145188098587e-01,8.298635757539015723e-01
1.219046125086413745e+00,6.512644791059170046e-01,8.232383936297221760e-01
1.149959248094629682e+00,6.470565895135880208e-01,8.178313909352297184e-01
1.100785818653708059e+00,6.432502611668375891e-01,8.137242334188750092e-01
1.067141505138484270e+00,6.390326932062612153e-01,8.107661485471009399e-01
1.041901317624875478e+00,6.326730292439074477e-01,8.083405593126002930e-01
1.021063422561779843e+00,6.260590591070847033e-01,8.061158444505792664e-01
1.003330866960805867e+00,6.222068120836690142e-01,8.038381451643263897e-01
9.890649800101960487e-01,6.185369625686440997e-01,8.014850011063089363e-01
9.780625266747442481e-01,6.176008223119739959e-01,7.989725598298526021e-01
9.677423981269108744e-01,6.218196554829600320e-01,7.961178629812748486e-01
9.540775160294823198e-01,6.318567544898285870e-01,7.927425137706582969e-01
9.342538243645261975e-01,6.467621737561459749e-01,7.887533064016946094e-01
9.080367235255112357e-01,6.661155064897064104e-01,7.841226726320239537e-01
8.770387685698940450e-01,6.865735139427712186e-01,7.790689849530932909e-01
8.444593542017830856e-01,7.090949498022595110e-01,7.737511173028353006e-01
8.135851316927653620e-01,7.262608257521109278e-01,7.684998788474830533e-01
7.866455378908474572e-01,7.397663007656403167e-01,7.637739236941674115e-01
7.644930552476884023e-01,7.456071325726782995e-01,7.600011996058562147e-01
7.464823701252388810e-01,7.418637833775548751e-01,7.574528283151126251e-01
7.317701552232676043e-01,7.265113741569543260e-01,7.561562606376116547e-01
7.200838630897953285e-01,7.025895311485972350e-01,7.562154033296563105e-01
7.110172040105455782e-01,6.761160654739138964e-01,7.574958899457118200e-01
7.037082076244727258e-01,6.523292733244276942e-01,7.596597916007615803e-01
6.979390960150333445e-01,6.309870687782535015e-01,7.624558001441570365e-01
6.932976875970897623e-01,6.116302817332893715e-01,7.656255722971175848e-01
6.889729161283155712e-01,5.946930184909110517e-01,7.690451083770322160e-01
6.841619266598801818e-01,5.804976622326454283e-01,7.725319461661871445e-01
6.794626241106759279e-01,5.691484179410789546e-01,7.759441987106573402e-01
6.758830152660914026e-01,5.610823297031523049e-01,7.792616048081235647e-01
6.736674426498359125e-01,5.558306381162214649e-01,7.825768187799214681e-01
6.721389684175027579e-01,5.527698552043578406e-01,7.859046367751851836e-01
6.710096589551279855e-01,5.509071135460830160e-01,7.891691621741624418e-01
6.707520891105013261e-01,5.503802993523067011e-01,7.921401216665503453e-01
6.713552442260660724e-01,5.510966997549827662e-01,7.945482781184194376e-01
6.715093034001691219e-01,5.527198967139359542e-01,7.961668537248475230e-01
6.707164525232776064e-01,5.550105430335010581e-01,7.969604816814646053e-01
6.693635696248614320e-01,5.577547363399258940e-01,7.971344854337616415e-01
6.680234525661864486e-01,5.603101083042496544e-01,7.968022970091075408e-01
6.668503992455501184e-01,5.628711363776879306e-01,7.959795518719207097e-01
6.654866224505064931e-01,5.655751447994586956e-01,7.946647939196744836e-01
6.636898141400591200e-01,5.684421779431352295e-01,7.928650944426116620e-01
6.616732073241960999e-01,5.713676340226199191e-01,7.907829474510460477e-01
6.596160271408688658e-01,5.746808467299537870e-01,7.885899909309522782e-01
6.578458030127034561e-01,5.779684331961758570e-01,7.863934129630878456e-01
6.563618221572649070e-01,5.816702523904992983e-01,7.842986429428573381e-01
6.550446599885573207e-01,5.854330501668452147e-01,7.823690151865941855e-01
6.537608966287649093e-01,5.888143040552580310e-01,7.805640551995826071e-01
6.525342536772158475e-01,5.919457235651011118e-01,7.788533132303712136e-01
6.513924915865642040e-01,5.948261713127165340e-01,7.771942048618446508e-01
6.503242959319589511e-01,5.973689852241522713e-01,7.755821367797123278e-01
6.493787559921828656e-01,5.997654278354613844e-01,7.740717614013821191e-01
6.485020970620000158e-01,6.021854443709381277e-01,7.726998027363333188e-01
6.476796496269827674e-01,6.044640777870601278e-01,7.715005392134153261e-01
6.469750590942857649e-01,6.060956363407344893e-01,7.705319233176257665e-01
6.463215669253568052e-01,6.067928036683533088e-01,7.698072011077201626e-01
6.455310292413748430e-01,6.067088820900122803e-01,7.692534086497520018e-01
6.446101744861487681e-01,6.060926678482376762e-01,7.688747072485644374e-01
6.435880609430497667e-01,6.050214961349189569e-01,7.685879512374418354e-01
6.425244388638100546e-01,6.039159189636132963e-01,7.683115734338867853e-01
6.414933790883158293e-01,6.029096898429266993e-01,7.680274676830820546e-01
6.405154932861922834e-01,6.021705916581371332e-01,7.677364439803964213e-01
6.395578481712389518e-01,6.017017855821364947e-01,7.674478664725445931e-01
6.386304388431408574e-01,6.014835317782168955e-01,7.671720548001610407e-01
6.376947915796666866e-01,6.013065790602865057e-01,7.669386360480525688e-01
6.367881150474863361e-01,6.011309579675162551e-01,7.667645982337276678e-01
6.358841074088641410e-01,6.007855620589628298e-01,7.666911992805717224e-01
6.349299643893450140e-01,6.002159363591815788e-01,7.666889794197543351e-01
6.340140334362356356e-01,5.994525916135169386e-01,7.667379861610311709e-01
6.331570049566979108e-01,5.986074121498847767e-01,7.668196785018769335e-01
6.323347830397222369e-01,5.978844956738341709e-01,7.669030117460416962e-01
6.315964397924247464e-01,5.974759689525592776e-01,7.669532133038722277e-01
6.309350173090524372e-01,5.972914575170084062e-01,7.669266618577552652e-01
6.303120031066742346e-01,5.974232913486743346e-01,7.667837647481422492e-01
6.296809570619794627e-01,5.978783665697131600e-01,7.664730603597049718e-01
6.290582945321459007e-01,5.986261187733969980e-01,7.660060643133456137e-01
6.284349652871275005e-01,5.997127623453071266e-01,7.654435507774386416e-01
6.278230402520545983e-01,6.010960779130919418e-01,7.648031294440094108e-01
6.272716358601360120e-01,6.026629624148939213e-01,7.641487584752520990e-01
6.267705412578542523e-01,6.043745996573751667e-01,7.634787635848557796e-01
6.262604402393550096e-01,6.062183372740234111e-01,7.627722359123045859e-01
6.256728002627867102e-01,6.079896387514870382e-01,7.620339404414504525e-01
6.250681934563278030e-01,6.097170720675161304e-01,7.612741305149619553e-01
6.245386420733247679e-01,6.115687850592185226e-01,7.605525097041125893e-01
6.240469246889956967e-01,6.135665091925162073e-01,7.599520232403539355e-01
6.236092658918205300e-01,6.155643614320450707e-01,7.594077714423504988e-01
6.232644640146938197e-01,6.175600931926645831e-01,7.588987436216148019e-01
6.229200492470761130e-01,6.194815043424531931e-01,7.583828072623475247e-01
6.225071940638392531e-01,6.212364834596756369e-01,7.578337820774430078e-01
6.221217803630978427e-01,6.229409250430418821e-01,7.572817116187048336e-01
6.217448195933246158e-01,6.247164052424367675e-01,7.568026190652614726e-01
6.213656896267062413e-01,6.265040272335674620e-01,7.564058933898664128e-01
6.210202384377492280e-01,6.282055592882618278e-01,7.560988111641600007e-01
6.206445207238471262e-01,6.298868901980287927e-01,7.558544769775195071e-01
6.201995845211851766e-01,6.316006881529114825e-01,7.556585273468269248e-01
6.198031905786776097e-01,6.332840291091127449e-01,7.554871978402469823e-01
6.194899273899630021e-01,6.348303167568740690e-01,7.553280650990418232e-01
6.191632342996746807e-01,6.360293676096870907e-01,7.552008597221124830e-01
6.188868480003545391e-01,6.368803151760579206e-01,7.550611145957555337e-01
6.186448187156678991e-01,6.373827068565433018e-01,7.548066076745681974e-01
6.183730206426044651e-01,6.375201074598116913e-01,7.544295753944093574e-01
6.180819431952278009e-01,6.373437864318496349e-01,7.540205174781915431e-01
6.177908850810093222e-01,6.371109447646194912e-01,7.536845766164717020e-01
6.175213135216139904e-01,6.369904696260256793e-01,7.534796347821601792e-01
6.172636968817178937e-01,6.371217624362849330e-01,7.533709310017798755e-01
6.169863975490250674e-01,6.374767122326268076e-01,7.532760617386599078e-01
6.167367106017306311e-01,6.381204769350126149e-01,7.531691649422848078e-01
6.165209896540887469e-01,6.390024063859169878e-01,7.530192027084994244e-01
6.162845456025691782e-01,6.398718636739644250e-01,7.528370346785732137e-01
6.160805310761083842e-01,6.406253081820769690e-01,7.526608253971940332e-01
6.158382734797708258e-01,6.413447306919671798e-01,7.524755131392990570e-01
6.156079178919693362e-01,6.419207615112523246e-01,7.522735159127470483e-01
6.154247008102946559e-01,6.424484564610363213e-01,7.520742066853486341e-01
6.153458709637915636e-01,6.429288312560330620e-01,7.519105345656466044e-01
6.152326323582998358e-01,6.432917758416580867e-01,7.518325397699672230e-01
6.150474894780120216e-01,6.436736554623715412e-01,7.518200149219363970e-01
6.148700808937768159e-01,6.441838586433898950e-01,7.518087560774834310e-01
6.146240185120026567e-01,6.446133423261691808e-01,7.517469283084983189e-01
6.143751727519836114e-01,6.448844406656125683e-01,7.516214024223634160e-01
6.141248250629672834e-01,6.450086040034850310e-01,7.514980870947678415e-01
6.138232202103032220e-01,6.448118609126884948e-01,7.513861760331919104e-01
6.135480879728232306e-01,6.444666260475726549e-01,7.512539542558003269e-01
6.132880018776982745e-01,6.440687911826649126e-01,7.511302957834020688e-01
6.130722353559416860e-01,6.436833887621145056e-01,7.509617379508087831e-01
6.128746064116812331e-01,6.433127112704609685e-01,7.507712267875290557e-01
6.126498200811378858e-01,6.430211101099705395e-01,7.506061335277568469e-01
6.124249256089052684e-01,6.430142136348804272e-01,7.504368610961387187e-01
