cost,L2,trace
1.135403364371324741e+01,7.387955158496535280e-01,9.766759417859828263e-01
1.036789136140971834e+01,7.337565063108709706e-01,9.726024792666188024e-01
9.536039747143627565e+00,7.456477238282069875e-01,9.695764012369986196e-01
8.780528177625543051e+00,7.621504625329134086e-01,9.668610213521253716e-01
8.068231210145871302e+00,7.721626107068758627e-01,9.641970716964043397e-01
7.395431764557177878e+00,7.795845282418217836e-01,9.611451431489624886e-01
6.798529679210491672e+00,7.936392404289489555e-01,9.576996375189313904e-01
6.320565491536870972e+00,8.111857498963926938e-01,9.536241395747361294e-01
5.978512151405851682e+00,8.256045986514304325e-01,9.485002881696021904e-01
5.738689384493965484e+00,8.390463543513907441e-01,9.418257951087138924e-01
5.537915997648955369e+00,8.438271066809165388e-01,9.332948395098004113e-01
5.335467788752332297e+00,8.417125303081022247e-01,9.230276339552024867e-01
5.126945190461896118e+00,8.366785103066950446e-01,9.114729889970406562e-01
4.924936312376295255e+00,8.293901528292827452e-01,8.992104393533572049e-01
4.737288796608818409e+00,8.229924899024135820e-01,8.867216674524770470e-01
4.559644735897563805e+00,8.170862278652597510e-01,8.742606332191610319e-01
4.383340304285168187e+00,8.103103834531475425e-01,8.618538538223258216e-01
4.204219981392974148e+00,8.029201408895845216e-01,8.494529728340848296e-01
4.024240106787868143e+00,7.936116731775607613e-01,8.371149571614903140e-01
3.848806534369547894e+00,7.851133346702322546e-01,8.249850911223336469e-01
3.683554683054060863e+00,7.769161498243271069e-01,8.131869780927429847e-01
3.531977972625409024e+00,7.692959196453481585e-01,8.017113296080982110e-01
3.394040987672365617e+00,7.614668046071051410e-01,7.903871735624049544e-01
3.265689058402727163e+00,7.531006517508903597e-01,7.788811298936196836e-01
3.140049297416373619e+00,7.424119994058163696e-01,7.667571065332913216e-01
3.010193829140880073e+00,7.312845005114362307e-01,7.535468722721291313e-01
2.871811211482754089e+00,7.168099032989404540e-01,7.388316668478102089e-01
2.724172101105757804e+00,6.992303861332402892e-01,7.222957768231211828e-01
2.569891017865910676e+00,6.793252286932929263e-01,7.037866130328130909e-01
2.414596063874173915e+00,6.563780340997172891e-01,6.833886022369916047e-01
2.266159604784410142e+00,6.327458732134252362e-01,6.614370119012022986e-01
2.132892940666613057e+00,6.094791680894435792e-01,6.385304009263028657e-01
2.020734798270537258e+00,5.868424141314794173e-01,6.153863662229387410e-01
1.930523559461660765e+00,5.629265158984823048e-01,5.926724375980458870e-01
1.856989408986334578e+00,5.412717597398999381e-01,5.708669195194437940e-01
1.790708852338459556e+00,5.219049861218062469e-01,5.502357293522203152e-01
1.722493730679635515e+00,5.046190492418727302e-01,5.309238681726105025e-01
1.647883756873994798e+00,4.882323705410093750e-01,5.131424174350905920e-01
1.568849258317099427e+00,4.736425158975448579e-01,4.971583031989169066e-01
1.492234885254572818e+00,4.612323172106921332e-01,4.831725397458260796e-01
1.425745943444995500e+00,4.510381572101495595e-01,4.710565468303722358e-01
1.373810129275724545e+00,4.390441097097321776e-01,4.601870945530166512e-01
1.335622286958174643e+00,4.248635346060469775e-01,4.495328008261201824e-01
1.305988407905509296e+00,4.104314874986809136e-01,4.379235236287091215e-01
1.278315468048472514e+00,3.977300635725418143e-01,4.244381752221860205e-01
1.247585715976408771e+00,3.870029210676974585e-01,4.085989776265894213e-01
1.212125811437433587e+00,3.771201307874320063e-01,3.904522460683148011e-01
1.173511172599438712e+00,3.665861917625290456e-01,3.705281989028472722e-01
1.135054878097053521e+00,3.508363373465742674e-01,3.496883107521527312e-01
1.099760349336413867e+00,3.320690764581624710e-01,3.288406230775464123e-01
1.068946400290852861e+00,3.126559938433163266e-01,3.088188492560303700e-01
1.042254162551506491e+00,2.934665578440904810e-01,2.902901033953350640e-01
1.018588813276903871e+00,2.763779601685060761e-01,2.737263566641927048e-01
9.970605545206450149e-01,2.616563300768283695e-01,2.594074093868216635e-01
9.773069700067373855e-01,2.493181769834951211e-01,2.473734036945930692e-01
9.593194623786729380e-01,2.390946389649024895e-01,2.373799727239261359e-01
9.431089844203718320e-01,2.304420072302929556e-01,2.289072361718691162e-01
9.284519064701317603e-01,2.226116158844240744e-01,2.212283524761362863e-01
9.148745724819042913e-01,2.148040815070852982e-01,2.135615841565750850e-01
9.017895655527203846e-01,2.062930846361724357e-01,2.051927525030233235e-01
8.888078938476347002e-01,1.965955347660985342e-01,1.956434319036944314e-01
8.759958256643185504e-01,1.855256453634829827e-01,1.847257021379719033e-01
8.638580173620499236e-01,1.732152309100040422e-01,1.725643748658056975e-01
8.529926609523903469e-01,1.600990842570719219e-01,1.595853080759021270e-01
8.436072628620374658e-01,1.468552666966112807e-01,1.464588379252216577e-01
8.352215233495486890e-01,1.342044260529808297e-01,1.339019435674835279e-01
8.269114140972689819e-01,1.227856364288349295e-01,1.225540236527767057e-01
8.179754638334246764e-01,1.131109274959977290e-01,1.129298888070254803e-01
8.084908587747182684e-01,1.055488400976007241e-01,1.054017534948207407e-01
7.993651267899917201e-01,1.002948190582018395e-01,1.001686308407995774e-01
7.918063136404425162e-01,9.723385121604127823e-02,9.711887200387761543e-02
7.865850348680587523e-01,9.581155040682205748e-02,9.570154526028135100e-02
7.835744023682928994e-01,9.511375719135892193e-02,9.500613897485951642e-02
7.818907273728281648e-01,9.416097254456300136e-02,9.405655735506132653e-02
7.804625167883173509e-01,9.218196218775767670e-02,9.208399543944451038e-02
7.786449063124064596e-01,8.884659968319034984e-02,8.875889013621621193e-02
7.764154290168903128e-01,8.425575118891362458e-02,8.418095120609844773e-02
7.741518564250537970e-01,7.880052349582869486e-02,7.873933553686560116e-02
7.722225202823644885e-01,7.296675317871183231e-02,7.291817629328690986e-02
7.707095594331204724e-01,6.714592245412441540e-02,6.710807023229985180e-02
7.694267352637662594e-01,6.154479890006916282e-02,6.151565236501504996e-02
7.681191425954104757e-01,5.620367002668204270e-02,5.618147325542539178e-02
7.666695145324835536e-01,5.106954610016672252e-02,5.105289408426112036e-02
7.651393181005901045e-01,4.606350247271040477e-02,4.605128339326182429e-02
7.636886395845761122e-01,4.113713314661778669e-02,4.112843036629633409e-02
7.624606907732858208e-01,3.629570620967395578e-02,3.628972882055996746e-02
7.615179546955261891e-01,3.160869090078366472e-02,3.160474308696750029e-02
7.608558407222741904e-01,2.726471123351295600e-02,2.726217766357959260e-02
7.604295894137053091e-01,2.354395700378699580e-02,2.354232559262416785e-02
7.601768272778942626e-01,2.069327616180205442e-02,2.069216849433905617e-02
7.600345873582002865e-01,1.877536210758851826e-02,1.877453476657262380e-02
7.599414960488968251e-01,1.760069829483118867e-02,1.760001672852800139e-02
7.598419814611723222e-01,1.679665203599358531e-02,1.679605967582767714e-02
7.596959497854339771e-01,1.597178414680288511e-02,1.597127484264296640e-02
7.594886203403812264e-01,1.489714775266313095e-02,1.489673449070982522e-02
7.592430465428064990e-01,1.359415691880178773e-02,1.359384288827985253e-02
7.590096969579648301e-01,1.232559158723944143e-02,1.232535752168284482e-02
7.588348730559422162e-01,1.148360316050540605e-02,1.148341386159575789e-02
7.587254449154612335e-01,1.125471636634417516e-02,1.125453816250901462e-02
7.586475282716567126e-01,1.140994022562888052e-02,1.140975454626083109e-02
7.585582888649051725e-01,1.150681993701031802e-02,1.150662948763103190e-02
7.584473795194913714e-01,1.125491354715527602e-02,1.125473533393693722e-02
7.583428372303764320e-01,1.063323817008526677e-02,1.063308788711069507e-02
7.582772810517256490e-01,9.782331172279225620e-03,9.782214157777174152e-03
7.582527219087480397e-01,8.850818585822416498e-03,8.850731917071636215e-03
7.582366876895889618e-01,7.851943218334664701e-03,7.851882706170454709e-03
7.581955803955300333e-01,6.717932775598947290e-03,6.717894877425156265e-03
7.581272487426347073e-01,5.471816383092899423e-03,5.471795904255612880e-03
7.580602784688663665e-01,4.379637820746810385e-03,4.379627319845031189e-03
7.580240914498386218e-01,3.915790472771754627e-03,3.915782967475393665e-03
7.580243771494008520e-01,4.272886722876318745e-03,4.272876971286377820e-03
7.580432064638420453e-01,5.040105312878972316e-03,5.040089308795469430e-03
7.580620925095344909e-01,5.842995345724111798e-03,5.842970410323216658e-03
7.580772539754737638e-01,6.576241297546367784e-03,6.576205747129608946e-03
7.580959584930873074e-01,7.247748709634185653e-03,7.247701119074898869e-03
7.581225432255296326e-01,7.833743677523876195e-03,7.833683585153437129e-03
7.581492845393700275e-01,8.263827124658618128e-03,8.263756581402577697e-03
7.581617765888608584e-01,8.461933443909802621e-03,8.461857704704103811e-03
