cost,L2,trace
1.135403364371324741e+01,7.387955158496535280e-01,9.766759417859828263e-01
1.036789132923928136e+01,7.337565244940258413e-01,9.726024830258858112e-01
9.534968571803533521e+00,7.463769719337690622e-01,9.696927513983067959e-01
8.780378732285260668e+00,7.636354521546631080e-01,9.671244904054489000e-01
8.069364085624126659e+00,7.741049570657470014e-01,9.645921645387242060e-01
7.397512957819627033e+00,7.818034804301415841e-01,9.616869172241360175e-01
6.801049253879051015e+00,7.959060196440376211e-01,9.583717129103587196e-01
6.322982300771020192e+00,8.134780662267871998e-01,9.543863098619486118e-01
5.980800783626984085e+00,8.275370802287318472e-01,9.493149765488065883e-01
5.742785439650300638e+00,8.411717972967301948e-01,9.427147535612266926e-01
5.545980679892722698e+00,8.466093594196707484e-01,9.343212924802304364e-01
5.347285628083803921e+00,8.448663614447613490e-01,9.242339392433215339e-01
5.140817381712226464e+00,8.396216019064722813e-01,9.128904294003589159e-01
4.939900567129860143e+00,8.314470963686722005e-01,9.008795897032922939e-01
4.754077290565501990e+00,8.248005247454193167e-01,8.887127781556133366e-01
4.579804519470133783e+00,8.184988294864968816e-01,8.766475474781771915e-01
4.407661805926701426e+00,8.115534222657828645e-01,8.646931062630690557e-01
4.232255617785406265e+00,8.049436388015366317e-01,8.527778714529584692e-01
4.054951493692697362e+00,7.969894845653950899e-01,8.409352801719421899e-01
3.881318810026863630e+00,7.884285053628776740e-01,8.293085291795496694e-01
3.717590138241553266e+00,7.802219250012385476e-01,8.180320169164896349e-01
3.567927843609842942e+00,7.728093168630777443e-01,8.071326020258517975e-01
3.432982814211848144e+00,7.657635901667538825e-01,7.964722545249636187e-01
3.309242482786992401e+00,7.585357677657388331e-01,7.857430501009829982e-01
3.189905828719847403e+00,7.486314574424768331e-01,7.745255415064677962e-01
3.067690138351367946e+00,7.384189763632942327e-01,7.623516240431524871e-01
2.937456337779798865e+00,7.276964065560366235e-01,7.487813232573694577e-01
2.797317680946063589e+00,7.121321877696743519e-01,7.334690994120013352e-01
2.648762085805398403e+00,6.944467186748541909e-01,7.161958330566357001e-01
2.496528692173377806e+00,6.732048570542827903e-01,6.970079093016223748e-01
2.348290531190138530e+00,6.510717477369741824e-01,6.762187946157273144e-01
2.212916644562319846e+00,6.287819674837991091e-01,6.543921061228995528e-01
2.097538606421299523e+00,6.065339725997512810e-01,6.322124065064572696e-01
2.004585995287671452e+00,5.838340604135288103e-01,6.103492349293382357e-01
1.930064574190944793e+00,5.619637018389013194e-01,5.893199101321573430e-01
1.864654292223217880e+00,5.422362132876971108e-01,5.694018654434178650e-01
1.797988015024316377e+00,5.244554336794572391e-01,5.507013213770928228e-01
1.723785402693126079e+00,5.080066214182259454e-01,5.333242775853327400e-01
1.642615958516890018e+00,4.923745459526318591e-01,5.174960623487386835e-01
1.560966564802902523e+00,4.785662210310183129e-01,5.034246788684864082e-01
1.487280292545557270e+00,4.669815119093022049e-01,4.911006812851715919e-01
1.427536462386147065e+00,4.549968139646043963e-01,4.800335348251045242e-01
1.382485577449091174e+00,4.432516126326044303e-01,4.692813577710691630e-01
1.347985022575949321e+00,4.304475288651019582e-01,4.576882173667971565e-01
1.317545022447872194e+00,4.162464974239631355e-01,4.442570037889915224e-01
1.285543397698120094e+00,4.033906351389250355e-01,4.283993014437689206e-01
1.249337314310655422e+00,3.917388140626050785e-01,4.100760524808975127e-01
1.209709590585538841e+00,3.804256350206830506e-01,3.898055499961001757e-01
1.169585108003101226e+00,3.665047769006227751e-01,3.684289775765630659e-01
1.131993555569512866e+00,3.487077849907734839e-01,3.468843290761713383e-01
1.098475796154301687e+00,3.295741803162417494e-01,3.260382772939359186e-01
1.068855704592402311e+00,3.103704066124410299e-01,3.066103915787740664e-01
1.042141218553964244e+00,2.922238935407921456e-01,2.890877649096613156e-01
1.017661556592166949e+00,2.764213909465597085e-01,2.737685331667849553e-01
9.954339531379297057e-01,2.630569985153566326e-01,2.607716618136662334e-01
9.757659996807037661e-01,2.519547989810137500e-01,2.499475032546516762e-01
9.586445203348548105e-01,2.425796054721971184e-01,2.407886738555050921e-01
9.434516848435940961e-01,2.340998942397396199e-01,2.324906984030046253e-01
9.292466912618071451e-01,2.256042872530088506e-01,2.241643610878895077e-01
9.152012129803213103e-01,2.163641889743257996e-01,2.150943681458903911e-01
9.009653021160713982e-01,2.059044955956990663e-01,2.048103808014488103e-01
8.867967741749669397e-01,1.941055809357918327e-01,1.931892541264295937e-01
8.734464551808991395e-01,1.812217771727117066e-01,1.804762982809269278e-01
8.616617041369153407e-01,1.677001923238790049e-01,1.671096159360861144e-01
8.516661787687975771e-01,1.541373340079296994e-01,1.536788967935140415e-01
8.428872652950922806e-01,1.411382320646827893e-01,1.407863592286636434e-01
8.342715174944189682e-01,1.292715054276141751e-01,1.290011888120851657e-01
8.248938052097984919e-01,1.189224947528912668e-01,1.187120750350294657e-01
8.146425817013769333e-01,1.104379638717077894e-01,1.102694651459344560e-01
8.043478678972100226e-01,1.040520893898754379e-01,1.039111745910125256e-01
7.953443649119859016e-01,9.979487042059236035e-02,9.967056065625586048e-02
7.886711174708400662e-01,9.734334374429963466e-02,9.722797551531617288e-02
7.844902920801485324e-01,9.596374845918909102e-02,9.585321804311162930e-02
7.820736779202235311e-01,9.475461457919553965e-02,9.464821129521079623e-02
7.803152488316140722e-01,9.284963727066690431e-02,9.274952556944215942e-02
7.783911776946186301e-01,8.969248598081505652e-02,8.960224647178495483e-02
7.760865180138094566e-01,8.516518649204973812e-02,8.508793741018801093e-02
7.736818570354895286e-01,7.954505079020766922e-02,7.948211157070478317e-02
7.715350629173420849e-01,7.321261391320751932e-02,7.316354422307787264e-02
7.698019137386087341e-01,6.662695528640734388e-02,6.658997413243158969e-02
7.683343967230089611e-01,6.006873823818463520e-02,6.004163922257500785e-02
7.668756732998909253e-01,5.362219843396162644e-02,5.360292221161754023e-02
7.653029151553576437e-01,4.734069964876101710e-02,4.732743563772876666e-02
7.636940816930667397e-01,4.126888016081044913e-02,4.126009349109245605e-02
7.622249835642410654e-01,3.540887114209955583e-02,3.540332130425767609e-02
7.610437877602709289e-01,2.983706818255391774e-02,2.983374768917117920e-02
7.601924107757315197e-01,2.464230603136594380e-02,2.464043547612459334e-02
7.596443733221025507e-01,2.008323695369304898e-02,2.008222439060961678e-02
7.593536847934116985e-01,1.665825846472394206e-02,1.665768062642737635e-02
7.592795936525247313e-01,1.497235717783643172e-02,1.497193762503135940e-02
7.593517991246500065e-01,1.504396973546865898e-02,1.504354413359403585e-02
7.594676985337479591e-01,1.603742421569474136e-02,1.603690860625534703e-02
7.595237924012251396e-01,1.703488126052870102e-02,1.703426333630598047e-02
7.594580567394322301e-01,1.754428473036089356e-02,1.754360969678107202e-02
7.592836694631512895e-01,1.750715270721673461e-02,1.750648195070927601e-02
7.590697488373394641e-01,1.714272843118866407e-02,1.714209869617941417e-02
7.588938421004340906e-01,1.679013366184314501e-02,1.678954199107013032e-02
7.588047320425634901e-01,1.674026850207867637e-02,1.673968208734773547e-02
7.588034263297938065e-01,1.708016910353417697e-02,1.707954623781651401e-02
7.588494237602522174e-01,1.764311754540260485e-02,1.764243103923183315e-02
7.588849887069830658e-01,1.807365084444483364e-02,1.807291284413299615e-02
7.588839988024735916e-01,1.819293659011336425e-02,1.819218388059163152e-02
7.588600971594322564e-01,1.795769232574734309e-02,1.795696843946640101e-02
7.588464739671845205e-01,1.750084944761115882e-02,1.750017941535758972e-02
7.588551728486141457e-01,1.694814372066621305e-02,1.694753518754338675e-02
7.588608073946051524e-01,1.628348661814062182e-02,1.628294690944543516e-02
7.588270618000838574e-01,1.542908249224545468e-02,1.542862336105911558e-02
7.587438791185203701e-01,1.432854423096614933e-02,1.432817650712761050e-02
7.586374383553158296e-01,1.306814554034023586e-02,1.306786657099463962e-02
7.585454350653421107e-01,1.184616420625821294e-02,1.184595640553236760e-02
7.584862925655257992e-01,1.084204703560852703e-02,1.084188772412999872e-02
7.584516262942778697e-01,1.013583007525291693e-02,1.013569991130839482e-02
7.584232006243614155e-01,9.720265102491291997e-03,9.720150301144427421e-03
7.583916986660048654e-01,9.534595398330169072e-03,9.534487050742199848e-03
7.583644932341835343e-01,9.567061796670718946e-03,9.566952338477319184e-03
7.583511148060981810e-01,9.740325508160107074e-03,9.740209994591511253e-03
7.583483497122437411e-01,9.930503149644508837e-03,9.930380736974345202e-03
7.583418785399425044e-01,9.989494657655868803e-03,9.989370050407000642e-03
7.583204340070726079e-01,9.838839678833156618e-03,9.838720624727594760e-03
7.582844613222339269e-01,9.496160260426787791e-03,9.496053217833866356e-03
7.582431962298861183e-01,9.017741931720276577e-03,9.017650266255295907e-03
7.582061268340618554e-01,8.486434749460290000e-03,8.486358350423980901e-03
7.581764499278662583e-01,7.965757670465008558e-03,7.965694488533384479e-03
7.581516023620588074e-01,7.471533499698973860e-03,7.471481363339216655e-03
7.581296432570847621e-01,7.049001606527263361e-03,7.048957824680370660e-03
7.581100731947879590e-01,6.778015250408696464e-03,6.777976326249158558e-03
7.580941486958621134e-01,6.727603092784017851e-03,6.727565030657906356e-03
7.580830898346169189e-01,6.888817857112917303e-03,6.888776992701599843e-03
7.580772282485567226e-01,7.209798686974872722e-03,7.209751840046365289e-03
7.580761879301575190e-01,7.664655023383356268e-03,7.664598738822862162e-03
7.580778454414154321e-01,8.168419694416600291e-03,8.168351566384467882e-03
7.580805371821868199e-01,8.646349479899293269e-03,8.646268680098097986e-03
7.580834466254289250e-01,9.011657407252977176e-03,9.011565927202898688e-03
7.580860728833338502e-01,9.190609730951470116e-03,9.190512692216677715e-03
7.580880119724445754e-01,9.200171763666088742e-03,9.200074421717793424e-03
7.580879497199419781e-01,9.044892164474908208e-03,9.044799668562948994e-03
7.580870911545534163e-01,8.787721716768026950e-03,8.787636888409482844e-03
7.580849995329137503e-01,8.403486586579633766e-03,8.403412405953139888e-03
7.580817495937692829e-01,7.960529302289805209e-03,7.960466244650240414e-03
7.580748409789277442e-01,7.469768149610766378e-03,7.469716050205603940e-03
7.580628914830657150e-01,6.913959468700503659e-03,6.913918155249630659e-03
7.580477468936316354e-01,6.353322688767151609e-03,6.353290632433158946e-03
7.580331318406057228e-01,5.869537510023545290e-03,5.869512233239028258e-03
7.580216078521527789e-01,5.554948297063534886e-03,5.554926870569209564e-03
7.580120544424218121e-01,5.356867111162125043e-03,5.356847896076257984e-03
7.580043417926547455e-01,5.288004456925119931e-03,5.287985973378311368e-03
7.579996256873868798e-01,5.404049342208622729e-03,5.404029614797128435e-03
7.579982576040880105e-01,5.650186016187378445e-03,5.650163468647078323e-03
7.580009606595867755e-01,6.065521637088757551e-03,6.065493742758346074e-03
7.580059713661904119e-01,6.546550551947877966e-03,6.546515480873835689e-03
7.580111725158781288e-01,6.976384824234301008e-03,6.976342381542043579e-03
7.580152880153330219e-01,7.265095757980438891e-03,7.265047824903299485e-03
7.580175071619210669e-01,7.368252715391715099e-03,7.368202711341717212e-03
7.580173839605083286e-01,7.332860762633982080e-03,7.332811475695882701e-03
7.580155873679053080e-01,7.240390444110582704e-03,7.240342998358465648e-03
7.580120616836835135e-01,7.132612273176541264e-03,7.132566914833687009e-03
7.580078152396680924e-01,7.054911136560058915e-03,7.054867244496049530e-03
7.580042432920861550e-01,7.016258801143048646e-03,7.016215626553988505e-03
7.580020402482436914e-01,7.041396686259453891e-03,7.041353045977406973e-03
7.580021304304751517e-01,7.144777226403492901e-03,7.144731635589473065e-03
7.580050648070204566e-01,7.331331633431044555e-03,7.331282377301844011e-03
7.580081849934549032e-01,7.440801272318240366e-03,7.440749776691121982e-03
7.580110913022787278e-01,7.495403891879558363e-03,7.495351254202061234e-03
7.580133803759705469e-01,7.497543100203439906e-03,7.497490417439250585e-03
7.580157577124142509e-01,7.472087545524861915e-03,7.472035397566010630e-03
7.580182567278074268e-01,7.419560959778871354e-03,7.419509903864722998e-03
7.580203247280504764e-01,7.356608473733217309e-03,7.356558706392813188e-03
7.580203958957486554e-01,7.205170196200530106e-03,7.205123439462513164e-03
7.580193014427983877e-01,7.055034171985687802e-03,7.054990277640409493e-03
7.580167640042613231e-01,6.938109818275639551e-03,6.938068070346257825e-03
7.580133263800796772e-01,6.876715804961111046e-03,6.876675155566705847e-03
7.580101200676619966e-01,6.887506861654086460e-03,6.887466020549900397e-03
7.580085651501000665e-01,7.021130170452460732e-03,7.021086905817633742e-03
7.580079274726923000e-01,7.231815649464942708e-03,7.231768372102181930e-03
7.580073116006456058e-01,7.426206323328244686e-03,7.426155130125919844e-03
7.580075086641540061e-01,7.650667894155954024e-03,7.650611917145431519e-03
7.580078922173294487e-01,7.858857681889782829e-03,7.858797009668343214e-03
7.580084729117657627e-01,8.031315715228798738e-03,8.031250960450399962e-03
7.580087800034730483e-01,8.120557350825684945e-03,8.120490413353925047e-03
