cost,L2,trace
1.135403364371324741e+01,7.387955158496535280e-01,9.766759417859828263e-01
1.036789133279047093e+01,7.337565226707596366e-01,9.726024826538369750e-01
9.535837457976413134e+00,7.463690058964268514e-01,9.697072651973560609e-01
8.782253415264953844e+00,7.636349575923974120e-01,9.671635968452276799e-01
8.072691938342522633e+00,7.747515335196201169e-01,9.647359998819990956e-01
7.402395468916122212e+00,7.829234857418386762e-01,9.619124224361124131e-01
6.807013843890532989e+00,7.970922530727532207e-01,9.586313029471135172e-01
6.329331187632035949e+00,8.142594912421452502e-01,9.546400922069898654e-01
5.986879818737056880e+00,8.282018001084603398e-01,9.495498900289379707e-01
5.747881214871378930e+00,8.417642554027033874e-01,9.429162761077014565e-01
5.549662107397702826e+00,8.470282890098519424e-01,9.344892098592129104e-01
5.349802821343853765e+00,8.451031965925628331e-01,9.243875221082508142e-01
5.142840981848443960e+00,8.400666818961785021e-01,9.130496817805522358e-01
4.941935094876543033e+00,8.321268122676106493e-01,9.010476369467419477e-01
4.756324128198382795e+00,8.254848954903944991e-01,8.888652370322679408e-01
4.582255643310540805e+00,8.190419459022957316e-01,8.767451665250888260e-01
4.410457124464690182e+00,8.120728622847080969e-01,8.646933396370474201e-01
4.235832608350847295e+00,8.053908251241168603e-01,8.526485455425891757e-01
4.059849177784874641e+00,7.975880309981382421e-01,8.406511947523479522e-01
3.887990612625555897e+00,7.888032628493800713e-01,8.288487027875858226e-01
3.726259047048179784e+00,7.802326871726148472e-01,8.173839228270959323e-01
3.578565606761697548e+00,7.725743911281696130e-01,8.062842578677196226e-01
3.445252830232200747e+00,7.652993596585541125e-01,7.954118389078318474e-01
3.322612434977499696e+00,7.577620426176268076e-01,7.844689421781625427e-01
3.203872820182902537e+00,7.475273122902623690e-01,7.730402132384081026e-01
3.081824801740488340e+00,7.366321821592640706e-01,7.606625820684443928e-01
2.951506152447070264e+00,7.237432691335824453e-01,7.468988677662375952e-01
2.811273679853299789e+00,7.083535717143363275e-01,7.313980966173011522e-01
2.662708843075941356e+00,6.901858981688070438e-01,7.139603881205620617e-01
2.510499460399847393e+00,6.685252409640918270e-01,6.946130060712093490e-01
2.362085812537318752e+00,6.467014293237403066e-01,6.736598531114156296e-01
2.226176728087100098e+00,6.255992530173704047e-01,6.516620080946476934e-01
2.110019580397581862e+00,6.039684454497400434e-01,6.293377015861060242e-01
