cost,L2,trace
5.768517798302180921e+00,8.179543955479530171e-01,9.991647718726942573e-01
5.430880305063917390e+00,8.181317539074887124e-01,9.996012055445868683e-01
5.156783542559491451e+00,8.210006910103291311e-01,9.999574803906418063e-01
4.957004402432755086e+00,8.155590630981074396e-01,9.999568276808691314e-01
4.800053778913484948e+00,8.064898055182692094e-01,9.996994933615813705e-01
4.656012122359008742e+00,8.015795582996132485e-01,9.992344920701362598e-01
4.515401333356670932e+00,7.961108903619238397e-01,9.985512975423201931e-01
4.380118285131386457e+00,7.908156462818130006e-01,9.977011489572387148e-01
4.245691094426924828e+00,7.827481793460112636e-01,9.967292576068058629e-01
4.103528074801075398e+00,7.725976685941353672e-01,9.955894300149251697e-01
3.951463585702417181e+00,7.702791578640464376e-01,9.941575312203341230e-01
3.797796412611013306e+00,7.757972539054219796e-01,9.923366288053637740e-01
3.656904186154250613e+00,7.831491520264837192e-01,9.901059150299509337e-01
3.544438233530916804e+00,7.889453965269148661e-01,9.875339039100897720e-01
3.468249175163645504e+00,7.939161074082354830e-01,9.847672947360386342e-01
3.423485516762954095e+00,7.967415578551763078e-01,9.819028527841502374e-01
3.396484992332015285e+00,7.952817918641900130e-01,9.788096064247882033e-01
3.371116932043295655e+00,7.905202750075281948e-01,9.752070739135447752e-01
3.335251375579362687e+00,7.836173473503811326e-01,9.708753186314137418e-01
3.282488087833765444e+00,7.741800775868418194e-01,9.657189362865568061e-01
3.211446137400602030e+00,7.631008464806545710e-01,9.597138947127804576e-01
3.124667087047596326e+00,7.508233799677688225e-01,9.528897951934163224e-01
3.026596752939137325e+00,7.383114975715427963e-01,9.451901923694567831e-01
2.920712987173352371e+00,7.261894818669035745e-01,9.364827055841812298e-01
2.808206138926824469e+00,7.154350542170995197e-01,9.266162946086118346e-01
2.689398268152034532e+00,7.043526613522318458e-01,9.155380959486488779e-01
2.566530409996264694e+00,6.922180742505857909e-01,9.034038167976392586e-01
2.443371672731402988e+00,6.802297115136027861e-01,8.907502423619376719e-01
2.322544682318704368e+00,6.709807987739565549e-01,8.783252049863994326e-01
2.204489518605528442e+00,6.676740479328194811e-01,8.667725891890966095e-01
2.090596444258563391e+00,6.701666434743759337e-01,8.566525620988294509e-01
1.987336604573453736e+00,6.794461567299560079e-01,8.488120555995652960e-01
1.903101751961000954e+00,6.876372838824578171e-01,8.442627244712558321e-01
1.840283926635670309e+00,6.982646891555742696e-01,8.434328749385223700e-01
1.793959592747324638e+00,7.080849006163455472e-01,8.456599053143749600e-01
1.756350488576895241e+00,7.161662006406781522e-01,8.496325033877923927e-01
1.721523999916513281e+00,7.211144244123900426e-01,8.540459447790079706e-01
1.686330903777558898e+00,7.212253619164429308e-01,8.579434315317011617e-01
1.649270140030699050e+00,7.215978451603256572e-01,8.607609562705923478e-01
1.611842604760591824e+00,7.249864108547722230e-01,8.623142911432820634e-01
1.578603020816008229e+00,7.295997084467423788e-01,8.627037734579147132e-01
1.552250727757069626e+00,7.337818268228811780e-01,8.620824276812939502e-01
1.530853935787504394e+00,7.337803208927392573e-01,8.604119578285210901e-01
1.510408033432645736e+00,7.303382819993864405e-01,8.575126235695509358e-01
1.487056752552391226e+00,7.218364605944954659e-01,8.532963851579448145e-01
1.457929488991598355e+00,7.116256915080912959e-01,8.478504914464491948e-01
1.423112717431423313e+00,7.011977250062970679e-01,8.416571898016955711e-01
1.385519129931770177e+00,6.918249260170034054e-01,8.354906902644562150e-01
1.347762408004486767e+00,6.847836983484804074e-01,8.301503336119510079e-01
1.311124980491221947e+00,6.813106745872070658e-01,8.261403558739205399e-01
1.276622985007874522e+00,6.811511747594517496e-01,8.233881844816459683e-01
1.244518228017088779e+00,6.839056751030115899e-01,8.211465863745431859e-01
1.214292051360179148e+00,6.836524657866732690e-01,8.182733208403679681e-01
1.185496198338858553e+00,6.817658102197308168e-01,8.136284982218171535e-01
1.156688289602330943e+00,6.809585584674888725e-01,8.063847102967653946e-01
1.125725288433863325e+00,6.797944389063269588e-01,7.961252582139826117e-01
1.091694394770639454e+00,6.751024780251119184e-01,7.828288715943395593e-01
1.054071534032499757e+00,6.686441290097960843e-01,7.665984618307425391e-01
1.012118945464654196e+00,6.614444955114773261e-01,7.474124240019285326e-01
9.664235231427437123e-01,6.549010631874234711e-01,7.253458360567474061e-01
9.184444051445591617e-01,6.500404244299829992e-01,7.005547233835476284e-01
8.698774102816499987e-01,6.471884110238141918e-01,6.733312817750257695e-01
8.232056022063959366e-01,6.428765373739888656e-01,6.444132259541365260e-01
