cost,L2,trace
5.768517798302180921e+00,8.179543955479530171e-01,9.991647718726942573e-01
5.437070960334254188e+00,8.154719569345537655e-01,9.995103737383044251e-01
5.176032317214914080e+00,8.202630583828643962e-01,9.999069867069413364e-01
4.983980840061809303e+00,8.127744711411277745e-01,9.999888213043802709e-01
4.827482763748995431e+00,8.025790774950277706e-01,9.997868251892981784e-01
4.677675292590008027e+00,7.962822797303300559e-01,9.993635268693181750e-01
4.529094977476844974e+00,7.882288730963956658e-01,9.986921138736235548e-01
4.386494750414561494e+00,7.764143908212436385e-01,9.977505489781242076e-01
4.252333835368363957e+00,7.634250487318915424e-01,9.965367655681531822e-01
4.124518505445657013e+00,7.519129979087780802e-01,9.950146006290330192e-01
4.000200413462803084e+00,7.452787836812917455e-01,9.930711824765704465e-01
3.876702944527702144e+00,7.431322143127927493e-01,9.905336708302469040e-01
3.754093557284274851e+00,7.357776115489698121e-01,9.870411308440022458e-01
3.636334507981250574e+00,7.247917862695638647e-01,9.821732226524649834e-01
3.531852969132879938e+00,7.175764257931728229e-01,9.756262641240927014e-01
3.447485284765504421e+00,7.122724927623638180e-01,9.672764143480754306e-01
3.380767624146832073e+00,7.091835821551031316e-01,9.570779186897909740e-01
3.319565718131811227e+00,7.102396213656799739e-01,9.449180341763264712e-01
3.249637120323565664e+00,7.128971711456756344e-01,9.304591342399763931e-01
3.160488888960773401e+00,7.126812694661340819e-01,9.133356413672490959e-01
3.043208722941967981e+00,7.042495985015685411e-01,8.928038038324200842e-01
2.890885306643568242e+00,6.905768719554977730e-01,8.678363010996646976e-01
2.700574113467316462e+00,6.708535232005681248e-01,8.375413540288589864e-01
2.476929013400295254e+00,6.477320303883159491e-01,8.022253496469771150e-01
2.230889319693611483e+00,6.237384825055271032e-01,7.634522574574519327e-01
1.980070321415128953e+00,5.985042153882966787e-01,7.231075450380078928e-01
1.747462071035652542e+00,5.823261879135906982e-01,6.831312281100231365e-01
1.550040078677032751e+00,5.630129250854652989e-01,6.444912880389305210e-01
1.389392435199036324e+00,5.385895335047370391e-01,6.057328955679656124e-01
1.259540863382277553e+00,5.132538023834016805e-01,5.649496690725647197e-01
1.155164228446504238e+00,4.865343850495270628e-01,5.233894489345732870e-01
1.070630083946535027e+00,4.605917739154155588e-01,4.850167441249851885e-01
9.993425569110065965e-01,4.398410422730489877e-01,4.537067304572016124e-01
9.363027666415886241e-01,4.264538016520254549e-01,4.304551374920886908e-01
8.800148826366742671e-01,4.147757137295646768e-01,4.133843657119977699e-01
8.303083724922240005e-01,4.032099943086598359e-01,3.988956310673002492e-01
7.843953953860787198e-01,3.886591732504887653e-01,3.836613067554557333e-01
7.379442202649365568e-01,3.705068027849369727e-01,3.657585329575929189e-01
6.910305649185852772e-01,3.506212526724895584e-01,3.458025380647288261e-01
6.482808082139028816e-01,3.307588431270721552e-01,3.265664686032325181e-01
6.168161866324091136e-01,3.162931154024142821e-01,3.123691350010721068e-01
6.007982737479109492e-01,3.098097166590337292e-01,3.060701252166733721e-01
5.959233889667377992e-01,3.099614722280471524e-01,3.062163603282423985e-01
5.937282960189858017e-01,3.129077658969761089e-01,3.090543896507674249e-01
5.884100115303293466e-01,3.159489034144757347e-01,3.119815961251410918e-01
5.780087731949674623e-01,3.179045505141309680e-01,3.138627971300008701e-01
5.646978606424868374e-01,3.181367346401388074e-01,3.140860808947280036e-01
5.521905832264388803e-01,3.164361703637976753e-01,3.124504009801875593e-01
5.433214400986184911e-01,3.138028093182211320e-01,3.099161329108125473e-01
5.390837931057953503e-01,3.115257525360332069e-01,3.077234174175468295e-01
5.366786743528377812e-01,3.093453833178451684e-01,3.056226491622746622e-01
5.329683249737542372e-01,3.060511707797028969e-01,3.024465696071174103e-01
5.283257081008914113e-01,3.016167989115728920e-01,2.981672108904699914e-01
5.239668104572933194e-01,2.967706898349723454e-01,2.934853249405115494e-01
5.207279851963375616e-01,2.923855545233797759e-01,2.892441993476646545e-01
5.184006530157860837e-01,2.889311981077288816e-01,2.859002588267263167e-01
5.159183843508865497e-01,2.863212513661815839e-01,2.833719899075097803e-01
5.127731344107422373e-01,2.844708466942470482e-01,2.815785908516955649e-01
5.092097906295982579e-01,2.831316321060950436e-01,2.802801697771550860e-01
5.056843811919101705e-01,2.816940422431420954e-01,2.788859389977354497e-01
5.023840603786471348e-01,2.794660625963645284e-01,2.767242809243830037e-01
4.991311709417345366e-01,2.757912732977115255e-01,2.731565743268443147e-01
4.958820939415533036e-01,2.706266386976176053e-01,2.681376473710498365e-01
4.929121946579528846e-01,2.647297315952934493e-01,2.624003906986008827e-01
4.906125528263009516e-01,2.590836064319803622e-01,2.569005580018439705e-01
4.892702533349450045e-01,2.545379812019717969e-01,2.524681392368555155e-01
4.884906850751176699e-01,2.512545077700332197e-01,2.492639473607534129e-01
4.872366692714740211e-01,2.486925280829297702e-01,2.467623969874943868e-01
4.848510237196903550e-01,2.462709816984429145e-01,2.443968271172567153e-01
4.817581783901042081e-01,2.440639106341464803e-01,2.422398189175817007e-01
4.788803486853436819e-01,2.423194707597116360e-01,2.405343088130384999e-01
4.769288875442513898e-01,2.411625823002047642e-01,2.394029289887059375e-01
4.760063535106639487e-01,2.403657945520251138e-01,2.386235673067073626e-01
4.756775857608009916e-01,2.394031153457188421e-01,2.376817877748781671e-01
4.753518185266849549e-01,2.377639339322465128e-01,2.360778056785992896e-01
4.746441328471356358e-01,2.354337235401754158e-01,2.337967998318245255e-01
4.735035785654410634e-01,2.326999584629749485e-01,2.311195249003923646e-01
4.721560881655224584e-01,2.298519863337662728e-01,2.283290000551774779e-01
4.708182332021449978e-01,2.270613190337915088e-01,2.255932525511562814e-01
4.694748971430213746e-01,2.243242513926090587e-01,2.229087474711398398e-01
4.681907537354743076e-01,2.218559157576670549e-01,2.204867208954411073e-01
4.670957524769001057e-01,2.199378762393016939e-01,2.186039583775201411e-01
4.661824385926098824e-01,2.186776514703456520e-01,2.173665778791538661e-01
4.652797495360718738e-01,2.178220366895397553e-01,2.165263228993131728e-01
4.642591902963925099e-01,2.170957395901264020e-01,2.158129693118862324e-01
4.631420331928678968e-01,2.161996541194369792e-01,2.149327336922836895e-01
4.620350079974149260e-01,2.149025945889776468e-01,2.136583836376727275e-01
4.609344389516078500e-01,2.131988492910034116e-01,2.119840524821737793e-01
4.597415708113372079e-01,2.111548204462123379e-01,2.099746945785099517e-01
4.584775721981932950e-01,2.089308667125632790e-01,2.077877052485376241e-01
4.572286743344580184e-01,2.065859574439627699e-01,2.054809238349208922e-01
4.559604370096912995e-01,2.040936853417187613e-01,2.030282335716676601e-01
4.546151790424697858e-01,2.015935683491784092e-01,2.005685136912070676e-01
4.530792677605554042e-01,1.991999594689121134e-01,1.982241412195351049e-01
4.513591076392461376e-01,1.968229683361577553e-01,1.958922742666669159e-01
4.496190463328357811e-01,1.946156000179893319e-01,1.937218492252112678e-01
4.479971654176493345e-01,1.926102071639330671e-01,1.917430438281975680e-01
4.464860075704948916e-01,1.906907622752332943e-01,1.898476416135823630e-01
