cost,L2,trace
5.768517798302180921e+00,8.179543955479530171e-01,9.991647718726942573e-01
5.437070825264212814e+00,8.154720090868190496e-01,9.995103759805077370e-01
5.175361895181248784e+00,8.196728043786916107e-01,9.999055943671711910e-01
4.981048519976731370e+00,8.116265144765544282e-01,9.999923415720863851e-01
4.823394414674497810e+00,8.000284083724925610e-01,9.998251937637571141e-01
4.673544152102930838e+00,7.939774252569944402e-01,9.994801112310460756e-01
4.523780254260420186e+00,7.841189640616995638e-01,9.989564642427662955e-01
4.380380700211654599e+00,7.722887226912227288e-01,9.982656018136860654e-01
4.246453747996653760e+00,7.618469892775179275e-01,9.974022651599828704e-01
4.119672258115152808e+00,7.499036281685627081e-01,9.963290277199342571e-01
3.997104788533554220e+00,7.410799455098338040e-01,9.949817486931016308e-01
3.874537423197468744e+00,7.352260462908821737e-01,9.931933041586928912e-01
3.750758114831012513e+00,7.243555686398729376e-01,9.906204758159433688e-01
3.629106316039332647e+00,7.062858321675347106e-01,9.867363538804218015e-01
3.515865523572725859e+00,6.907896051415115535e-01,9.809142400618767743e-01
3.414361246598476729e+00,6.798358655952103646e-01,9.724937617579964000e-01
3.318022735800122192e+00,6.720486638567558790e-01,9.607206765771786339e-01
3.211221786916397924e+00,6.693404451733585558e-01,9.446430931072263837e-01
3.077631735577453398e+00,6.697111680244067777e-01,9.231133679902771005e-01
2.908547818255679651e+00,6.709659909642539111e-01,8.948881597321524106e-01
2.704514863465891761e+00,6.649587505684052546e-01,8.588347435941415808e-01
2.472743578881098525e+00,6.533428244758915371e-01,8.143543358001960053e-01
2.225844306082308321e+00,6.354724592646260328e-01,7.621674777581658455e-01
1.977763426712512818e+00,6.053102054010022215e-01,7.046894692166528751e-01
1.743374107838314480e+00,5.692241211183385330e-01,6.459754341763559449e-01
1.538873898591168299e+00,5.337276124168203184e-01,5.912451465976314990e-01
1.370200771932602812e+00,4.931427454694270462e-01,5.442660146296528501e-01
1.229538018142669831e+00,4.633921467262973604e-01,5.059134624570531535e-01
1.105956874142905777e+00,4.451941158267029297e-01,4.755981728334522929e-01
9.963254121098955585e-01,4.348979833141724538e-01,4.527638155987731006e-01
9.061043484246649182e-01,4.299750846850639574e-01,4.370412019474628762e-01
8.396996570971723139e-01,4.266783441489349626e-01,4.263918009587259195e-01
7.935702819252787865e-01,4.215061455469272245e-01,4.167737592140409175e-01
7.617178477529307212e-01,4.130069134531642594e-01,4.056593720783631674e-01
7.394230772648593408e-01,4.008604038008833359e-01,3.932122381879700201e-01
7.212266429474837315e-01,3.877959749376552190e-01,3.805213182417519491e-01
7.025716785812432530e-01,3.751290172083677765e-01,3.684886906976291843e-01
6.823302304522236295e-01,3.636865452375833696e-01,3.576727990279841563e-01
6.609205811686468257e-01,3.534985130177082380e-01,3.480354259955906193e-01
6.389628541329438471e-01,3.441864921284389367e-01,3.390757746106990433e-01
6.173220423830269032e-01,3.350327943306136147e-01,3.303198617287626537e-01
5.956506304346376179e-01,3.256878151646753206e-01,3.213404834822079503e-01
5.734449789709760159e-01,3.160957682649732092e-01,3.121229024561631427e-01
5.517490662361438369e-01,3.069770888890711036e-01,3.033395415183887112e-01
5.323701427875183745e-01,2.990509312762450467e-01,2.956889632878463847e-01
5.176010647576815282e-01,2.926584265205539603e-01,2.895082360778198916e-01
5.085586291866384112e-01,2.876787929644060160e-01,2.846872341062381961e-01
5.043910829865851930e-01,2.838106408575959971e-01,2.809385439235754789e-01
5.045287126575040970e-01,2.811635209422271298e-01,2.783713064429648720e-01
5.079930295953833941e-01,2.796124402247148755e-01,2.768663338022097076e-01
5.123301542517499918e-01,2.780917227619303933e-01,2.753903238497201200e-01
5.148564924161105338e-01,2.750951525659636743e-01,2.724804174720067418e-01
5.131016194098685368e-01,2.693745339364216895e-01,2.669200355339541031e-01
5.064672931793767763e-01,2.608206317933809415e-01,2.585932522600539740e-01
4.971731961868030014e-01,2.507958542699846305e-01,2.488162038336128590e-01
4.881421533920596301e-01,2.413433387345924608e-01,2.395797160453980168e-01
4.815552423257318804e-01,2.343132419313302128e-01,2.326996322630313363e-01
4.778899918940574532e-01,2.303998779731666058e-01,2.288659503984442345e-01
4.758148892169575261e-01,2.287113998555820871e-01,2.272110231775560929e-01
4.737998384911373817e-01,2.275455780569079767e-01,2.260680780594033490e-01
4.709032011316915400e-01,2.253349380320674722e-01,2.239001740971923726e-01
4.672690630979581816e-01,2.215221408971383976e-01,2.201591291913475856e-01
4.637259938903938727e-01,2.166481804375447462e-01,2.153733430016353256e-01
4.607754856800193588e-01,2.116787804004549300e-01,2.104898310137296447e-01
4.587342837638389015e-01,2.075447346595067077e-01,2.064242159303685265e-01
4.574144016220103026e-01,2.046155810422308485e-01,2.035419204057486997e-01
4.563612603070681395e-01,2.027352741311422846e-01,2.016909918008192304e-01
4.554378560020742595e-01,2.015649403803983775e-01,2.006459406245007238e-01
4.544599805772123191e-01,2.008138472851090928e-01,2.001326928259056781e-01
4.532032166543695784e-01,2.004145634899494877e-01,1.999098914159893325e-01
4.515696979272246780e-01,2.003078665659628055e-01,1.998494350015909138e-01
4.497498518080462193e-01,2.004205240875944205e-01,1.998832609115789305e-01
4.479444404916386735e-01,2.004396025425172756e-01,1.998070087105534576e-01
4.461743125163156742e-01,1.999792353992788929e-01,1.992991687229206665e-01
4.444961615273732014e-01,1.989199198249655687e-01,1.981941971499238953e-01
4.429349609065994509e-01,1.972982097365034160e-01,1.965309875238995529e-01
4.416013314480756735e-01,1.953194815656736361e-01,1.945239337944244806e-01
4.404931838010049394e-01,1.932128804864285399e-01,1.924059684132601589e-01
4.394518369472611985e-01,1.911329651147302688e-01,1.903302162275777865e-01
4.383362612459580920e-01,1.891676661119510716e-01,1.883792854982439813e-01
4.371627461512549440e-01,1.874039768983998266e-01,1.866338916718658092e-01
4.361600555224351417e-01,1.859562327028479456e-01,1.852031280007692404e-01
4.354596834692614493e-01,1.848119781358100733e-01,1.840737500177294927e-01
4.349931106465824149e-01,1.838030630051690206e-01,1.830762332484063282e-01
4.345359318817257899e-01,1.826962599847092306e-01,1.819755278829227885e-01
4.339100305956674619e-01,1.813600574586790026e-01,1.806420611057989456e-01
4.331011464694074498e-01,1.798547665544602547e-01,1.791378164808646312e-01
4.322747067378580055e-01,1.783971356567902733e-01,1.776860202523837251e-01
4.315911645961772458e-01,1.771842604524696552e-01,1.764875696134693694e-01
4.310440496841518865e-01,1.762718275234821941e-01,1.755858583568984110e-01
4.305743322932052974e-01,1.756279813506985976e-01,1.749495110887785976e-01
4.301430828178727794e-01,1.752279586392461452e-01,1.745541197668349642e-01
4.297811920315942058e-01,1.750907371486183917e-01,1.744184821234415483e-01
4.295114912586707745e-01,1.752017081053230396e-01,1.745367071388571056e-01
4.292908229463050507e-01,1.754735365614444875e-01,1.748148389382661594e-01
4.290230418796111000e-01,1.757600463495566923e-01,1.751002798842968000e-01
4.286668017902355854e-01,1.759670786907939488e-01,1.752993617092311884e-01
4.282627043692035507e-01,1.761056596071376990e-01,1.754239096330499070e-01
4.278862685323562287e-01,1.762304439072548135e-01,1.755449583941045555e-01
4.275685268929735328e-01,1.764060166144561792e-01,1.757184776020774830e-01
4.272762415652269774e-01,1.766391901069439829e-01,1.759489175494711177e-01
4.269597728017301419e-01,1.769071449647089123e-01,1.762137221588684910e-01
4.266165725435324685e-01,1.772055525173219792e-01,1.765086101554731446e-01
4.262909585882878605e-01,1.775406567976225980e-01,1.768397478603504214e-01
4.260091035729922648e-01,1.778843613651154842e-01,1.771793684158544102e-01
4.257649184827443367e-01,1.781720567820598844e-01,1.774636331435964220e-01
4.255301526057252981e-01,1.783290359111537882e-01,1.776187356455818656e-01
4.252843264154293479e-01,1.783139641961723199e-01,1.776038442512830329e-01
4.250288392171368557e-01,1.781457384505635289e-01,1.774376291134159567e-01
4.247791964377689578e-01,1.778823892492955305e-01,1.771774197785959959e-01
4.245484174795829402e-01,1.775785664232004679e-01,1.768772078086260080e-01
4.243406408901724269e-01,1.772642033913384707e-01,1.765665678739261890e-01
4.241482777101697743e-01,1.769436005857628336e-01,1.762497484436407746e-01
4.239693999953385584e-01,1.766148564892331962e-01,1.759248695388715700e-01
4.238070844436888085e-01,1.762816113355407943e-01,1.755955277915014490e-01
4.236641607939860554e-01,1.759559431091263781e-01,1.752736599422447250e-01
4.235384859900531707e-01,1.756543197817645174e-01,1.749755438344761660e-01
4.234264384898523970e-01,1.753932284964836441e-01,1.747174787286491782e-01
4.233232841912714095e-01,1.751822623503490328e-01,1.745089511932541582e-01
4.232283622458575256e-01,1.750264059599950239e-01,1.743548926057026938e-01
4.231435344671731213e-01,1.749303745165233237e-01,1.742599672864747207e-01
4.230697460880262217e-01,1.748983111920569544e-01,1.742282730075714881e-01
4.230072604704465111e-01,1.749281925254871084e-01,1.742578104142348816e-01
4.229543315092288980e-01,1.750087886039943808e-01,1.743374782638948961e-01
4.229092710353267170e-01,1.751243170567865493e-01,1.744516746733639767e-01
4.228702576289883330e-01,1.752560035257893223e-01,1.745818406453117089e-01
4.228353607443954831e-01,1.753843005284855538e-01,1.747086540806359056e-01
4.228036043329765348e-01,1.754984795285538246e-01,1.748215109348232876e-01
4.227749237076915412e-01,1.756021639289510883e-01,1.749239932162769962e-01
4.227491364841788890e-01,1.757048802333356086e-01,1.750255172207219601e-01
4.227256688655666172e-01,1.758101412218573412e-01,1.751295549195671930e-01
4.227025976422735809e-01,1.759131794601946908e-01,1.752313942757044440e-01
4.226786273654494774e-01,1.760060588181063534e-01,1.753231917450119859e-01
4.226535100632283215e-01,1.760796753036946161e-01,1.753959499079070228e-01
4.226269934026933850e-01,1.761261145425993546e-01,1.754418473234918840e-01
4.225988831589191363e-01,1.761428263962464269e-01,1.754583641237714153e-01
4.225689735861078988e-01,1.761308724095429212e-01,1.754465496624947052e-01
4.225372233312500447e-01,1.760900893693718439e-01,1.754062424938642450e-01
4.225036517945824910e-01,1.760191979905692539e-01,1.753361777756461681e-01
4.224684580142163970e-01,1.759183711550882934e-01,1.752365255263049204e-01
4.224316978764290909e-01,1.757871445845550495e-01,1.751068256629912667e-01
4.223929276721840043e-01,1.756231459659768901e-01,1.749447318138212248e-01
4.223518728103093367e-01,1.754270023043039139e-01,1.747508615895440043e-01
4.223088677999985441e-01,1.752049661115971935e-01,1.745313927987419134e-01
4.222644243792406660e-01,1.749660162285362752e-01,1.742951986067447778e-01
4.222190194419571663e-01,1.747201841288571200e-01,1.740521936978215167e-01
4.221730385357346238e-01,1.744775318587314383e-01,1.738123242327842821e-01
4.221266203017423613e-01,1.742448368481179788e-01,1.735822905510046588e-01
4.220799509288513662e-01,1.740249560403168416e-01,1.733649179722572264e-01
4.220330107494326688e-01,1.738201351597627453e-01,1.731624278157954944e-01
4.219855496506618175e-01,1.736320961524834561e-01,1.729765237202203765e-01
4.219372492123236729e-01,1.734586078069286497e-01,1.728050009747410520e-01
4.218881742868664242e-01,1.732944545930874269e-01,1.726427039670942465e-01
4.218384706125101191e-01,1.731351578746464226e-01,1.724852051692460642e-01
4.217880890153579143e-01,1.729783487901665751e-01,1.723301626898693928e-01
4.217369099485415718e-01,1.728240847715372952e-01,1.721776334713570056e-01
4.216848055825905273e-01,1.726741340776800082e-01,1.720293660964855587e-01
4.216316524270177224e-01,1.725284822748191782e-01,1.718853465486288312e-01
4.215772729203286495e-01,1.723835637416850364e-01,1.717420493116670610e-01
4.215214241821012564e-01,1.722354934638711255e-01,1.715956327686777028e-01
4.214639287300535608e-01,1.720827286360291641e-01,1.714445711203788358e-01
4.214046205769841347e-01,1.719251257410073230e-01,1.712887221685283068e-01
4.213433037019715388e-01,1.717631308224325248e-01,1.711285267128142551e-01
4.212797908309388051e-01,1.715971327526651102e-01,1.709643690448399700e-01
4.212139687932836551e-01,1.714259993761094447e-01,1.707951292691558265e-01
4.211457105651293387e-01,1.712476040840586744e-01,1.706187038983931481e-01
4.210748737278932063e-01,1.710603138077691487e-01,1.704334773405799530e-01
4.210012753444304368e-01,1.708621106231364983e-01,1.702374531905667676e-01
4.209247228796507700e-01,1.706503801274692200e-01,1.700280448528025123e-01
4.208450307393019063e-01,1.704237764286622436e-01,1.698039200389445391e-01
4.207620094101403585e-01,1.701822850879011473e-01,1.695650631753077842e-01
4.206754765419272180e-01,1.699263700988438985e-01,1.693119318409853080e-01
4.205852250399169101e-01,1.696575606540826342e-01,1.690460372649970067e-01
4.204910100375822690e-01,1.693779374278575334e-01,1.687694363527359187e-01
4.203925571762970881e-01,1.690887561869065803e-01,1.684833702233347608e-01
4.202895960424028465e-01,1.687906056591242654e-01,1.681884202557839825e-01
4.201818035499740311e-01,1.684831742963338319e-01,1.678842772258544447e-01
4.200688076661392434e-01,1.681646822245366213e-01,1.675691791239117823e-01
4.199502165506762141e-01,1.678330972903805951e-01,1.672411140083657766e-01
4.198256135958966517e-01,1.674869249130155058e-01,1.668986014439861609e-01
4.196945131046469490e-01,1.671246240474949796e-01,1.665401146896186568e-01
4.195563378671052779e-01,1.667446061359862675e-01,1.661640796225692385e-01
4.194104634119550368e-01,1.663448459367164456e-01,1.657684895754421850e-01
4.192562305688956603e-01,1.659225156331107787e-01,1.653505430845759461e-01
4.190929160655175734e-01,1.654753160172321991e-01,1.649079610929451989e-01
4.189196973990285677e-01,1.650017044985457593e-01,1.644392127025565975e-01
4.187356498468214339e-01,1.644996288649251959e-01,1.639422619895546662e-01
4.185397395245650243e-01,1.639666294582573514e-01,1.634146689332749980e-01
4.183308112705532711e-01,1.633999660909731810e-01,1.628537148499170639e-01
4.181075666390458023e-01,1.627962992419794419e-01,1.622560865754407722e-01
4.178685455464671294e-01,1.621523085141439446e-01,1.616184884682831668e-01
4.176120978139744033e-01,1.614642524331868501e-01,1.609372063925432472e-01
4.173363569396306705e-01,1.607270884281588319e-01,1.602072359113971556e-01
4.170392115695795709e-01,1.599353480149280360e-01,1.594231482524509358e-01
4.167182618659051041e-01,1.590836172534062787e-01,1.585795657026046468e-01
4.163707664645640572e-01,1.581661188377333771e-01,1.576707473363463397e-01
4.159935960372886377e-01,1.571765867309797560e-01,1.566904642618467125e-01
4.155831727145652965e-01,1.561077200377350149e-01,1.556314578018586914e-01
4.151354016029504823e-01,1.549510396202231077e-01,1.544852962553521780e-01
4.146455903657392805e-01,1.536970106894658128e-01,1.532424949755369359e-01
4.141083605200997497e-01,1.523344600936694382e-01,1.518919371986666711e-01
4.135175521633752682e-01,1.508506278737857254e-01,1.504209229062729858e-01
4.128661175273972139e-01,1.492311348108146529e-01,1.488151340878688667e-01
4.121460141254555953e-01,1.474593027472174966e-01,1.470579576511617248e-01
4.113481076319934204e-01,1.455161878753005733e-01,1.451305143349325977e-01
4.104620903174612812e-01,1.433802537155684509e-01,1.430113295220907799e-01
4.094764331484289643e-01,1.410269601080684221e-01,1.406759195464984125e-01
4.083784010919929708e-01,1.384291376605298884e-01,1.380971563543708924e-01
4.071541757371044956e-01,1.355566598090093278e-01,1.352449343822615668e-01
4.057891400658026893e-01,1.323763672657908286e-01,1.320860867940038819e-01
4.042683979740311351e-01,1.288528708419243995e-01,1.285851737354267998e-01
4.025776084824042034e-01,1.249350953495540900e-01,1.247050536966419210e-01
4.007042272779398617e-01,1.205930085119360923e-01,1.204080747315454669e-01
3.986392269131128763e-01,1.157968786553563445e-01,1.156581578295680923e-01
3.963792968130923078e-01,1.105159616320773724e-01,1.104238128971060939e-01
3.939293924922385726e-01,1.047290730273716663e-01,1.046825656051791203e-01
3.913053096324067281e-01,9.843009838509074461e-02,9.842643894451472142e-02
3.885356697963537886e-01,9.163447428725009225e-02,9.166829657758999994e-02
3.856624391390384154e-01,8.438603781360702605e-02,8.444832068684472726e-02
3.827390478943925589e-01,7.676237159881098282e-02,7.683923006044224291e-02
3.798255799492049056e-01,6.887766526260211131e-02,6.894840541198346551e-02
3.769816763840247442e-01,6.087997871416870460e-02,6.091418687917390939e-02
3.742595412043853154e-01,5.291402208784647815e-02,5.289549964110683289e-02
3.717009001701239157e-01,4.506915743195189644e-02,4.505771275666865111e-02
3.693413018481976895e-01,3.756879238931692261e-02,3.756216366382294364e-02
3.672213839332889584e-01,3.058074114606717034e-02,3.057716611829871742e-02
3.653986959931334599e-01,2.433394494639365413e-02,2.433214373928391586e-02
3.639493951002922834e-01,1.923448670107797548e-02,1.923359716852347454e-02
3.629515433955661230e-01,1.597529472399185010e-02,1.597478508390440949e-02
3.624519158864339952e-01,1.520528191209686436e-02,1.520484247196073578e-02
3.624311594071116249e-01,1.658679402794430505e-02,1.658622359468943028e-02
3.627885978360787522e-01,1.890390458002996071e-02,1.890306012941331618e-02
3.633606083344382287e-01,2.110581128081109176e-02,2.110463603624300466e-02
