cost,L2,trace
1.224335795237886515e+01,8.623975586977179475e-01,9.997071007261979503e-01
1.086480902780352054e+01,8.660983513599155303e-01,9.995034050058640984e-01
9.686419121479762140e+00,8.626810695717167521e-01,9.996446495469309967e-01
8.824492071239697921e+00,8.586537758050436508e-01,9.999049080573992887e-01
8.212446105687661202e+00,8.546515707455807354e-01,9.999992907509480666e-01
7.717114417268946092e+00,8.491735897271039946e-01,9.999377309485460996e-01
7.238989218096145706e+00,8.504857150216119654e-01,9.998967725461721523e-01
6.777894804381261906e+00,8.565574024559650113e-01,9.999281928343488612e-01
6.369988890227763711e+00,8.593154496276671495e-01,9.999798891152839042e-01
6.045606717640556127e+00,8.603363236615231280e-01,9.999998986666794876e-01
5.814863412579662771e+00,8.621033738039558525e-01,9.999950453961727881e-01
5.655549359694876266e+00,8.666374828938673280e-01,9.999955821440078552e-01
5.521505593065691997e+00,8.745514882963735248e-01,9.999995136162903586e-01
5.375215055326386882e+00,8.793900457278741589e-01,9.999684939711789289e-01
5.207966991802883250e+00,8.855567466028669843e-01,9.998524029933923973e-01
5.033274478559465415e+00,8.951207318581506645e-01,9.996035742040254579e-01
4.866952142822828620e+00,9.053522392280539677e-01,9.991790067057583213e-01
4.717321768891763689e+00,9.131592649325617206e-01,9.985428093512555003e-01
4.582818894605821924e+00,9.194488269963476679e-01,9.976927315480096370e-01
4.456241746028272388e+00,9.252518662865450993e-01,9.966385845186140902e-01
4.329948339039327188e+00,9.270566871520840024e-01,9.954264390607818758e-01
4.200315986625913212e+00,9.254412676859204989e-01,9.940745053611935722e-01
4.067804402683996123e+00,9.207709208853407379e-01,9.925418145374301782e-01
3.932374215596674993e+00,9.133083228191692937e-01,9.907616245665812338e-01
3.792148120169514414e+00,9.036373253272348416e-01,9.886424604050495502e-01
3.645664693518091859e+00,8.907446377925520853e-01,9.860886954992081899e-01
3.493739191705741653e+00,8.744642771007979931e-01,9.829087961821562081e-01
3.338627505974394172e+00,8.555939289706677719e-01,9.788977251179301620e-01
3.181121066113544060e+00,8.339814768942441781e-01,9.737608356560815137e-01
3.018347121524386445e+00,8.087136043021896370e-01,9.672154969007773495e-01
2.843689914931375462e+00,7.834363634967177470e-01,9.589387708859435921e-01
2.653926750303639448e+00,7.587548331796066803e-01,9.487800248308077000e-01
2.457172182307739039e+00,7.352788206952920458e-01,9.367866470615926477e-01
2.268959702714294480e+00,7.139822464638586608e-01,9.234430061383456234e-01
2.099699651418993618e+00,6.931937001983017321e-01,9.093806758011513391e-01
1.945759323730438695e+00,6.714440290738235007e-01,8.951164206690775949e-01
1.794300166450948142e+00,6.555318753584009617e-01,8.809070842208273078e-01
1.639112581358255216e+00,6.479207467985458324e-01,8.664475037177838956e-01
1.489879400681118682e+00,6.423797546755407595e-01,8.511815775973591292e-01
1.364101053468859348e+00,6.384543664881763281e-01,8.341945453972007263e-01
1.269426037094893100e+00,6.408885172108622630e-01,8.147191682776611099e-01
1.197991450422605686e+00,6.455398255514331884e-01,7.926950061284030458e-01
1.133953076066732235e+00,6.477033268102647678e-01,7.687609388911068597e-01
1.067120968608146203e+00,6.330297257156797253e-01,7.441110219665881820e-01
9.967863820703736222e-01,6.139277653457569928e-01,7.202269861113121951e-01
9.266921510335337508e-01,5.948836415992244664e-01,6.979870896301033634e-01
8.601279894561932871e-01,5.790311026622811941e-01,6.777295875118330981e-01
7.982631998735643108e-01,5.602451465765189154e-01,6.592778571989287295e-01
7.430668974642806734e-01,5.442535614076241535e-01,6.424977852677515866e-01
6.966580515631355386e-01,5.315253776188997303e-01,6.271239096947031078e-01
6.584390659181280636e-01,5.208473878819135372e-01,6.127216220374037681e-01
6.238421046741522424e-01,5.117596788100722272e-01,5.986102892249227647e-01
5.869132814604283155e-01,5.032519571925395674e-01,5.842710686863366032e-01
5.464311565953987593e-01,4.947865187279290589e-01,5.697697559473806628e-01
5.053134511309557153e-01,4.867255170064894720e-01,5.554699788285991646e-01
4.659142442992123545e-01,4.792487531882114182e-01,5.417330509649904702e-01
4.280092887397817791e-01,4.726528919680524354e-01,5.284773587132445272e-01
3.923640576928403845e-01,4.659484005234283965e-01,5.153405439299587609e-01
3.618044602090861872e-01,4.576289770167654702e-01,5.013647080269506562e-01
3.378662540087602473e-01,4.494923022651905464e-01,4.859053609209971758e-01
3.182238422082457330e-01,4.401168108929775502e-01,4.687654462514853626e-01
2.997200909827828497e-01,4.306272779636224346e-01,4.504715254137650615e-01
2.821917583029894816e-01,4.204661806290292958e-01,4.319677535676409996e-01
2.674490407632363342e-01,4.112015525615034250e-01,4.142721448268417705e-01
2.559544098818884450e-01,4.007710701150734578e-01,3.979136539939206463e-01
2.466444912904472986e-01,3.898127654660701324e-01,3.831662565222052619e-01
2.388912907779413564e-01,3.768782942309563677e-01,3.701489135520096840e-01
2.326707522253664284e-01,3.637705709227131989e-01,3.577027891123482628e-01
2.275807393993736216e-01,3.510921334606814659e-01,3.456401001486088531e-01
2.217996416684456240e-01,3.380555679818273984e-01,3.331913832949989773e-01
2.145752529051016821e-01,3.237728020011519936e-01,3.195020446829449634e-01
2.066461481525601052e-01,3.077849776124327863e-01,3.041185193179594681e-01
1.990625184713636087e-01,2.898912132541684450e-01,2.868298532743098761e-01
1.918854227681188740e-01,2.704001999642061671e-01,2.679174704530821183e-01
1.847207611506309632e-01,2.499301897966313968e-01,2.479710216928686373e-01
1.778837411722222206e-01,2.288943106456321763e-01,2.273903233859926598e-01
1.723204821609056192e-01,2.083348092377279859e-01,2.072014216041504486e-01
1.684223363108393046e-01,1.891477830305306751e-01,1.882999932854478864e-01
1.657363235365825194e-01,1.719915719093556006e-01,1.713544292587683426e-01
1.635881283981751866e-01,1.577821109546573008e-01,1.572903425501563923e-01
1.615317010737378767e-01,1.467856877432054397e-01,1.463898226876148845e-01
1.594479741440847642e-01,1.393269574988253157e-01,1.389884694474322335e-01
1.572267022042963536e-01,1.355717450567744675e-01,1.352599154685704685e-01
1.550937600173289410e-01,1.356468349844179855e-01,1.353344865655058404e-01
1.532865400872907846e-01,1.390984921024360499e-01,1.387616678027002726e-01
1.517628924682534741e-01,1.446655121721089898e-01,1.442865688852033590e-01
1.502545865571434935e-01,1.508945386021415258e-01,1.504644579225055123e-01
1.486074005767282769e-01,1.566679851295305903e-01,1.561865713060232308e-01
1.467507829785502094e-01,1.614713382459542212e-01,1.609442227387097024e-01
1.447095981067922643e-01,1.651461692155794525e-01,1.645821969926193340e-01
1.425109692713946719e-01,1.676253343030714160e-01,1.670355493570576388e-01
