cost,L2,trace
1.224335795237886515e+01,8.623975586977179475e-01,9.997071007261979503e-01
1.083343241329208340e+01,8.611883784974749823e-01,9.995572392474718626e-01
9.634715245933740846e+00,8.585211951858229273e-01,9.997135882289849285e-01
8.779282227336597799e+00,8.542313880314513774e-01,9.999479175300302058e-01
8.194522655471525141e+00,8.475754959880263950e-01,9.999932087475477127e-01
7.730278772268423637e+00,8.414244277205078504e-01,9.999339553906407829e-01
7.282740192893899511e+00,8.411827205981760036e-01,9.999160399023393486e-01
6.847161190344780657e+00,8.450119704863180425e-01,9.999593343604277207e-01
6.455708993816469565e+00,8.454626332657675380e-01,9.999954540512318024e-01
6.140282237724909997e+00,8.439081361683393734e-01,9.999948695466568394e-01
5.906859171257003993e+00,8.455383445945562348e-01,9.999726456781727890e-01
5.728714221075039248e+00,8.462972265730716037e-01,9.999624147513890282e-01
5.566285795408916215e+00,8.492961706784584175e-01,9.999761614421259770e-01
5.392855422785485686e+00,8.543896507188835088e-01,9.999965548379834424e-01
5.205731006380333703e+00,8.554399287391168949e-01,9.999942685198972558e-01
5.015613481743860902e+00,8.558027062091013715e-01,9.999443076504359595e-01
4.831940564489586976e+00,8.541509105065093754e-01,9.998289928214808553e-01
4.657852732275614471e+00,8.519725083595109938e-01,9.996356243896614702e-01
4.492034472518679600e+00,8.489222831471092690e-01,9.993701329528325017e-01
4.333678692879834315e+00,8.448426115780388601e-01,9.990414380547322226e-01
4.184322978871638732e+00,8.417281800590781238e-01,9.986700269657977636e-01
4.049905787965076165e+00,8.372612002661673491e-01,9.982561473179426548e-01
3.935212628820439651e+00,8.331965110436807542e-01,9.978795238205163676e-01
3.839494084409874830e+00,8.291219062498526027e-01,9.975550500921650521e-01
3.756866566716266398e+00,8.268710598733751693e-01,9.973228843708800140e-01
3.680282633615317156e+00,8.251447702627002778e-01,9.971795855131342368e-01
3.606184951314276965e+00,8.250137971657175440e-01,9.970983809054334568e-01
3.533741393189012037e+00,8.237157058393549391e-01,9.969942070606307993e-01
3.466946634458222931e+00,8.210471386011090056e-01,9.967981539806527458e-01
3.406774904242217517e+00,8.190006875059038238e-01,9.964132581106879272e-01
3.351753609832477387e+00,8.174091613325883410e-01,9.958314144065943951e-01
3.297246376466874906e+00,8.170358989136587979e-01,9.950386979226111261e-01
3.238744407812783166e+00,8.195403950418678196e-01,9.939928205668021599e-01
3.174664800929071440e+00,8.225497183813513802e-01,9.926464553140833535e-01
3.105910979403962990e+00,8.241283362137947766e-01,9.909281213998044624e-01
3.032239756426673427e+00,8.230672983601660109e-01,9.886890649132777931e-01
2.950937597333216367e+00,8.189964605202406656e-01,9.857800860285397260e-01
2.858174615650440842e+00,8.118031352673567014e-01,9.819503501670096002e-01
2.751913494944206562e+00,8.021693945310549578e-01,9.769647494653436182e-01
2.634488501879110878e+00,7.923855878857450907e-01,9.707135755934800381e-01
2.509767244902068040e+00,7.847351626427937488e-01,9.630673838342599380e-01
2.379481251081248416e+00,7.811570881595897298e-01,9.538342964169207461e-01
2.242167279542218061e+00,7.795983425365572428e-01,9.428431806936002912e-01
2.096479910749466491e+00,7.806675654717403212e-01,9.299137968589821224e-01
1.942786496870854807e+00,7.820626932000767084e-01,9.147784427119634021e-01
1.788288016609423714e+00,7.814604396682088838e-01,8.971557474730026405e-01
1.643568872757210642e+00,7.795866138390883382e-01,8.767358670163589718e-01
1.514754699995503939e+00,7.774570790829349320e-01,8.543378159519116055e-01
1.399750586071403680e+00,7.719418613742361490e-01,8.309249403085289254e-01
1.290285969142403788e+00,7.595711762099628395e-01,8.075385883959864675e-01
1.179940782050509007e+00,7.424673523539608855e-01,7.842609991267033287e-01
