cost,L2,trace
1.224335795237886515e+01,8.623975586977179475e-01,9.997071007261979503e-01
1.083703580671163813e+01,8.611235937315269151e-01,9.996369651347131180e-01
9.643400087059010417e+00,8.597218919104359092e-01,9.997915007018605138e-01
8.781624411133867270e+00,8.558935966889027469e-01,9.999508135397293662e-01
8.184215112165425410e+00,8.498455448283662728e-01,9.999993449506034970e-01
7.708442491870533431e+00,8.442019629091892519e-01,9.999692968724019915e-01
7.248240187575311744e+00,8.449916735343346863e-01,9.999648626623940384e-01
6.799078626858905849e+00,8.445690470292206431e-01,9.999909975275665941e-01
6.397545969745937811e+00,8.427198661643184874e-01,9.999974296858471501e-01
6.076431498410854282e+00,8.441855806482219116e-01,9.999612845141652162e-01
5.845043434817313255e+00,8.441185387027897447e-01,9.999059335976889784e-01
5.676254019868776979e+00,8.464671938544707785e-01,9.998709340691769309e-01
5.521970186859582519e+00,8.513257740225544934e-01,9.998821287222826593e-01
5.349204133968771480e+00,8.518013048055220748e-01,9.999344643259293619e-01
5.155305346697735658e+00,8.509472644006772502e-01,9.999903560030753980e-01
4.955835409247294265e+00,8.448300663018628587e-01,9.999841424272680745e-01
4.765549967286586863e+00,8.405594555871602758e-01,9.998364546330796854e-01
4.590380049162327225e+00,8.357367277984850684e-01,9.994872060749784293e-01
4.429436810323157836e+00,8.295626032545442285e-01,9.989245381331472995e-01
4.280142619002733184e+00,8.227953752005773280e-01,9.981965109480153142e-01
4.142083144117240323e+00,8.169123097658527177e-01,9.974116266392201169e-01
4.017079313518915562e+00,8.136879194954977912e-01,9.967227401082345839e-01
3.906267791490054542e+00,8.120253192632339578e-01,9.962803645419667786e-01
3.806607148265868545e+00,8.086003744982905861e-01,9.961676871318058124e-01
3.710563564292733929e+00,8.026965541190449471e-01,9.963613524197747484e-01
3.610910091211612993e+00,7.971544135296851907e-01,9.967529350973479696e-01
3.506283301314955914e+00,7.925257008313483231e-01,9.972080366126919726e-01
3.401962048945205375e+00,7.892201588361297260e-01,9.976154178054702504e-01
3.305763385371486507e+00,7.878344268973823672e-01,9.979099162349588381e-01
3.222932414450989214e+00,7.878396520259941527e-01,9.980707801178101413e-01
3.153077105207471309e+00,7.876718179188143543e-01,9.981044064976928309e-01
