cost,L2,trace
1.304870412815586533e+01,8.356928689916609532e-01,9.996770012578982678e-01
1.171451334107615239e+01,8.378145270977379599e-01,9.994370241017370704e-01
1.055076757334843762e+01,8.371378640054039089e-01,9.989056641297028305e-01
9.596312191216030740e+00,8.294233011388956189e-01,9.980618629781150553e-01
8.803949213519926431e+00,8.228367543928906125e-01,9.968472539109770603e-01
8.096917254563024358e+00,8.208223280212733064e-01,9.952690606668704865e-01
7.426639789685057558e+00,8.297359912866629772e-01,9.933352290888797231e-01
6.791205098103862525e+00,8.360619864222580411e-01,9.909839756082394757e-01
6.220579686805022490e+00,8.338745669364650004e-01,9.883797240349390112e-01
5.759024535243558951e+00,8.337925700121924244e-01,9.856824666341627017e-01
5.425443088810979475e+00,8.316040646070151920e-01,9.833045080878348720e-01
5.189782321043827196e+00,8.314857183634065674e-01,9.815481468577833546e-01
4.994736982599095043e+00,8.343394641171375525e-01,9.805617827710959578e-01
4.801579195996842131e+00,8.355784137436899073e-01,9.803244085626484638e-01
4.602099948775542515e+00,8.331394902054132245e-01,9.805880164341250760e-01
4.408008107714351809e+00,8.336438179991305653e-01,9.810092210982336303e-01
4.229914367023186017e+00,8.368829678279569029e-01,9.810624640000740193e-01
4.068703265726266949e+00,8.358939841290906614e-01,9.806251760843409659e-01
3.917237389313874996e+00,8.339457128472429481e-01,9.795798177236636484e-01
3.768371984075451042e+00,8.329820893197702469e-01,9.778472950417375076e-01
3.620438180160626018e+00,8.322184844492773736e-01,9.755120651907375207e-01
3.475518849012838807e+00,8.323319067710845953e-01,9.727170303558340114e-01
3.332778309870487288e+00,8.289743084687435370e-01,9.695873432916715107e-01
3.190990894756827512e+00,8.232587769670930422e-01,9.663391562985017558e-01
3.050557420693902788e+00,8.170199243231892616e-01,9.632571160754616058e-01
2.915955531180938642e+00,8.088674615962392345e-01,9.606539954610953114e-01
2.790367176125796433e+00,7.976858976609925156e-01,9.586180831158048754e-01
2.672707951167764051e+00,7.875722428876443804e-01,9.572762864252304382e-01
2.555878275997945703e+00,7.809781162457896109e-01,9.565160258430930318e-01
2.433442926545572149e+00,7.762466240077705582e-01,9.566483078162151266e-01
2.304037288184270782e+00,7.717859825247754824e-01,9.577021627860823338e-01
2.172468498052826824e+00,7.657506884712232953e-01,9.593239600697279768e-01
2.045435343678178253e+00,7.567643946250174336e-01,9.613306105541872260e-01
1.929322358315054053e+00,7.464353214158860883e-01,9.633463370352897126e-01
1.829083807774739334e+00,7.392620137118839363e-01,9.649105053779829522e-01
1.744353824153901389e+00,7.366464979250897382e-01,9.658890153565764525e-01
1.669913835434292615e+00,7.377735842546303546e-01,9.662375369417219861e-01
1.596900906319797420e+00,7.399909409291217655e-01,9.660789738173930497e-01
1.517582367132558563e+00,7.420953885042632647e-01,9.656806390391470263e-01
1.428313744806028129e+00,7.418105264112291319e-01,9.653809280692389194e-01
1.332707630628664930e+00,7.379533699359545063e-01,9.650594819861566531e-01
1.241676717150174358e+00,7.309184348001833698e-01,9.647595892191812572e-01
1.161728873267522388e+00,7.218905759621002671e-01,9.643992785984836225e-01
1.090983170020692228e+00,7.102314888672270898e-01,9.636310330336713692e-01
1.023538766191625760e+00,7.004850654036187674e-01,9.621366267058415467e-01
9.551087642793423260e-01,6.962551233641227633e-01,9.598826442380933299e-01
8.864925775676028019e-01,6.974578395429310573e-01,9.567612943664537406e-01
8.207788107691369461e-01,7.035251586935249435e-01,9.528108710437389606e-01
7.608839291854603282e-01,7.135303768749753361e-01,9.481631647914980920e-01
7.064416134430031580e-01,7.237321247225093623e-01,9.434139114450670327e-01
6.569077711928058561e-01,7.308464441326751881e-01,9.387028461941754331e-01
6.135376543690482798e-01,7.347131814991272325e-01,9.341660012986515715e-01
5.753071785488846901e-01,7.354108245408981226e-01,9.294954721003079179e-01
5.385529542715723483e-01,7.321321374139427851e-01,9.251776816012620142e-01
5.021554031463920653e-01,7.219591601052761654e-01,9.212463645795015976e-01
4.701150529742998407e-01,7.072233467684587715e-01,9.173655816120501738e-01
4.492600040619655344e-01,6.927781531245524871e-01,9.132198148851981001e-01
4.399540112750864318e-01,6.798092454173079169e-01,9.091029910635451960e-01
4.373498113157439082e-01,6.689835911996599993e-01,9.043837947493351681e-01
4.352702995161922828e-01,6.608675857333204950e-01,8.993479079534789644e-01
4.302797383332410686e-01,6.550922649740172909e-01,8.938013595268439193e-01
4.223008906873901847e-01,6.492362539591143289e-01,8.878838723189160786e-01
4.144541845257340151e-01,6.404789414128005953e-01,8.821117692993730719e-01
4.099128578572248660e-01,6.316434888536952563e-01,8.769017294965786302e-01
4.080114889689172575e-01,6.240444965452927040e-01,8.728027366472265181e-01
4.057835414542707575e-01,6.183100106142782604e-01,8.700103371182901224e-01
4.015217107722593437e-01,6.154672795287798870e-01,8.684594410290132904e-01
3.957922233869910489e-01,6.151136430074890526e-01,8.683074856812029729e-01
3.902892265338945843e-01,6.165593658067606286e-01,8.693965028694115027e-01
3.861216704022544244e-01,6.188887214578150386e-01,8.712137670689323876e-01
3.827189018236322182e-01,6.214729116512315299e-01,8.732306421216116110e-01
3.794223408085258820e-01,6.237030765475101157e-01,8.750765174651700118e-01
3.762377652390512806e-01,6.238032523706357191e-01,8.764432304516894812e-01
3.729606871715500649e-01,6.216054233081744762e-01,8.770457935143660677e-01
3.694897372987932527e-01,6.178230049355557529e-01,8.767468500509486562e-01
3.663285844924033530e-01,6.128654522064229671e-01,8.755494594697889044e-01
3.636715878593812512e-01,6.072941254976653713e-01,8.737319376724328457e-01
3.611632381925664603e-01,6.015391277435565565e-01,8.718721830751852142e-01
3.583257646110453720e-01,5.958799388744773218e-01,8.697405165931243465e-01
3.556758355667576366e-01,5.914676370289529972e-01,8.674839045194367992e-01
3.533287079832548860e-01,5.884183201717521072e-01,8.647806145381944365e-01
3.512224678966627267e-01,5.866887836395328071e-01,8.614423479122275129e-01
3.494341324237295598e-01,5.857003764149906200e-01,8.575290682455812830e-01
3.479793202526261786e-01,5.851768414019949960e-01,8.531033185535886743e-01
3.464543757928106871e-01,5.848072034943491149e-01,8.480496881556640609e-01
3.447016070885961514e-01,5.850002540566506815e-01,8.424328151256486041e-01
3.428283770599922509e-01,5.862096675558565728e-01,8.364269893079063767e-01
3.410226582528643746e-01,5.886581638188940202e-01,8.303414536931102985e-01
3.389258364987564054e-01,5.921471785801517562e-01,8.243562231906470528e-01
3.365006509354265818e-01,5.966391775969671629e-01,8.186978762666720089e-01
3.343536002931429829e-01,6.023003166963339927e-01,8.132537599051725685e-01
3.330650259844143979e-01,6.088231413988828278e-01,8.079915882334396393e-01
3.324905146527966648e-01,6.160920831960849942e-01,8.031532204924463070e-01
3.323086371904392378e-01,6.238013465926225409e-01,7.988388330584822450e-01
3.322562435874479858e-01,6.316503579023554638e-01,7.953129572030337435e-01
3.321920347731733281e-01,6.391431114185865958e-01,7.924857042197598345e-01
3.319169664931969632e-01,6.469589954400174481e-01,7.901110708656076120e-01
3.315977207589475562e-01,6.549645735372479072e-01,7.883481780518182269e-01
3.315409675752334362e-01,6.627424029702831954e-01,7.869278401824413294e-01
3.315950393885050973e-01,6.694940631728646396e-01,7.854796538318474797e-01
3.314992193304987511e-01,6.750845609914328804e-01,7.840221039938581882e-01
3.309692736616129949e-01,6.798339085168797480e-01,7.825295778962149118e-01
3.304172784597773083e-01,6.836065829838859909e-01,7.810441970529510280e-01
3.299373065699410801e-01,6.860389391056370689e-01,7.795687323643564204e-01
3.294580624743008168e-01,6.881612453606608115e-01,7.782744483167924887e-01
3.289901601504355289e-01,6.898298615749264284e-01,7.772934835625031624e-01
3.287572322058062158e-01,6.917549206791047123e-01,7.767604635572220584e-01
3.286570433347172360e-01,6.934617816873255292e-01,7.764958378479848156e-01
3.286262354659443274e-01,6.942795420253442540e-01,7.764076098085469502e-01
3.287215744979539167e-01,6.947215068526132464e-01,7.764073566806070081e-01
3.287085688319201782e-01,6.939860367332053581e-01,7.762998104493439300e-01
3.283760211660495809e-01,6.925278530903299368e-01,7.760740211782918285e-01
3.278544656770380206e-01,6.912245762899412727e-01,7.758165846858396941e-01
3.273570285226241605e-01,6.909323617715203980e-01,7.756721434960666128e-01
3.269998034683657684e-01,6.910712969230631275e-01,7.755955952582297419e-01
3.266377455822484510e-01,6.919833277652278625e-01,7.756580262688876903e-01
3.262395661265731217e-01,6.933696341444454125e-01,7.757738523960101551e-01
3.257938556444111566e-01,6.947854306231796562e-01,7.759745692887340951e-01
3.252333603390340500e-01,6.961700494616507306e-01,7.762796914686438399e-01
3.248214932174061653e-01,6.971837860347042115e-01,7.766249193949995577e-01
3.243051618529769753e-01,6.984187019327272594e-01,7.770395529667160073e-01
3.235455032982884616e-01,7.000461731539506793e-01,7.775241710433178355e-01
3.226983546238834100e-01,7.020114808644863924e-01,7.782016799181271649e-01
3.218203559136172398e-01,7.044468350238606291e-01,7.788733804417452555e-01
3.209878451175697811e-01,7.076208461835324925e-01,7.797090877498653594e-01
3.203202455380378955e-01,7.106991640351668638e-01,7.804673062638429748e-01
3.196534691880670298e-01,7.137321413451833685e-01,7.811830958504449862e-01
3.187180175110913005e-01,7.162759035563901477e-01,7.816672720366204530e-01
3.176373070844275559e-01,7.184514657435769891e-01,7.818816578124477834e-01
3.165327930850484472e-01,7.202594218319796626e-01,7.818966187328991735e-01
3.153546751272630067e-01,7.220337092956317093e-01,7.818917271941248082e-01
3.141892954794620607e-01,7.242462707725110249e-01,7.819772471280981296e-01
3.130028333329074042e-01,7.264467530004354856e-01,7.820413204336573720e-01
3.117113367297538185e-01,7.285934983020070366e-01,7.821884293056713400e-01
3.102737135615989406e-01,7.301257677270744928e-01,7.823886514126391356e-01
3.086026917884036602e-01,7.316368828310672034e-01,7.829021714113642005e-01
3.069499931359385703e-01,7.327693570485431795e-01,7.834705110899810032e-01
3.054533066247374085e-01,7.337036936225933559e-01,7.840587909408792688e-01
3.039924370877148396e-01,7.346328415768519360e-01,7.845580644844155627e-01
3.022987061995141556e-01,7.353164006593073676e-01,7.848456436557198490e-01
3.004057200213092749e-01,7.355430518768800718e-01,7.848774320410736305e-01
2.985368962880932120e-01,7.353497411616529700e-01,7.847418083144687140e-01
2.968341128892916791e-01,7.351472868876777200e-01,7.845884411446556461e-01
2.951164066975195399e-01,7.344690799628412758e-01,7.842878534703071614e-01
2.932773059051277387e-01,7.337586537328101288e-01,7.839207261939576954e-01
2.915907034520786589e-01,7.325197638997763550e-01,7.833679570215795751e-01
2.902823637876592588e-01,7.308730105042756664e-01,7.827027996318915992e-01
2.888301590278988806e-01,7.287844101101389471e-01,7.818816661841718751e-01
2.870055621227164400e-01,7.258891693115983035e-01,7.809121674803478630e-01
2.847438522605179045e-01,7.220602149745239950e-01,7.797107009496567764e-01
2.827719369400898963e-01,7.179978868428078531e-01,7.785690544326111517e-01
2.810447472972765759e-01,7.141970208859215186e-01,7.776788504715165251e-01
2.791843596048703136e-01,7.116272388486551970e-01,7.773141805043783936e-01
2.772868859136097819e-01,7.100439211146118978e-01,7.774903080215441742e-01
2.756806603443436865e-01,7.096371381966637415e-01,7.780812583365440682e-01
2.739073175283878725e-01,7.107138849118554980e-01,7.789936183194513530e-01
2.715138659998982407e-01,7.126992587235364551e-01,7.799130325009798748e-01
2.692345137365731444e-01,7.144073401053613326e-01,7.807915183077195342e-01
2.669818933566405761e-01,7.154665653306881978e-01,7.814225276250622576e-01
2.646959307028954322e-01,7.158280132006561436e-01,7.819926029875525764e-01
2.628084555930357280e-01,7.150703881946764984e-01,7.824548631045431524e-01
2.610594682035140557e-01,7.138748095593142606e-01,7.828391842219684094e-01
2.593482082755815821e-01,7.122273956595914779e-01,7.830734503101011157e-01
2.575392629389082200e-01,7.100012197542751036e-01,7.832098620820040491e-01
2.556242737129504339e-01,7.079313473626116515e-01,7.833397590008832623e-01
2.536513993513357934e-01,7.067915679538304685e-01,7.836000795741582259e-01
2.518417290762594019e-01,7.064722637493252577e-01,7.841243178536382308e-01
2.502607752364779947e-01,7.068534358765486969e-01,7.846774647285517101e-01
2.486777879562345195e-01,7.069498371081686106e-01,7.850080631109505047e-01
2.466752718680862433e-01,7.068653105801371295e-01,7.848334466433538603e-01
2.445854803454844684e-01,7.064749437890780470e-01,7.841945560608289956e-01
2.428440686101443757e-01,7.062751945763645622e-01,7.835730342937811121e-01
2.414455563362742363e-01,7.068730186824040418e-01,7.832821830393151830e-01
2.400239130506409968e-01,7.077338784774898084e-01,7.833084049264620319e-01
2.385880061720411227e-01,7.091636661387389351e-01,7.835914791419970049e-01
2.373505403775148515e-01,7.109198503462472729e-01,7.839749535081753651e-01
2.360613203261359982e-01,7.127671452376695971e-01,7.842804414419116688e-01
2.348158738306106719e-01,7.145753869533350011e-01,7.844370328572922713e-01
2.337857834647799060e-01,7.164620447211884624e-01,7.845217575748038019e-01
2.325724312817926132e-01,7.181327389651349646e-01,7.843888813519681591e-01
2.312277670149268105e-01,7.189568496246545592e-01,7.838820173137166503e-01
2.299821186256456873e-01,7.185702647787972630e-01,7.831208709575380178e-01
