cost,L2,trace
2.121153556076734947e+00,6.769197743579555837e-01,8.827213011471869430e-01
1.926981769576937342e+00,6.936953066735176421e-01,8.510887262294548616e-01
1.732773872557141548e+00,6.728431322752802535e-01,8.197348462314605344e-01
1.548103240960639004e+00,6.627118393043907041e-01,7.901980340533280023e-01
1.375160468677211201e+00,6.596759147480266705e-01,7.626358074264093512e-01
1.208339699773180342e+00,6.601980880717402966e-01,7.355841656537343010e-01
1.045340856596645995e+00,6.574835824098043124e-01,7.080095783528651543e-01
8.894526551732073738e-01,6.539634049308722386e-01,6.798211119397691293e-01
7.465518681607250517e-01,6.559474240059892658e-01,6.514900751101920795e-01
6.226875527224227103e-01,6.284885781085256529e-01,6.236431864261454683e-01
5.221093031297949771e-01,5.985460803248919825e-01,5.967295339950046129e-01
4.455605011251559389e-01,5.662806063520614552e-01,5.707554871374559413e-01
3.901310011130955102e-01,5.359559832347835506e-01,5.454454079055700566e-01
3.502578578285889810e-01,5.071403369830074226e-01,5.203352387940218815e-01
3.199215546933342758e-01,4.796955714629018153e-01,4.951649732087489708e-01
2.945605791269130802e-01,4.534914230178962447e-01,4.697592805969528773e-01
2.716323093021471013e-01,4.285161321136675694e-01,4.440883475656741686e-01
2.502238219230342731e-01,4.048587366128740817e-01,4.182704349767852881e-01
2.302427356793788626e-01,3.826926349364357938e-01,3.925471266776697221e-01
2.118673700489078215e-01,3.622929748454670196e-01,3.673368199809041723e-01
1.950460348441596103e-01,3.438560374034589362e-01,3.430610279476253854e-01
1.793558664819002724e-01,3.244083640099537091e-01,3.201122941195529426e-01
1.641121410410264769e-01,3.023487224097257120e-01,2.988738627180654306e-01
1.485641856659963844e-01,2.824266229364941205e-01,2.795964799841150761e-01
1.322609255977166276e-01,2.648822567682564411e-01,2.625488754344091347e-01
1.153515331317019055e-01,2.500100922956361438e-01,2.480490396030662070e-01
9.866409144988261271e-02,2.382675815250495099e-01,2.365706898463091068e-01
8.352945857409972696e-02,2.301806788052337682e-01,2.286511348856378467e-01
7.136812339656956050e-02,2.260988574055397826e-01,2.246494202055928924e-01
6.327676116244461413e-02,2.259541062960425395e-01,2.245074571273751873e-01
5.974973308664810467e-02,2.291603840456750696e-01,2.276511342407795957e-01
6.052868405042696742e-02,2.346539930417840536e-01,2.330333169776686031e-01
6.465244844375070410e-02,2.410937977820052092e-01,2.393356533941013164e-01
