cost,L2,trace
1.768019834602490903e+00,7.586910666994801655e-01,9.158082826721606340e-01
1.522967995173696298e+00,7.674361512281452358e-01,9.084976704492327970e-01
1.312078326562402975e+00,7.742387348050600027e-01,9.074959148807778542e-01
1.134932279567495428e+00,7.868010513823766594e-01,9.094545595440786112e-01
9.909690874361474222e-01,7.991399630562553424e-01,9.114167018769603335e-01
8.801092511585757450e-01,8.138112928168935722e-01,9.123960022180590546e-01
7.980280209551515735e-01,8.213300649150004906e-01,9.119536024630968685e-01
7.367936008963238415e-01,8.310127266126340340e-01,9.097941030276354146e-01
6.879303829360464695e-01,8.405180364395811177e-01,9.058054477056189935e-01
6.447325209755090381e-01,8.488222089665959924e-01,8.999993981011097377e-01
6.041262048144131480e-01,8.510115671798370585e-01,8.925343742865413654e-01
5.659138022328968898e-01,8.473726343367549152e-01,8.835910667480327829e-01
5.308762123192983795e-01,8.488819965130018907e-01,8.732440303419274352e-01
4.994877302918523387e-01,8.504168462887181645e-01,8.614166577644608580e-01
4.713259020281631573e-01,8.564009218761569064e-01,8.478950405787227806e-01
4.450612869167003272e-01,8.618946064997348167e-01,8.323885936798509633e-01
4.189908182198853193e-01,8.523107115461778793e-01,8.146179626721496980e-01
3.918049744868583595e-01,8.371510092076946963e-01,7.943882844600466120e-01
3.630429575092679606e-01,8.168218099296136181e-01,7.716112915532230554e-01
3.330618484217069408e-01,7.939392984380124751e-01,7.462851760071480545e-01
3.027126058241746964e-01,7.647927572992294643e-01,7.184609538878007351e-01
2.728882869231005204e-01,7.308417514489644606e-01,6.882005708689202805e-01
2.441348402939652606e-01,6.962813099179018250e-01,6.555344142195936863e-01
2.166057373743627001e-01,6.569234896392566192e-01,6.204755841146872841e-01
1.903211820283685907e-01,6.125745563394713322e-01,5.831336889369292953e-01
1.653888304243512075e-01,5.671389225199122697e-01,5.438588332088312161e-01
1.420847633649548747e-01,5.213277812121419608e-01,5.033052776505194670e-01
1.208535824789184893e-01,4.760606444513147406e-01,4.623775778372179457e-01
1.022203974846881552e-01,4.323131539205356533e-01,4.220927140846223447e-01
8.660836347753972375e-02,3.909397533524450741e-01,3.833984105479928961e-01
