cost,L2,trace
2.550837473069473393e+00,6.427511003858930039e-01,9.999935201275605978e-01
2.342786480429027929e+00,6.361943607673054002e-01,9.998870597333524568e-01
2.132538930984727799e+00,6.494227837538995018e-01,9.994294327311811221e-01
1.928806527625715361e+00,6.792108059862811409e-01,9.985168249571277910e-01
1.740387822279361618e+00,7.070456098613464579e-01,9.971047274508539893e-01
1.575438327592763699e+00,7.187531323844974507e-01,9.952577396900212925e-01
1.440281725600344398e+00,7.251977351820872997e-01,9.931822695513939925e-01
1.337108428730415577e+00,7.262507702091338668e-01,9.912344066501805884e-01
1.261682517892007027e+00,7.335857698690990691e-01,9.897942722670415305e-01
1.206120186524209270e+00,7.389493168050498273e-01,9.890656598306923897e-01
1.162452338282325970e+00,7.287130767214927696e-01,9.890452223336146931e-01
1.122890561492277950e+00,7.146980272035912130e-01,9.896069717870910054e-01
1.080897509191311556e+00,7.023162364334172292e-01,9.905827642763244123e-01
1.032860265021269264e+00,6.914202814609120562e-01,9.918040305393075462e-01
9.786725269634611868e-01,6.816361272313752329e-01,9.931370873768164964e-01
9.208103379935947963e-01,6.736897907816858933e-01,9.944823076702353770e-01
8.631652701679620732e-01,6.677095911840837950e-01,9.957624250452350445e-01
8.097148309419719414e-01,6.674804424955754767e-01,9.969228397990304025e-01
7.635660613404384733e-01,6.666007695601224858e-01,9.979201055031197143e-01
7.261645047756166704e-01,6.550018149885589169e-01,9.987172230309947496e-01
6.971021424411791845e-01,6.375287827625891746e-01,9.993016994777869089e-01
6.744497147811856497e-01,6.231799635589840847e-01,9.996834851305894665e-01
6.555451476084128704e-01,6.102100232446496797e-01,9.998949494702515928e-01
6.379449207993980187e-01,5.966323681962932834e-01,9.999832067924939727e-01
6.201222124378603651e-01,5.853278111255635352e-01,9.999998242759923217e-01
6.015880686295494995e-01,5.766972308590146978e-01,9.999903466561776977e-01
5.826317199853147111e-01,5.714666234535880074e-01,9.999852057945195494e-01
5.639020136306769349e-01,5.709353501885487958e-01,9.999930855185074074e-01
