cost,L2,trace
2.116961693198586403e+00,8.456108861819426892e-01,9.811533490492546639e-01
1.986344469885659825e+00,8.529282371257719264e-01,9.819064214213542030e-01
1.881308009395050718e+00,8.547282899013528557e-01,9.839276899118503117e-01
1.799111783984124857e+00,8.464649972557785063e-01,9.870225577111788606e-01
1.736892968460638675e+00,8.118453066651091232e-01,9.905690010047802918e-01
1.681949977555699416e+00,7.724031721511468440e-01,9.941181065732317412e-01
1.621100194379240911e+00,7.433820781006788003e-01,9.971307687780264217e-01
1.549987654274452842e+00,7.243880956836852292e-01,9.991551717684994394e-01
1.470124313164308028e+00,7.123000968122721321e-01,9.999807881373281582e-01
1.384070871511370537e+00,7.086382347327895292e-01,9.996342968827104380e-01
1.293112747384144168e+00,7.107680039144609330e-01,9.983956965865572464e-01
1.197184513101017922e+00,7.155397267007589379e-01,9.967311187328191657e-01
1.097491146185969324e+00,7.192273337089339913e-01,9.950954406190990476e-01
9.984656888616372239e-01,7.223941677571871223e-01,9.937188670867928009e-01
9.077984436606475471e-01,7.241558885239292032e-01,9.926304763246811547e-01
8.338420938734689702e-01,7.232606425190154509e-01,9.917401405777505063e-01
7.820206735068947479e-01,7.286165556849371061e-01,9.907012925739303588e-01
7.514692846689819961e-01,7.365929316291776052e-01,9.889474633039788687e-01
7.354614627704850749e-01,7.481957156984272439e-01,9.858976117366066161e-01
7.257171452660435840e-01,7.642430977681904380e-01,9.811087733147670908e-01
7.159383034383425271e-01,7.774070686485354820e-01,9.742999358658271936e-01
7.025931838851640077e-01,7.767401085456798748e-01,9.652043751564922669e-01
6.846957665015578343e-01,7.757779080191179455e-01,9.536711908367954127e-01
6.632496542435205589e-01,7.743593023120565189e-01,9.397862176867035622e-01
6.400513093874868886e-01,7.704329419105963028e-01,9.239363645998635022e-01
6.165802007785912142e-01,7.538578852366085714e-01,9.068233492790332972e-01
5.933240196643272402e-01,7.416852800129528633e-01,8.893444405217927340e-01
5.700884951681354229e-01,7.261074664666584688e-01,8.723914642831204214e-01
5.467591997950171923e-01,7.098817886171802094e-01,8.566353167666542756e-01
5.237573915095553589e-01,6.920206126321798434e-01,8.423258502478326859e-01
5.019662214691202884e-01,6.752552061770716874e-01,8.293821360809989773e-01
4.821999723780853730e-01,6.583089269275036459e-01,8.174453621117956370e-01
4.645745989766869588e-01,6.419659378586699550e-01,8.058689100325501231e-01
4.486744627638065697e-01,6.268653149085949838e-01,7.939780335085101504e-01
4.339882445387362453e-01,6.132610125999645723e-01,7.812615418192532246e-01
4.200431731069703134e-01,6.017230792639592929e-01,7.673683187645272685e-01
4.065053416512726114e-01,5.927966037967260515e-01,7.520509845021426942e-01
3.929967945814211161e-01,5.870972967012504373e-01,7.352533091191035819e-01
3.791108728105366810e-01,5.852371840991935636e-01,7.171355889302429842e-01
3.645676914273121572e-01,5.877075442217476464e-01,6.981607668804465927e-01
3.494285587563750184e-01,5.921050069901147017e-01,6.788805054590503207e-01
3.342583816812079722e-01,5.957639815766834213e-01,6.599164581914644945e-01
3.200123411322157718e-01,5.890819380358649493e-01,6.421384796409963513e-01
3.074748354726943300e-01,5.852314006247965050e-01,6.261048527639027084e-01
2.972199448585277626e-01,5.845631614499331441e-01,6.123280776726176544e-01
2.891407986282710785e-01,5.857291341470975965e-01,6.008074621558520123e-01
2.827222475712403704e-01,5.892103066091919361e-01,5.912141083602897584e-01
2.772108180761720941e-01,5.895468143441663367e-01,5.830299643727082648e-01
2.718638954326282331e-01,5.839790673949425415e-01,5.756463441067978248e-01
2.662420336270431287e-01,5.769332148746896261e-01,5.686177095056514919e-01
2.603359984935590399e-01,5.699511688607354909e-01,5.616698008497331696e-01
2.545018042667339109e-01,5.629319839121336155e-01,5.546985872898936298e-01
2.492916890899296023e-01,5.558544695361666843e-01,5.477321861903755584e-01
2.450478915239783506e-01,5.487378582789919079e-01,5.408229207796376725e-01
2.417748510282823893e-01,5.416201675373082391e-01,5.340345751212040026e-01
2.391000987246065801e-01,5.344256321994912406e-01,5.273416547199715199e-01
2.365537360098907971e-01,5.270278426140190264e-01,5.206071359096956508e-01
2.337123002824020301e-01,5.193264254219908116e-01,5.136491412190208328e-01
2.302584475002845688e-01,5.113335921903344738e-01,5.063574084384205864e-01
2.261189664993804305e-01,5.029817122860706924e-01,4.986403380291377641e-01
2.214366123356974470e-01,4.942403844971416937e-01,4.904640115747206375e-01
2.153206580879586107e-01,4.863945974123643490e-01,4.826327862917667577e-01
2.097480859845982093e-01,4.771568694800241150e-01,4.723149646355414011e-01
2.056355003831357720e-01,4.655626810009790839e-01,4.608258021195995591e-01
2.014063547969659473e-01,4.517993437327351147e-01,4.488400341134409222e-01
1.973951040928346723e-01,4.387922788821188025e-01,4.378719498743054994e-01
1.938910622406753714e-01,4.275649727391450661e-01,4.280567567399161666e-01
1.905428672883972552e-01,4.180347824141638080e-01,4.188590722625993856e-01
1.872022210021911381e-01,4.098036243509134979e-01,4.098858245598809846e-01
1.841697561636177760e-01,4.024702823463094381e-01,4.009252748188774640e-01
1.816351228353604297e-01,3.953040492770272807e-01,3.917772609243714288e-01
1.794522742075541077e-01,3.876723827309269121e-01,3.822637621369937566e-01
1.774550211717465520e-01,3.792051086366722279e-01,3.723266778335818650e-01
1.757016586561241933e-01,3.685578630661270338e-01,3.622459365129470643e-01
1.742752041203686764e-01,3.581042521805607448e-01,3.523171401495922006e-01
1.731277300883630188e-01,3.481473531752651840e-01,3.428320591675020901e-01
1.721679133647832094e-01,3.388856999407870996e-01,3.339854177045350481e-01
1.713600420809001101e-01,3.303723684453800380e-01,3.258338454803589856e-01
1.706817810813542058e-01,3.225550760537668205e-01,3.183325372046366120e-01
1.700672005857236102e-01,3.152284458330116279e-01,3.112883307488936158e-01
1.694720520130833241e-01,3.082387584318659335e-01,3.045559938486759322e-01
1.689091261762193930e-01,3.013350923941598980e-01,2.978951981236879765e-01
1.683775848601272718e-01,2.942542622184630696e-01,2.910520667588209487e-01
1.678612004115663803e-01,2.870174737451852698e-01,2.840465702652482660e-01
1.673569856495570329e-01,2.796138093254391666e-01,2.768676624310752454e-01
1.668848907510649404e-01,2.720953230720412619e-01,2.695654605417995286e-01
1.664526497705772490e-01,2.646533915448903707e-01,2.623260711583771942e-01
1.660514387093001698e-01,2.576453792591806846e-01,2.554985860399938136e-01
1.656849169555466572e-01,2.511437571766829135e-01,2.491558348634984599e-01
1.653662402730909919e-01,2.454880749790178118e-01,2.436317828856143508e-01
1.650905488931307397e-01,2.408539242878271480e-01,2.391010352219067603e-01
1.648485762521152143e-01,2.372924585380954132e-01,2.356163646755976004e-01
1.646308663640741465e-01,2.346021272380959533e-01,2.329825280847306890e-01
1.644276116637468366e-01,2.325262365852832080e-01,2.309493480402717847e-01
1.642226663700647737e-01,2.305216645739537329e-01,2.289852978218865631e-01
1.640170792988199233e-01,2.284602684030144493e-01,2.269648395025664622e-01
1.638162615640996189e-01,2.267349186331577282e-01,2.252731877499884183e-01
1.636133505148426592e-01,2.252846684233379415e-01,2.238508665612708171e-01
1.634039169989582874e-01,2.240521519263992123e-01,2.226418035241823912e-01
1.631922305762091296e-01,2.230021695986706132e-01,2.216115976775660246e-01
1.629848751952634456e-01,2.220297864962562373e-01,2.206573632727723278e-01
1.627862166334753113e-01,2.204447047983511265e-01,2.191015250518233148e-01
1.626008527553577110e-01,2.185699890335962015e-01,2.172608548339864110e-01
1.624324832155720211e-01,2.163323428049084285e-01,2.150630837031747289e-01
1.622802966825429849e-01,2.138700045706272979e-01,2.126436768177918935e-01
1.621376314791666828e-01,2.113058846480897479e-01,2.101232193568894624e-01
1.620036811803334253e-01,2.089438057154764661e-01,2.078004314621639259e-01
1.618783009700096032e-01,2.068455617180513240e-01,2.057363494811733917e-01
1.617534174429339222e-01,2.048029953491278254e-01,2.037263765997091303e-01
1.616243033904994353e-01,2.028010673397597496e-01,2.017557662271909635e-01
1.614907765341490054e-01,2.005545466735479399e-01,1.995436577107683740e-01
1.613556879714150849e-01,1.979530195506046253e-01,1.969810247107394441e-01
1.612230756705086421e-01,1.950639828849567436e-01,1.941339939424477357e-01
1.610976776189535775e-01,1.923526358879265041e-01,1.914609493006814989e-01
1.609781357960011205e-01,1.898446376291336724e-01,1.889874288430516691e-01
1.608579548084400901e-01,1.881111411620212392e-01,1.872772348513832841e-01
1.607445761989341193e-01,1.868734721961755330e-01,1.860559416466860405e-01
1.606442539541176884e-01,1.857651674909138462e-01,1.849621174807228319e-01
1.605580304523873125e-01,1.845899305830369930e-01,1.838020473285500722e-01
1.604807259188442414e-01,1.831030407265084869e-01,1.823340703920729999e-01
1.604056067174041422e-01,1.812433418383167516e-01,1.804975964212815198e-01
