cost,L2,trace
1.863985610606150090e+00,6.594897238052560562e-01,9.968055091626168984e-01
1.641116103025245243e+00,6.664994343256823717e-01,9.961008604192915783e-01
1.467550394768573296e+00,6.799779803766677899e-01,9.953400318819033421e-01
1.347345188169255970e+00,6.858918865855432312e-01,9.934156945559895480e-01
1.263638118385743470e+00,6.950100657749369581e-01,9.901252687894513960e-01
1.194122831653021466e+00,7.071894085307698363e-01,9.856328753266202503e-01
1.125112692061372766e+00,7.066603797168665713e-01,9.797001381353136473e-01
1.054438054332790697e+00,6.946415616745561517e-01,9.720682372128269799e-01
9.852324694703159524e-01,6.776032771509503672e-01,9.626903196891796188e-01
9.212009570358448141e-01,6.635826095127634883e-01,9.519468553606841299e-01
8.642034303936483308e-01,6.572800273158801998e-01,9.410506923793825473e-01
8.143145588769010734e-01,6.573104615248748228e-01,9.305934475962929220e-01
7.704985106499645520e-01,6.612643507042947899e-01,9.207402869107800258e-01
7.315252791172424107e-01,6.659571581971170939e-01,9.114392735020132585e-01
6.966453945380005619e-01,6.672095885595414888e-01,9.026738263217330971e-01
6.655232516782890739e-01,6.583822314342414606e-01,8.947213843517961562e-01
6.376013525425434647e-01,6.491578603991826624e-01,8.878998409802935088e-01
6.117085776561992372e-01,6.415975292059173940e-01,8.823438424622126464e-01
5.863688946855978301e-01,6.356785421552425541e-01,8.780210068862833728e-01
5.604130091663477309e-01,6.277414022936725901e-01,8.747819912507949214e-01
5.333514735893668535e-01,6.104486462543414760e-01,8.723500591407902238e-01
5.053118385522026301e-01,5.848189560029283252e-01,8.702010958717286693e-01
4.767727328567130662e-01,5.563965442285311314e-01,8.676014137477205956e-01
4.482902404360647464e-01,5.283022732694273582e-01,8.634839338191940827e-01
4.203908504917326372e-01,5.003373230267543770e-01,8.566022321976259901e-01
3.936646382318595427e-01,4.729778604267843578e-01,8.463236912983889138e-01
3.687513857793107697e-01,4.472111315314762914e-01,8.325741300052851290e-01
3.459717826281034081e-01,4.241814587197216824e-01,8.153231063957419034e-01
3.252441366492851982e-01,4.049905848717806900e-01,7.947170818386971591e-01
3.063516194726286224e-01,3.907527749672264350e-01,7.709224323871852746e-01
2.892336124308281242e-01,3.825627453511831200e-01,7.441864644144849938e-01
2.739192184836035660e-01,3.813965824455882170e-01,7.148264856081404384e-01
2.603531895643632077e-01,3.877490290586809718e-01,6.831354623837522233e-01
2.484367141444497329e-01,4.014417658487323126e-01,6.495319548420346312e-01
2.381556954847644791e-01,4.061395170249999520e-01,6.143954034224214933e-01
2.296621508356032071e-01,4.024831354808617312e-01,5.782193184524581087e-01
2.231400317725968363e-01,3.894557715753733107e-01,5.416602750829634383e-01
2.185488456889590481e-01,3.838537535064519557e-01,5.053656531913318650e-01
2.155416536701234009e-01,3.808863786693666986e-01,4.700558023032753163e-01
2.135503137352963710e-01,3.551582506536787864e-01,4.363794203871746435e-01
2.120345292207760912e-01,3.333075370381263225e-01,4.050234398078055853e-01
2.106774810834911582e-01,3.178059778497314136e-01,3.767252493208613218e-01
2.093612912029424455e-01,3.083604646362541057e-01,3.519215289933795843e-01
2.080678123321506590e-01,3.040034459886756246e-01,3.307020082955861584e-01
2.067841160644926513e-01,3.028793293814216470e-01,3.127806579581020596e-01
2.054303959586813999e-01,2.980424416536919807e-01,2.975417724027704658e-01
2.038844510621324047e-01,2.871736077207561189e-01,2.841978362621101484e-01
2.020370840990656225e-01,2.745284781141258956e-01,2.719299195179848971e-01
1.998533994520474422e-01,2.624239953290407601e-01,2.601551646025971887e-01
1.973868700495483852e-01,2.504740044605105465e-01,2.485019859083214822e-01
1.947411233890810611e-01,2.385866129200935604e-01,2.368828795126928233e-01
1.919897278169208632e-01,2.268338799976163667e-01,2.253702301592622470e-01
1.891625860299031014e-01,2.153240655229062273e-01,2.140725053885574325e-01
1.862914210425261619e-01,2.042514741264423173e-01,2.031835449466692922e-01
1.834598141376060088e-01,1.938185209680974574e-01,1.929062599715926918e-01
1.807760784577458757e-01,1.842393922910165738e-01,1.834559954856731789e-01
1.783467029163542661e-01,1.756703935585739451e-01,1.749914310129012662e-01
1.762240666576632142e-01,1.682824020838281920e-01,1.676856460172568286e-01
1.744203478845363087e-01,1.621052485002492105e-01,1.615718936081568524e-01
1.729496424007429534e-01,1.571390861198803390e-01,1.566533118777475586e-01
1.718096427571985663e-01,1.532392742549441578e-01,1.527888113126823488e-01
1.721802961086103534e-01,1.536851248783472901e-01,1.532307147073244669e-01
1.709356110533933881e-01,1.406658624826259696e-01,1.403175137493046232e-01
1.695239962346776763e-01,1.319423672257364899e-01,1.316549345519584246e-01
1.691960009875196902e-01,1.271644738643215589e-01,1.269071695864032456e-01
1.688666385476473852e-01,1.249301052421116776e-01,1.246861357100210732e-01
1.678402125249184029e-01,1.236947132015869394e-01,1.234579144936470002e-01
1.674025192303297827e-01,1.236662652304560545e-01,1.234296299700117089e-01
1.671985561610379034e-01,1.236477650316908650e-01,1.234112360235204570e-01
1.665711248976549097e-01,1.226625233377784674e-01,1.224316069921329297e-01
1.659762156061400651e-01,1.213328871134760900e-01,1.211094034627732269e-01
1.656728997287770233e-01,1.202615113316829049e-01,1.200438992071954092e-01
1.653206648652045252e-01,1.194182515408210438e-01,1.192051877054267767e-01
1.648708864702532750e-01,1.191266873620941968e-01,1.189151812516222595e-01
1.645373507473685271e-01,1.199559103204043825e-01,1.197399539242673672e-01
1.643185724781500712e-01,1.221773484125202869e-01,1.219491630166704976e-01
1.640438116073802965e-01,1.257127936634258036e-01,1.254642068717295444e-01
1.637013887935965528e-01,1.303946625882414501e-01,1.301172336830086207e-01
1.634268288681142156e-01,1.360494325933142290e-01,1.357342926147932227e-01
1.632520085721725356e-01,1.422235330451931123e-01,1.418634733660570080e-01
1.630783938678306288e-01,1.483226891000082592e-01,1.479142463750567071e-01
1.628904255949786273e-01,1.539012515424753313e-01,1.534449196651151703e-01
1.627650342310847653e-01,1.586932559708128243e-01,1.581929097633047454e-01
1.626728256305016163e-01,1.624980610702449479e-01,1.619608152043343630e-01
1.625186970193120972e-01,1.652869940300073781e-01,1.647215761782953314e-01
1.623634368591507227e-01,1.673431495673457781e-01,1.667563416717378622e-01
1.623095564544400626e-01,1.690787123049426743e-01,1.684734343440340287e-01
1.622855175085219370e-01,1.707590900436892489e-01,1.701355632126486106e-01
1.622052364457657325e-01,1.725199486442396957e-01,1.718769084649692802e-01
1.621260791359255271e-01,1.744368664052346474e-01,1.737721243833117435e-01
1.620812186828682611e-01,1.764711080218008266e-01,1.757828066571691661e-01
1.620257379292748823e-01,1.784181022057566013e-01,1.777067357106661416e-01
1.619778801565249782e-01,1.801209419424251168e-01,1.793889842817259772e-01
1.619709202479184262e-01,1.815032266453659449e-01,1.807542642131201305e-01
1.619696283304113971e-01,1.824792032261783603e-01,1.817180767758226345e-01
1.619466426881243093e-01,1.829277860357963192e-01,1.821610247120847015e-01
1.619225589881519434e-01,1.828913601004663048e-01,1.821250573773615100e-01
1.619115435784292956e-01,1.825544951753514111e-01,1.817924248837224921e-01
1.619078852484652498e-01,1.821023842680180860e-01,1.813459697940485449e-01
1.619133598369003058e-01,1.817847579684437609e-01,1.810323001201026849e-01
1.619261650419142884e-01,1.817340008091743175e-01,1.809821739514203276e-01
1.619323489016444295e-01,1.820301419721176150e-01,1.812746286282598818e-01
1.619259393848034856e-01,1.826490952058958672e-01,1.818858379236654443e-01
1.619223030396940710e-01,1.835357449336997293e-01,1.827613023480202659e-01
1.619273701916889019e-01,1.845985868675082131e-01,1.838105926068334117e-01
1.619270331195921675e-01,1.856965215676307790e-01,1.848943627700197767e-01
1.619264309472977503e-01,1.866987579977288925e-01,1.858835216617528430e-01
1.619345939907881893e-01,1.874643220664858057e-01,1.866390009722096177e-01
1.619381310230174065e-01,1.879067712018597514e-01,1.870755839056783554e-01
1.619380717342474296e-01,1.880950948386369281e-01,1.872614022289628699e-01
1.619465126675794786e-01,1.881535417518214182e-01,1.873190705844935411e-01
1.619517087600503280e-01,1.881773757480384723e-01,1.873425869542343358e-01
1.619493256242053592e-01,1.881892694693907131e-01,1.873543221423407401e-01
1.619498201319280184e-01,1.881845210061942331e-01,1.873496369745544787e-01
1.619499628587399709e-01,1.881241516586067974e-01,1.872900720505275562e-01
1.619461061476221986e-01,1.879741703830776212e-01,1.871420870386219237e-01
1.619429429971147028e-01,1.877237022304694414e-01,1.868949455171680651e-01
1.619403307303774464e-01,1.873479630892342096e-01,1.865241801303369473e-01
1.619373636718052789e-01,1.868497933443161729e-01,1.860325739798086853e-01
1.619363529496880005e-01,1.862281836697985415e-01,1.854191051528377987e-01
1.619353192693034904e-01,1.855422286637820606e-01,1.847420705994097800e-01
