cost,L2,trace
1.863985610606150090e+00,6.594897238052560562e-01,9.968055091626168984e-01
1.641116102663414900e+00,6.664994283041585366e-01,9.961008608382041496e-01
1.467556044856092923e+00,6.794959788643931686e-01,9.954738746869694621e-01
1.347596536931595645e+00,6.872042821081834063e-01,9.938565568698485286e-01
1.264205540645532810e+00,6.978688508109803790e-01,9.909401032997092740e-01
1.194956547848327943e+00,7.097513746120619471e-01,9.868702570365235349e-01
1.126061836713910136e+00,7.082691993947854980e-01,9.813878914478977311e-01
1.055415619352980450e+00,6.983759404800726767e-01,9.742322290719001021e-01
9.862367297806452493e-01,6.792091320438443658e-01,9.653900229514159603e-01
9.223085500869292463e-01,6.646034572273199492e-01,9.553219652715774224e-01
8.655761140955873234e-01,6.573250224184984392e-01,9.450793300958509890e-01
8.160759799098677991e-01,6.566534017331716599e-01,9.353162465990971786e-01
7.727338496441265026e-01,6.596031744758164006e-01,9.261616861923658295e-01
7.342128147576799657e-01,6.644014348252289537e-01,9.175978694719345574e-01
6.996452220442564984e-01,6.686543648803920936e-01,9.097045805784493844e-01
6.686346299484371425e-01,6.638021046175676121e-01,9.026749321584817132e-01
6.406640006466062243e-01,6.551537570026018109e-01,8.966950172200511826e-01
6.146966307319055023e-01,6.481746213856156569e-01,8.918497598821617522e-01
5.893861784099994061e-01,6.428919429627902860e-01,8.880952402424370229e-01
5.636369703298749201e-01,6.360330775718606722e-01,8.852569947715446252e-01
5.369483802421892715e-01,6.218701400537923751e-01,8.830061762052026086e-01
5.093299084247118191e-01,5.961129552130036702e-01,8.808042167774694509e-01
4.810826406922560361e-01,5.686653594699346836e-01,8.778541891362660055e-01
4.526596942652649780e-01,5.411802879762506180e-01,8.731158219796107955e-01
4.245878011329181079e-01,5.133717344977832830e-01,8.655126518774092226e-01
3.975044053838837632e-01,4.856706160184242616e-01,8.543592336644628693e-01
3.721001205034146220e-01,4.591973778946332185e-01,8.394971835334370525e-01
3.487956652900545684e-01,4.352972760251920259e-01,8.210581058761535767e-01
3.275620295417063232e-01,4.151986623601020554e-01,7.992574014513728065e-01
3.081891619720440456e-01,4.000381163117041061e-01,7.743276305409297899e-01
2.906034016843106471e-01,3.909450721971796661e-01,7.465166734967177975e-01
2.748268635998031284e-01,3.888864012172949525e-01,7.160809309834555991e-01
2.608177920917527648e-01,3.944147835687596970e-01,6.832831719590364283e-01
2.484872128391589774e-01,4.075335268342065720e-01,6.484203394378749152e-01
2.378390701886751446e-01,4.140286339822948913e-01,6.118727123761139586e-01
2.290241556445436477e-01,4.100096545835387740e-01,5.741435806343130333e-01
2.222151189563084384e-01,3.958414881717416400e-01,5.358631849226596078e-01
2.173955274616099498e-01,3.888373419227600380e-01,4.977541592071484944e-01
2.142377718159759470e-01,3.780197452138391312e-01,4.605826977672498601e-01
2.121807697157170325e-01,3.495447446072998399e-01,4.251291815860400725e-01
2.106540704648149909e-01,3.272085019107722759e-01,3.921776166547567555e-01
