cost,L2,trace
2.121153556076734947e+00,6.769197743579555837e-01,8.827213011471869430e-01
1.926981822903491404e+00,6.936953087429325038e-01,8.510887341101398551e-01
1.732802737297767015e+00,6.728385689947647963e-01,8.197405805764796938e-01
1.548193354736107974e+00,6.626971939302073178e-01,7.902173574230939579e-01
1.375385426436446901e+00,6.597253211335610823e-01,7.626661486024315373e-01
1.208644400233474192e+00,6.603857014516083535e-01,7.355819305121581442e-01
1.045691414760890225e+00,6.576429179706380079e-01,7.079277197388841314e-01
8.898859424318308342e-01,6.544629981024683296e-01,6.796501790984162961e-01
7.472038714441411322e-01,6.562743951613797533e-01,6.512989955888109916e-01
6.237966998655155582e-01,6.282472509460877985e-01,6.235460838156148267e-01
5.238830439750383761e-01,5.984113430579779402e-01,5.968402057672400618e-01
4.481354381929155695e-01,5.664423993037331906e-01,5.711355955860940581e-01
3.933901735252265386e-01,5.363414499425144255e-01,5.460546667929097042e-01
3.539471022321418192e-01,5.077799343863405035e-01,5.212021583320674001e-01
3.237812299382496484e-01,4.806127917555887419e-01,4.963223528206922031e-01
2.983961759682317028e-01,4.548047070609785858e-01,4.713004633624649498e-01
2.753833303100188257e-01,4.303651402390925029e-01,4.461282474290707567e-01
2.538788052627563019e-01,4.073771935997832494e-01,4.209201928453909503e-01
2.337849020838300707e-01,3.859841473223953878e-01,3.959005078546479206e-01
2.152152578875320132e-01,3.663469081625351231e-01,3.713850994302679842e-01
1.981362169326560951e-01,3.486137117610628722e-01,3.477594371803419127e-01
1.821926156362855820e-01,3.299312816194650000e-01,3.254109968213078075e-01
1.666923250739680562e-01,3.083348524808783298e-01,3.046486285976687247e-01
1.508481542621173954e-01,2.887175658031667647e-01,2.856933683705128457e-01
1.341802580195604055e-01,2.712643717064563420e-01,2.687576880236024479e-01
1.168643020946016908e-01,2.563044758162377756e-01,2.541911192830084154e-01
9.979612620471974005e-02,2.443508374904917735e-01,2.425202886670796976e-01
8.436790816010539262e-02,2.359926162085941304e-01,2.343439797623726450e-01
7.207278061388772139e-02,2.316546566943443464e-01,2.300954735862148492e-01
6.406866580044676129e-02,2.313109763112393691e-01,2.297587380683064340e-01
6.086531080411717448e-02,2.343992055984614742e-01,2.327838151891004348e-01
6.216373589330715516e-02,2.398424948041455729e-01,2.381116492808370289e-01
6.690267934005990347e-02,2.462753453330794318e-01,2.444010908719591590e-01
7.349667687828677354e-02,2.523021011250090595e-01,2.502864708706328822e-01
8.018892519465629920e-02,2.567164518059578682e-01,2.545928596468693961e-01
8.540798778804779834e-02,2.586211746642887999e-01,2.564498276894237594e-01
8.806968833658311568e-02,2.575054223536795694e-01,2.553621355268876347e-01
8.771803803276589928e-02,2.532342023366939698e-01,2.511960891528257633e-01
8.450940667774300974e-02,2.459929518038150020e-01,2.441251537525168380e-01
7.907651813200530788e-02,2.362146632435332405e-01,2.345613578289498513e-01
7.232209060108986398e-02,2.244926635874469056e-01,2.230739624226780737e-01
6.521498677122808396e-02,2.115332881553677324e-01,2.103467932748364355e-01
5.861495657143665772e-02,1.980992121667813077e-01,1.971250586666887794e-01
5.315138111226072604e-02,1.849530721041202641e-01,1.841605230262534643e-01
4.916097526918945804e-02,1.727871675409040353e-01,1.721411309388221622e-01
4.668375424578267985e-02,1.621582148216791919e-01,1.616243363771701913e-01
4.551728155040811463e-02,1.534331198154418319e-01,1.529809435341588364e-01
4.530178419456844935e-02,1.467360573175312544e-01,1.463405940313098341e-01
4.561267086567273588e-02,1.419358403073805730e-01,1.415779630555932533e-01
4.606166674743361611e-02,1.387213284973470850e-01,1.383872388541209919e-01
4.635906486670357540e-02,1.366501940884019550e-01,1.363308576203812739e-01
4.634657515382634152e-02,1.352739993557713627e-01,1.349642213667419377e-01
4.599578164592470209e-02,1.342180414390419518e-01,1.339154668119634517e-01
4.537397121039722647e-02,1.332011625131174215e-01,1.329054181642991550e-01
4.459916366768237883e-02,1.320386099754180531e-01,1.317505473975856267e-01
4.379621103072655480e-02,1.306167133927690072e-01,1.303378637471606927e-01
4.305928230685096558e-02,1.288606477417740537e-01,1.285929021282280205e-01
4.243439036847314327e-02,1.267204111025546365e-01,1.264657947686412820e-01
4.191658051542721669e-02,1.241525581692096147e-01,1.239131185454564882e-01
