cost,L2,trace
6.815647915284973601e-01,7.310398344396803472e-01,9.119396545353469774e-01
5.763860771626249102e-01,7.270979235065567758e-01,8.833051565598472044e-01
4.986460419407255373e-01,7.344267642526174367e-01,8.529222775464794237e-01
4.420520283903581205e-01,7.417168210104060355e-01,8.214212726544317666e-01
4.006020022423780746e-01,7.387555365103921634e-01,7.887949159900579099e-01
3.700293862919170618e-01,7.127097285923125192e-01,7.544087411988982250e-01
3.462625116405224635e-01,6.865425441046670851e-01,7.179464688202347178e-01
3.248284485162423185e-01,6.690488295498353555e-01,6.794846684701012496e-01
3.042404574772392678e-01,6.387017652361099973e-01,6.393274083029151234e-01
2.849688097892037475e-01,6.011401238429731064e-01,5.976495128998308148e-01
2.676347500839985072e-01,5.613360043656636655e-01,5.543918070357537475e-01
2.522446194527031005e-01,5.185694025299331100e-01,5.094750085745695101e-01
2.388326175556706454e-01,4.712596827420754697e-01,4.634996957627129377e-01
2.276603042416003864e-01,4.273055291352956808e-01,4.180064111541960115e-01
2.185929913510759326e-01,3.821184635171891997e-01,3.750792718030345196e-01
2.106955787892328125e-01,3.419544844582820264e-01,3.369191972152890679e-01
2.027829170595672470e-01,3.088354695005625095e-01,3.051311885935727441e-01
1.944612737509744393e-01,2.833636257909128431e-01,2.805051245458172748e-01
1.864443307437043673e-01,2.655171004635468179e-01,2.631668515095452188e-01
1.798061273952489270e-01,2.542429720327482046e-01,2.521803381492243035e-01
1.750425512414334195e-01,2.470094538079020685e-01,2.451183454589013488e-01
1.718890875658194428e-01,2.406776031557665008e-01,2.389285703507242897e-01
1.698199803441961808e-01,2.330613210741486474e-01,2.314734963735123885e-01
1.685352158535741995e-01,2.237163352906366143e-01,2.223123323361946291e-01
1.680233465818078975e-01,2.135595739764447609e-01,2.123385887041870090e-01
1.682760428581986378e-01,2.040200046750445528e-01,2.029557084332755112e-01
1.689845626982210969e-01,1.960958166438518668e-01,1.951509673487224206e-01
1.695683533938536214e-01,1.896609613199501387e-01,1.888062419469324349e-01
1.696040931878990687e-01,1.839319324788743770e-01,1.831524566940758436e-01
1.691795877053821617e-01,1.783656605764010195e-01,1.776549219993388273e-01
1.686886156058826081e-01,1.730865863768049628e-01,1.724371812193711273e-01
1.683341194963312581e-01,1.685272202994279878e-01,1.679278528440208695e-01
1.679604522897473751e-01,1.648182614436054794e-01,1.642576457688582903e-01
1.673698543204708844e-01,1.617787823828534255e-01,1.612486469197850492e-01
1.666154441869692471e-01,1.591088827042292930e-01,1.586045907022770041e-01
1.659214831081115282e-01,1.564881314395327738e-01,1.560083753885625202e-01
1.654133834985805629e-01,1.536011131735077750e-01,1.531474485380057982e-01
1.650331441705263358e-01,1.502614723055767099e-01,1.498367871395863971e-01
1.646768258220724646e-01,1.465904252497451654e-01,1.461961393161456679e-01
1.643155647070904946e-01,1.429346057476486298e-01,1.425691138191706175e-01
1.639516977620914251e-01,1.394193153168257482e-01,1.390801531349558362e-01
1.635475068444013635e-01,1.358507174871133871e-01,1.355369574452880699e-01
1.630617076906994978e-01,1.320191330884630254e-01,1.317311980601762189e-01
1.625274456804640111e-01,1.280821446320195289e-01,1.278192257598780024e-01
1.620234111499652685e-01,1.245685478926872869e-01,1.243266918037267132e-01
1.615871322599580218e-01,1.219345430589796886e-01,1.217077162353859404e-01
1.611863493487741827e-01,1.201939454518040906e-01,1.199767001220408275e-01
1.607880113979797965e-01,1.189419755009684665e-01,1.187314522981828407e-01
1.604000089209331459e-01,1.176461210608605590e-01,1.174424079315170844e-01
1.600327383239885937e-01,1.158825953901495981e-01,1.156879116792986911e-01
1.596592723867693853e-01,1.134279417862946310e-01,1.132453758225067386e-01
1.592618070855175150e-01,1.103348901461268933e-01,1.101668630083038336e-01
1.588893870720858859e-01,1.069669093001934385e-01,1.068138113902629971e-01
1.586137700030093578e-01,1.037094934322991130e-01,1.035699665815447423e-01
1.584366185875095145e-01,1.006645054820609619e-01,1.005369161331410854e-01
1.582814162896735710e-01,9.764137328405630978e-02,9.752494173855026649e-02
1.580809545824554685e-01,9.447314590689392944e-02,9.436768837384007513e-02
1.578481147895321457e-01,9.125017588113562561e-02,9.115515100057196285e-02
1.576392571921949037e-01,8.816957212708531610e-02,8.808385307178888401e-02
1.574789079931528946e-01,8.528438546908678752e-02,8.520681147609955597e-02
1.573494093550155126e-01,8.244430920231976545e-02,8.237423201271928952e-02
1.572312052733821353e-01,7.948641584705315455e-02,7.942361574454777362e-02
1.571262739372273620e-01,7.642237593860537470e-02,7.636656359818923268e-02
1.570403113870558753e-01,7.348344618974796127e-02,7.343382979513161934e-02
1.569677963836723089e-01,7.096851227957269581e-02,7.092381882860251952e-02
1.569015561479760179e-01,6.904735311156325051e-02,6.900619261717387543e-02
1.568380206262045828e-01,6.763337641194357153e-02,6.759469365361640836e-02
1.567696592554313484e-01,6.636411951872425719e-02,6.632757437975696224e-02
1.566857908366678376e-01,6.479817321791846163e-02,6.476415494077022994e-02
1.565855992093288518e-01,6.272043811181221562e-02,6.268958889941904367e-02
1.564818263246962604e-01,6.018729420291558246e-02,6.016003439243370471e-02
1.563879604518529920e-01,5.746830958813279461e-02,5.744458028671640959e-02
1.563061721171096763e-01,5.482170083904366192e-02,5.480110169713502122e-02
1.562322984301234285e-01,5.242323189198185018e-02,5.240522013815720331e-02
1.561651559561901270e-01,5.036653858522172067e-02,5.035056489705289767e-02
1.561033846784546375e-01,4.867570042036480776e-02,4.866128222295239975e-02
1.560407067845185902e-01,4.728969391800542932e-02,4.727647273745844148e-02
1.559709071526416690e-01,4.612369904449959562e-02,4.611143199384840075e-02
1.558951754750762808e-01,4.514010827674448667e-02,4.512860946084426561e-02
1.558165125119999883e-01,4.427172391210799224e-02,4.426087609075615714e-02
1.557338564498739752e-01,4.347860241118286367e-02,4.346832726379661060e-02
1.556426145257205906e-01,4.276750040918344403e-02,4.275772125545584945e-02
1.555422754514598216e-01,4.209574471405284901e-02,4.208641920148718796e-02
1.554381017589381575e-01,4.144166129960286105e-02,4.143276379733035891e-02
1.553338924462812631e-01,4.080343924934826116e-02,4.079494655442174322e-02
1.552315449156831673e-01,4.013004539113996377e-02,4.012196629670545384e-02
1.551333043187556604e-01,3.946109120869177589e-02,3.945340946950073868e-02
1.550400809287900972e-01,3.883768712670173512e-02,3.883036375568128112e-02
1.549499153343512070e-01,3.830107985163191259e-02,3.829405587766655794e-02
1.548607463648406513e-01,3.789864462258116240e-02,3.789183974933055254e-02
1.547735141459858910e-01,3.763596634830759791e-02,3.762930200010549536e-02
1.546906240170338731e-01,3.749510704253844473e-02,3.748851724651799250e-02
1.546126996183072033e-01,3.740218559338149423e-02,3.739564467194989722e-02
1.545389888105332121e-01,3.729590835267635601e-02,3.728942303371337447e-02
1.544685327108473449e-01,3.719341582785478523e-02,3.718698383188927259e-02
1.543999466052423108e-01,3.713279397732897197e-02,3.712639338260086130e-02
1.543316641531907729e-01,3.714155286528919575e-02,3.713514773992914603e-02
1.542631550132430585e-01,3.728269220937301814e-02,3.727621378274886127e-02
1.541972593596354080e-01,3.757943420976076615e-02,3.757279984932541256e-02
1.541368641770146930e-01,3.797511506741936549e-02,3.796826891667554049e-02
1.540833914896419243e-01,3.836408465702605824e-02,3.835702596082092575e-02
1.540370385132752429e-01,3.862132909108544065e-02,3.861412743874751557e-02
1.539966641140668169e-01,3.874204882126142807e-02,3.873477942218433306e-02
1.539599596141846827e-01,3.868307732459325826e-02,3.867584107258345560e-02
1.539252642129022020e-01,3.841678609458196864e-02,3.840969826663798159e-02
1.538920258222809812e-01,3.797877100044332738e-02,3.797192287210929967e-02
1.538604420143855622e-01,3.742385181480752110e-02,3.741729951911177549e-02
1.538304028470083296e-01,3.677992586426089006e-02,3.677370602323094123e-02
1.538018817286502804e-01,3.607799776506077222e-02,3.607212729834251286e-02
1.537745438630109540e-01,3.530850362630541528e-02,3.530300085081432282e-02
1.537480413400073576e-01,3.443181313306085956e-02,3.442671017647170456e-02
1.537216349247736702e-01,3.345359660766540622e-02,3.344891635993182261e-02
1.536950531287460398e-01,3.241694212431883715e-02,3.241268364368191796e-02
1.536685107650994642e-01,3.138018322000154375e-02,3.137632041158537610e-02
1.536418031494800329e-01,3.032663463002692461e-02,3.032314798579083606e-02
1.536147253875531915e-01,2.929079760551885417e-02,2.928765617906535154e-02
1.535879551934825060e-01,2.826926732856968605e-02,2.826644325917467698e-02
1.535623681809613894e-01,2.727084733478142564e-02,2.726831205380282966e-02
1.535383968800644872e-01,2.624484089146895960e-02,2.624258114069645889e-02
1.535160949245781004e-01,2.516547096420918700e-02,2.516347872083202208e-02
1.534955682255139675e-01,2.403924534869442825e-02,2.403750879509790328e-02
1.534777990811475590e-01,2.296342611886042356e-02,2.296191243779386812e-02
1.534630547613557161e-01,2.202017363014882601e-02,2.201883892481537250e-02
1.534513159638752344e-01,2.122772913130131084e-02,2.122653340205557168e-02
1.534415365093691752e-01,2.056347794458095526e-02,2.056239099049530714e-02
1.534326627159712797e-01,1.994650929703857892e-02,1.994551727453886328e-02
1.534242014675827326e-01,1.937190356768331290e-02,1.937099483299906458e-02
1.534161809530039389e-01,1.885791212282478257e-02,1.885707382085291192e-02
1.534091147408739864e-01,1.842862285199548672e-02,1.842784050776732907e-02
1.534028917172500506e-01,1.810539908932665143e-02,1.810465719298343101e-02
1.533974206856298372e-01,1.791372043281242582e-02,1.791300185118541860e-02
1.533928125651963237e-01,1.786864404716633631e-02,1.786793087650230191e-02
1.533891173511286454e-01,1.792123378368581238e-02,1.792051429752049632e-02
1.533859916953625446e-01,1.801143606309825451e-02,1.801070565791202879e-02
1.533836626736233832e-01,1.808879769449451766e-02,1.808805783712843715e-02
1.533820995836125134e-01,1.820589121995231513e-02,1.820513690130977358e-02
1.533814877773364560e-01,1.839148815529663764e-02,1.839071053103400258e-02
1.533819631925429638e-01,1.868990189693190904e-02,1.868908580224182964e-02
1.533836546455492611e-01,1.913165667409862103e-02,1.913078133225614222e-02
1.533855416785342984e-01,1.964436652065691333e-02,1.964341889988095724e-02
1.533863882363319109e-01,2.012151075250769028e-02,2.012049238916955446e-02
1.533859998742384267e-01,2.053732668548633247e-02,2.053624387313569138e-02
1.533849979995939861e-01,2.092879195073947540e-02,2.092764603049188099e-02
1.533834304827856598e-01,2.135348739044446234e-02,2.135227028323552489e-02
1.533812482648237163e-01,2.181418561294038577e-02,2.181288801561539689e-02
1.533782891070173959e-01,2.228491903169660393e-02,2.228353560332558755e-02
1.533742166104563598e-01,2.263416219983763189e-02,2.263271270326603496e-02
1.533694519106813259e-01,2.283951628430732489e-02,2.283802697508598503e-02
1.533644888439588128e-01,2.292733478845375428e-02,2.292582823341397444e-02
1.533605308062483408e-01,2.300451412014353769e-02,2.300299229914003207e-02
1.533579399954925482e-01,2.302024737316373318e-02,2.301872242754508455e-02
1.533567235078375224e-01,2.299979977637311296e-02,2.299827889079252008e-02
1.533557962555635312e-01,2.291335938450103291e-02,2.291185558281287962e-02
1.533552713273719781e-01,2.276279148899067531e-02,2.276131713884112229e-02
1.533549819335035536e-01,2.259058320935039901e-02,2.258914206927487359e-02
1.533553390242615166e-01,2.244300205824713984e-02,2.244158897895582108e-02
1.533561099441657638e-01,2.231314424243811823e-02,2.231175555072371572e-02
1.533563573958321158e-01,2.213873175805022853e-02,2.213737537754542281e-02
1.533562438074177470e-01,2.196542055485482120e-02,2.196409578120587722e-02
1.533556625305919630e-01,2.178244664364878749e-02,2.178115470208563664e-02
1.533546107064958086e-01,2.168910337332526431e-02,2.168782796989965345e-02
1.533536473530301703e-01,2.169211998083994328e-02,2.169084404516521611e-02
1.533522257521882093e-01,2.165814226916964666e-02,2.165687231997154294e-02
1.533508842583286291e-01,2.152956594477019661e-02,2.152831847964658055e-02
1.533501698367361887e-01,2.136318357343815547e-02,2.136196480746289234e-02
1.533503535896930392e-01,2.126966336435031496e-02,2.126846053465261677e-02
