cost,L2,trace
6.815647915284973601e-01,7.310398344396803472e-01,9.119396545353469774e-01
5.763860776224654092e-01,7.270979253834090050e-01,8.833051556536496429e-01
4.992305121255903866e-01,7.347775173143372696e-01,8.531562039498221672e-01
4.436516980088907602e-01,7.428302688477677052e-01,8.220176005398402985e-01
4.030736641019539990e-01,7.421499604707415543e-01,7.898653690712289510e-01
3.728463603634874501e-01,7.179165970830291288e-01,7.560564709044932385e-01
3.490023034419422188e-01,6.918531714907864005e-01,7.203593545962800881e-01
3.275265207045614524e-01,6.716550187247778414e-01,6.828945662219408907e-01
3.072483682040815789e-01,6.424781315455507791e-01,6.440136857537672732e-01
2.885587850725456205e-01,6.068816936842347243e-01,6.037969150233034599e-01
2.716736166565583144e-01,5.682580570991132562e-01,5.620712155113828379e-01
2.564172755797077263e-01,5.277885620308224723e-01,5.186213409768436478e-01
2.428965498547324964e-01,4.814170218420453229e-01,4.741056446559455684e-01
2.314563113141365758e-01,4.380894004024531996e-01,4.299093637113465260e-01
2.220410669539805704e-01,3.956857633771506677e-01,3.878645375428245168e-01
2.137783773455767256e-01,3.556371074828197365e-01,3.499694226174190348e-01
2.055431649811065298e-01,3.219107592217125835e-01,3.177135850338914658e-01
1.968962157933329682e-01,2.949665457955356063e-01,2.917409539044828470e-01
1.885035416767849581e-01,2.747195154148662777e-01,2.721155109106100922e-01
1.814388876976802956e-01,2.603771983410613222e-01,2.581611925462273804e-01
1.761540963907171076e-01,2.498559068193720589e-01,2.478984896741200095e-01
1.724128452516953125e-01,2.407303154782742538e-01,2.389801304150135641e-01
1.697694148624102339e-01,2.311483851346625151e-01,2.295994252035555849e-01
1.680404064379726892e-01,2.207871019859148909e-01,2.194376409282878804e-01
1.672889562363730764e-01,2.102960829065272375e-01,2.091303233812200901e-01
1.674704315548564137e-01,2.009072293289518307e-01,1.998909888629065712e-01
1.681204694346613571e-01,1.930928611640519987e-01,1.921908243546141259e-01
1.685482877175470962e-01,1.864305919936443678e-01,1.856188686344425187e-01
1.684000596633211111e-01,1.802009223303679131e-01,1.794679878592634337e-01
1.679170111481805006e-01,1.739656414678822371e-01,1.733062789263522807e-01
1.675282670801584439e-01,1.678557953984050888e-01,1.672635716171113340e-01
1.672795918928992598e-01,1.621030438924823958e-01,1.615697107846844338e-01
1.668194944264188573e-01,1.565950699219030295e-01,1.561143286428371968e-01
1.659446770999069565e-01,1.511999306982785007e-01,1.507672309323151993e-01
1.648907945897677141e-01,1.461162702571504046e-01,1.457258013823517773e-01
1.640138987110734692e-01,1.414060891469381132e-01,1.410522074364406186e-01
1.634142212186977527e-01,1.368703483171774260e-01,1.365494647206987600e-01
1.629464980885038938e-01,1.321871519680608564e-01,1.318981153830037778e-01
1.625314662076235428e-01,1.274797671908116936e-01,1.272205429677189525e-01
1.622214307660913568e-01,1.232230629723381765e-01,1.229889644113758840e-01
1.620223470641187768e-01,1.195243531049877822e-01,1.193107205121014813e-01
1.618065002596629220e-01,1.157738691061487579e-01,1.155797331708441622e-01
1.614796615488670040e-01,1.115579141986629413e-01,1.113842343751928199e-01
1.611155600943526833e-01,1.070942773667439285e-01,1.069406316509111665e-01
1.608326845306979336e-01,1.029914461742765658e-01,1.028547986758588245e-01
1.606200449419077636e-01,9.954178836813287745e-02,9.941842235420426943e-02
1.603735151202868303e-01,9.661126372258430073e-02,9.649847988360844842e-02
1.600657571818016045e-01,9.387326165307249837e-02,9.376980102104469361e-02
1.597591331543616044e-01,9.125037955945526635e-02,9.115535404235780570e-02
1.594803883290394353e-01,8.871376304587080819e-02,8.862644644970713026e-02
1.591695189904699659e-01,8.607835931620683168e-02,8.599859783447474926e-02
1.588067777989201901e-01,8.338135165412356720e-02,8.330885705674363761e-02
1.584686572978060703e-01,8.085419613083598411e-02,8.078809707438636134e-02
1.582489615193137245e-01,7.876435389847441515e-02,7.870325017881467378e-02
1.581275377277473471e-01,7.695844621910077898e-02,7.690145082850576019e-02
1.580045854222004997e-01,7.491977130965425669e-02,7.486718753264637316e-02
1.578507893162083286e-01,7.253862313229926528e-02,7.249089649547345304e-02
1.577227693787884300e-01,7.006067383719255526e-02,7.001767405678059608e-02
1.576564777744994261e-01,6.775657113795208186e-02,6.771767657093752391e-02
1.576214464543259641e-01,6.571597398865680617e-02,6.568048937110684826e-02
1.575757346960556804e-01,6.382981199725186461e-02,6.379729642962547742e-02
1.575236197436664098e-01,6.217503986835107299e-02,6.214498857295192025e-02
1.574857050529904767e-01,6.109564145272955438e-02,6.106712850928439767e-02
1.574605433663755494e-01,6.088294144891936988e-02,6.085472531287568210e-02
1.574402093928811142e-01,6.179378189265990334e-02,6.176428012602372397e-02
1.574276420002494181e-01,6.357641426891896819e-02,6.354428448114829431e-02
1.574234726045227184e-01,6.561835067612330208e-02,6.558302399291091045e-02
1.574030082027565447e-01,6.700188938114401416e-02,6.696428027025741470e-02
1.573384292846294885e-01,6.708225239066362144e-02,6.704450776526509059e-02
1.572344389010953414e-01,6.578358779066698081e-02,6.574799351243189316e-02
1.571205848665414573e-01,6.343715127632446049e-02,6.340523220087469769e-02
1.570153398533673528e-01,6.061053075537957413e-02,6.058269173021817861e-02
1.569172153903737321e-01,5.790865128242733001e-02,5.788437224776411122e-02
1.568264403593120915e-01,5.570902311397061407e-02,5.568740733426270906e-02
1.567413639904297606e-01,5.400845401036738491e-02,5.398875817310920533e-02
1.566580935385514517e-01,5.281234520792809500e-02,5.279392934389547792e-02
1.565732032454114075e-01,5.197393766304028717e-02,5.195638511310484570e-02
1.564834002446172656e-01,5.135734027085490927e-02,5.134040511508052018e-02
1.563884663869239411e-01,5.073561411249250669e-02,5.071928665113947798e-02
1.562917371069304784e-01,5.015222029796031350e-02,5.013644967695184140e-02
1.561950085152617185e-01,4.978409718136121015e-02,4.976867132760915552e-02
1.560998514840552520e-01,4.986205776743238283e-02,4.984655932316691546e-02
1.560051143710431965e-01,5.032436443390860686e-02,5.030843084282489441e-02
1.559117172346311808e-01,5.106349759498420710e-02,5.104685149566026703e-02
1.558228362872439987e-01,5.207097660521974730e-02,5.205332554497730385e-02
1.557397861715876242e-01,5.324465589035156515e-02,5.322578401503354206e-02
1.556601929678350649e-01,5.443763025594897109e-02,5.441746108215554656e-02
1.555788116208248195e-01,5.571886482798975304e-02,5.569723758865946506e-02
1.554952752593023180e-01,5.718066347889937118e-02,5.715728876199144270e-02
